nombre,cantidad
ACETAMINOFEN + CAFEINA + 500MG + 65MG TABLETA | TECNOQUIMICAS | FORTE,20
ACETAMINOFEN + CAFEINA + 500MG + 65MG TABLETA | TECNOQUIMICAS | FORTE,60
ACETAMINOFEN + CAFEINA + 500MG + 65MG TABLETA | TECNOQUIMICAS | FORTE,30
ACETAMINOFEN + CODEINA 325MG + 15MG TABLETA | SIEGFRIED | ALGIMIDE,30
ACETAMINOFEN + CODEINA 325MG + 15MG TABLETA | SIEGFRIED | ALGIMIDE,170
ACETAMINOFEN + CODEINA 325MG + 15MG TABLETA | SIEGFRIED | ALGIMIDE,21
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | FARMACAPSULAS |,21
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | FARMACAPSULAS |,20
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | FARMACAPSULAS |,50
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | FARMACAPSULAS |,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,3
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,45
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,30
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,30
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,20
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,10
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,40
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,30
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,20
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,30
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,90
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,40
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,20
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,30
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,40
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,90
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,90
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,90
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,30
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,30
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,180
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,60
ACETAMINOFEN + CODEINA 325MG + 30MG TABLETA | SIEGFRIED | ALGIMIDE F,85
