codigo_neg,cantidad_entrega,tipo_entrega
19934333-3,30,TOTAL
20016549-68,90,TOTAL
20016549-68,60,TOTAL
20016549-68,30,TOTAL
20016549-68,180,TOTAL
20032844,60,TOTAL
20106305-1,90,TOTAL
44969-4,60,TOTAL
44969-4,135,TOTAL
19950400-4,1,TOTAL
211363-3,6,TOTAL
211363-3,1,TOTAL
20096938-1,6,TOTAL
20096938-1,12,TOTAL
20178975-1,6,TOTAL
20178975-1,1,TOTAL
41809,3,TOTAL
41809,3,TOTAL
19936411-1,60,TOTAL
20122152-2,90,TOTAL
20122152-2,60,TOTAL
20156587-2,90,TOTAL
42722-8,30,TOTAL
20030709-1,90,TOTAL
20027645-31,30,TOTAL
20027645-31,30,TOTAL
20009747-7,30,TOTAL
20027645-31,90,TOTAL
20027645-31,30,TOTAL
20027645-31,30,TOTAL
20027645-31,90,TOTAL
20009747-7,90,TOTAL
20009747-7,30,TOTAL
20027645-31,30,TOTAL
19960116-16,60,TOTAL
19960116-16,90,TOTAL
19960116-16,60,TOTAL
19960116-9,60,TOTAL
20027702-31,90,TOTAL
20104297-3,30,TOTAL
20034460-1,3,TOTAL
19993778-2,6,TOTAL
19984840-7,5,TOTAL
20125314-1,12,TOTAL
20125314-1,6,TOTAL
19968954-1,10,TOTAL
20135411-8,28,TOTAL
20135411-8,28,TOTAL
19932754-2,9,TOTAL
19935299-1,6,TOTAL
19935299-1,1,TOTAL
20104115-3,4,TOTAL
19941145-01,15,TOTAL
20096938-3,12,TOTAL
19992655-1,1,PARCIAL
20009282-1,1,PARCIAL
20093349-1,84,TOTAL
20027702-31,30,TOTAL
20082695-1,56,PARCIAL
20082695-1,56,PARCIAL
19918906-1,1,PARCIAL
20018219-01,1,PARCIAL
20027702-31,60,TOTAL
20061025-17,30,TOTAL
20027702-31,30,PARCIAL
20212210-2,1,PARCIAL
19943837-5,2,TOTAL
20096938-3,4,PARCIAL
20068557,10,TOTAL
19992655-1,1,PARCIAL
19972058-1,3,PARCIAL
20064440-1,30,TOTAL
20018219-01,1,PARCIAL
20093349-1,56,TOTAL
19941145-01,5,TOTAL
20065665-1,30,PARCIAL
20106196-2,30,PARCIAL
20001340-1,60,PARCIAL
19941145-01,20,TOTAL
20116740-01,30,PARCIAL
20027702-31,30,PARCIAL
19947270-1,1,TOTAL
19943015-10,60,PARCIAL
20073341-1,1,PARCIAL
20196616-1,3,TOTAL
19943837-5,1,TOTAL
19962798-2,1,TOTAL
19955476-17,30,TOTAL
20008603-7,30,PARCIAL
20024550-1,1,TOTAL
20001982-2,1,TOTAL
20196616-1,3,TOTAL
20024550-1,2,PARCIAL
20094683-1,5,TOTAL
20015777-8,28,PARCIAL
20097586-1,30,TOTAL
19960116-15,90,TOTAL
19965663-6,1,TOTAL
20024550-1,1,TOTAL
20156998-1,1,TOTAL
20018316-2,1,TOTAL
20001113-13,90,TOTAL
20135125-2,10,TOTAL
20082633-1,1,PARCIAL
46792-3,1,TOTAL
20096938-3,5,PARCIAL
19993778-2,6,TOTAL
19977789-3,30,TOTAL
20106305-1,30,TOTAL
19982562-8,30,TOTAL
19998124-5,30,TOTAL
20065665-1,30,PARCIAL
19955476-17,30,TOTAL
20001982-2,3,TOTAL
20134305,2,PARCIAL
20199440,60,TOTAL
20122152-2,90,TOTAL
20119257-3,60,TOTAL
19992452-8,25,TOTAL
20119940-07,30,TOTAL
22916-2,2,TOTAL
19955476-17,30,TOTAL
19951790-2,40,PARCIAL
20137227-1,1,TOTAL
19935777-12,60,TOTAL
206776-14,25,TOTAL
20135125-2,30,TOTAL
20089319-13,10,TOTAL
20118967-03,90,TOTAL
19993385-5,30,PARCIAL
19976365-2,25,PARCIAL
19943837-5,4,TOTAL
20103181-11,20,TOTAL
19955476-17,30,TOTAL
19976365-2,25,PARCIAL
20094683-1,5,PARCIAL
20018316-2,1,TOTAL
20104221-02,30,TOTAL
215882-2,30,PARCIAL
19955476-17,30,PARCIAL
20134577-1,1,TOTAL
20134807-1,1,TOTAL
19943015-10,30,PARCIAL
19918906-1,1,PARCIAL
20094683-1,5,PARCIAL
20030710-28,30,PARCIAL
19943015-10,26,TOTAL
19905554-12,90,TOTAL
20190532-5,60,PARCIAL
20027702-31,90,TOTAL
20160251,4,TOTAL
19955476-17,90,TOTAL
20092475,90,TOTAL
20151874-2,30,PARCIAL
20001113-13,90,TOTAL
20119257-3,180,PARCIAL
19960116-15,60,TOTAL
19943837-5,2,TOTAL
51330-17,21,TOTAL
19993778-2,6,TOTAL
19993778-2,6,TOTAL
19960116-15,30,PARCIAL
19960116-15,30,PARCIAL
20067032,90,PARCIAL
19993778-2,6,TOTAL
34047-6,30,TOTAL
19960116-15,90,TOTAL
19908244-03,30,TOTAL
19987944-2,25,PARCIAL
51330-17,15,TOTAL
20016549-64,30,TOTAL
32602-1,25,TOTAL
20141006-4,120,TOTAL
20122152-2,120,TOTAL
20024550-1,1,PARCIAL
19955476-17,11,PARCIAL
20151082,30,PARCIAL
20151082,90,PARCIAL
19993410-9,90,TOTAL
19951790-2,40,PARCIAL
19955476-17,30,PARCIAL
47085-10,20,TOTAL
19955476-17,120,TOTAL
20064394-2,30,TOTAL
20093349-1,28,PARCIAL
19940561-4,30,PARCIAL
20033035,120,PARCIAL
20199440,60,TOTAL
20096938-3,2,PARCIAL
210309-1,1,TOTAL
19960116-15,30,TOTAL
20199440,60,TOTAL
20122250-2,1,TOTAL
20103393,2,PARCIAL
20061667,2,PARCIAL
19976365-2,25,TOTAL
20071184-01,84,TOTAL
206776-14,25,PARCIAL
19928855-1,2,TOTAL
20199440,30,PARCIAL
19993778-2,6,TOTAL
20048478-01,60,PARCIAL
19976365-2,25,PARCIAL
19993778-2,6,TOTAL
20134577-1,3,TOTAL
19955476-17,30,TOTAL
19960116-15,30,PARCIAL
19936411-1,60,TOTAL
20100066-3,30,TOTAL
51330-17,40,TOTAL
34047-6,30,TOTAL
20261759,2,PARCIAL
20100066-3,30,TOTAL
41240-1,90,TOTAL
20016549-64,60,TOTAL
19942431-5,60,PARCIAL
19988153-1,1,TOTAL
19950400-4,1,TOTAL
19951790-2,3,PARCIAL
20018219-01,3,PARCIAL
199905549-2,180,TOTAL
20129549,60,PARCIAL
19960116-15,90,TOTAL
19998124-5,36,TOTAL
19990096-2,14,TOTAL
41240-1,60,TOTAL
41240-1,30,PARCIAL
20094683-1,3,TOTAL
19905554-12,30,PARCIAL
20018219-01,1,PARCIAL
20151874-2,60,TOTAL
20097586-1,30,TOTAL
20027645-31,60,TOTAL
20093919-2,1,PARCIAL
20125491,90,PARCIAL
20093919-2,1,TOTAL
20018219-01,3,TOTAL
32602-1,25,PARCIAL
19960116-15,90,TOTAL
19992452-8,25,PARCIAL
20122250-2,1,TOTAL
19992452-8,25,PARCIAL
19960116-15,30,PARCIAL
19977699-1,120,PARCIAL
19992452-8,25,PARCIAL
20135125-2,20,TOTAL
56604-1,1,TOTAL
20023511-3,60,PARCIAL
20196616-1,1,TOTAL
19960116-15,90,TOTAL
20023511-3,30,TOTAL
19905554-12,30,PARCIAL
20125491,90,PARCIAL
20059262-2,3,PARCIAL
42034-1,90,TOTAL
20093349-1,28,PARCIAL
19905554-12,90,TOTAL
20059262-2,3,TOTAL
19960116-15,90,TOTAL
20122152-2,70,PARCIAL
19976365-2,25,PARCIAL
20190532-5,20,TOTAL
19960116-15,90,TOTAL
20001372-3,60,TOTAL
206777-1,25,PARCIAL
20097586-1,30,PARCIAL
20125491,90,PARCIAL
19936411-1,120,TOTAL
19988153-1,1,TOTAL
20007098-3,30,TOTAL
19955476-17,60,TOTAL
19905554-12,60,PARCIAL
19905554-12,90,TOTAL
19993778-2,6,TOTAL
20044427-03,20,PARCIAL
19905554-12,60,TOTAL
58027-10,90,TOTAL
19993778-2,6,TOTAL
19955476-17,30,TOTAL
34047-6,60,TOTAL
42722-23,90,TOTAL
20028347-3,90,TOTAL
19951790-2,60,PARCIAL
19998124-5,20,TOTAL
20096037-6,30,PARCIAL
20024550-1,1,TOTAL
32602-1,25,PARCIAL
199905549-2,90,TOTAL
58027-10,60,TOTAL
20044427-03,30,PARCIAL
19960116-15,60,TOTAL
20001113-13,90,TOTAL
19943837-5,1,TOTAL
20135125-2,15,TOTAL
19955476-17,60,PARCIAL
PENDIENTE,6,PARCIAL
19993410-9,30,PARCIAL
19935777-12,90,TOTAL
19960116-15,30,TOTAL
19990096-2,14,TOTAL
19905554-12,180,TOTAL
19992938-11,15,TOTAL
19952452-9,10,TOTAL
19952942-2,10,TOTAL
19993778-2,6,TOTAL
19943837-5,1,TOTAL
20106305-1,90,TOTAL
20027702-31,90,TOTAL
20196616-1,1,TOTAL
20092475,30,TOTAL
51330-17,15,TOTAL
20008603-7,90,TOTAL
19955476-17,60,PARCIAL
19955476-17,30,TOTAL
19993778-2,6,TOTAL
20089319-13,30,TOTAL
20093349-1,62,TOTAL
19987947-8,25,TOTAL
19900498-3,1,TOTAL
42722-23,30,TOTAL
47085-10,30,TOTAL
19943837-5,1,TOTAL
19940561-4,30,TOTAL
20079787-03,30,PARCIAL
19905554-12,60,TOTAL
19900498-3,1,TOTAL
20015777-8,28,PARCIAL
19993410-9,30,PARCIAL
34047-6,30,TOTAL
20106305-1,120,TOTAL
20122250-2,1,TOTAL
19960116-15,30,TOTAL
19900498-3,1,TOTAL
20135121-2,30,TOTAL
19960116-15,30,PARCIAL
41240-1,180,TOTAL
19955476-17,60,PARCIAL
20008603-7,60,PARCIAL
19900498-3,1,TOTAL
199905549-2,180,TOTAL
20052424-6,60,TOTAL
19955476-17,30,TOTAL
20125491,90,PARCIAL
20135121-2,30,TOTAL
19900498-3,1,TOTAL
20093349-1,120,PARCIAL
20190532-5,90,PARCIAL
19900498-3,1,TOTAL
19947270-1,1,TOTAL
20171148-1,30,TOTAL
20001372-3,60,PARCIAL
19900498-3,1,TOTAL
19900498-3,1,TOTAL
20196616-1,1,TOTAL
20096938-3,12,TOTAL
19960116-15,90,TOTAL
19961607-2,60,PARCIAL
19960116-15,60,TOTAL
19900498-3,1,TOTAL
11699,1,PARCIAL
19934941-12,180,TOTAL
20125491,90,PARCIAL
19900498-3,1,TOTAL
20122250-2,1,PARCIAL
47085-10,30,TOTAL
19976365-2,25,PARCIAL
20082633-1,3,TOTAL
19900498-3,1,TOTAL
20060296-2,70,TOTAL
19960116-15,90,TOTAL
20024550-1,1,TOTAL
19900498-3,1,TOTAL
20122250-2,2,PARCIAL
19987947-8,25,PARCIAL
19984840-1,30,TOTAL
19984840-1,10,TOTAL
19984840-1,5,TOTAL
25879-02,60,TOTAL
19900498-3,1,TOTAL
20096310-1,1,PARCIAL
19918906-1,1,PARCIAL
20156587-1,60,PARCIAL
19900498-3,1,TOTAL
19980015-9,25,PARCIAL
19960116-15,30,PARCIAL
19900498-3,1,TOTAL
20061379-1,5,TOTAL
VITAL NO DISPONIBLE,4,TOTAL
19959553-5,1,TOTAL
20075865-2,60,TOTAL
19960116-15,90,TOTAL
19955476-17,30,TOTAL
206776-14,25,PARCIAL
19900498-3,1,TOTAL
19945455-2,3,TOTAL
20190532-5,180,TOTAL
20027645-31,30,TOTAL
20196616-1,1,TOTAL
20106305-1,90,TOTAL
20053123-1,90,TOTAL
20045517,1,PARCIAL
19900498-3,1,TOTAL
32602-14,25,PARCIAL
19955370-8,8,PARCIAL
51330-17,10,TOTAL
20045517,1,PARCIAL
20106305-1,30,TOTAL
19955476-17,60,TOTAL
PENDIENTE,9,PARCIAL
51330-17,21,TOTAL
20045517,1,PARCIAL
20094683-1,5,PARCIAL
20018308-6,120,PARCIAL
19952452-9,30,TOTAL
19905554-12,60,PARCIAL
20135125-2,40,TOTAL
19965663-6,3,TOTAL
20090556-1,2,TOTAL
19993778-2,6,TOTAL
19955476-17,90,TOTAL
20135125-2,30,TOTAL
42722-23,30,PARCIAL
19908960-11,60,TOTAL
19998124-5,90,TOTAL
20097586-1,30,PARCIAL
19976365-2,25,PARCIAL
230337-1,1,TOTAL
51330-17,9,TOTAL
22916-2,1,TOTAL
206776-14,25,PARCIAL
20096938-3,8,TOTAL
20107672-7,90,TOTAL
20009282-1,3,TOTAL
20027645-31,90,TOTAL
19943015-10,90,TOTAL
20024550-1,1,TOTAL
32602-14,25,PARCIAL
20096938-3,13,TOTAL
19955476-17,30,PARCIAL
200002171-4,90,TOTAL
20075865-2,30,TOTAL
19960116-15,30,PARCIAL
206777-1,25,TOTAL
20001059-8,48,TOTAL
19943015-10,120,TOTAL
20135125-2,60,TOTAL
20179583-1,1,TOTAL
20079303-1,3,TOTAL
20121750-3,20,TOTAL
20092475,30,TOTAL
19960116-15,30,PARCIAL
20001059-8,90,PARCIAL
20261759,2,PARCIAL
19980015-9,25,PARCIAL
20199440,30,PARCIAL
20096938-3,12,TOTAL
20024550-1,1,PARCIAL
00051439-03,30,TOTAL
19987947-8,25,TOTAL
19977484-2,10,TOTAL
19993778-2,6,TOTAL
20024550-1,1,PARCIAL
20125491,90,PARCIAL
20089319-13,30,PARCIAL
20107054-7,90,TOTAL
20134577-1,4,TOTAL
19965663-6,4,TOTAL
19993385-5,30,PARCIAL
20016549-64,60,TOTAL
20096938-3,13,TOTAL
20024550-1,1,PARCIAL
19943837-5,2,TOTAL
19976365-8,25,TOTAL
19947270-1,1,TOTAL
20135125-2,30,TOTAL
206776-14,25,PARCIAL
20100573-3,30,PARCIAL
19976365-2,25,TOTAL
20094683-1,5,PARCIAL
20080133-3,30,TOTAL
20001340-1,60,TOTAL
PENDIENTE,90,TOTAL
51330-17,20,TOTAL
20122250-2,1,TOTAL
19962798-2,1,TOTAL
19905554-12,30,PARCIAL
19998124-5,21,TOTAL
20024550-1,1,PARCIAL
20134577-1,2,PARCIAL
19999393-2,2,PARCIAL
20001059-8,30,PARCIAL
206776-14,25,TOTAL
11699,1,PARCIAL
51330-17,15,TOTAL
20027702-31,30,TOTAL
20153574-1,7,TOTAL
19999393-2,2,TOTAL
20089319-13,5,TOTAL
20134305,2,TOTAL
20024550-1,3,TOTAL
20122250-2,1,PARCIAL
19999393-2,2,TOTAL
11699,1,PARCIAL
19955476-17,90,TOTAL
19936411-1,30,PARCIAL
20018316-2,1,TOTAL
20024550-1,1,TOTAL
20134305,4,PARCIAL
19987944-2,25,PARCIAL
206776-14,25,TOTAL
19943837-5,3,PARCIAL
20122250-2,1,TOTAL
51330-17,15,TOTAL
19993385-5,45,TOTAL
19951790-2,40,PARCIAL
19993410-9,30,PARCIAL
20135125-2,30,TOTAL
20054403-1,1,TOTAL
20024550-1,1,PARCIAL
19993410-9,30,PARCIAL
42722-23,30,PARCIAL
20526-3,2,TOTAL
19991309-1,1,PARCIAL
206776-14,25,PARCIAL
32602-1,25,PARCIAL
44969-9,30,PARCIAL
19943837-5,2,PARCIAL
20267087,2,PARCIAL
20168423,1,TOTAL
20082695-1,56,PARCIAL
44747-2,120,TOTAL
19905554-12,30,TOTAL
19947270-1,1,TOTAL
41240-1,30,TOTAL
20024550-1,1,TOTAL
20027702-31,30,PARCIAL
20135121-2,30,TOTAL
20100573-3,30,PARCIAL
19955476-17,60,PARCIAL
11699,1,PARCIAL
19950400-4,1,TOTAL
20097586-1,30,PARCIAL
19960116-15,60,PARCIAL
19993778-2,6,TOTAL
20144811-2,30,TOTAL
20082364-1,2,TOTAL
20125491,90,PARCIAL
19960116-15,90,TOTAL
19905554-12,30,PARCIAL
206777-1,25,TOTAL
20094683-1,5,PARCIAL
19950400-4,1,TOTAL
20065665-1,60,TOTAL
20092419-02,15,TOTAL
206776-14,25,PARCIAL
19955476-17,30,TOTAL
47085-10,21,TOTAL
19980015-9,25,PARCIAL
20044427-03,30,TOTAL
20135125-2,40,TOTAL
19960116-15,30,TOTAL
19943837-5,1,TOTAL
20033035,90,PARCIAL
19900498-3,1,TOTAL
206776-14,25,TOTAL
19960116-15,90,TOTAL
19982562-8,30,TOTAL
20134305,3,PARCIAL
20093349-1,56,PARCIAL
20092419-02,10,TOTAL
19993778-2,6,TOTAL
20027645-31,30,PARCIAL
19992655-1,1,PARCIAL
20027702-31,90,TOTAL
20024550-1,2,TOTAL
20076277-3,9,TOTAL
PENDIENTE,3,TOTAL
20008603-7,90,TOTAL
19982562-8,30,TOTAL
20199440,60,TOTAL
19900498-3,1,TOTAL
20027645-31,90,TOTAL
19900498-3,1,TOTAL
20027374,2,PARCIAL
19936411-1,60,PARCIAL
20199440,60,TOTAL
19900498-3,1,TOTAL
20100066-3,30,TOTAL
19936411-1,60,TOTAL
19991309-1,1,TOTAL
19955476-17,90,TOTAL
19960116-15,90,TOTAL
51330-17,15,TOTAL
19976365-2,25,PARCIAL
19952452-9,30,TOTAL
19952452-9,14,TOTAL
19900498-3,1,TOTAL
19960116-15,90,TOTAL
20122204-2,1,TOTAL
42722-23,30,PARCIAL
20267087,4,PARCIAL
20190532-5,60,PARCIAL
20027702-31,90,TOTAL
20082364-1,4,PARCIAL
20028347-3,30,PARCIAL
20267087,1,PARCIAL
20065665-1,30,PARCIAL
20027374,1,PARCIAL
20196616-1,2,TOTAL
19993778-2,6,TOTAL
20199440,30,PARCIAL
PENDIENTE,1,TOTAL
19951790-2,180,PARCIAL
206777-1,25,TOTAL
20024550-1,1,TOTAL
19960116-15,90,TOTAL
19960116-15,60,PARCIAL
19960116-15,90,TOTAL
19905554-12,90,PARCIAL
11699,1,PARCIAL
19972058-1,5,TOTAL
19977699-1,120,TOTAL
PENDIENTE,1,TOTAL
20093349-1,28,PARCIAL
19993778-2,6,TOTAL
19951790-2,1,PARCIAL
19951790-2,2,TOTAL
51330-17,20,TOTAL
00025879-02,1,TOTAL
20135125-2,30,PARCIAL
47744,60,TOTAL
20019918-2,30,PARCIAL
20096037-6,30,TOTAL
20122250-2,1,TOTAL
20094683-1,5,PARCIAL
20080133-3,28,TOTAL
19951790-2,40,PARCIAL
11699,1,PARCIAL
20178268-01,30,TOTAL
46792-3,1,TOTAL
19955476-17,90,TOTAL
20082633-1,1,PARCIAL
20019918-2,30,PARCIAL
20019918-2,30,PARCIAL
35448-4,60,PARCIAL
19943837-5,1,TOTAL
19964131-1,1,TOTAL
19960116-15,30,PARCIAL
19943015-10,30,PARCIAL
20001113-13,30,PARCIAL
19993385-5,30,TOTAL
19991309-1,2,TOTAL
19905554-12,30,TOTAL
19955476-17,30,PARCIAL
20027209-3,1,PARCIAL
20001113-13,90,TOTAL
210309-1,1,TOTAL
20018219-01,1,TOTAL
VITAL NO DISPONIBLE,40,TOTAL
19993385-5,30,PARCIAL
199905549-2,60,TOTAL
19955476-17,30,TOTAL
