codigo_neg,cantidad_entrega,tipo_entrega
20134305,4,TOTAL
20125491,120,TOTAL
20125491,90,TOTAL
20125491,60,TOTAL
11699,2,TOTAL
20134305,8,TOTAL
20125491,120,TOTAL
20155756,9,TOTAL
20125491,120,TOTAL
20125491,120,TOTAL
142919,4,TOTAL
20040730,3,TOTAL
1701107,9,TOTAL
20104337,30,TOTAL
64331,2,TOTAL
20125491,120,TOTAL
527939,60,TOTAL
384638,7,TOTAL
20094683-1,5,TOTAL
20094683-1,5,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20134305,3,TOTAL
20040730,3,TOTAL
11699,1,TOTAL
20059849-1,1,TOTAL
11699,1,TOTAL
11699,2,TOTAL
19900498-3,1,TOTAL
19900498-3,1,TOTAL
20125491,120,TOTAL
20172875,5,TOTAL
20094683-1,5,TOTAL
20125491,150,TOTAL
20122140,2,TOTAL
20122140,10,TOTAL
20094683-1,5,TOTAL
20109428,30,TOTAL
20125491,180,TOTAL
64331,7,TOTAL
20238691,1,TOTAL
20238691,10,TOTAL
20238691,19,TOTAL
20125491,30,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20111478,30,TOTAL
20125491,120,TOTAL
20125491,90,TOTAL
20094683-1,5,TOTAL
20125491,90,TOTAL
20134305,2,TOTAL
20107900-2,1,TOTAL
20126426-1,60,TOTAL
20125491,60,TOTAL
20125491,90,TOTAL
20094683-1,5,TOTAL
20094683-1,5,TOTAL
20094683-1,5,TOTAL
20125491,120,TOTAL
20091279,90,TOTAL
20134305,4,TOTAL
20125491,120,TOTAL
20125491,90,TOTAL
20134305,2,TOTAL
140120,30,TOTAL
20125491,90,TOTAL
20134305,3,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20134305,4,TOTAL
20125491,90,TOTAL
19992351-4,30,TOTAL
19936296-8,30,TOTAL
20097586-1,30,TOTAL
20008603-7,30,TOTAL
19975971-1,56,TOTAL
20125491,90,TOTAL
140106,30,TOTAL
20125491,90,TOTAL
20125491,120,TOTAL
20125491,120,TOTAL
20111478,30,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20134305,2,TOTAL
20125491,90,TOTAL
20125491,120,TOTAL
20125491,90,TOTAL
20238691,30,TOTAL
20088136,3,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20134305,4,TOTAL
20125491,120,TOTAL
20125491,90,TOTAL
20125491,180,TOTAL
20125491,90,TOTAL
20125491,120,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20088136,3,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20104337,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
47085-10,20,TOTAL
20125491,120,TOTAL
20125491,120,TOTAL
20163970,3,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20111478,30,TOTAL
20125491,90,TOTAL
48099,30,TOTAL
20125491,90,TOTAL
20091279,30,TOTAL
20129549,30,TOTAL
20134305,2,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
11699,2,TOTAL
20125491,90,TOTAL
20125491,30,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20238691,30,TOTAL
20125491,90,TOTAL
20125491,60,TOTAL
20125491,90,TOTAL
11699,2,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20091279,60,TOTAL
20125491,120,TOTAL
20094683-1,5,TOTAL
11699,1,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20081872,30,TOTAL
20125491,120,TOTAL
20088136,3,TOTAL
200002171-4,90,TOTAL
20125491,90,TOTAL
200002171-4,90,TOTAL
20034891-2,112,TOTAL
11699,1,TOTAL
20125491,120,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
20125491,90,TOTAL
54932-1,30,TOTAL
20086613-4,1,TOTAL
19929866-8,30,TOTAL
19936296-8,30,TOTAL
19960390-14,30,TOTAL
20125491,90,TOTAL
11699,1,TOTAL
20125491,90,TOTAL
20113435,60,TOTAL
20094683-1,5,TOTAL
20080854-2,56,TOTAL
20125491,120,TOTAL
20125491,120,TOTAL
20125491,90,TOTAL
20091279,30,TOTAL
20094683-1,5,TOTAL
20125491,90,TOTAL
20134305,2,TOTAL
20088136,3,TOTAL
19942450-05,30,TOTAL
20108845,2,TOTAL
20125491,90,TOTAL
11699,2,TOTAL
20125491,90,TOTAL
20125491,120,TOTAL
