codigo_neg,cantidad_entrega,tipo_entrega
20125491,90,TOTAL
20081872,30,TOTAL
11699,3,TOTAL
20122250-2,3,TOTAL
20091441,1,TOTAL
20157001-9,28,TOTAL
PENDIENTE,25,TOTAL
20060296-2,70,TOTAL
20139041-2,84,TOTAL
19932152-2,1,TOTAL
20061025-20,2,TOTAL
38635-5,10,TOTAL
20122250-2,1,TOTAL
20104457-1,30,TOTAL
20060296-2,98,TOTAL
20084031-2,30,TOTAL
56604-1,1,TOTAL
20137227-1,1,TOTAL
20122204-2,3,TOTAL
19947559-3,1,TOTAL
19977699-1,120,TOTAL
19908242-1,1,TOTAL
PENDIENTE,25,TOTAL
38635-5,30,TOTAL
20113048,30,TOTAL
19959553-5,1,TOTAL
20125491,90,TOTAL
PENDIENTE,100,TOTAL
PENDIENTE,27,TOTAL
20103181-11,60,TOTAL
20061025-17,90,TOTAL
20059262-2,2,TOTAL
20001982-2,3,TOTAL
20046741-6,30,TOTAL
20139127-2,252,TOTAL
44747-2,90,TOTAL
20091820-6,90,TOTAL
20029762-1,12,TOTAL
20122152-2,270,TOTAL
20027209-3,6,TOTAL
19941742-5,30,TOTAL
20088574-1,60,TOTAL
20029762-1,12,TOTAL
20091820-6,90,TOTAL
PENDIENTE,120,TOTAL
20139041-2,90,TOTAL
20122152-2,120,TOTAL
20134305,8,TOTAL
20122250-2,3,TOTAL
19959553-5,1,TOTAL
20122250-2,1,TOTAL
PENDIENTE,125,TOTAL
PENDIENTE,10,TOTAL
PENDIENTE,10,TOTAL
38635-5,90,TOTAL
20125491,720,TOTAL
38635-5,20,TOTAL
19959553-5,1,TOTAL
20134305,6,TOTAL
PENDIENTE,100,TOTAL
20094809-1,1,TOTAL
20125491,270,TOTAL
199905549-2,90,TOTAL
20065665-1,30,TOTAL
19918906-1,1,TOTAL
20125491,480,TOTAL
20125491,120,TOTAL
20193579,20,TOTAL
20122152-2,90,TOTAL
20122152-2,360,TOTAL
19935777-12,90,TOTAL
19942450-05,90,TOTAL
20122250-2,1,TOTAL
PENDIENTE,50,TOTAL
20054403-1,1,TOTAL
20134577-1,3,TOTAL
20054403-1,1,TOTAL
20125491,270,TOTAL
19950177-3,120,TOTAL
20122250-2,1,TOTAL
PENDIENTE,25,TOTAL
20033133-2,2,TOTAL
11697-2,2,TOTAL
40194-2,2,TOTAL
19977699-1,360,TOTAL
PENDIENTE,25,TOTAL
20104457-1,60,TOTAL
20027209-3,1,TOTAL
20137227-1,3,TOTAL
38635-5,90,TOTAL
11699,1,TOTAL
38635-5,30,TOTAL
20084685-6,30,TOTAL
20066793-21,39,TOTAL
20139127-2,180,TOTAL
19962943-15,30,TOTAL
19999146-2,3,TOTAL
20001982-2,6,TOTAL
19943544,45,TOTAL
PENDIENTE,100,TOTAL
20040730,600,TOTAL
20065665-1,120,TOTAL
PENDIENTE,25,TOTAL
20061379-1,5,TOTAL
20125491,720,TOTAL
20001982-2,2,TOTAL
199905549-2,60,TOTAL
PENDIENTE,4,TOTAL
PENDIENTE,100,TOTAL
20179583-1,3,TOTAL
20088136,9,TOTAL
PENDIENTE,25,TOTAL
44969-9,480,TOTAL
20122152-2,360,TOTAL
