codigo_neg,cantidad_entrega,tipo_entrega
19976365-2,25,TOTAL
20082633-1,2,TOTAL
20082633-1,2,TOTAL
20097785-17,60,TOTAL
20065665-1,30,TOTAL
20097785-17,60,TOTAL
20122250-2,1,TOTAL
20094683-1,5,TOTAL
19976365-8,25,TOTAL
20088136,3,TOTAL
20156587-1,30,TOTAL
19936411-1,90,TOTAL
20065665-1,30,TOTAL
20014490-3,5,TOTAL
20090556-1,4,TOTAL
20086613-4,2,TOTAL
20134807-1,1,TOTAL
200014815,1,TOTAL
20100066-3,30,TOTAL
20088136,6,TOTAL
19977699-1,120,TOTAL
19976365-2,25,TOTAL
20088574-1,30,TOTAL
19987944-2,25,TOTAL
20001982-2,1,TOTAL
20198048,3,TOTAL
206776-14,25,TOTAL
206776-14,25,TOTAL
199905549-2,60,TOTAL
20156587-1,60,TOTAL
19976365-2,25,TOTAL
20120938-1,30,TOTAL
20104457-1,60,TOTAL
20097586-1,30,TOTAL
20156587-1,90,TOTAL
19972058-1,2,TOTAL
20122250-2,1,TOTAL
20103181-11,60,TOTAL
19955476-17,15,TOTAL
19974655-3,60,TOTAL
20100057-4,90,TOTAL
20051082-8,90,TOTAL
20090556-1,3,TOTAL
20193579,10,TOTAL
20082633-1,2,TOTAL
20086613-4,1,TOTAL
19974655-3,30,TOTAL
19976365-2,25,TOTAL
19980015-9,25,TOTAL
1983468,1,TOTAL
20132095,1,TOTAL
214575-1,8,TOTAL
199913999,1,TOTAL
20194751,8,TOTAL
20125491,90,TOTAL
20001982-2,1,TOTAL
38635-5,30,TOTAL
20088574-1,60,TOTAL
19982562-8,15,TOTAL
19982562-8,30,TOTAL
19987944-2,25,TOTAL
20122152-2,90,TOTAL
20097785-17,30,TOTAL
2012606-2,90,TOTAL
19943741-1,80,TOTAL
19980015-9,25,TOTAL
20001982-2,1,TOTAL
19982562-8,15,TOTAL
19975838-4,1,TOTAL
20151082,90,TOTAL
20122152-2,90,TOTAL
19976365-2,25,TOTAL
20156587-1,180,TOTAL
20134305,2,TOTAL
32602-1,25,TOTAL
19974655-3,120,TOTAL
20073367-3,30,TOTAL
20106305-1,30,TOTAL
19963166-5,30,TOTAL
19992351-4,30,TOTAL
20088574-1,60,TOTAL
20088574-1,60,TOTAL
11699,1,TOTAL
32602-14,25,TOTAL
206776-14,25,TOTAL
140121,2,TOTAL
32602-1,25,TOTAL
20103181-11,90,TOTAL
20054403-1,1,TOTAL
19982562-8,10,TOTAL
20027209-3,1,TOTAL
20134305,4,TOTAL
20122250-2,1,TOTAL
20001982-2,1,TOTAL
19931778-24,60,TOTAL
19982562-8,30,TOTAL
20156587-1,180,TOTAL
38635-5,30,TOTAL
32602-1,25,TOTAL
20064759,6,TOTAL
1983468,1,TOTAL
20132095,1,TOTAL
19987947-8,25,TOTAL
20120938-1,30,TOTAL
20122250-2,1,TOTAL
20098922-12,28,TOTAL
32602-1,25,TOTAL
20134305,4,TOTAL
32602-1,25,TOTAL
20001982-2,1,TOTAL
20156587-1,180,TOTAL
58027-10,90,TOTAL
20153573-1,20,TOTAL
20156587-1,60,TOTAL
19976365-2,25,TOTAL
20177170,14,TOTAL
19976365-2,25,TOTAL
20156587-1,60,TOTAL
20097785-17,60,TOTAL
20012566,20,TOTAL
20273901,20,TOTAL
20001982-2,1,TOTAL
206776-14,25,TOTAL
206776-12,25,TOTAL
206776-14,25,TOTAL
20097785-17,60,TOTAL
20100066-3,30,TOTAL
32602-1,25,TOTAL
19976365-2,25,TOTAL
20001113-13,25,TOTAL
20098771-6,60,TOTAL
19907962-2,30,TOTAL
206776-14,25,TOTAL
20088574-1,30,TOTAL
20079776,1,TOTAL
20139127-2,56,TOTAL
20137227-1,1,TOTAL
19982562-8,10,TOTAL
20104221-02,20,TOTAL
20151082,90,TOTAL
19976365-2,25,TOTAL
20161093-1,1,TOTAL
19974655-3,30,TOTAL
20088136,3,TOTAL
20100057-4,60,TOTAL
2012606-2,120,TOTAL
20144811-2,60,TOTAL
19947559-3,1,TOTAL
20054403-1,1,TOTAL
203310,30,TOTAL
20177170,150,TOTAL
20134305,8,TOTAL
38635-5,30,TOTAL
19968466-2,6,TOTAL
13874-2,30,TOTAL
20012566,44,TOTAL
32602-14,25,TOTAL
199905549-2,60,TOTAL
20151082,90,TOTAL
20103181-11,20,TOTAL
206776-14,25,TOTAL
19991309-1,1,TOTAL
20082633-1,3,TOTAL
19976365-2,25,TOTAL
20243738,15,TOTAL
328934-1,100,TOTAL
20175802,60,TOTAL
32602-1,25,TOTAL
20222722,90,TOTAL
19936411-1,90,TOTAL
20120938-1,30,TOTAL
38635-5,30,TOTAL
19935777-12,60,TOTAL
38635-5,30,TOTAL
20046741-6,90,TOTAL
20061025-20,30,TOTAL
20012566,20,TOTAL
20045517,200,TOTAL
2021587-5,50,TOTAL
20061667,2,TOTAL
2500054,2,TOTAL
206776-14,25,TOTAL
20083253-1,60,TOTAL
20194751,6,TOTAL
20194751,6,TOTAL
20132095,1,TOTAL
1983468,1,TOTAL
32602-14,25,TOTAL
199905549-2,60,TOTAL
PENDIENTE,8,TOTAL
19980015-9,25,TOTAL
19976365-2,25,TOTAL
206776-14,25,TOTAL
19993599-04,3,TOTAL
19987947-8,25,TOTAL
19936411-1,60,TOTAL
206777-1,25,TOTAL
20136180-3,15,TOTAL
19989500-03,30,TOTAL
20097785-17,60,TOTAL
PENDIENTE,60,TOTAL
19976365-2,25,TOTAL
206776-14,25,TOTAL
19976365-2,4,TOTAL
19982562-8,30,TOTAL
20065665-1,30,TOTAL
20120348-6,30,TOTAL
