codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;total_entregado_total;total_entregado_parcial;total_pendiente;Total;matched_rows_per_source
19961332;19961332;19961332;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20175052;20175052;20175052;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20042602;20042602;20042602;;;;;;3;;;3;0;0;3;{'1': [], '2': [4545]}
20038247;20038247;20038247;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20192064;20192064;20192064;;;;;;;;;0;0;0;0;{'1': [], '2': []}
29523-3;29523-3;295233;;;;;;18;;;18;0;0;18;{'1': [10545, 11830, 14567], '2': [882, 2222]}
20194751;20194751;20194751;;;90;60;;64;20;;154;80;0;234;{'1': [13577, 13578, 6032, 6033, 3488, 3107, 9126, 5159, 9127, 3116, 5809, 5810, 5175, 5176, 11832, 9023, 8000, 9024, 8904, 4172, 14677, 9960, 9961, 4849], '2': [6345, 6346, 3468, 5647, 5648, 4277, 4278, 1590, 6046, 1535]}
20177170;20177170;20177170;;;2402;1218;;540;26;;2942;1244;0;4186;{'1': [2569, 8848, 12818, 8213, 2582, 6552, 8344, 14234, 2078, 671, 10144, 9893, 13605, 6696, 10024, 2733, 10031, 9905, 2741, 10038, 7352, 9145, 11716, 9803, 7372, 3535, 7889, 12885, 11227, 14044, 11105, 13412, 3433, 12139, 7533, 4847, 3445, 889, 2558], '2': [1216, 1536, 166, 5511, 3021, 3920, 4726, 4854, 383]}
20047854;20047854;20047854;;;3;;;;;;3;0;0;3;{'1': [13363, 12242, 667], '2': [3875]}
20152619;20152619;20152619;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20177170;20177170;20177170;;;2402;1218;;540;26;;2942;1244;0;4186;{'1': [2569, 8848, 12818, 8213, 2582, 6552, 8344, 14234, 2078, 671, 10144, 9893, 13605, 6696, 10024, 2733, 10031, 9905, 2741, 10038, 7352, 9145, 11716, 9803, 7372, 3535, 7889, 12885, 11227, 14044, 11105, 13412, 3433, 12139, 7533, 4847, 3445, 889, 2558], '2': [1216, 1536, 166, 5511, 3021, 3920, 4726, 4854, 383]}
20030726;20030726;20030726;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20079776;20079776;20079776;;;63;31;;1;;;64;31;0;95;{'1': [11938, 11849, 2924, 8048, 2929, 11955, 13246, 6455, 13401, 2462], '2': [412, 838]}
19942227-2;19942227-2;199422272;;;14;12;;7;;;21;12;0;33;{'1': [6595, 10981, 13579, 6220, 3533, 14607, 14034, 14678, 14267, 4605], '2': [4576, 4555, 4729, 382, 4543]}
20056290-1;20056290-1;200562901;;;;;;;;;0;0;0;0;{'1': [14527, 11839], '2': []}
19942227-2;19942227-2;199422272;;;14;12;;7;;;21;12;0;33;{'1': [6595, 10981, 13579, 6220, 3533, 14607, 14034, 14678, 14267, 4605], '2': [4576, 4555, 4729, 382, 4543]}
20238691;20238691;20238691;;;60;150;;60;;;120;150;0;270;{'1': [14945, 6118, 8203, 11052, 14446, 9685, 7615], '2': [1675]}
19942227-2;19942227-2;199422272;;;14;12;;7;;;21;12;0;33;{'1': [6595, 10981, 13579, 6220, 3533, 14607, 14034, 14678, 14267, 4605], '2': [4576, 4555, 4729, 382, 4543]}
20125878;20125878;20125878;;;;;;;;;0;0;0;0;{'1': [], '2': []}
0;0;0;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20103181-11;20103181-11;2010318111;;;200;420;;360;120;;560;540;0;1100;{'1': [13633, 132, 14854, 904, 5833, 12555, 5645, 7312, 9918], '2': [3265, 6434, 3141, 231, 2830, 989, 4694, 314, 2429]}
20063548-1;20063548-1;200635481;;;;;;;;;0;0;0;0;{'1': [], '2': []}
226346-6;226346-6;2263466;;;;;;;;;0;0;0;0;{'1': [], '2': []}
