codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;total;matched_rows_per_source
19961332;19961332;19961332;;;;;;0;0;0;0;{'1': []}
20175052;20175052;20175052;;;;;;0;0;0;0;{'1': []}
20042602;20042602;20042602;;;1;1;;1;1;0;2;{'1': [6026, 6037]}
20038247;20038247;20038247;;;;;;0;0;0;0;{'1': []}
20192064;20192064;20192064;;;;;;0;0;0;0;{'1': []}
29523-3;29523-3;295233;;;;;;0;0;0;0;{'1': []}
20194751;20194751;20194751;;;;;;0;0;0;0;{'1': []}
20177170;20177170;20177170;;;58;;;58;0;0;58;{'1': [1265, 2188, 4062]}
20047854;20047854;20047854;;;;;;0;0;0;0;{'1': []}
20152619;20152619;20152619;;;;;;0;0;0;0;{'1': []}
20177170;20177170;20177170;;;58;;;58;0;0;58;{'1': [1265, 2188, 4062]}
20030726;20030726;20030726;;;;;;0;0;0;0;{'1': []}
20079776;20079776;20079776;;;;;;0;0;0;0;{'1': [7254]}
19942227-2;19942227-2;199422272;;;12;;;12;0;0;12;{'1': [5858, 7045, 4973, 4494, 4975, 6066, 5655]}
20056290-1;20056290-1;200562901;;;;;;0;0;0;0;{'1': []}
19942227-2;19942227-2;199422272;;;12;;;12;0;0;12;{'1': [5858, 7045, 4973, 4494, 4975, 6066, 5655]}
20238691;20238691;20238691;;;270;60;;270;60;0;330;{'1': [7136, 134, 40, 41, 42, 585, 5098, 5163, 206, 6604, 6926, 6325, 215, 6520, 90, 6334]}
19942227-2;19942227-2;199422272;;;12;;;12;0;0;12;{'1': [5858, 7045, 4973, 4494, 4975, 6066, 5655]}
20125878;20125878;20125878;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20103181-11;20103181-11;2010318111;;;1445;159;;1445;159;0;1604;{'1': [4611, 510, 4104, 4619, 1933, 6801, 2579, 2594, 4002, 2596, 2599, 6439, 2602, 2988, 2095, 1968, 4145, 2099, 1723, 961, 6212, 6470, 6216, 6603, 2511, 5199, 6617, 3172, 4452, 1126, 2023, 4968, 6631, 6123, 4461, 5102, 5741, 5742, 6643, 4216, 3322, 2302]}
20063548-1;20063548-1;200635481;;;;;;0;0;0;0;{'1': []}
226346-6;226346-6;2263466;;;;;;0;0;0;0;{'1': []}
20097785-17;20097785-17;2009778517;;;4939;166;;4939;166;0;5105;{'1': [2052, 6663, 6670, 6674, 4627, 2069, 2093, 6701, 6713, 1085, 2110, 5185, 1604, 6726, 6731, 6221, 1107, 2139, 6749, 2656, 2147, 6755, 6758, 3176, 2677, 2681, 6268, 4226, 3205, 3717, 6791, 4233, 6793, 4235, 3212, 6796, 4239, 2197, 4252, 4264, 2737, 3252, 3254, 3767, 2232, 1722, 4286, 1730, 1731, 1734, 1735, 2248, 3273, 3274, 2768, 1746, 1747, 2780, 1761, 1764, 1767, 1769, 748, 3308, 4848, 1784, 1793, 2305, 2306, 3344, 4368, 2325, 4373, 2332, 2333, 1825, 4387, 1837, 2352, 5937, 2868, 3894, 3387, 1853, 2878, 3901, 1345, 3395, 6471, 2385, 2897, 2907, 2401, 3426, 5988, 2917, 7014, 3947, 2924, 7022, 2418, 2420, 2427, 1921, 1922, 2437, 3994, 3997, 4000, 2469, 1962, 6570, 1452, 1453, 5548, 6573, 4019, 1972, 2500, 3022, 2000, 2006, 3036, 2529, 2539, 2543, 3064, 3065]}
20012566;20012566;20012566;;;2921;965;;2921;965;0;3886;{'1': [4609, 7047, 4492, 6028, 7187, 5654, 4381, 2208, 7080, 5301, 5047, 5945, 5437, 4164, 4550, 7246, 6095, 6354, 4051, 1881, 738, 5859, 5220, 5604, 4326, 4327, 5096, 4203, 5611, 4976, 4721, 6000, 6004, 4085, 6014, 6015]}
20003804-1;20003804-1;200038041;;;;;;0;0;0;0;{'1': []}
20049617-8;20049617-8;200496178;;;;;;0;0;0;0;{'1': []}
20032011-6;20032011-6;200320116;;;;;;0;0;0;0;{'1': []}
20019360-2;20019360-2;200193602;;;;;;0;0;0;0;{'1': []}
20112633-1;20112633-1;201126331;;;;;;0;0;0;0;{'1': []}
19988153-1;19988153-1;199881531;;;6;2;;6;2;0;8;{'1': [3970, 7042, 3685, 5414, 3687, 3689, 6030]}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
20036703;20036703;20036703;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
20119309;20119309;20119309;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
20125666;20125666;20125666;;;;;;0;0;0;0;{'1': []}
20151082;20151082;20151082;;;;;;0;0;0;0;{'1': []}
20151082;20151082;20151082;;;;;;0;0;0;0;{'1': []}
