codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;TOTAL;matched_rows_per_source
19961332;19961332;19961332;;;;;;0;0;0;0;{'1': []}
20175052;20175052;20175052;;;;;;0;0;0;0;{'1': []}
20042602;20042602;20042602;;;;;;0;0;0;0;{'1': []}
20038247;20038247;20038247;;;;;;0;0;0;0;{'1': []}
20192064;20192064;20192064;;;;;;0;0;0;0;{'1': []}
29523-3;29523-3;295233;;;;;;0;0;0;0;{'1': []}
20194751;20194751;20194751;;;;;;0;0;0;0;{'1': []}
20177170;20177170;20177170;;;104;;;104;0;0;104;{'1': [3984, 3531, 886, 2367]}
20047854;20047854;20047854;;;;;;0;0;0;0;{'1': []}
20152619;20152619;20152619;;;;;;0;0;0;0;{'1': []}
20177170;20177170;20177170;;;104;;;104;0;0;104;{'1': [3984, 3531, 886, 2367]}
20030726;20030726;20030726;;;;;;0;0;0;0;{'1': []}
20079776;20079776;20079776;;;4;;;4;0;0;4;{'1': [1977, 2805]}
19942227-2;19942227-2;199422272;;;24;;;24;0;0;24;{'1': [162, 2818, 1028, 1029, 1030, 554, 1994, 1995, 1549, 3374, 3534, 1561]}
20056290-1;20056290-1;200562901;;;;;;0;0;0;0;{'1': []}
19942227-2;19942227-2;199422272;;;24;;;24;0;0;24;{'1': [162, 2818, 1028, 1029, 1030, 554, 1994, 1995, 1549, 3374, 3534, 1561]}
20238691;20238691;20238691;;;90;;;90;0;0;90;{'1': [2665, 993, 2651, 2148]}
19942227-2;19942227-2;199422272;;;24;;;24;0;0;24;{'1': [162, 2818, 1028, 1029, 1030, 554, 1994, 1995, 1549, 3374, 3534, 1561]}
20125878;20125878;20125878;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20103181-11;20103181-11;2010318111;;;710;;;710;0;0;710;{'1': [3301, 2822, 968, 1757, 3306, 1783, 2862, 1906, 1918, 2270, 1589, 919, 2136, 218, 3099, 1756, 29, 126]}
20063548-1;20063548-1;200635481;;;;;;0;0;0;0;{'1': []}
226346-6;226346-6;2263466;;;;;;0;0;0;0;{'1': []}
20097785-17;20097785-17;2009778517;;;1587;;;1587;0;0;1587;{'1': [2179, 2309, 2182, 2185, 3338, 1939, 2196, 1431, 4000, 4001, 2597, 2220, 3501, 3502, 2736, 2867, 1460, 2357, 4023, 2489, 3899, 190, 3135, 2881, 2883, 3525, 3274, 1997, 3917, 2644, 2133, 2135, 3416, 2139, 2405, 2282, 2411, 2299, 2685]}
20012566;20012566;20012566;;;411;;;411;0;0;411;{'1': [2816, 1254, 1992, 3400, 556, 3532, 1550, 3375, 2226, 693, 1558, 2815]}
20003804-1;20003804-1;200038041;;;;;;0;0;0;0;{'1': []}
20049617-8;20049617-8;200496178;;;;;;0;0;0;0;{'1': [2171]}
20032011-6;20032011-6;200320116;;;;;;0;0;0;0;{'1': []}
20019360-2;20019360-2;200193602;;;;;;0;0;0;0;{'1': []}
20112633-1;20112633-1;201126331;;;;;;0;0;0;0;{'1': []}
19988153-1;19988153-1;199881531;;;4;;;4;0;0;4;{'1': [1745, 2079]}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
20036703;20036703;20036703;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
20119309;20119309;20119309;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
20125666;20125666;20125666;;;;;;0;0;0;0;{'1': []}
20151082;20151082;20151082;;;;;;0;0;0;0;{'1': []}
20151082;20151082;20151082;;;;;;0;0;0;0;{'1': []}
20099791;20099791;20099791;;;;;;0;0;0;0;{'1': []}
20125666;20125666;20125666;;;;;;0;0;0;0;{'1': []}
20125666;20125666;20125666;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
