codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;total;matched_rows_per_source
19961332;19961332;19961332;;;;;;0;0;0;0;{'1': []}
20175052;20175052;20175052;;;;;;0;0;0;0;{'1': []}
20042602;20042602;20042602;;;;;;0;0;0;0;{'1': []}
20038247;20038247;20038247;;;;;;0;0;0;0;{'1': [6196]}
20192064;20192064;20192064;;;;;;0;0;0;0;{'1': []}
29523-3;29523-3;295233;;;20;;;20;0;0;20;{'1': [2889]}
20194751;20194751;20194751;;;250;;;250;0;0;250;{'1': [5500, 1179, 4380, 4381, 5501, 2338, 2339, 5802, 2991, 1328, 1332, 53, 183, 184, 4284, 4285, 1101, 1102, 5462, 5463, 2280, 2281, 4840, 363, 364, 629, 631, 636, 637]}
20177170;20177170;20177170;;;3006;90;;3006;90;0;3096;{'1': [2560, 385, 2690, 6274, 4996, 5637, 2310, 2443, 4501, 150, 1178, 5414, 1965, 2477, 2990, 567, 1338, 3139, 4039, 3144, 5832, 5069, 3539, 213, 2267, 3036, 3548, 2400, 4199, 2536, 4839, 1135, 1648, 3697, 115, 755, 4339, 4601, 4602, 4605]}
20047854;20047854;20047854;;;2;;;2;0;0;2;{'1': [3096, 2490, 6070]}
20152619;20152619;20152619;;;;;;0;0;0;0;{'1': []}
20177170;20177170;20177170;;;3006;90;;3006;90;0;3096;{'1': [2560, 385, 2690, 6274, 4996, 5637, 2310, 2443, 4501, 150, 1178, 5414, 1965, 2477, 2990, 567, 1338, 3139, 4039, 3144, 5832, 5069, 3539, 213, 2267, 3036, 3548, 2400, 4199, 2536, 4839, 1135, 1648, 3697, 115, 755, 4339, 4601, 4602, 4605]}
20030726;20030726;20030726;;;;;;0;0;0;0;{'1': []}
20079776;20079776;20079776;;;15;;;15;0;0;15;{'1': [2275, 614, 134, 4648, 6250, 823, 3899, 3900]}
19942227-2;19942227-2;199422272;;;30;;;30;0;0;30;{'1': [5120, 3523, 4676, 3749, 4037, 4765, 5412, 2121, 4690, 5270, 1335, 4345, 445, 4830, 3039]}
20056290-1;20056290-1;200562901;;;;;;0;0;0;0;{'1': [6396, 6461]}
19942227-2;19942227-2;199422272;;;30;;;30;0;0;30;{'1': [5120, 3523, 4676, 3749, 4037, 4765, 5412, 2121, 4690, 5270, 1335, 4345, 445, 4830, 3039]}
20238691;20238691;20238691;;;480;;;480;0;0;480;{'1': [5059, 6213, 1288, 5033, 3018, 2828, 2380, 3091, 1463, 2333, 6463]}
19942227-2;19942227-2;199422272;;;30;;;30;0;0;30;{'1': [5120, 3523, 4676, 3749, 4037, 4765, 5412, 2121, 4690, 5270, 1335, 4345, 445, 4830, 3039]}
20125878;20125878;20125878;;;;;;0;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;0;{'1': []}
20103181-11;20103181-11;2010318111;;;1760;;;1760;0;0;1760;{'1': [3851, 3724, 1933, 4246, 159, 4514, 37, 5030, 553, 560, 4529, 5433, 1980, 2497, 6212, 6215, 3786, 1485, 1742, 5073, 87, 216, 2016, 225, 4065, 2532, 359, 1386, 1265, 1274]}
20063548-1;20063548-1;200635481;;;;;;0;0;0;0;{'1': []}
226346-6;226346-6;2263466;;;;;;0;0;0;0;{'1': []}
20097785-17;20097785-17;2009778517;;;5668;;;5668;0;0;5668;{'1': [3, 5, 2041, 542, 2077, 545, 2608, 3633, 3131, 1085, 62, 2632, 585, 2128, 598, 4182, 4709, 4600, 620, 621, 118, 125, 2183, 649, 1172, 2713, 2715, 2718, 4254, 677, 4268, 1722, 199, 2251, 1244, 228, 1764, 1765, 3812, 3304, 4327, 6377, 235, 236, 3308, 1774, 1775, 4334, 3313, 1778, 4850, 1790, 1278, 3329, 4875, 1812, 3351, 4891, 1825, 4395, 2348, 3376, 3377, 2866, 2355, 4917, 4920, 829, 868, 2917, 3433, 377, 2941, 3470, 1426, 1938, 1939, 1943, 3994, 1947, 3484, 5026, 5540, 3493, 4005, 4006, 4011, 2496, 4048, 1495, 1498, 2524, 1506, 2531, 3047, 5612, 494, 3567, 2549, 2551, 3576, 1529, 3066]}
20012566;20012566;20012566;;;4355;;;4355;0;0;4355;{'1': [5121, 4995, 4356, 2835, 2455, 155, 924, 1183, 3999, 2466, 5413, 3751, 3496, 4903, 1966, 176, 1331, 6195, 565, 824, 446, 704, 3520, 4674, 4040, 2122, 2891, 5200, 4689, 4950, 3038, 2790, 1134, 119, 4344]}
20003804-1;20003804-1;200038041;;;;;;0;0;0;0;{'1': []}
20049617-8;20049617-8;200496178;;;;;;0;0;0;0;{'1': []}
20032011-6;20032011-6;200320116;;;;;;0;0;0;0;{'1': []}
20019360-2;20019360-2;200193602;;;30;;;30;0;0;30;{'1': [3458]}
