codigo_neg,cantidad_entregada
19905554-12,60
20123645-17,30
20115124-01,30
19963352-15,30
19991189-03,30
20123645-17,30
19935303-04,30
20011084-05,30
20035947-28,30
20073341-01,1
19935303-04,60
00043757-05,60
19936296-11,30
00055894-14,30
00212764-06,30
00055894-14,30
19900906-21,30
20045848-02,30
00212764-06,30
19963352-15,30
20123645-17,60
19963352-15,30
19963352-15,30
19906320-01,20
20044944-08,30
20061697-03,30
00011415-04,30
00037897-04,30
19935303-04,30
00058111-19,30
20045848-02,30
20035947-28,30
00035662-11,30
19936296-11,30
19935303-04,1
19900906-21,30
19956673-10,1
20044944-08,30
19935303-04,30
20044944-08,30
20044944-08,30
19908960-11,30
19900906-21,10
00051716-01,30
20107672-05,30
19900906-21,30
19935303-04,8
20009035-05,28
19900906-21,56
19935303-04,30
00035662-11,60
19900906-21,60
20123645-17,60
19935303-04,30
19998394-04,28
19935303-04,30
19900906-21,1
19992351-04,30
19905554-12,30
19935303-04,30
00037892-04,30
20123645-17,60
19993385-05,30
19935303-04,30
00035662-11,30
00035662-11,30
20044627-03,1
19935303-04,60
20080792-20,30
19936296-11,60
19904550-03,1
20010036,30
20024362-02,21
20066836-01,1
19900906-21,30
00055894-14,30
20020399,50
19900906-21,50
20010036,30
19935303-04,60
19900906-21,30
19914262-04,3
19935303-04,30
20082416-02,30
20136180-03,30
20028918-05,30
00035662-11,30
19936411-01,60
19900906-21,60
19935303-04,40
20115124-01,30
20005679-01,1
20072701-01,1
20107054-10,30
19935303-04,30
00058111-19,30
00051716-01,20
00035662-11,30
20043156-03,1
20025310-09,90
20023742-03,30
19935303-04,60
20005679-01,1
19900906-21,30
20015903-14,90
19927153-04,30
19935303-04,30
19900484-02,30
19935303-04,30
20025310-09,60
20107672-05,30
19900906-21,30
20016549-64,120
19990978-07,90
20025310-09,30
00212764-06,30
19963352-15,30
20072701-01,1
19993385-05,30
20045848-02,30
00035662-11,30
19900906-21,1
19935303-04,30
20067183-02,28
19925209-03,30
19900906-21,30
19936296-11,30
00039613-25,1
20020399,50
19914262-04,2
19950478-01,1
20010036,60
19900906-21,50
00035662-11,30
19935303-04,30
19935303-04,30
00212764-06,30
20045848-02,30
19993385-05,30
19900906-21,30
20001340-01,60
19935303-04,1
19980849-01,4
19935303-04,30
00035662-11,30
20102484-01,30
20115124-01,30
20066793-17,2
00040194-02,1
19935303-04,1
00047085-10,30
20024550-01,1
20067183-02,30
20104356-02,1
20020399,30
20107672-05,30
00044569-25,30
19960116-15,30
19978181-38,30
19936296-11,30
20020399,30
20107672-05,30
20001113-13,25
19900906-21,25
19900906-21,20
19900906-21,1
19900906-21,30
19935303-04,30
19960116-15,30
19990096-02,10
19900906-21,60
19993161-03,28
19943211-01,4
19960116-15,30
19935303-04,8
00055894-14,30
20085383-15,30
19960116-15,25
20123645-17,60
00035662-11,30
20054456-06,30
19936296-11,30
20123645-17,30
20027702-31,30
19935303-04,30
19963352-15,30
19999832-02,1
19900906-21,1
20079787-03,30
20079787-03,30
20107672-05,30
20067183-02,28
20054456-06,30
19936296-11,30
19908960-11,30
20027702-31,25
19935303-04,30
19908960-11,2
20020399,30
20107672-05,30
19935303-04,180
00207411-04,3
19900906-21,60
19900906-21,30
00040194-02,2
20035947-28,30
19936296-11,30
19944003-06,30
19905554-12,30
19935303-04,30
00035662-11,30
19908960-11,64
20098771-06,28
19900906-21,1
19913783-102,60
19932573-03,30
19936296-11,30
20020399,30
20115124-01,30
19900906-21,30
19900906-21,25
19935303-04,30
19905554-12,30
00037897-04,30
19935303-04,30
20045848-02,30
19935303-04,30
19900906-21,30
20001675-01,1
19927064-03,30
19935303-04,1
19930432-06,25
00044569-25,60
00212764-06,30
19900906-21,60
20102025-04,1
19900906-21,1
19933397-01,30
00212764-06,30
20045848-02,30
19945455-02,1
20156025-03,1
20066836-01,2
19935303-04,30
00212764-06,30
19963352-15,30
19959695-03,1
20020229,15
19935303-04,60
01983837-03,10
20080792-20,30
19936296-11,60
20123645-17,60
00212764-06,30
00035662-11,60
00035662-11,30
19936296-11,30
19993385-05,30
20067183-02,28
19975971-01,56
20102484-01,30
19900906-21,30
19900906-21,30
00035662-11,60
19993409-09,30
19936296-11,30
19933397-01,28
19902533-03,1
20098771-06,56
20010036,30
19963352-15,30
20044925-02,20
19960116-15,30
20059849-01,1
00033496-03,60
01983837-03,30
19900906-21,50
00037619-02,2
19900906-21,30
20059849-01,1
00055894-14,30
20155242-02,1
20072701-01,1
20059849-01,1
20123645-17,60
20010036,30
19963352-15,30
19947216-18,1
19935303-04,10
20059849-01,1
20010036,30
20020399,30
19900906-21,1
00031190-01,30
19935303-04,20
20028604-01,1
20011990-02,20
19900906-21,20
00225064-11,1
19935303-04,1
20107672-05,25
19930434-06,25
19985986-03,30
00214251-01,30
19954204-04,6
19985986-03,30
20107672-05,30
19900906-21,30
19904550-03,1
20043156-03,1
20096310-01,1
20123645-17,60
19942450-05,30
19991189-03,30
00035662-11,30
19993385-05,30
20066793-17,1
19935303-04,30
00035662-11,30
19900906-21,1
20123645-17,60
