codigo_neg,cantidad_entregada
20190805-02,84
20190805-02,84
20019264-02,56
20102025-04,120
20052492-07,52
20019167-02,56
20126426-01,60
19955370-08,240
20101936-03,60
20101936-03,60
20100456-01,30
20052492-07,26
20020399,1200
19933067-03,60
19933067-03,60
20019167-02,28
20019167-02,28
20019167-02,28
19955370-08,120
19927730-01,60
19927730-01,60
20020158,420
20020158,420
20020158,420
19948799-17,90
19948799-17,90
19948799-17,90
19948799-17,90
20049559-01,4
20087761-02,120
19955370-08,90
19955370-08,90
19955370-08,90
20020463,120
00039005-02,90
20101936-03,30
20101936-03,30
19914262-04,30
19914262-04,30
19914262-04,30
19914262-04,30
19914262-04,30
19914262-04,30
19914262-04,30
20020734-05,2
19933067-03,30
19933067-03,30
19933067-03,30
19933067-03,30
19933067-03,30
19933067-03,30
19933067-03,30
19933067-03,30
20078851-03,30
20087761-02,90
20087761-02,90
20087761-02,90
19951171-02,450
19948799-17,60
19948799-17,60
19948799-17,60
19948799-17,60
19948799-17,60
20059262-02,30
19955370-08,60
19955370-08,60
19955370-08,60
11020171,180
20137227-01,30
20137227-01,30
20137227-01,30
20084687-22,60
20084687-22,60
20084687-22,60
20084687-22,60
20049559-01,2
20149185-01,60
20149185-01,60
20149185-01,60
20149185-01,60
20019432-03,1
20019432-03,1
19998043-03,2
19998043-03,2
19998043-03,2
19998043-03,2
20084690-22,60
20084690-22,60
20084690-22,60
20084690-22,60
20084690-22,60
19948799-17,40
20020734-05,1
20020734-05,1
20020734-05,1
20020734-05,1
20020734-05,1
20090556-01,6
20090556-01,6
20090556-01,6
20090556-01,6
19934993-02,30
19934993-02,30
19934993-02,30
19934993-02,30
19934993-02,30
20020399,300
19934993-02,28
19934993-02,28
19934993-02,28
19933067-03,15
19933067-03,15
19933067-03,15
20094683-01,5
20094683-01,5
20094683-01,5
20094683-01,5
20084690-22,50
19951790-02,20
20084685-06,60
20084685-06,60
20084685-06,60
20084685-06,60
20084687-22,40
19928855-01,5
19948799-17,30
19948799-17,30
19948799-17,30
19948799-17,30
19948799-17,30
20104457-01,120
20104457-01,120
