codigo_neg,cantidad_entregada
402832,2
19948799-17,30
19948799-17,60
19948799-17,10
19948799-17,10
19948799-17,90
19948799-17,90
19948799-17,90
19948799-17,30
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,1
00207411-04,6
00207411-04,3
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,1
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,1
00207411-04,1
00207411-04,1
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,3
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,3
00207411-04,3
00207411-04,2
00207411-04,1
00207411-04,1
00207411-04,4
00207411-04,2
00207411-04,1
00207411-04,1
00207411-04,6
00207411-04,5
00207411-04,3
00207411-04,3
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,1
00207411-04,4
00207411-04,2
00207411-04,3
00207411-04,8
00207411-04,5
00207411-04,3
00207411-04,2
00207411-04,3
00207411-04,2
00207411-04,2
00207411-04,4
00207411-04,4
00207411-04,3
00207411-04,1
19934333-03,90
19934333-03,90
19934333-03,60
19934333-03,60
19934333-03,30
19934333-03,20
19934333-03,20
19934333-03,10
19934333-03,60
19934333-03,40
19934333-03,30
19934333-03,90
19934333-03,60
19934333-03,90
19934333-03,90
19934333-03,60
19934333-03,60
19934333-03,60
19934333-03,30
19934333-03,20
19934333-03,20
19934333-03,60
19934333-03,60
19934333-03,90
19934333-03,60
19934333-03,60
19934333-03,60
19934333-03,30
19934333-03,90
19934333-03,60
19934333-03,60
19934333-03,60
19934333-03,30
19934333-03,10
19934333-03,30
19934333-03,10
19934333-03,60
19934333-03,20
19934333-03,10
19934333-03,40
19934333-03,20
19934333-03,10
19934333-03,30
19934333-03,20
19934333-03,60
19934333-03,60
19934333-03,60
19934333-03,20
19934333-03,20
19934333-03,20
19934333-03,90
19934333-03,60
19934333-03,30
19934333-03,20
19934333-03,20
19934333-03,20
19934333-03,20
19934333-03,30
19934333-03,30
19934333-03,30
19934333-03,90
19934333-03,60
19934333-03,30
19934333-03,20
19934333-03,90
19934333-03,90
19934333-03,60
19934333-03,20
19934333-03,30
19934333-03,30
19934333-03,90
19934333-03,30
19934333-03,20
19934333-03,60
19934333-03,60
19934333-03,30
19934333-03,30
19934333-03,60
19934333-03,60
19934333-03,60
19934333-03,20
19934333-03,90
19934333-03,20
19934333-03,60
19934333-03,60
19934333-03,30
19934333-03,10
19934333-03,60
19934333-03,60
19934333-03,60
19934333-03,60
19934333-03,20
19935303-04,180
19935303-04,180
19935303-04,120
19935303-04,120
19935303-04,90
19935303-04,90
19935303-04,90
19935303-04,90
19935303-04,90
19935303-04,90
19935303-04,90
19935303-04,80
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,40
19935303-04,40
19935303-04,40
19935303-04,40
19935303-04,40
19935303-04,40
19935303-04,40
19935303-04,40
