codigo_neg,cantidad_entregada
19900906-21,9
20010379,8
51752,90
51752,90
51752,30
51752,30
51752,30
51752,30
51752,360
51752,360
20020399,120
20020399,120
112255,1
112255,1
19973061-05,30
19973061-05,30
19973061-05,30
19973061-05,30
19973061-05,30
20156998-01,1
20168919-02,4
19938739-06,30
20070876-11,7
20070876-11,7
20066086-11,30
20066086-11,10
20066086-11,10
20043340-05,30
20043340-05,30
20043340-05,30
19950478-01,3
20020399,60
20043340-05,28
20097586-01,30
20093349-01,28
51752,150
20058411-01,1
20058411-01,1
20015903-14,30
20015903-14,30
20020399,50
20156998-01,1
19937957-07,1
19937957-07,1
19937957-07,1
19937957-07,1
20020399,50
20020399,50
20052598-02,30
20020399,50
19977699-03,1
19977699-03,1
20104297-03,30
00051330-06,20
00051330-06,20
00051330-06,10
20003530-03,30
20003530-03,30
20059262-02,2
19996055-07,30
19996055-07,30
20067183-02,28
20067183-02,28
20001059-08,30
20001059-08,30
20001059-08,30
19960407-12,25
19960407-12,25
19960407-12,25
19960407-12,25
19960407-12,25
20023511-03,30
19936411-01,60
51752,120
20015777-08,30
19950478-01,2
19950478-01,2
20003836-03,30
20073367-03,30
20006074-09,91
20043340-05,28
00042216-10,30
00042216-10,30
00042216-10,30
00042216-10,30
00042216-10,30
19998394-04,56
19998394-04,56
19949535-02,20
19949535-02,20
19998394-04,56
19949535-02,10
19949535-02,10
19949535-02,10
19949535-02,10
00042722-23,30
00042722-23,30
00042722-23,30
19998394-04,56
19998394-04,56
20193662-01,56
19975838-04,1
19936412-02,90
20079787-03,30
20079787-03,30
00042722-23,25
20020399,30
00039613-01,7
00225064-11,1
20024362-02,30
20010103-02,60
19947216-05,1
19947216-05,1
19947216-05,1
19947216-05,1
19947216-05,1
19947216-05,1
19955238-02,2
20156025-03,1
19977792-03,56
51752,30
51752,30
51752,100
51752,100
51752,100
51752,60
51752,60
51752,50
51752,50
51752,50
51752,50
51752,30
51752,30
51752,30
51752,30
51752,30
00207411-04,3
00207411-04,2
00207411-04,2
19988550-05,60
19935303-04,160
19935303-04,90
19935303-04,90
19935303-04,90
19988550-05,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
19935303-04,60
20082416-02,30
20115124-01,30
20115124-01,30
20115124-01,30
19935303-04,56
19935303-04,50
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19935303-04,30
19990978-07,90
20121390-01,28
19951790-02,1
20052598-02,60
19998578-01,30
19998578-01,30
51752,30
51752,30
51752,30
51752,30
20061697-03,30
19930432-06,25
19908242-01,1
20080149-03,30
19953202-07,30
19953202-07,30
20003209-01,30
20082410-02,30
20016549-64,30
19996055-07,60
19937946-18,1
19960116-15,30
19960116-15,30
19960116-15,30
19960116-15,30
19960116-15,30
19960116-15,30
19960116-15,30
19960116-15,30
19960116-15,30
19935303-04,28
19935303-04,20
19935303-04,20
19935303-04,20
19935303-04,20
19935303-04,20
19935303-04,20
19935303-04,20
19935303-04,20
19935303-04,10
19935303-04,10
19935303-04,10
19935303-04,10
19935303-04,10
19935303-04,4
19947216-03,1
19935303-04,3
19935303-04,2
19935303-04,2
19935303-04,2
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19935303-04,1
19999947-18,90
19937957-07,1
19937957-07,1
19937957-07,1
19937957-07,1
19937957-07,1
20072701-01,1
20072701-01,1
20141920-01,30
20156025-03,1
00047085-10,30
00047085-10,20
00047085-10,20
20011084-05,90
20011084-05,30
00209835-06,40
00209835-06,40
20061025-20,1
19936296-11,60
19936296-11,30
19936296-11,30
19936296-11,30
19936296-11,30
19936296-11,30
20039358-03,28
19979689-01,30
19960116-15,25
19960116-15,25
00035662-11,60
00035662-11,60
20052505-22,30
20001671-12,30
20001671-12,30
00035662-11,40
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00035662-11,30
00011415-04,30
19990978-07,30
20056044-06,30
20010033,120
20010036,120
20010036,120
00051716-01,40
20043156-03,1
19900906-21,60
20003530-03,30
20003530-03,30
00011697-02,1
20086955-04,60
20086955-04,60
19933626-02,1
19923975-01,2
00033439-02,1
00037619-02,6
00037619-02,2
00037619-02,2
00037619-02,2
00037619-02,2
19943211-01,4
20086955-04,60
00042938-01,30
00042938-01,30
20025310-09,90
20025310-09,90
20015775-08,30
20015775-08,30
20015778-03,30
20140779-02,30
20140779-02,30
20082416-02,30
20082416-02,30
20082416-02,30
20043746-04,28
00033496-03,60
19925209-03,30
19925209-03,30
19925209-03,30
19925209-03,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
19963352-15,30
20094550-02,1
20059849-01,1
19997397-05,1
19997397-05,1
20220614-01,1
00051716-01,20
00051716-01,20
20025310-09,60
20141920-01,30
20141920-01,30
20027702-31,30
20027702-31,30
19993410-09,30
20007636-02,30
20007636-02,30
00210571-02,3
20027702-31,30
19999832-02,4
19999832-02,1
20027702-31,30
20189016-01,1
19992351-04,30
19992351-04,30
20044615-04,30
19992351-04,30
19992351-04,30
19992351-04,30
00044969-04,180
20043156-03,1
20043156-03,1
20043156-03,1
20043156-03,1
20086955-04,60
19992351-04,30
19992351-04,30
20054318-03,20
19970681-01,32
19970681-01,24
19904550-03,1
20120255-06,30
20120255-06,30
20107672-05,30
20107672-05,30
00021475-02,1
19950378-04,1
20067183-02,30
20067183-02,28
20067183-02,28
20067183-02,28
20067183-02,28
20067183-02,28
20067183-02,28
20067183-02,28
20067183-02,28
20093349-01,56
20093349-01,28
20107672-05,30
01982542-01,2
01982542-01,1
01982542-01,1
01982542-01,1
01982542-01,1
20149582-01,30
20079787-03,30
20079787-03,30
20014719-01,30
20014719-01,30
20086955-04,30
20114716-01,30
19944041-02,60
19965794-02,60
19983819-01,1
19983819-01,1
19937946-18,1
19991189-03,30
19991189-03,30
19991189-03,30
00044569-25,60
00044569-25,60
00044569-25,60
00044569-25,60
00044569-25,60
00044569-25,60
00044569-25,60
00044569-25,60
00044569-25,60
00044569-25,60
00044569-25,60
19973772-05,30
20062852-01,10
00044569-25,30
00044569-25,30
00044569-25,30
00044569-25,30
00044569-25,30
00044569-25,30
00044569-25,30
00051602-04,60
00043757-05,60
00043757-05,30
19947216-05,1
20084687-22,6
20139404-02,30
20139404-02,30
20023742-03,30
20078974-42,30
20149582-01,50
20078974-42,30
20149582-01,30
20149582-01,25
19942429-02,30
20037932-03,30
20063891-01,10
20094550-02,1
20094550-02,1
01981505-13,30
19951790-02,1
19951790-02,1
19951790-02,1
19951790-02,1
19951790-02,1
00040194-02,1
00206166-03,60
20003530-03,30
20003530-03,30
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,2
19914262-04,2
19914262-04,2
20028798-02,5
20028798-02,5
19996055-07,30
19904550-03,1
19984823-01,2
19947216-03,1
19935303-04,90
19936412-02,120
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
20027412-09,60
20027702-31,30
20027702-31,30
20027702-31,30
20027702-31,30
20027702-31,30
20027702-31,30
20027702-31,30
20027702-31,30
20023742-03,30
19934690-01,30
19934690-01,30
20010036,30
20010036,30
20027702-31,10
20001113-13,30
20010036,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
19944003-06,30
20045848-02,30
20045848-02,30
20045848-02,30
20045848-02,30
19944003-06,30
19944003-06,30
20123645-17,60
20123645-17,60
20123645-17,60
20123645-17,60
20123645-17,60
20123645-17,60
20123645-17,60
20123645-17,60
20123645-17,60
20123645-17,60
20123645-17,60
00058111-19,30
20123645-17,30
20123645-17,30
20123645-17,30
20123645-17,30
20123645-17,30
20123645-17,30
19993385-05,30
19993385-05,30
19905554-12,30
