codigo_neg,cantidad_entregada
19989418-01,90
19932573-03,60
20027702-31,10
20027702-31,20
19950479-19,1
19914312-21,3
20107672-05,30
20093349-01,28
20015775-08,28
20220614-01,1
19906266-03,30
20001515-03,60
20044615-04,30
19951405-04,30
00032623-08,10
20020181,1
20020475,50
19993897-02,60
19942545-01,30
20086955-04,60
20009747-07,60
19965499-11,30
20093308-02,30
20003209-01,30
00047085-10,10
19934768-20,1
19997625-07,1
00055895-06,30
19992351-04,30
19944682-05,30
20121607-08,28
20020475,50
19914312-21,2
00212764-10,30
20007272-03,30
20024180-17,30
20193049-01,60
20008603-07,30
19998393-02,56
20041471-04,30
20027702-31,30
20019923-07,30
19935303-04,120
20020475,150
20020181,1
19947909-01,20
19974991-02,28
20067183-02,28
00032623-08,30
00040260-04,1
00042216-13,30
20020475,50
19914312-21,2
20085383-15,30
20020475,50
20193049-01,60
19950479-19,1
19914312-21,2
19936296-11,30
19975971-01,28
01980545-03,30
20066117-12,25
20141920-09,30
20086955-04,60
19936296-11,30
20086955-04,60
19914312-21,3
00035662-11,30
20044944-08,60
20047166-21,28
01980545-03,30
19992351-04,30
00040260-04,1
00212764-10,30
20001113-13,30
20177233-05,30
19935303-04,30
19992351-04,30
20123645-17,30
20177233-07,30
19935303-04,30
19992351-04,30
20123645-17,30
19914312-21,2
20044615-04,30
19935303-04,60
19936296-11,30
19940076-19,25
20020475,50
19914312-21,2
20044615-04,30
20120255-06,30
19960116-15,30
19977789-03,84
19942450-05,30
19942450-05,90
20019167-02,84
20066793-17,4
19942450-05,60
20020475,50
20020199,50
19914312-21,3
20082413-03,30
20020475,50
20082416-02,30
19935303-04,60
20044615-04,30
20011084-05,30
00206166-03,20
00032623-08,10
20123645-17,30
19960116-15,30
00212764-10,30
20085383-15,30
19956205-03,1
20016921-02,120
19907962-04,30
20020475,50
20020199,50
20020475,50
20193049-01,30
20066117-12,25
20041471-04,30
20041471-04,30
20199954-01,60
20073367-03,30
01983281-03,30
19976470-03,30
20085383-15,30
00043757-05,30
20220614-01,1
20044615-04,30
19960116-15,30
00040260-04,1
20044615-04,30
20009747-07,30
20102484-01,30
20085383-15,30
19905554-12,60
20067183-02,28
19956673-10,1
19951790-02,1
00013854-02,1
20020229,4
20093155-03,30
19982562-06,30
00230337-01,1
20044627-03,1
19951790-02,1
20058411-01,1
19961661-01,1
20107158-05,30
20123645-17,60
19998394-04,56
19998394-04,56
19998394-04,168
20066123-03,1
19960905-12,10
20122097-12,90
20013129-01,2
19935759-01,1
20011983-01,3
20015903-31,30
00017135-01,40
20016921-02,30
01980545-03,30
20107158-05,30
20080792-20,30
20020475,40
19914312-21,3
20010036,120
20043340-05,60
20085383-15,30
20010036,120
20035947-28,60
20107672-05,30
19914312-21,5
19998394-04,56
19944003-06,30
19998394-04,56
19927064-03,30
19914312-21,4
20041471-04,30
20020181,1
20020475,50
20067183-02,28
20011983-01,1
19935124-02,1
19914312-21,3
19998394-04,56
20056044-06,30
01980545-03,30
20066117-12,25
19992351-04,30
20020199,50
20016428-01,28
01980545-03,30
19905554-12,30
19944682-05,30
00212764-10,30
19950479-19,3
19914312-21,1
20041471-04,30
20066117-12,25
20193049-01,30
20020475,50
20020475,50
20020181,1
20041471-04,30
19914312-21,4
19993161-03,1
20010390-01,28
19998394-04,56
20020199,50
20020475,50
20085383-15,30
20011983-01,1
19935124-02,1
19936296-11,30
19914312-21,2
20014721-01,28
20029977-04,1
20066117-12,50
19951877-02,60
20103886-07,30
19928474-01,1
20141920-09,30
20003530-03,30
19960116-15,30
20011348-02,30
20107672-05,30
20025310-09,30
20123645-17,60
19992351-04,30
20107672-05,30
20044614-04,30
19942545-01,30
19943979-09,30
19993385-05,30
01980545-03,30
20085383-15,30
19944003-06,30
00043757-05,60
20085383-15,30
00047085-10,30
20093155-03,60
20104297-03,30
00055895-06,30
20107158-05,30
20039014-03,60
20025310-09,30
20086955-04,60
19993385-05,30
20085383-15,30
19940076-19,25
00212764-10,30
19998394-04,56
20093177-01,21
19936296-11,60
20044614-04,60
20080792-20,30
20107672-05,30
19950727-275,30
00035662-11,30
00040260-04,1
00200541-11,30
19935303-04,30
19944003-06,30
19905554-12,30
20109639-05,30
19927064-03,30
19998394-04,56
19992351-04,30
20020475,50
19950479-19,1
20123645-17,60
20044615-04,30
20044615-04,30
20123645-17,60
00055895-06,60
01980545-03,30
19935303-04,30
01980545-03,30
19960116-15,30
00042722-23,30
00040260-04,1
20001671-12,30
20107672-05,30
20003530-03,30
20047166-21,56
19992351-04,30
00040260-04,1
19960905-12,10
20056956-01,60
20015775-08,28
19942431-05,60
19932573-03,30
19992351-04,30
19935303-04,30
01980545-03,30
20085383-15,30
00212764-10,30
20085383-15,30
00212764-10,30
19914312-21,3
19998394-04,56
19944003-06,30
19944003-06,30
20008603-07,30
19992351-04,30
00055895-06,30
19944003-06,30
19907962-04,10
20012688-01,1
20018966-01,1
00042722-23,30
20085383-15,30
20193049-01,60
00055895-06,30
19944003-06,30
20020475,50
19992351-04,30
00044969-04,30
20003530-03,30
19950479-19,2
20082695-01,56
19935303-04,30
00055895-06,30
00040260-04,1
20003530-03,30
01980545-03,30
19976470-03,30
19998394-04,56
20020475,50
20020475,100
19950479-19,1
19914312-21,2
20010036,60
20020475,50
19998394-04,56
19998394-04,56
20114541-03,30
20067183-02,28
20193049-01,60
20020475,50
20085383-15,30
19950479-19,3
00040194-02,2
00207411-04,1
00230417-06,1
19930887-02,1
20044925-02,30
00055895-06,30
00212764-10,30
20085383-15,30
00212764-10,30
20085383-15,30
19935303-04,30
00037897-04,60
20093155-03,30
20001671-12,30
20141920-09,30
19960116-15,60
00040260-04,1
19956205-03,1
20066793-17,60
19924904-01,1
20094550-02,1
00206776-12,25
00206776-12,25
19976470-03,60
19947216-03,1
20118649-02,1
20020475,150
20085383-15,30
20193049-01,60
19987944-01,25
20107158-05,30
20027645-39,30
20123645-17,30
20085383-15,30
00055895-06,30
20085383-15,30
19900484-02,30
19932573-03,30
00212764-10,30
20008603-07,30
20041471-04,30
20020475,50
20085383-15,30
20035947-28,30
20107672-05,30
19992351-04,30
19905554-12,90
20020475,50
19940076-19,25
20123645-17,30
19900484-02,30
20123645-17,60
19996546-04,30
19960116-15,30
20107672-05,30
20041471-04,30
01980545-03,30
19936296-11,30
00042216-13,30
20048287-07,30
19992351-04,30
20093155-03,30
20085383-15,30
19950479-19,2
20020475,50
19942431-05,60
19942431-05,30
20193049-01,30
19976470-03,30
19992351-04,30
19936296-11,30
20107158-05,30
20044615-04,30
20120255-06,30
20047166-21,28
01980545-03,30
20044615-04,30
20044615-04,30
19950479-19,2
19992351-04,30
00055895-06,30
20020475,50
00055895-06,30
19992351-04,30
20085383-15,30
20085383-15,30
19906320-01,10
20104380-08,30
20082695-01,56
20085383-15,30
19976470-03,30
01980545-03,30
01980545-03,30
20193049-01,60
20104380-08,30
20020475,50
20082695-01,56
00055895-06,30
19944003-06,30
20044943-08,60
19935303-04,60
20020475,50
20107158-05,30
20107672-05,30
19998394-04,56
00212764-10,30
20085383-15,30
01980545-03,30
19998394-04,56
00212764-10,30
20085383-15,30
01980545-03,30
20044615-04,30
20141920-09,30
19910693-06,1
19976470-03,60
19900484-02,30
00042722-23,30
20020475,50
20140779-02,30
20107672-05,30
19936296-11,30
20140779-02,30
01980545-03,30
20085383-15,30
20039014-03,20
20039014-03,20
20020475,50
20010678,30
19936296-11,30
20123645-17,30
20102484-01,30
20067183-02,28
19992351-04,30
19973061-05,30
19998394-04,28
19960116-15,30
19941307-01,56
00212764-10,30
20067183-02,28
20041471-04,30
20011983-01,1
20020475,50
19987947-08,25
20121038-02,30
00040194-02,1
00040260-04,1
20107158-05,30
00209835-06,16
20016921-02,30
20198689-01,30
19935303-04,10
00035662-11,30
19936296-11,30
19905554-12,30
20220614-01,1
19976470-03,60
20085383-15,30
19973061-05,30
19987145-10,1
20044615-04,30
20044615-04,30
19923975-01,1
20044615-04,30
20010390-01,28
20141920-09,30
19936296-11,30
00035662-11,30
19905554-12,30
00212764-10,30
00215882-01,1
01980545-03,30
20141920-09,30
20003530-03,30
20086955-04,60
19936296-11,30
20003530-03,30
20085383-15,30
00035662-11,30
20177233-07,30
19976470-03,30
20035947-28,30
20080792-20,30
00042216-13,30
20080792-20,30
01980545-03,30
19951790-02,1
20056956-01,60
19960116-15,30
20085383-15,30
20020475,50
19960116-15,30
20067183-02,28
20085383-15,30
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
19950727-275,30
00035662-11,30
00040260-04,1
20085383-15,30
20044615-04,30
19905554-12,60
00043757-05,60
20085383-15,30
00212764-10,30
20107672-05,30
00040260-04,1
19960116-15,30
00212764-10,30
00043757-05,60
19930887-02,1
20054456-06,30
20016428-01,28
20014721-01,28
20107672-05,30
19927153-04,30
20107672-05,30
20123645-17,30
20093155-03,30
20041471-04,30
01980545-03,30
00040260-04,1
20020475,50
20082695-01,56
20003530-03,30
20039358-03,28
20085383-15,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
00042216-13,60
19973061-05,60
19973358-02,30
19906237-05,60
20035947-28,30
20106279-01,30
19992351-04,30
19973061-05,30
19998394-04,56
20015777-08,28
20020181,1
20020475,50
20106279-01,30
19992351-04,30
19973061-05,30
19998394-04,56
20015777-08,28
20020181,1
20020475,50
01980545-03,30
20020475,50
20193049-01,60
19944003-06,30
01980545-03,30
20020475,50
20193049-01,60
19944003-06,30
20123645-17,60
20044925-02,30
20107672-05,1
00035662-11,30
20011084-05,30
00206166-03,30
20100139-06,60
20198689-01,60
20066117-12,50
20023909-01,60
19928485-09,30
20107158-05,30
00212764-10,30
19976470-03,60
20140779-02,30
20026114-03,60
19973372-03,30
00035662-11,30
20140779-02,30
20140779-02,30
19993385-05,30
20085383-15,30
00055895-06,30
19936411-01,90
20140779-02,30
20044615-04,30
20107158-05,30
19900484-02,30
20140779-02,30
20140779-02,30
20140779-02,30
20044615-04,30
20140779-02,30
20021392-01,1
00207411-04,2
20067183-02,28
20140779-02,30
20103886-07,30
20140779-02,30
20103886-07,30
20067183-02,28
19935303-04,60
19960116-15,60
20193049-01,60
20008219-09,1
19973788-01,1
20020475,50
20067183-02,28
19935303-04,60
19960116-15,60
20193049-01,60
20008219-09,1
19973788-01,1
20020475,50
20140779-02,30
19935303-04,60
19940076-19,25
01980545-03,30
19976470-03,60
20123645-17,60
19992351-04,30
19973061-05,30
20052424-06,30
19968466-02,8
20103886-07,30
20140779-02,30
20082413-03,30
19935303-04,30
20023909-01,30
20011084-05,30
20085383-15,30
20067183-02,28
20043928-01,60
19975971-01,56
20102484-01,30
20020475,50
20047166-21,28
19950479-19,2
20085383-15,30
20020475,50
20047166-21,28
19950479-19,2
20085383-15,30
00055895-06,30
00212764-10,30
20001340-01,60
19932578-01,30
19992351-04,30
00212764-10,30
19968466-02,5
20020475,50
19936296-11,30
20056956-01,60
20140779-02,30
01980545-03,30
20085383-15,30
00212764-10,30
20067183-02,28
00042722-23,25
19935303-04,30
20066117-12,25
20067183-02,28
00042722-23,25
19935303-04,30
20066117-12,25
19905554-12,30
19930433-06,25
19914312-21,2
20015903-31,30
20020475,50
20056956-01,60
19935303-04,60
19972152-06,60
19942431-05,60
19973061-05,30
00042216-13,30
19950479-19,5
