codigo_neg,cantidad_entregada
25695,120
100828,1
100828,1
100828,1
100828,1
100828,1
100828,1
100828,1
100828,1
100828,1
100828,1
100828,1
100828,1
100828,1
105608,30
105608,30
105608,30
105608,30
105608,30
134574,13
134574,7
134574,8
161101,30
161101,30
161101,120
161101,120
161101,30
161101,120
161101,30
161101,120
161101,120
161101,120
161101,30
161101,120
161101,90
161101,30
161101,30
161101,120
167353,5
167353,10
389177,1
392371,150
392371,150
394017,2
394017,2
394017,2
394017,2
394017,2
394017,2
402832,2
402832,4
402832,4
402832,2
402832,2
402832,2
402832,2
10010027,120
19983165-28,30
19983165-28,12
19983165-28,18
19983165-28,12
19983165-28,18
19983165-28,18
19948799-17,2
19948799-17,2
19948799-17,3
19948799-17,10
19948799-17,60
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,1
00207411-04,2
00207411-04,1
00207411-04,4
00207411-04,7
00207411-04,4
00207411-04,4
00207411-04,3
00207411-04,1
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,4
00207411-04,1
00207411-04,2
00207411-04,1
00207411-04,3
00207411-04,2
00207411-04,1
00207411-04,3
00207411-04,4
00207411-04,1
00207411-04,2
00207411-04,6
00207411-04,1
00207411-04,6
00207411-04,2
00207411-04,1
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,1
00207411-04,2
00207411-04,4
00207411-04,2
00207411-04,1
00207411-04,2
00207411-04,1
00207411-04,4
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,4
00207411-04,4
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,4
00207411-04,7
00207411-04,2
00207411-04,2
00207411-04,3
00207411-04,4
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,1
00207411-04,1
00207411-04,2
00207411-04,4
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,10
00207411-04,2
00207411-04,2
00207411-04,2
00207411-04,3
00207411-04,1
00207411-04,3
00207411-04,5
00207411-04,2
00207411-04,2
00207411-04,1
00207411-04,2
00207411-04,5
