codigo_neg,cantidad_entregada
#N/D,30
#N/D,30
#N/D,30
#N/D,30
#N/D,30
20087761-02,60
19998043-03,2
20066793-04,30
19914262-04,10
19934447-02,2
20020399,210
20125116-01,1
20104455-01,60
20149185-01,30
20087761-02,30
19940076-19,255
20079057-03,4
20019918-02,28
20043156-03,30
20087761-02,22
20084685-06,30
20104457-01,60
20104457-01,60
19908041-01,140
19908041-01,140
20094683-01,2
20090556-01,2
20078798-01,30
20108712-01,30
20108712-01,30
20108712-01,30
19914262-04,4
19914262-04,4
19914262-04,4
19914262-04,4
20088574-01,60
20088574-01,60
20156998-01,1
19982562-06,30
20040898-03,60
20040898-03,60
20056956-01,60
20056956-01,60
20056956-01,60
20056956-01,60
20056956-01,60
20056956-01,60
19938739-06,30
19934333-03,60
19934333-03,60
19961516-05,60
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
19975838-04,2
20037936-12,90
20096478-06,12
20119257-03,90
19993897-02,60
20087761-02,10
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20020399,60
00045047-02,180
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20043340-05,28
20043340-05,28
19938740-02,30
00093689-02,180
20093349-01,28
20093349-01,28
20082695-01,56
20101206-06,60
20059262-02,3
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
19910693-06,6
20044944-08,60
20044944-08,60
20104297-03,30
20104297-03,30
20104297-03,30
20067183-02,28
20067183-02,28
20067183-02,28
20067183-02,28
20067183-02,28
19914262-04,2
19914262-04,2
19914262-04,2
19914262-04,2
19914262-04,2
19914262-04,2
19914262-04,2
20067183-02,28
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
19940076-19,60
19940076-19,60
20119257-03,60
19936411-01,60
19936411-01,60
20088574-01,30
20015777-08,30
19953204-08,60
20020050,8
20168919-02,2
20015777-08,28
20015777-08,28
20015777-08,28
20015777-08,28
20015777-08,28
20015777-08,28
19998393-04,56
19998393-04,56
19998393-04,56
19998393-04,56
19998393-04,56
19998393-04,56
19998393-04,56
19945455-02,1
19945455-02,1
19940076-19,50
19934333-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20018308-06,120
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19998394-04,56
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19934015-01,1
19936412-02,90
19919354-03,80
20079787-03,30
20079787-03,30
20079787-03,30
20079787-03,30
20079787-03,30
20104380-08,30
20020399,30
20020399,30
20020399,30
20020399,30
20020399,30
20020399,30
20020399,30
19959553-05,1
19944041-02,90
19953202-07,90
00093689-02,90
00093689-02,90
00093689-02,90
00093689-02,90
00093689-02,90
20024362-02,30
20101206-06,30
20018308-06,90
20020225,2
20080146-01,30
19955370-08,3
19942450-05,30
19934333-03,20
19961660-04,2
20080146-01,28
19914262-04,1
19914262-04,1
19914262-04,1
19961661-01,1
20080146-01,28
19961661-01,1
19961661-01,1
20121038-02,30
19988981-10,30
19988981-10,30
20020229,15
19923968-04,1
20048817-04,28
19950479-19,3
19950479-19,3
19950479-19,3
19950479-19,3
19950479-19,3
19950479-19,3
19936412-02,60
19936412-02,60
20037936-12,30
20037936-12,30
20037936-12,30
20037936-12,30
20037936-12,30
19940076-19,30
19940076-19,30
19940076-19,30
19940076-19,30
19940076-19,30
19940076-19,30
19925134-01,30
00230337-01,1
00230337-01,1
20017107-03,30
19953204-08,30
19953204-08,30
20168919-02,1
19995320-14,64
19988550-05,60
19988550-05,60
19988550-05,60
19988550-05,60
19988550-05,60
19988550-05,60
19988550-05,60
19988550-05,60
19988550-05,60
19988550-05,60
19988550-05,60
20045149-01,1
19998393-04,28
19998393-04,28
19998393-04,28
19918906-01,1
19918906-01,1
19918906-01,1
19940076-19,25
19940076-19,25
19940076-19,25
19940076-19,25
19940076-19,25
19940076-19,25
19940076-19,25
19940076-19,25
19940076-19,25
19940076-19,25
20112483-03,11
20082416-02,30
00093689-02,60
00093689-02,60
19953202-07,60
20115124-01,30
20115124-01,30
20115124-01,30
20115124-01,30
20115124-01,30
20115124-01,30
20115124-01,30
00093689-02,60
00093689-02,60
00093689-02,60
20115124-01,30
20115124-01,30
20115124-01,30
20115124-01,30
20115124-01,30
20115124-01,30
20115124-01,30
00200541-11,90
19998394-04,30
19988550-05,56
19952942-02,10
19952942-02,10
20062852-01,90
20162849-03,30
20162849-03,30
20162849-03,30
19998394-04,28
20059262-02,1
19992554-01,2
20019908-04,10
20114716-01,30
20114716-01,30
20020229,10
20177233-07,30
00047085-10,60
19930434-06,30
20098771-06,63
20098771-06,63
20015775-08,28
20007275-01,30
20039358-03,60
20020348,100
20020348,100
00227601-02,30
00227601-02,30
00227601-02,30
00224929-03,20
00224929-03,20
20098771-06,60
20137227-01,1
20109641-05,30
20109639-05,30
20109639-05,30
20053123-01,30
20053123-01,30
19951790-02,1
19951790-02,1
19951790-02,1
19951790-02,1
19951790-02,1
19951790-02,1
19951790-02,1
20039358-03,56
20039358-03,56
20039358-03,56
20084685-06,3
19996348-14,30
19908750-03,30
20010103-02,30
20177233-05,30
20177233-05,30
20177233-05,30
20177233-05,30
20001982-02,1
20001982-02,1
00050476-13,4
00050476-13,4
00050476-13,4
20020225,1
20020220,1
20023909-01,90
19930434-06,25
19930434-06,25
20052598-02,60
20052598-02,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
00200541-11,60
19998578-01,30
19998578-01,30
19998578-01,30
20150853-02,10
20086613-04,1
20086613-04,1
20086613-04,1
20086613-04,1
20030795-02,25
20030795-02,25
20118649-02,1
20041735-05,30
00021475-02,2
19940076-19,15
01980397-01,120
19934993-02,1
19934993-02,1
20020498,230
20044627-03,1
20044627-03,1
19977792-03,28
01982542-01,2
19906266-03,30
20021802-05,4
20019446-04,30
