codigo_neg,cantidad_entregada
#N/D,30
20049559-01,3
20032011-09,60
20137227-01,30
19980849-01,60
20137227-01,16
20084687-22,30
11020084,90
20087761-02,30
20087761-02,30
20019918-02,28
19982562-06,60
19975838-04,4
20023511-03,90
20020399,120
20010330,200
20168919-02,6
20101182-06,120
20091274-03,5
19938740-02,60
19998394-04,180
20020399,100
20020399,100
20020399,100
20020399,100
20150573-02,15
19914262-04,4
19914262-04,4
20079787-03,90
20091274-03,4
20171148-01,30
20019920-02,28
20096478-06,15
20096478-06,15
20040898-03,60
20040898-03,60
20056956-01,60
20056956-01,60
20056956-01,60
20056956-01,60
20056956-01,60
20056956-01,60
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
19914262-04,3
20066793-17,90
19980849-01,16
20119257-03,90
20119257-03,90
20104457-01,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20043340-05,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
20061998-03,30
19950478-01,3
30010040,60
20139404-02,90
20101182-06,60
20043340-05,28
20043340-05,28
20043340-05,28
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20101182-06,60
20064394-02,30
20082695-01,56
20084687-22,8
20070927-04,30
20067183-02,30
20067183-02,30
20067183-02,30
20067183-02,30
20065755-03,30
20065755-03,30
20065755-03,30
20065755-03,30
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20020399,50
20179173-02,60
20044944-08,60
20044944-08,60
20044944-08,60
20067183-02,28
20067183-02,28
20067183-02,28
19914262-04,2
19914262-04,2
19914262-04,2
19914262-04,2
20067183-02,28
20067183-02,28
20044557-03,3
20032011-09,5
20087855-01,6
19904550-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20023511-03,30
20015777-08,30
20148906-02,60
20020050,8
20015777-08,28
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
20073367-03,30
19998394-04,60
19998394-04,60
00093689-02,120
20016549-64,120
20003836-03,28
19998394-04,56
