codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
20094213-01;20094213-01;2009421301;;;;;;;;;;;;;30;;;;;0;30;0;{'1': [], '2': [], '3': [], '4': [393], '5': []}
20106305-01;20106305-01;2010630501;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20118967-03;20118967-03;2011896703;;;;3990;;;2670;;;1830;;;2520;;;330;;0;11340;0;{'1': [8705, 12802, 13837, 12327, 5162, 8237, 8749, 5169, 14385, 12339, 8771, 12361, 10828, 8271, 11858, 10840, 13915, 8286, 8287, 10859, 13931, 13934, 13424, 8311, 8321, 8325, 8838, 6284, 9871, 14992, 10898, 10906, 8348, 10909, 10913, 6314, 8371, 10419, 9405, 6336, 5317, 11466, 11471, 12495, 5329, 12503, 11483, 5340, 7903, 13025, 10466, 7908, 5351, 10471, 11508, 9977, 7930, 11515, 12537, 13568, 7425, 9474, 13575, 1812, 1819, 12060, 12070, 11048, 11049, 11051, 11054, 11055, 6449, 6450, 11057, 11060, 12085, 12089, 10562, 12099, 12103, 12104, 12106, 9038, 12110, 9040, 12121, 8038, 12140, 12655, 9079, 11639, 9081, 12664, 9598, 12680, 9099, 12690, 12702, 6047, 8101, 14245, 14247, 5036, 10161, 5045, 5046, 8119, 5048, 14273, 8131, 7620, 13261, 14285, 11215, 5587, 6106, 13277, 11744, 5089, 5602, 6116, 12776, 8686, 5616, 7152, 5109, 5110, 8694, 10232, 12794, 12795, 12796, 7165], '2': [2569, 3599, 3604, 6679, 6681, 13337, 3611, 3614, 6692, 6186, 13355, 2103, 8761, 8762, 2630, 3149, 6231, 3160, 4696, 6235, 6239, 8807, 6251, 5230, 129, 8833, 12945, 12946, 7827, 7316, 12947, 13461, 13462, 13463, 6297, 7324, 11938, 11939, 5284, 5285, 5286, 679, 11940, 11941, 11942, 2236, 11454, 4800, 4805, 712, 1228, 10958, 10959, 10960, 8410, 2269, 2270, 2786, 2787, 14576, 759, 1274, 4871, 3855, 2838, 4890, 309, 2879, 328, 3411, 3412, 3419, 873, 365, 4471, 14732, 14733, 14736, 1942, 6040, 6041, 9118, 4025, 1989, 4567, 12263, 12264, 4586, 9706], '3': [12418, 13060, 14854, 13562, 8717, 11534, 12045, 13584, 6547, 6548, 6549, 6550, 23, 24, 25, 14618, 11803, 14110, 3232, 3233, 3234, 11813, 13606, 14122, 14123, 14124, 14125, 13487, 13488, 2993, 6193, 6194, 10419, 10420, 10675, 11953, 13107, 1850, 10429, 11966, 13630, 8902, 14151, 1866, 3798, 13526, 3801, 13401, 11997, 10341, 10342, 10343, 12012, 4205, 13552, 13553, 4083, 13427, 9974, 250, 13565], '4': [4615, 4618, 5648, 5655, 537, 5664, 4139, 6703, 3120, 4146, 3127, 3128, 4160, 4673, 4679, 1098, 6731, 6732, 6733, 7760, 6738, 4180, 6230, 1141, 6774, 5247, 6786, 1669, 7301, 1159, 7818, 5279, 5803, 5804, 5293, 5806, 5298, 1208, 14008, 5826, 4803, 6861, 7888, 9428, 8413, 8414, 5858, 7907, 6885, 8421, 5358, 6900, 13557, 4863, 7439, 7440, 9499, 7452, 5408, 3879, 7475, 9533, 1854, 3903, 3904, 7019, 9583, 7032, 14718, 3455, 5504, 7059, 6549, 6043, 4010, 10689, 4043, 972, 14808, 4581, 1510, 1511, 2032, 10739], '5': [2850, 1092, 3076, 1097, 283, 3056, 3057, 2870, 2871, 635, 284]}
20091274-03;20091274-03;2009127403;;;;;;;4;;;;;;;;;;;0;4;0;{'1': [], '2': [13167], '3': [], '4': [], '5': []}
20073367-03;20073367-03;2007336703;;;;90;;;450;;;660;;;240;;;60;;0;1500;0;{'1': [2312, 3633, 5043], '2': [7489, 6821, 12616, 745, 7500, 8461, 3471, 2320, 3472, 4527, 10550, 12632, 14042, 3098, 13307], '3': [13956, 12808, 14201, 4515, 8881, 4155, 3261, 3262, 14025, 978, 14046, 14047, 121, 10339, 10340, 8813, 8814, 6264, 6521, 8571, 12796, 3327], '4': [5345, 3750, 3751, 10536, 2223, 2576, 10514, 2228], '5': [3860, 39]}
20061998-03;20061998-03;2006199803;;;;330;;;1410;;;930;;;60;;;30;;0;2760;0;{'1': [6593, 6603, 5356, 4111, 5364, 14007, 4120, 6011, 5372, 3165, 6590], '2': [13572, 12042, 11277, 9486, 13455, 12054, 9495, 5663, 11041, 4387, 4388, 14628, 14629, 13353, 1578, 8235, 13869, 7344, 11128, 1207, 6072, 14647, 12091, 12092, 12093, 1598, 14780, 3393, 8389, 12110, 3797, 9559, 7896, 7897, 3418, 8280, 14948, 14949, 14697, 8684, 3822, 3442, 12402, 2292, 10998, 8568, 4218], '3': [401, 6036, 409, 1049, 11290, 11674, 285, 550, 3242, 8622, 2095, 2481, 2489, 58, 3004, 957, 10058, 11860, 8279, 1630, 1631, 12128, 1121, 7522, 7649, 100, 1517, 115, 14069, 2678, 2682], '4': [1818, 2108], '5': [3824]}
20101182-06;20101182-06;2010118206;;;;450;;;840;;;;;;60;;;;;0;1350;0;{'1': [6785, 4902, 13068, 10542, 13232, 3416, 8827, 6780, 9982, 4991], '2': [12065, 12066, 12323, 2052, 3079, 1195, 5264, 7121, 13168, 7605, 4022, 8501, 8502, 12505, 14907], '3': [], '4': [12338], '5': []}
00044569-25;00044569-25;0004456925;;;;5090;;;4590;;;2110;;;1900;;;1440;;0;15130;0;{'1': [1033, 12300, 2590, 6174, 14886, 3112, 556, 2605, 12332, 9777, 7734, 10806, 572, 10812, 11839, 3657, 1611, 3147, 2643, 8278, 11865, 3676, 13918, 8288, 1633, 11876, 12929, 11909, 13445, 4239, 14480, 156, 5283, 1188, 8870, 10919, 9384, 11434, 2227, 14516, 12471, 4295, 10443, 8918, 11991, 6874, 13538, 9955, 232, 10996, 10999, 8955, 767, 3328, 4873, 5386, 2840, 4904, 7986, 6477, 6483, 5974, 8538, 352, 13670, 3432, 10605, 8560, 5490, 14195, 3958, 14198, 8569, 2941, 12678, 8583, 394, 12172, 8078, 9617, 11665, 921, 8089, 11165, 13725, 2989, 1973, 4021, 7605, 6077, 3522, 964, 13765, 12236, 461, 11214, 10196, 14806, 1503, 12768, 7656, 12267, 11245, 7672, 11262], '2': [9220, 1542, 9739, 1039, 45, 5677, 4150, 13897, 9295, 13903, 4177, 11866, 3174, 2159, 3700, 7285, 11381, 6265, 4729, 4217, 6777, 7805, 11391, 4737, 12937, 1693, 10910, 173, 7853, 5807, 6319, 4792, 9405, 4294, 5320, 4297, 5322, 11466, 13513, 3806, 9449, 8426, 4844, 4335, 9968, 13047, 778, 1809, 12062, 2847, 7969, 11052, 2861, 6446, 2351, 6449, 4403, 4915, 4916, 8500, 11571, 3390, 4927, 6469, 13130, 9547, 13643, 10577, 4444, 5987, 10600, 5481, 11775, 13175, 4472, 11136, 8078, 8595, 2455, 7596, 11189, 2999, 2488, 7104, 14786, 451, 12237, 3029, 4583, 14826, 12779, 10224, 7679], '3': [2049, 770, 9, 2185, 6793, 11150, 8719, 657, 2194, 4116, 278, 534, 10648, 1436, 10140, 1567, 2719, 9000, 42, 815, 2353, 820, 3263, 9409, 838, 1863, 1737, 13769, 2764, 78, 209, 1618, 4820, 2271, 9184, 9313, 1894, 1000, 1256, 123, 13163, 880, 1520, 11760, 243, 251, 10877], '4': [13954, 4360, 14346, 5649, 5905, 12818, 8088, 5656, 7578, 12312, 14109, 13729, 13730, 2214, 12592, 8114, 13362, 14519, 6073, 10428, 5052, 14525, 12617, 13901, 13902, 4050, 7506, 13907, 13911, 10456, 14170, 13659, 4188, 4192, 2529, 12512, 14308, 4197, 12263, 14954, 3060, 13684, 2683, 13565], '5': [2310, 3596, 525, 3092, 3733, 2456, 540, 161, 675, 2852, 1193, 686, 688, 3191, 1983, 3320, 2625, 2376, 4172, 1874, 1113, 2394, 1252, 2792, 3052, 2285, 4077, 1269, 1909, 2038, 3061]}
20004918-06;20004918-06;2000491806;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20037932-03;20037932-03;2003793203;;;;90;;;90;;;150;;;30;;;;;0;360;0;{'1': [11002, 3675, 14006], '2': [11267, 10361, 8747], '3': [7586, 4644, 8485, 8489, 215], '4': [9730], '5': []}
