codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
20094213-01;20094213-01;2009421301;;;;90;;;150;;;;;;60;;;;;0;300;0;{'1': [2220, 7422, 7423], '2': [8040, 4752, 7984, 8025, 8026], '3': [], '4': [14055, 6455], '5': []}
20106305-01;20106305-01;2010630501;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20118967-03;20118967-03;2011896703;;;;255;;;300;;;330;;;170;;;;;0;1055;0;{'1': [10988, 4079, 4080, 8757, 8758, 13271, 13977, 13978, 6555], '2': [6784, 6785, 9289, 11966, 14444, 14445, 7183, 700, 701, 702], '3': [4032, 8957, 940, 941, 10322, 11961, 11962, 8955, 8956, 2269, 4031], '4': [1676, 13774, 13775, 13776, 13777, 10676], '5': []}
20091274-03;20091274-03;2009127403;;;;40;;;40;;;20;;;;;;;;0;100;0;{'1': [6144, 8899, 8797, 8336, 8337, 8338, 8339, 4093, 6142, 6143], '2': [6561, 6018, 1603, 1604, 369, 370, 11990, 6811, 1597, 1598], '3': [11975, 2056, 2000, 2032, 6942], '4': [], '5': []}
20073367-03;20073367-03;2007336703;;;;963;;;210;;;90;;;60;;;;;0;1323;0;{'1': [1408, 1409, 9734, 12189, 12190, 12191, 2333, 2334, 2335, 2336, 2337, 2338, 2339, 5154, 5155, 4134, 5156, 5157, 5158, 5159, 12192, 12193, 6585, 6587, 6589, 7491, 7492, 78, 14671, 14672, 8798, 14174, 14175], '2': [3041, 5249, 6285, 6353, 4536, 7866, 6651], '3': [12232, 7395, 11231], '4': [14656, 5831], '5': []}
20061998-03;20061998-03;2006199803;;;;90;;;120;;;330;;;420;;;30;;0;990;0;{'1': [5160, 5161, 5162], '2': [6006, 2189, 2174, 4622], '3': [14240, 10628, 11078, 11335, 12234, 10224, 11093, 11126, 10295, 10170, 10204], '4': [6651, 7131, 5962, 1356, 8942, 5969, 498, 6069, 5975, 5976, 5914, 6011, 6270, 511], '5': [970]}
20101182-06;20101182-06;2010118206;;;;60;;;60;;;;;;60;;;;;0;180;0;{'1': [14674], '2': [6652], '3': [], '4': [9604], '5': []}
00044569-25;00044569-25;0004456925;;;;15980;;;14920;;;12436;;;13650;;;1860;;0;58846;0;{'1': [10287, 10288, 10289, 10290, 10291, 10292, 10293, 10294, 4151, 14675, 14676, 12531, 12532, 12533, 12534, 12535, 12536, 12537, 12538, 12539, 12540, 2344, 2345, 2346, 2347, 2348, 2349, 2350, 2351, 2352, 2353, 2354, 2355, 2356, 2357, 2358, 2359, 2360, 2361, 2362, 2363, 2364, 2365, 2366, 2367, 2368, 2369, 2370, 2377, 2378, 2379, 2380, 2381, 2382, 2383, 2384, 2385, 2386, 2387, 2388, 2389, 2390, 2391, 2392, 2393, 2394, 2395, 2396, 2397, 14677, 14678, 14679, 14680, 14681, 14682, 14683, 14684, 14685, 14686, 14687, 14688, 14698, 14699, 14700, 14701, 14702, 14703, 14704, 14705, 14706, 14707, 14708, 14709, 14717, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 484, 485, 486, 487, 488, 489, 490, 14855, 14856, 14857, 14858, 14859, 14860, 14861, 2669, 2670, 2671, 2672, 2673, 2674, 2675, 2676, 8814, 8824, 13004, 13005, 13006, 13007, 13008, 13009, 13010, 13011, 13012, 13013, 768, 769, 770, 11049, 11094, 5163, 5164, 5165, 5166, 5167, 5168, 5169, 5170, 5171, 5172, 5173, 5174, 5175, 5176, 5177, 5178, 3139, 3140, 3141, 3142, 3143, 3144, 5188, 5189, 5190, 5191, 5192, 5193, 5194, 5195, 5196, 5197, 5198, 5199, 1152, 1153, 1154, 1210, 1211, 1212, 1234, 13533, 1255, 5408, 5409, 5410, 5411, 5412, 5413, 5414, 5415, 5416, 5417, 7494, 7495, 7496, 7497, 7498, 7499, 7500, 7501, 7502, 7503, 7504, 7505, 7506, 7507, 7508, 7509, 7510, 7511, 7520, 7521, 7522, 7523, 7524, 7525, 7526, 7527, 7528, 7529, 7530, 7531, 7532, 7533, 9738, 9739, 9740, 9741, 9742, 9743, 9744, 9745, 9746, 9747, 9748, 9749, 9750, 9751, 9752, 9758, 9759, 9760, 9761, 9762, 9763, 9764, 9765, 9766, 9767, 9768, 9769, 9770, 7721, 7722, 9773, 9771, 9772, 7726, 7723, 7724, 7725, 7727, 7728, 13884, 5751, 5752, 5753, 5754, 5755, 5756, 5757, 9948, 9949, 9950, 9951, 9952, 9953, 9954, 9955, 9956, 14062, 8038, 8039, 8040, 8041, 8042, 8043, 8044, 12196, 12197, 12198, 12199, 12200, 12201, 12202, 12203, 12204, 12205, 12206, 12207, 12208, 12209, 12210, 12211, 12212, 12213, 12214, 12215, 12216, 12217, 12218, 12219, 12220, 12221, 12222, 12223, 12224, 12235, 12236, 12237, 12238, 12239, 12240, 12241, 12242, 12243, 12244, 12245, 12246, 12247, 12248, 12249, 12250, 12251, 12252, 12253, 12254, 12255], '2': [6164, 2072, 6178, 6184, 12332, 6190, 2098, 14387, 10306, 2122, 8270, 10318, 2134, 10351, 117, 118, 119, 120, 4213, 10360, 10369, 2183, 12424, 8329, 8338, 6300, 4276, 6324, 14522, 10432, 12487, 8395, 6358, 8408, 6382, 2290, 8435, 2293, 12537, 14586, 12539, 14592, 6407, 2312, 4360, 4369, 2322, 4370, 10514, 2338, 2346, 8497, 4402, 2356, 12596, 14647, 2361, 4412, 14653, 10559, 2370, 10567, 12616, 10570, 12620, 14669, 2388, 12631, 14690, 6533, 6535, 6536, 6537, 4499, 6551, 6556, 4510, 10664, 12712, 4523, 2478, 8626, 4531, 10682, 4539, 2504, 14796, 12749, 4571, 8668, 14813, 14818, 4590, 4599, 4601, 8706, 2572, 2579, 14870, 535, 12829, 10782, 14877, 12832, 14880, 12836, 4657, 4666, 14922, 4683, 10839, 4699, 8800, 12896, 14948, 4711, 4718, 10873, 4735, 4736, 2689, 10892, 12944, 12945, 2706, 4766, 4770, 4773, 12965, 10925, 8889, 4796, 4821, 10969, 6877, 4830, 8933, 6886, 6888, 6889, 2809, 2811, 13058, 11024, 6930, 13079, 11032, 2858, 6981, 13135, 6999, 2907, 11124, 4984, 7046, 7049, 7057, 11159, 5023, 11169, 5035, 2996, 5049, 13247, 3009, 3010, 7114, 3021, 11214, 5072, 7121, 7140, 3062, 11259, 13310, 5121, 7172, 7202, 5156, 11307, 13422, 1147, 11400, 3222, 11416, 9383, 11432, 7339, 1197, 7353, 11454, 3267, 13513, 3275, 13526, 3315, 3321, 3325, 5377, 3339, 3347, 1301, 13591, 5405, 13597, 3361, 1315, 13607, 9519, 1331, 11581, 5441, 5454, 11598, 3410, 1372, 11618, 13679, 13699, 1417, 3473, 11672, 3490, 11687, 13739, 7601, 13748, 1466, 1474, 11714, 13768, 11726, 5588, 7637, 13780, 7641, 11743, 7651, 5605, 5621, 9719, 7686, 3602, 3610, 3620, 9773, 13883, 7746, 5702, 1608, 7752, 5710, 11859, 11860, 7771, 1630, 13922, 9831, 5737, 9839, 5749, 5751, 9848, 5772, 5779, 7828, 13973, 9879, 5791, 5795, 1701, 13989, 14005, 9912, 1722, 1732, 9928, 14034, 9941, 7923, 7924, 14074, 14084, 14101, 14103, 10010, 5924, 10023, 10036, 5946, 12090, 10060, 14163, 5988, 1896, 8041, 12137, 8043, 14184, 6002, 6008, 6011, 10114, 1923, 6034, 6035, 3991, 3992, 3993, 3994, 14243, 10152, 8106, 8125, 12222, 12249, 12255, 12269, 6128], '3': [12289, 2564, 7688, 10249, 2575, 4116, 9749, 11285, 1048, 2072, 3609, 5156, 12838, 12839, 8232, 5163, 556, 1068, 558, 5166, 11310, 1585, 12846, 563, 1075, 13364, 4150, 1594, 8253, 12351, 11328, 12865, 3143, 3655, 8264, 75, 11341, 2641, 1108, 12373, 598, 2647, 8280, 13398, 13913, 2651, 92, 4187, 5724, 10845, 612, 102, 8296, 3693, 4721, 8817, 13937, 8309, 4727, 9335, 1660, 7292, 9854, 11392, 2178, 3203, 2186, 12426, 4749, 4750, 7310, 145, 7321, 1182, 2718, 4768, 2722, 3235, 10914, 12450, 6310, 3751, 13480, 4777, 3754, 7337, 13484, 12462, 2735, 4273, 9906, 7859, 2742, 3255, 6328, 6838, 4282, 7350, 9910, 1725, 2749, 10425, 11453, 5313, 9922, 13502, 12997, 714, 5323, 1237, 2774, 7894, 2264, 1241, 5850, 13527, 7900, 2270, 5343, 14047, 8419, 7397, 9450, 10476, 5361, 7409, 8438, 1783, 247, 4345, 250, 5368, 6903, 11000, 12030, 11007, 4352, 9473, 2819, 7427, 1797, 10499, 266, 12554, 4366, 12047, 1296, 10512, 6419, 2836, 7444, 7958, 7965, 10528, 3362, 2340, 9508, 10021, 4903, 11559, 1835, 9515, 12588, 12591, 2352, 8500, 1333, 3895, 3896, 14135, 1851, 11579, 6973, 13117, 13122, 2883, 1861, 2379, 1356, 11597, 10575, 11599, 4945, 341, 6998, 343, 1368, 9558, 10583, 1372, 1374, 7006, 10593, 4962, 9571, 12129, 9063, 12649, 4971, 10604, 12141, 8046, 2415, 368, 4975, 4466, 9585, 14706, 9078, 11638, 7032, 12152, 2426, 9595, 2943, 8576, 12159, 9094, 12172, 2957, 7054, 11149, 13710, 9106, 1943, 13722, 2973, 5534, 6558, 6559, 6560, 13730, 2467, 11689, 9131, 9645, 432, 11185, 5042, 13745, 8117, 9143, 6074, 12220, 1981, 11200, 7106, 9155, 1476, 6085, 3014, 9157, 9159, 12228, 1483, 12235, 461, 1485, 8655, 9166, 11221, 12246, 6105, 5082, 13273, 3045, 3559, 12263, 1526, 1530, 507, 10239], '4': [10754, 6660, 2053, 9220, 8711, 7177, 522, 11787, 14860, 9229, 5648, 6672, 14865, 6676, 14869, 7702, 535, 9238, 2585, 4121, 3099, 12314, 5662, 12832, 14880, 4645, 14891, 14380, 13357, 2094, 4654, 5167, 8751, 14892, 5685, 1078, 7223, 14902, 5690, 7740, 1089, 10818, 12865, 13890, 13893, 2119, 3659, 8780, 4686, 14926, 5714, 4693, 7253, 5210, 3675, 3677, 7264, 10850, 1127, 7272, 7787, 109, 622, 14958, 4208, 2673, 3185, 6259, 4603, 3192, 8313, 2682, 3706, 11386, 14968, 13950, 14978, 5254, 2696, 3208, 4233, 5257, 14984, 14986, 11918, 11408, 13970, 5268, 3221, 5271, 152, 5785, 2202, 12440, 2718, 6303, 3745, 167, 5288, 11949, 3246, 7857, 11442, 3252, 11959, 11960, 4794, 7867, 4796, 14012, 702, 3774, 7872, 2241, 3267, 7876, 9414, 11462, 7882, 7883, 10443, 2253, 8398, 9423, 11984, 14027, 211, 14548, 10454, 729, 3803, 7391, 7904, 8417, 1765, 3816, 2282, 235, 9963, 5357, 12012, 5871, 7415, 11512, 12026, 7931, 1279, 11011, 6407, 9484, 783, 2319, 12047, 11028, 8984, 6429, 3870, 287, 6430, 8481, 2850, 11040, 12580, 13600, 14115, 4395, 11564, 2865, 5937, 307, 2870, 5947, 14139, 3902, 4415, 2880, 6465, 8002, 8513, 3908, 12608, 10054, 14663, 6984, 5964, 12624, 337, 5457, 9554, 10067, 5973, 1880, 10072, 7003, 12125, 3422, 2911, 12639, 12130, 3939, 3430, 3943, 1896, 5478, 9575, 6511, 10095, 1905, 370, 4469, 7030, 8566, 2936, 14715, 383, 2945, 389, 7557, 14726, 3977, 12688, 11153, 11665, 12693, 406, 12695, 2968, 3481, 14234, 3484, 6560, 7585, 10144, 7587, 12708, 10149, 4006, 2471, 5547, 3500, 5549, 8619, 9132, 6576, 13237, 14261, 12216, 443, 2492, 1981, 6076, 6588, 8636, 10181, 9158, 455, 12229, 459, 14796, 2509, 6097, 2002, 12754, 2004, 14292, 8665, 4570, 5596, 9180, 479, 2528, 10211, 13283, 997, 12773, 3559, 5607, 13286, 12268, 9198, 5615, 10224, 11761, 8693, 3574, 4086, 4598, 9209, 14842, 1019, 510], '5': [132, 1414, 783, 1682, 275, 1559, 665, 27, 1307, 2078, 293, 298, 177, 1586, 819, 438, 1082, 1723, 188, 189, 1597, 962, 451, 1347, 1603, 1223, 75, 332, 844, 972, 1099, 721, 1617, 83, 2005, 347, 1248, 1892, 613, 1390, 882, 759, 893]}
20004918-06;20004918-06;2000491806;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20037932-03;20037932-03;2003793203;;;;30;;;;;;;;;58;;;;;0;88;0;{'1': [505], '2': [], '3': [], '4': [14702, 5926], '5': []}
