codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
20094213-01;20094213-01;2009421301;;;;210;;;690;;;1050;;;30;;;;;0;1980;0;{'1': [6023, 6024, 14151, 13804, 13806, 6672, 1618], '2': [6273, 12677, 11785, 13326, 5519, 10772, 5798, 7337, 10419, 5188, 9162, 7898, 7652, 7654, 6891, 7150, 6896, 6901, 6906], '3': [2560, 7425, 8197, 6, 8327, 6409, 11536, 2194, 2963, 2585, 3740, 2076, 2080, 3874, 1062, 3367, 2606, 10039, 2108, 11454, 6211, 2118, 1865, 10954, 3276, 6992, 992, 3169, 109, 6384, 3061, 10749], '4': [9875], '5': []}
20106305-01;20106305-01;2010630501;;;;;;;480;;;30;;;120;;;;;0;630;0;{'1': [], '2': [10851, 12676, 12073, 11852, 8175, 11027, 8404, 11029, 2423, 8312, 9340, 12382], '3': [12701], '4': [2236, 1764, 701], '5': []}
20118967-03;20118967-03;2011896703;;;;60;;;450;;;240;;;120;;;;;0;870;0;{'1': [11897, 11902], '2': [9890, 5603, 14723, 6117, 7964, 11589, 7180, 5613, 5488, 9915, 6108, 12765], '3': [1571, 14756, 8678, 1354, 3509, 121, 764], '4': [2105, 7692, 7550], '5': []}
20091274-03;20091274-03;2009127403;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20073367-03;20073367-03;2007336703;;;;210;;;690;;;480;;;30;;;;;0;1410;0;{'1': [10756, 6898, 7219, 5045, 6202, 11803, 125], '2': [14049, 14530, 2051, 5258, 5676, 6029, 12780, 13776, 13937, 5491, 5075, 5493, 5843, 5850, 5467, 5661], '3': [1285, 364, 335, 2256, 2770, 2806, 696, 858, 699, 11613, 733], '4': [7543], '5': []}
20061998-03;20061998-03;2006199803;;;;510;;;1230;;;90;;;1080;;;;;0;2910;0;{'1': [14880, 8387, 9955, 7624, 6827, 6828, 10872, 6830, 9359, 7702, 7704, 7707, 10876, 7295], '2': [904, 905, 8328, 1804, 8462, 1424, 1169, 12049, 5267, 9110, 7191, 11677, 4001, 4642, 1827, 4008, 9005, 3888, 3889, 1074, 3890, 1206, 1595, 7611, 1218, 4163, 969, 9932, 1110, 1628, 1629, 9957, 1511, 1643, 1648, 1649, 1524, 635, 636], '3': [7840, 14513, 14510], '4': [6019, 1930, 9738, 4376, 4377, 5530, 1820, 1701, 4656, 8506, 2370, 5197, 3026, 2008, 1241, 2905, 8920, 4216, 10330, 5088, 2401, 8802, 2405, 2406, 2919, 2920, 4459, 2412, 5739, 10096, 4722, 8050, 5748, 9460, 2680, 10108], '5': []}
20101182-06;20101182-06;2010118206;;;;240;;;240;;;120;;;120;;;;;0;720;0;{'1': [2394, 4763, 10741, 4719], '2': [5745, 7642, 9666], '3': [760, 12087], '4': [8269, 9838], '5': []}
00044569-25;00044569-25;0004456925;;;;;;;90;;;;;;60;;;;;0;150;0;{'1': [], '2': [10952, 13694], '3': [], '4': [13889, 13901], '5': []}
20004918-06;20004918-06;2000491806;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20037932-03;20037932-03;2003793203;;;;;;;60;;;;;;;;;;;0;60;0;{'1': [], '2': [11573], '3': [], '4': [], '5': []}
20043344-05;20043344-05;2004334405;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20043340-05;20043340-05;2004334005;;;;1950;;;30;;;90;;;60;;;120;;0;2250;0;{'1': [3840, 3331, 3716, 3207, 2825, 2828, 3212, 3213, 2831, 2833, 3346, 2836, 3354, 3623, 2218, 171, 3119, 3122, 2612, 3125, 3255, 2232, 2748, 3132, 3134, 3135, 3136, 3016, 2761, 3659, 3148, 3152, 2769, 2770, 2643, 2644, 2645, 2771, 2135, 2136, 2137, 2138, 2139, 3033, 3675, 3169, 3560, 2411, 3310, 2799, 3711, 2801, 8946, 3839, 2804, 3703, 3707, 2941, 3838, 3583], '2': [8285], '3': [12088, 11946, 7839], '4': [9884, 9814], '5': [4321]}
20179173-01;20179173-01;2017917301;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20179173-02;20179173-02;2017917302;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20023511-03;20023511-03;2002351103;;;;300;;;210;;;270;;;90;;;;;0;870;0;{'1': [5184, 5248, 9954, 5193, 4555, 7280, 7282, 7284, 7286, 5529], '2': [2050, 9891, 14798, 2229, 7190, 10009], '3': [8710, 11947, 2380, 2797, 3725, 4177, 14706, 11932, 8382], '4': [13000, 13888, 9876], '5': []}
