codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;cantidad_total_6;cantidad_parcial_6;cantidad_pendiente_6;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
20094213-01;20094213-01;2009421301;;;;;;;;;;;;;180;;;;;;;;0;180;0;{'1': [], '2': [], '3': [], '4': [2518, 2519, 2520, 2521, 2522, 2523], '5': [], '6': []}
20106305-01;20106305-01;2010630501;;;;;;;;;;1230;;;360;;;120;;;;;0;1710;0;{'1': [], '2': [], '3': [13502, 13503, 13504, 13505, 13506, 13521, 13522, 13523, 13524, 13525, 13526, 13527, 13528, 13529, 13530, 13531, 13532, 13533, 13534, 13535, 13536, 13537, 13538, 13539, 13540, 13541, 13542, 13543, 13544, 13545, 13546, 13547, 13548, 13549, 13550, 13551, 13552, 13553, 13554, 13555, 13556], '4': [6015, 6011, 6012, 6013, 6014, 5887], '5': [404], '6': []}
20118967-03;20118967-03;2011896703;;;;;;;;;;;;;10;;;5540;;;;;0;5550;0;{'1': [], '2': [], '3': [], '4': [5682], '5': [5655, 5656, 5657, 5658, 5659, 5660, 5661, 5662, 5663, 5664, 5665, 5666, 5667, 5668, 5669, 5670, 5671, 5672, 5673, 5674, 5675, 5676, 5677, 5678, 5679, 5680, 5681, 5682, 5683, 5684, 5685, 5686, 5687, 5688, 5689, 5690, 5691, 5692, 5693, 5694, 5695, 5696, 5697, 5698, 5699, 5700, 5701, 5702, 5703, 5704, 5705, 5706, 5707, 5708, 5709, 5710, 5711, 5712, 81, 5713, 5714, 5715, 5716, 5717, 5718, 5719, 5720, 5721, 5722, 5723, 5724, 5725, 5726, 5727, 5728, 5729, 5730, 5731, 5732, 5733, 5734, 5735, 5736, 5737, 5738, 5739, 5740, 5741, 5742, 5743, 5744, 5745, 5746, 5747, 5748, 5749, 5750, 5751, 5752, 5753, 5754, 5755, 5756, 5757, 5758, 5759, 5760, 5761, 5762, 5763, 5764, 5765, 5766, 5767, 5768, 5769, 5770, 5771, 5772, 5773, 5774, 5775, 5776, 5777, 5778, 5779, 5780, 5781, 5782, 5783, 5784, 5785, 5786, 5787, 5788, 5789, 5790, 5791, 5792, 5793, 5794, 5795, 5796, 5797, 5798, 5799, 5800, 5801, 5802, 5803, 5804, 5805, 5806, 5807, 5808, 5809, 5810, 5811, 5812, 5813, 5814, 5815, 5816, 5817, 5818, 5819, 5820, 5821, 5822, 5823, 5824, 5825, 5826, 5827, 5828, 5829, 5830, 5831, 5832, 5833, 5834, 5835, 5836, 5837, 5838], '6': []}
20091274-03;20091274-03;2009127403;;;;;;;;;;;;;;;;;;;148;;0;148;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [4874, 2895, 2896, 2897, 2898, 2899, 2900, 2901, 2902, 2903, 2904, 2905, 2906, 2907, 2908, 2909, 2910, 2911, 2912, 2913, 2914, 2915, 2916, 2917, 2918, 2919, 2920, 2921, 2922, 2923, 2924, 2925, 2926, 2927, 2928]}
20073367-03;20073367-03;2007336703;;;;;;;;;;;;;;;;990;;;;;0;990;0;{'1': [], '2': [], '3': [], '4': [], '5': [13056, 13057, 13058, 13059, 13060, 13028, 13029, 13030, 13031, 13032, 13033, 13034, 13035, 13036, 13037, 13038, 13039, 13040, 13041, 13042, 13043, 13044, 13045, 13046, 13047, 13048, 13049, 13050, 13051, 13052, 13053, 13054, 13055], '6': []}
20061998-03;20061998-03;2006199803;;;;;;;;;;;;;;;;;;;120;;0;120;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [360, 357, 358, 359]}
20101182-06;20101182-06;2010118206;;;;;;;;;;;;;;;;;;;60;;0;60;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [2118]}
00044569-25;00044569-25;0004456925;;;;;;;270;;;120;;;480;;;;;;;;0;870;0;{'1': [], '2': [13611, 13612, 788, 789, 790, 791, 792], '3': [8160, 8157, 8158, 8159], '4': [2976, 2977, 2978, 12470, 2972, 2974, 2975], '5': [], '6': []}
20004918-06;20004918-06;2000491806;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20037932-03;20037932-03;2003793203;;;;;;;;;;;;;;;;90;;;;;0;90;0;{'1': [], '2': [], '3': [], '4': [], '5': [12136, 12137, 12140], '6': []}
20043344-05;20043344-05;2004334405;;;;;;;;;;;;;;;;300;;;;;0;300;0;{'1': [], '2': [], '3': [], '4': [], '5': [8354, 8355, 8356, 8357, 8358, 8359, 8360, 8362, 8363, 8364], '6': []}
20043340-05;20043340-05;2004334005;;;;;;;;;;;;;4;;;;;;1260;;0;1264;0;{'1': [], '2': [], '3': [], '4': [2210, 2211], '5': [], '6': [4875, 4876, 4877, 4878, 4879, 4880, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 4889, 4890, 4891, 1099, 1100, 1101, 1102, 1103, 1104, 5007, 5008, 5009, 4984, 4985, 4986, 4987, 4988]}
20179173-01;20179173-01;2017917301;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20179173-02;20179173-02;2017917302;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
