codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;cantidad_total_6;cantidad_parcial_6;cantidad_pendiente_6;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
20094213-01;20094213-01;2009421301;;;;1590;;;1800;;;1860;;;1650;;;1516;;;900;;0;9316;0;{'1': [10265, 10266, 10267, 10271, 10272, 10273, 10274, 3252, 3253, 3254, 3255, 3257, 10041, 829, 830, 831, 832, 3009, 835, 836, 837, 838, 839, 840, 5588, 5589, 5590, 5591, 5592, 5593, 609, 7911, 7912, 7913, 12775, 12778, 12779, 7917, 7918, 7919, 7920, 12780, 12781, 12782, 12783, 12784, 12785, 12786, 12787, 12788], '2': [10138, 10139, 10140, 10141, 10142, 10143, 10144, 9903, 9904, 4276, 4277, 4278, 12732, 13116, 13117, 13118, 13119, 13120, 13121, 13126, 13127, 13128, 13129, 13130, 13131, 13132, 13133, 12751, 4562, 4563, 4564, 4565, 4566, 4572, 4573, 4574, 999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1009, 1010, 1011, 1012, 1013, 7803, 7804, 7807], '3': [12035, 12036, 12037, 12038, 12039, 12040, 12041, 12042, 12043, 12048, 12049, 12050, 12051, 12052, 12053, 12054, 12055, 12056, 12057, 12058, 12059, 12060, 12061, 6763, 12062, 7210, 7211, 7212, 7213, 7214, 7221, 7222, 7223, 7224, 7225, 7226, 7227, 7228, 7229, 7230, 7231, 7232, 1985, 7233, 7234, 7235, 7236, 2409, 2410, 2411, 2412, 2413, 2414, 2415, 2416, 2417, 2418, 2419, 2420, 2421], '4': [11656, 11657, 11658, 11659, 11660, 11661, 11662, 11663, 7697, 7698, 4583, 7699, 7700, 7701, 7702, 7709, 7710, 7711, 7712, 7713, 7714, 1066, 11447, 11459, 7247, 7248, 14167, 14168, 14169, 4573, 4577, 4578, 4579, 4580, 1381, 1382, 1383, 4581, 4582, 1386, 1387, 1388, 1389, 1390, 1391, 1392, 1393, 1394, 13933], '5': [12288, 12289, 12290, 12291, 12292, 12293, 12294, 12295, 12296, 12297, 9100, 9101, 1575, 1576, 1577, 1578, 1579, 1580, 1581, 1582, 1583, 1584, 1585, 1586, 1587, 12078, 12721, 4279, 4280, 4284, 4285, 4286, 4287, 4288, 4289, 9307, 9308, 9309, 9310, 9311, 14184, 7156, 7157, 7158, 7159, 7160, 12285, 12286, 12287], '6': [8705, 8707, 8708, 8709, 8710, 6409, 6414, 6415, 6416, 6417, 6418, 6419, 6420, 6421, 6422, 3510, 3511, 3512, 3513, 3514, 3515, 3516, 79, 80, 351, 352, 353, 354]}
20106305-01;20106305-01;2010630501;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20118967-03;20118967-03;2011896703;;;;30;;;;;;;;;30;;;90;;;;;0;150;0;{'1': [5127], '2': [], '3': [], '4': [4078], '5': [8787, 8788, 11703], '6': []}
20091274-03;20091274-03;2009127403;;;;12;;;;;;;;;8;;;28;;;32;;0;80;0;{'1': [14779, 14780, 2413], '2': [], '3': [], '4': [13360, 10898], '5': [3273, 3274, 8369, 8370, 14264, 14265, 14266], '6': [5440, 5441, 5442, 5443, 5444, 8211, 5438, 5439]}
20073367-03;20073367-03;2007336703;;;;2470;;;1700;;;1590;;;1380;;;1500;;;573;;0;9213;0;{'1': [7251, 7252, 7253, 7254, 7255, 7256, 7257, 7258, 7259, 7260, 7261, 14972, 14973, 14974, 14975, 14976, 14977, 14978, 14979, 14980, 14981, 14982, 14983, 14984, 14985, 14986, 14987, 14988, 14989, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 11965, 11966, 11967, 11968, 11969, 11970, 11971, 9456, 7485, 4945, 4946, 4947, 4948, 4949, 4950, 4951, 4952, 4953, 4954, 4955, 4956, 9564, 9566, 9567, 9568, 9569, 9565, 7122, 2534, 2535, 2536, 2537, 2538, 2539, 2540, 2541, 2542, 2543, 2544, 2545, 2546], '2': [3588, 3589, 3590, 3591, 3592, 3593, 3594, 3595, 3596, 3597, 3598, 3599, 3600, 3601, 11930, 11931, 11932, 11933, 11934, 11935, 11936, 11937, 11938, 11939, 11940, 11941, 11942, 11943, 11944, 11945, 11946, 3402, 7132, 7133, 7134, 7135, 7136, 7137, 7138, 7139, 7140, 7141, 7142, 103, 7143, 7144, 7145, 9447, 9448, 9449, 9450, 9451, 9452, 9453, 9454], '3': [5679, 5680, 5681, 5682, 5683, 5684, 5685, 5686, 5687, 1080, 1081, 1082, 1083, 1084, 1085, 1086, 1087, 1088, 1089, 1090, 1091, 1092, 1093, 1094, 1095, 1096, 1097, 1098, 1099, 1100, 1101, 1102, 1103, 1104, 5688, 5689, 10675, 5690, 10676, 10677, 5691, 10673, 10678, 5692, 10679, 5693, 10680, 10681, 10682, 10674, 10683, 10684, 10685], '4': [11018, 11019, 11020, 11021, 11022, 11023, 11024, 13490, 3891, 3892, 3893, 3894, 3895, 3896, 3897, 3898, 13491, 13492, 13493, 13494, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 6375, 6376, 6377, 6378, 6379, 6380, 6381, 6382], '5': [911, 912, 913, 914, 915, 916, 3474, 3475, 3479, 3480, 3481, 3476, 3477, 3478, 3482, 3483, 3484, 3485, 3486, 3487, 3488, 3489, 11430, 11431, 11432, 11433, 11434, 11435, 11436, 11437, 11438, 11439, 8516, 8517, 8518, 8519, 8520, 8521, 8522, 8523, 8524, 8525, 8526, 14442, 14443, 14444, 14445, 14446, 14447, 14448], '6': [304, 5596, 5597, 5598, 8296, 8297, 2672, 2673, 2674, 2675, 2676, 2677, 2678, 2679, 2680, 2681, 2682, 2683, 2684, 2685]}
20061998-03;20061998-03;2006199803;;;;1860;;;780;;;810;;;1620;;;4047;;;;;0;9117;0;{'1': [4864, 7168, 7170, 7171, 7172, 9472, 2438, 2439, 2440, 9473, 2442, 9474, 9475, 9476, 9477, 9478, 9479, 9480, 14837, 14838, 9471, 14839, 14840, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 11841, 11842, 11843, 11844, 11845, 11846, 11847, 11848, 7165, 11849, 7166, 7167, 14833, 14834, 14835, 14836, 4853, 4854, 4855, 4856, 4857, 4858, 4859, 4860, 4861, 4862, 4863], '2': [3456, 3457, 3458, 3459, 7040, 3461, 7041, 7042, 9350, 9351, 9352, 9353, 9354, 9355, 11779, 11780, 11774, 3455, 11775, 11776, 11778, 11771, 11772, 11773, 7038, 7039], '3': [10496, 924, 925, 926, 927, 928, 929, 930, 931, 934, 935, 5483, 5484, 5485, 5486, 5489, 5490, 5491, 10486, 10487, 10488, 10489, 10490, 10491, 10493, 10494, 10495], '4': [13382, 13383, 13384, 13385, 13390, 13391, 13392, 10934, 10935, 10936, 10937, 10938, 10939, 10940, 13394, 193, 194, 195, 196, 197, 6214, 199, 200, 201, 6215, 6216, 6217, 6218, 6219, 6220, 6221, 6222, 6226, 13386, 13387, 13388, 13389, 3799, 3800, 3801, 13393, 3803, 13395, 13397, 13398, 13399, 13400, 13401, 13402, 13403, 13378, 13379, 13380, 13381], '5': [11265, 11266, 11267, 3359, 11268, 11269, 11270, 3360, 3361, 3362, 6678, 6679, 6680, 3363, 6681, 6682, 6683, 6684, 3364, 6685, 3365, 3366, 3367, 3368, 3369, 3370, 3371, 3372, 3373, 3268, 3270, 8416, 3308, 3309, 3310, 3311, 3312, 3313, 3314, 3315, 3316, 3317, 3318, 3319, 3320, 3321, 3322, 3323, 3324, 3325, 3326, 3327, 3328, 3329, 3330, 3331, 3332, 773, 774, 775, 776, 777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 3374, 3375, 3333, 3334, 3335, 3336, 3337, 3338, 3339, 3340, 3341, 3342, 3343, 3344, 3345, 3346, 3347, 3348, 3349, 1825, 3352, 3353, 3354, 3355, 3356, 3357, 3358], '6': []}
20101182-06;20101182-06;2010118206;;;;2610;;;1466;;;1350;;;780;;;240;;;60;;0;6506;0;{'1': [14858, 4872, 4873, 4874, 4875, 7305, 7181, 7182, 2447, 2448, 2449, 2450, 5008, 7183, 7184, 7185, 7186, 7187, 9489, 9490, 9491, 9492, 9493, 9494, 9495, 9496, 9627, 12058, 12059, 14859, 75, 76, 77, 78, 79, 80, 81, 82, 83, 11861, 11862, 11863, 11864, 11865, 14856, 14857], '2': [12034, 7054, 7055, 7056, 7057, 7058, 3476, 3477, 3478, 3479, 3480, 3481, 3482, 3483, 3484, 3485, 7064, 9366, 9367, 9507, 9508, 71, 72, 11797, 3679, 3680, 11798, 11799], '3': [5506, 5507, 5508, 5509, 5510, 5511, 10515, 10516, 10517, 10518, 10519, 10520, 947, 948, 949, 950, 951, 952, 953, 954, 955, 5849, 5850, 5856], '4': [3812, 3813, 10953, 10954, 208, 209, 210, 6484, 6485, 3958, 6490, 6235, 6236, 6237, 6238], '5': [825, 826, 11282, 11281], '6': [5498]}
00044569-25;00044569-25;0004456925;;;;11030;;;11200;;;8300;;;9110;;;6550;;;5240;;0;51430;0;{'1': [13372, 4147, 4148, 4149, 4150, 4151, 4152, 4153, 4154, 4155, 4156, 4157, 4158, 4159, 4160, 4161, 4162, 4163, 4164, 4165, 4166, 13374, 13375, 13376, 13377, 13378, 13379, 13380, 13381, 13382, 13383, 13384, 13385, 13386, 8788, 8789, 8790, 8791, 8792, 8793, 8794, 8795, 8796, 8797, 8798, 8799, 8800, 8801, 8802, 8803, 8804, 8805, 13964, 13965, 13966, 13967, 13953, 13954, 13955, 13956, 13957, 13958, 13959, 13960, 13961, 13962, 13963, 3724, 3725, 3726, 3727, 3728, 3729, 3730, 3731, 3732, 3733, 3734, 3735, 3736, 3737, 3738, 3739, 3740, 3741, 13984, 3745, 13985, 13986, 13987, 11440, 8372, 8373, 8374, 8375, 8376, 8377, 8378, 8379, 8380, 8381, 8382, 8383, 8384, 8385, 8386, 8387, 8388, 8389, 8390, 8391, 8392, 8393, 1738, 1739, 1740, 1741, 1742, 1743, 1744, 1745, 1746, 1747, 1748, 1749, 1750, 1751, 8399, 8400, 13373, 1771, 1772, 13369, 1296, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 13387, 13388, 13389, 13390, 13391, 13392, 13393, 13394, 13395, 13398, 6512, 6513, 6514, 6515, 6516, 6517, 6518, 6519, 6520, 6521, 6522, 6523, 6524, 11129, 11130, 11131, 11132, 11133, 11134, 11135, 11136, 11137, 11138, 11139, 11140, 11141, 11173, 11174, 6049, 6050, 6051, 6052, 6053, 6054, 6055, 6056, 6057, 6058, 6059, 6060, 6061, 6062, 6063, 6064, 6065, 6066, 6071, 6072, 9074, 10694, 10695, 10696, 10697, 10698, 10699, 10700, 10701, 10702, 10703, 10704, 10705, 10706, 10707, 10708, 10709, 10710, 10711, 10712, 10713, 10715, 10716, 13370, 4075, 13371], '2': [5292, 5293, 5294, 5295, 5296, 5297, 8249, 8250, 8251, 8252, 8253, 8254, 8255, 8256, 8257, 8258, 8259, 8260, 8261, 8262, 8263, 8264, 8265, 8267, 13927, 13928, 13929, 13930, 13931, 13932, 13933, 13934, 13935, 13936, 13937, 13938, 13939, 13940, 13941, 13942, 13943, 13944, 13945, 13946, 13947, 13948, 11056, 13949, 13950, 13956, 13957, 13958, 13959, 13960, 13961, 13962, 13963, 13964, 5263, 5264, 5265, 5266, 5267, 5268, 5269, 5270, 5271, 5272, 5273, 5274, 5275, 5276, 5277, 5278, 5279, 5280, 5281, 5282, 5283, 5284, 5285, 5286, 5287, 5288, 1705, 1706, 1707, 1708, 1709, 1710, 1711, 1712, 1713, 1714, 1715, 1716, 1717, 1718, 1719, 1720, 1721, 1722, 1723, 1724, 1725, 1726, 1727, 1728, 1729, 1730, 1731, 1732, 1733, 1734, 1735, 1736, 1737, 1739, 1740, 1741, 1742, 11057, 14594, 5934, 5935, 5936, 5937, 5938, 5939, 5940, 5941, 5942, 5943, 5944, 5945, 5946, 5947, 11059, 11060, 11061, 11062, 11063, 11064, 11065, 14717, 14718, 11055, 14719, 2377, 2378, 2379, 2380, 2381, 2382, 2383, 2384, 2385, 2386, 2387, 2388, 2389, 2390, 2391, 2392, 2393, 2394, 11058, 14723, 5991, 5992, 5993, 5994, 10612, 10613, 10614, 10615, 10616, 10617, 10618, 10619, 10620, 10621, 10622, 10623, 10624, 10625, 10626, 10627, 10628, 10629, 10630, 10631, 10632, 14720, 14721, 14722, 10636, 14724, 14725, 14726, 14727, 14728, 14729, 14730, 14731, 14732, 14733, 14767, 14768, 14769, 14770, 8670, 8671, 8672, 8673, 8674, 8675, 8676, 8677, 8678, 8679, 8680, 8681, 11086, 11087, 13296, 5291], '3': [8192, 8193, 8194, 8195, 8196, 8197, 8198, 8199, 8200, 8201, 8202, 8203, 8204, 8205, 8206, 8207, 8208, 8209, 8210, 8211, 8212, 8213, 13029, 8215, 8216, 8217, 8218, 13026, 13030, 13031, 13032, 13033, 13034, 13027, 4152, 4153, 4154, 4155, 4156, 4157, 4158, 4159, 4160, 4161, 4162, 4163, 4164, 4165, 4166, 4167, 4168, 4169, 4170, 4171, 4172, 4173, 4174, 4175, 13028, 13040, 13041, 13042, 13899, 13900, 13901, 13043, 13903, 13904, 13905, 13906, 13044, 13908, 13909, 13910, 13911, 13045, 13913, 13914, 13915, 13964, 13965, 13966, 212, 3298, 3299, 3300, 3301, 3302, 3303, 3304, 3305, 3306, 3307, 3308, 3309, 3310, 3311, 3312, 3313, 3314, 3315, 13035, 13036, 13037, 13038, 13039, 3321, 3322, 3323, 3324, 3325, 3326, 13046, 13047, 13048, 13049, 13050, 13051, 13052, 13053, 13054, 13055, 13056, 13057, 13058, 13059, 13060, 13895, 13079, 13080, 13081, 13082, 13083, 13896, 13897, 13898, 13902, 13907, 13912, 9104, 9105, 9106, 9107, 9108, 9109, 9110, 9111, 9112, 9113, 9114, 9115, 9116, 9117, 9118, 9119, 9120, 9121, 9122, 9123, 9124, 9125, 9126, 9127, 9128, 9129, 9130, 9131, 8182, 8183, 8184, 8185, 8186, 8187, 8188, 8189, 8190, 8191], '4': [2082, 2083, 2084, 2085, 2086, 2087, 2088, 2089, 2090, 2091, 2092, 2093, 2094, 2095, 2096, 2097, 2098, 2099, 2100, 2101, 2102, 2103, 2104, 2105, 2108, 2109, 2110, 5754, 12651, 2812, 2813, 2814, 2815, 2816, 2817, 2818, 2819, 2820, 2821, 2822, 14610, 14611, 14612, 14613, 14614, 14615, 14616, 14617, 14618, 14619, 14620, 14621, 14622, 14623, 14625, 14626, 14627, 14628, 2857, 2858, 2859, 2860, 12171, 9529, 9530, 9531, 9532, 9533, 9534, 9535, 9536, 9537, 9538, 9539, 9540, 9541, 9542, 9543, 9544, 9545, 9546, 9547, 9548, 12649, 12650, 5483, 5484, 5485, 5486, 5487, 5488, 5489, 5490, 9583, 9584, 12652, 12653, 12654, 12655, 12656, 12657, 12155, 12156, 12157, 12158, 12159, 12160, 12161, 12162, 12163, 12164, 12165, 12166, 12675, 8626, 12169, 12170, 8587, 8588, 8589, 8590, 8591, 8592, 8593, 8594, 8595, 8596, 8597, 8598, 8599, 8600, 8601, 8602, 8603, 8604, 8605, 8606, 8607, 8608, 8609, 8610, 8611, 8612, 8613, 8614, 8615, 8616, 8617, 8618, 8619, 8620, 8621, 8622, 8623, 8624, 8625, 5042, 5043, 5044, 5045, 5046, 5047, 5048, 5049, 5050, 5051, 5052, 5053, 5054, 5055, 5056, 5057, 5058, 5059, 5060, 5061, 5062, 5063, 5068, 5069], '5': [2597, 2598, 2599, 2600, 2601, 2602, 2603, 2604, 2605, 2606, 2607, 2608, 2609, 2111, 2112, 2113, 2626, 2114, 5700, 5701, 5702, 5703, 5704, 5705, 5706, 2115, 2116, 2117, 2118, 2119, 2120, 2121, 2122, 2123, 2125, 2126, 2127, 80, 81, 82, 83, 84, 85, 86, 87, 88, 12889, 12890, 12891, 12892, 12893, 5733, 5734, 5735, 5736, 5737, 12897, 12898, 12899, 12901, 12902, 111, 112, 113, 114, 9861, 9862, 9863, 9864, 9865, 9866, 9867, 9868, 9869, 9870, 9871, 9872, 9873, 9874, 9877, 9878, 10401, 10402, 10403, 10404, 10405, 10406, 10407, 10408, 10409, 10410, 10411, 10412, 10413, 13479, 13480, 13481, 13482, 10428, 13504, 10981, 7913, 7914, 7915, 7916, 7917, 12894, 12895, 12896, 7570, 7571, 7572, 7573, 7574, 7575, 7576, 7577, 7578, 7579, 12903, 12904, 2627, 5040, 5041, 5042, 5043, 5044, 5045, 5046, 5047, 5048, 5049, 5050, 5051, 5056, 5057, 5058, 5059, 2128, 2129, 2130, 2131], '6': [4098, 4099, 4100, 4101, 4102, 1018, 1019, 1020, 1021, 4632, 4633, 4634, 1562, 4636, 1563, 1564, 1565, 1566, 1567, 1568, 1569, 1570, 1571, 1572, 1573, 1574, 1575, 1576, 4079, 4080, 4657, 1591, 1592, 4085, 4086, 9311, 9312, 9313, 9314, 9315, 9316, 9317, 9327, 4635, 4637, 4638, 4639, 9041, 9042, 9043, 7508, 7509, 9044, 9045, 9046, 9047, 9048, 7523, 7012, 7013, 7014, 7015, 7016, 7017, 7018, 7019, 7020, 7021, 7022, 7024, 7025, 7026, 7027, 7028, 7029, 4982, 7030, 1015, 1009, 1010, 1011, 7524, 1012, 1000, 1001, 1002, 1003, 1004, 4077, 4078, 1005, 1006, 4081, 4082, 4083, 4084, 1007, 1008, 4087, 4088, 4089, 4090, 4091, 4092, 4093, 1013, 1014]}
20004918-06;20004918-06;2000491806;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20037932-03;20037932-03;2003793203;;;;120;;;178;;;480;;;120;;;120;;;90;;0;1108;0;{'1': [12067, 9636, 9637, 12068], '2': [3690, 9519, 86, 87, 88, 89], '3': [1228, 5876, 5877, 5878, 5879, 5375], '4': [6504, 441, 11078, 6503], '5': [14545, 14546, 11516, 11517], '6': [2761, 5661, 5662]}
