codigo_neg,cantidad_entregada
AP20040,1
AP20044,30
AP20044,30
AP20044,80
AP20044,30
AP20044,15
AP20044,30
AP20044,30
AP20044,9
AP20044,30
AP20044,60
AP20044,40
AP20044,30
AP20044,21
AP20044,30
AP20044,15
AP20044,60
AP20044,30
AP20044,30
AP20044,1
AP20044,18
AP20044,30
AP20044,30
AP20044,30
AP20044,60
AP20044,30
AP20044,30
AP20123,30
AP20142,30
AP20142,90
AP20142,90
AP20142,90
AP20142,90
AP20142,30
AP20142,90
AP20142,90
AP20142,30
AP20142,90
AP20142,90
AP20142,90
AP20142,90
AP20142,90
AP20142,90
AP21743,60
AP21836,15
AP23790,90
AP23790,60
AP23790,30
AP23790,180
AP-Aguja Insulina,90
AP-Aguja Insulina,90
AP-Aguja Insulina,90
AP20216,1
AP20216,1
AP20216,1
AP20216,1
AP20216,1
AP20218,2
AP20242,8
AP20242,4
125115,60
AP20262,90
AP20262,90
AP20366,84
AP20366,84
AP20349,60
AP20349,90
AP20349,30
AP20349,90
AP20349,90
AP20349,60
AP20349,90
AP20349,90
AP20349,180
AP20349,90
AP20407,1
AP20409,15
AP20409,24
AP20496,90
AP20496,90
AP20496,90
AP20496,90
AP20496,90
AP20496,30
AP20496,90
AP20496,90
AP20496,90
AP20496,90
AP20496,90
AP20496,90
AP20496,90
AP20496,90
AP20496,60
AP20498,30
AP20498,30
AP20498,90
AP20498,90
AP20498,90
AP20498,30
AP20498,90
AP20498,90
AP20498,90
AP20498,90
AP20498,90
AP20498,90
AP20498,90
AP20520,1
AP20520,1
AP20520,2
AP20524,3
AP20524,3
AP20546,1
AP20546,1
AP20546,1
AP20546,3
AP20547,1
AP20547,1
AP20566,1
AP20596,1
AP20596,1
AP20596,2
AP20596,2
AP20653,10
AP20659,90
AP20679,4
AP20776,90
AP20776,90
AP20776,90
AP20776,30
AP20776,30
AP20776,90
AP20778,60
AP20822,90
AP20844,60
AP20844,135
AP20768,30
AP20768,90
AP20768,20
AP20768,60
AP20880,90
AP20882,60
AP20894,28
AP20894,28
AP20894,2
AP20998,6
AP21048,14
AP21048,12
AP21065,1
AP21078,180
AP21082,60
AP23430,6
AP23430,1
AP21114,1
AP21114,2
AP21114,3
AP21114,1
AP21114,3
AP21114,3
AP21114,3
AP21115,1
AP21115,1
AP21118,7
AP21134,90
AP21137,6
AP21137,12
AP23436,1
AP21281,1
AP21270,6
AP21270,3
AP21270,6
AP21270,1
AP21347,15
AP21347,21
AP21353,1
AP21353,1
AP21353,2
AP21371,1
AP21372,30
AP21372,90
AP21374,2
AP21475,180
AP21480,60
AP21480,90
AP21480,180
AP21480,90
AP21480,90
AP21481,90
AP21532,30
AP21539,60
AP21539,90
AP21539,30
AP21539,90
AP21539,7
AP21539,30
AP21539,30
AP21539,60
AP21542,60
AP21542,30
AP21542,60
AP21542,60
AP21552,90
AP21585,1
AP21585,2
AP21771,2
AP21791,4
AP21813,90
AP21813,30
AP21861,6
AP21861,1
AP21873,6
AP21873,1
AP21874,90
AP21874,90
AP21874,90
AP21874,90
AP21903,90
AP21909,3
AP21987,30
AP21987,30
AP21987,90
AP21987,90
AP21987,90
AP21987,90
AP21987,90
AP21987,90
AP21987,90
AP21987,7
AP21987,90
AP21987,90
AP21987,90
AP21987,30
AP21987,90
AP22015,3
AP24424,1
AP24424,1
AP20287,3
AP20287,1
AP20287,3
AP20287,2
AP22081,30
AP22081,20
AP22081,9
AP22081,15
AP22081,20
AP22081,30
AP22081,10
AP22081,12
AP22081,30
AP22081,9
AP22112,30
AP21618,1
AP22190,9
AP22190,3
AP22281,2
107837,3
107837,3
AP22310,90
AP22312,60
AP22330,9
AP22342,180
AP-Lancetas,100
AP-Lancetas,90
AP-Lancetas,100
AP22350,84
AP22374,60
AP22374,90
AP22374,60
AP22375,90
AP22399,2
AP22399,2
AP22399,1
AP22399,2
AP22399,2
AP22399,2
AP21607,21
AP21607,21
AP21607,21
AP21607,21
AP21606,21
AP22414,30
AP22416,90
AP22421,30
AP22421,30
AP22421,30
AP22421,90
AP22421,30
AP22421,30
AP22421,90
AP22421,90
AP22421,30
AP22421,30
AP22422,60
AP22422,90
AP22422,60
AP22422,60
AP22424,90
AP22431,1
AP22481,3
AP22481,5
AP22481,90
AP22481,6
AP22482,1
AP22482,1
AP22490,180
AP22490,180
AP22490,180
AP22491,60
AP22491,60
AP22491,60
AP22491,180
AP22491,180
AP22491,180
AP22491,180
AP22491,180
AP22491,180
AP22491,60
AP22491,180
AP22491,180
AP22491,60
AP22491,60
AP22491,60
AP22491,180
AP22491,60
AP22491,60
AP22491,60
AP22491,180
AP22491,15
AP21571,1
AP21571,1
AP21571,1
AP21571,1
AP21571,1
AP21571,1
AP21571,1
AP21571,1
AP21571,1
AP22537,20
AP22537,20
AP22542,20
AP22573,12
AP22572,90
AP22587,60
AP22616,45
AP22623,20
AP22623,10
AP22623,6
AP22623,16
AP22623,14
AP22623,10
AP22623,30
AP22623,20
AP22624,9
AP22708,30
AP22724,3
AP22790,2
AP22794,21
AP22794,15
AP22794,21
AP22794,30
AP22794,21
AP22794,15
AP22794,20
AP22794,15
AP22838,90
AP22850,60
AP22850,180
AP22854,3
AP22854,1
AP22860,1
AP22863,6
AP22867,20
AP22867,21
AP22879,30
AP22889,30
AP22906,15
AP22906,45
AP22906,90
AP22906,30
AP22906,30
AP22906,120
AP22906,90
AP22906,90
AP22912,5
AP22914,12
AP22914,6
AP22912,10
AP23880,3
AP23880,3
AP23880,3
AP23880,3
AP23880,3
AP23880,3
AP23880,3
AP23065,6
AP23146,90
AP23146,180
AP23154,10
AP23154,20
AP23159,3
AP23168,90
AP-Preservativos,10
AP-Preservativos,15
AP-Preservativos,15
AP-Preservativos,15
AP-Preservativos,10
AP23204,30
AP23253,28
AP23253,28
AP23267,90
AP23267,30
AP23299,90
AP23301,90
AP23301,30
AP23301,30
AP23322,1
AP23322,3
AP23330,1
AP23367,60
AP23369,90
AP23369,60
AP23425,9
AP23503,6
AP22502,6
AP22502,1
AP23887,6
AP23887,2
AP22068,3
AP22068,1
AP22068,1
AP22068,1
AP22069,30
AP22069,30
AP22072,30
AP23556,60
AP23556,90
AP21458,30
AP23610,1
AP23610,1
AP23611,30
AP23611,20
AP23611,30
AP23611,90
AP23624,8
AP23624,12
AP-Tiras Reactivas,100
AP-Tiras Reactivas,100
AP-Tiras Reactivas,90
AP23671,2
AP23691,90
AP23691,60
AP23396,60
AP23719,180
AP23719,40
AP23719,120
AP23809,84
AP23813,84
AP23813,90
AP23847,60
AP23847,60
AP23240,4
AP23240,4
AP23240,4
AP23240,4
AP20466,90
AP20466,30
AP20466,30
AP20466,20
AP20466,60
AP20466,30
AP21140,4
AP23653,30
AP20496,90
AP22491,60
AP22431,1
AP20778,90
AP24027,15
AP21137,12
AP23168,5
AP21333,2
AP22491,30
AP21189,28
AP22491,60
AP21874,15
AP21874,30
AP20778,60
AP23167,30
AP22491,60
AP21427,1
AP20646,1
AP21190,84
AP22424,30
AP20778,60
AP23283,30
AP22549,30
AP21191,56
AP22260,30
AP23154,30
AP21987,30
AP21384,180
AP21189,28
AP21191,56
AP21333,1
AP24191,1
AP20717,1
AP20872,1
AP22424,60
AP21189,28
AP20471,30
AP22424,30
AP21771,3
AP21117,1
AP20496,90
AP23093,1
AP24191,1
AP23067,1
AP24191,1
AP22491,60
AP21987,30
AP21863,2
AP21137,4
117637,10
AP20498,30
AP21427,1
AP23486,3
AP20778,60
AP20496,60
AP21480,120
AP22130,30
AP22539,15
AP21814,2
AP21587,21
AP21189,28
AP24533,1
AP20872,1
163448,90
AP22542,20
AP21189,56
AP22542,60
AP21190,56
AP24027,5
AP22366,30
AP21229,30
AP20919,30
AP23946,57
AP22532,60
AP23396,60
AP24027,20
AP20607,3
AP23299,90
AP21213,30
AP21333,3
AP23204,30
AP22491,60
AP21987,90
AP20496,30
AP22424,30
AP22725,1
AP21987,60
AP22416,60
AP20349,60
AP22906,20
AP23736,1
AP21539,10
AP21434,14
AP22670,7
AP22537,20
AP22623,20
AP21791,13
AP21061,3
AP21533,90
AP22700,30
AP22906,30
AP20349,30
AP22081,10
AP21115,1
AP21791,4
AP21863,1
AP23847,30
AP20494,30
AP22798,20
AP23588,1
AP24533,2
AP21162,30
AP20044,20
AP22423,30
AP23168,30
AP22724,1
AP23322,1
AP21994,30
AP20142,30
AP20136,1
AP22734,30
AP21539,60
AP21166,1
AP21061,3
AP21256,2
AP22043,30
AP20682,2
AP21987,90
AP23301,90
AP22597,56
AP22491,60
AP23168,20
AP23813,60
AP21994,90
AP22724,2
AP20498,30
AP22597,56
AP22456,5
AP22081,15
AP21333,2
AP22906,24
AP20365,28
AP21552,30
AP20880,60
AP24533,2
AP21552,30
AP20882,60
AP24219,30
AP23813,180
AP21987,90
AP20142,90
AP22422,90
AP20873,1
AP21539,10
AP22724,1
AP21769,20
AP22521,1
AP21125,1
AP22425,90
AP20742,8
AP23611,30
AP22349,56
AP23611,60
AP20349,30
AP22491,180
AP21333,1
AP23512,60
AP22668,15
AP21623,10
AP21618,1
AP21618,1
AP22491,60
AP20446,60
AP23299,30
AP20044,9
AP20409,21
AP21115,1
AP21791,4
AP21539,30
AP22007,28
AP21743,30
AP22191,1
AP20218,2
AP20044,20
AP21454,23
AP23168,90
AP22830,1
AP23204,60
AP21137,5
AP22863,6
AP20882,60
AP23299,30
AP22906,60
AP20142,30
AP20882,60
AP20496,30
AP20142,30
AP20397,30
AP21618,1
AP21480,60
AP20659,30
AP20498,30
AP21473,30
AP20142,30
AP23297,34
AP20778,60
AP21618,1
AP21333,2
AP24085,90
AP20349,60
AP20882,60
AP22436,30
AP21618,1
AP20142,30
C10BA9913C01,30
AP24151,60
AP21552,30
AP22081,30
AP23204,30
AP20594,30
AP22366,30
AP21162,30
AP21333,1
AP22794,14
AP21333,1
AP21166,3
AP22899,3
AP22491,60
AP21618,1
129816,2
AP22597,28
AP22491,90
AP21357,120
AP23168,90
125115,60
AP20142,90
AP23813,84
AP20882,180
AP21539,30
AP23299,30
AP20112,14
AP20142,30
AP22906,30
AP23301,30
AP20778,120
AP20592,20
AP23299,90
AP21819,1
AP20407,2
AP21333,2
AP21328,30
AP22542,60
AP21333,1
AP22405,1
AP21189,28
AP22374,90
AP23807,60
AP20354,60
AP21333,1
AP22405,1
AP20773,30
AP23168,5
AP21187,40
AP21333,2
AP22798,21
AP20596,2
AP21806,1
H03AA0113C05,25
AP22249,30
AP21993,180
AP20778,60
AP21164,30
AP21987,30
AP20498,30
AP22491,120
AP22444,2
AP20882,120
AP21162,30
AP22405,1
AP22810,28
AP23301,30
AP20679,3
AP24357,40
AP24194,1
AP21074,60
AP22405,1
H03AA0113C11,25
AP21623,30
AP21536,10
AP21138,90
AP22810,84
AP22584,30
AP23039,60
H03AA0113C09,25
AP20142,30
AP20498,30
AP22581,30
AP23050,30
AP20112,20
AP22810,84
AP22405,1
AP21863,4
AP20108,20
AP20218,6
AP21836,30
AP23611,30
AP20776,30
AP22072,30
AP20794,60
AP21156,30
H03AA0113C09,25
AP22456,5
AP22405,1
AP21333,1
AP20044,60
AP21125,1
AP24121,30
AP22623,14
AP21353,2
AP22539,10
AP21109,30
AP22405,1
