codigo_neg,cantidad_entregada
AP20767,30
AP22069,30
AP21137,12
AP20465,15
AP23624,6
AP23240,15
AP20281,1
AP22481,15
AP21137,4
AP21539,5
AP20044,9
AP21089,10
AP22794,6
AP23330,3
AP22618,630
AP20044,30
AP20349,30
AP20044,20
AP20894,20
AP22104,15
AP22377,1
AP23204,90
AP23316,10
AP23330,5
AP20873,1
AP20548,4
AP20218,2
AP-Preservativos,15
AP22482,1
AP20218,2
AP21571,1
AP21536,32
AP22476,9
AP22624,9
AP23316,10
AP23330,2
AP21371,2
AP23369,60
AP20873,1
AP21238,30
AP21434,60
AP23240,30
AP20216,1
AP22098,1
AP20218,2
AP24354,1
AP20218,2
AP20218,2
AP21263,28
AP22889,30
AP24085,60
AP22829,30
AP22863,6
AP23691,60
AP23681,13
AP22522,30
AP22899,1
AP21237,2
AP23322,2
AP20216,1
AP21238,30
AP21258,1
AP22794,14
AP22854,1
AP23536,2
125115,60
125115,60
AP21256,1
AP21139,1
AP21114,1
AP21256,1
AP23536,1
AP20040,1
AP23884,1
AP22070,1
AP23240,4
AP20465,30
AP20873,1
AP20922,5
AP22098,1
AP23884,2
AP21061,1
AP22724,2
125115,30
AP23884,4
AP20465,25
AP20722,1
AP21237,2
AP22734,90
AP21825,2
AP22936,5
AP21114,1
AP23265,1
AP20218,2
125115,30
125115,30
AP23067,1
AP20281,4
AP22421,30
AP22070,1
AP23240,4
AP20216,1
AP22724,2
AP23884,2
AP20462,1
AP23043,1
AP21173,1
AP22281,1
AP21819,1
AP23322,2
AP22070,3
AP20219,1
AP23884,2
AP21237,1
AP21255,1
AP22906,30
AP23093,2
AP22906,30
AP22899,1
AP20121,30
AP21624,20
AP23168,28
AP20218,2
AP20882,60
AP21189,84
AP21874,90
AP23301,30
AP20349,30
AP23299,30
AP23809,30
AP23299,90
AP23396,20
AP22541,3
AP23466,90
AP20875,1
AP21480,30
AP22431,3
AP21162,30
AP22537,10
AP21371,2
AP23369,120
AP20998,28
AP22043,30
AP21542,30
AP21743,30
AP-Aguja Insulina,30
AP20347,30
AP21191,56
AP-Lancetas,50
AP-Tiras Reactivas,50
AP23809,30
AP23946,90
AP22043,60
AP20409,56
AP21039,28
AP21480,60
AP21542,28
AP23299,30
AP20655,28
AP21039,28
AP21333,1
AP21347,15
AP22623,15
AP20121,10
AP20044,21
AP20778,60
AP20496,90
AP22491,60
AP22707,30
AP23556,30
AP20655,28
AP23093,1
AP23662,84
AP20496,90
AP21189,28
AP21270,2
AP21353,2
AP22587,90
AP21987,30
AP22491,60
AP20142,90
AP20496,90
AP23167,30
AP23001,30
AP23556,30
AP21191,168
AP20142,30
AP22120,20
AP21993,60
AP23091,1
AP23299,30
AP22829,20
AP23790,100
AP23267,100
AP23691,30
AP24085,10
AP22623,10
AP22794,15
AP23611,15
AP23807,90
AP21542,30
AP22336,90
AP21191,168
AP22424,90
AP20349,30
AP20498,30
AP21189,28
AP21994,30
AP22491,30
AP22581,60
AP23299,30
AP20465,15
AP22747,1
AP22794,20
AP21039,28
AP20593,60
AP20655,42
AP21993,60
AP20894,40
AP21347,14
