codigo_neg,cantidad_entrega,tipo_entrega
AP20040,1,TOTAL
AP20044,30,TOTAL
AP20044,30,TOTAL
AP20044,80,TOTAL
AP20044,30,TOTAL
AP20044,15,TOTAL
AP20044,30,TOTAL
AP20044,30,TOTAL
AP20044,9,TOTAL
AP20044,30,TOTAL
AP20044,60,TOTAL
AP20044,40,TOTAL
AP20044,30,TOTAL
AP20044,21,TOTAL
AP20044,30,TOTAL
AP20044,15,TOTAL
AP20044,60,TOTAL
AP20044,30,TOTAL
AP20044,30,TOTAL
AP20044,1,TOTAL
AP20044,18,TOTAL
AP20044,30,TOTAL
AP20044,30,TOTAL
AP20044,30,TOTAL
AP20044,60,TOTAL
AP20044,30,TOTAL
AP20044,30,TOTAL
AP20142,30,TOTAL
AP20142,90,TOTAL
AP20142,90,TOTAL
AP20142,90,TOTAL
AP20142,90,TOTAL
AP20142,30,TOTAL
AP20142,90,TOTAL
AP20142,90,TOTAL
AP20142,30,TOTAL
AP20142,90,TOTAL
AP20142,90,TOTAL
AP20142,90,TOTAL
AP20142,90,TOTAL
AP20142,90,TOTAL
AP20142,90,TOTAL
AP21743,60,TOTAL
AP21836,15,TOTAL
AP-Aguja Insulina,90,TOTAL
AP-Aguja Insulina,90,TOTAL
AP-Aguja Insulina,90,TOTAL
AP20216,1,TOTAL
AP20216,1,TOTAL
AP20216,1,TOTAL
AP20216,1,TOTAL
AP20216,1,TOTAL
AP20218,2,TOTAL
AP20242,8,TOTAL
AP20242,4,TOTAL
AP20262,90,TOTAL
AP20262,90,TOTAL
AP20366,84,TOTAL
AP20366,84,TOTAL
AP20349,60,TOTAL
AP20349,90,TOTAL
AP20349,30,TOTAL
AP20349,90,TOTAL
AP20349,90,TOTAL
AP20349,60,TOTAL
AP20349,90,TOTAL
AP20349,90,TOTAL
AP20349,180,TOTAL
AP20349,90,TOTAL
AP20407,1,TOTAL
AP20409,15,TOTAL
AP20409,24,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,30,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,90,TOTAL
AP20496,60,TOTAL
AP20498,30,TOTAL
AP20498,30,TOTAL
AP20498,90,TOTAL
AP20498,90,TOTAL
AP20498,90,TOTAL
AP20498,30,TOTAL
AP20498,90,TOTAL
AP20498,90,TOTAL
AP20498,90,TOTAL
AP20498,90,TOTAL
AP20498,90,TOTAL
AP20498,90,TOTAL
AP20498,90,TOTAL
AP20520,1,TOTAL
AP20520,1,TOTAL
AP20520,2,TOTAL
AP20524,3,TOTAL
AP20524,3,TOTAL
AP20546,1,TOTAL
AP20546,1,TOTAL
AP20546,1,TOTAL
AP20546,3,TOTAL
AP20547,1,TOTAL
AP20547,1,TOTAL
AP20566,1,TOTAL
AP20596,1,TOTAL
AP20596,1,TOTAL
AP20596,2,TOTAL
AP20596,2,TOTAL
AP20653,10,TOTAL
AP20679,4,TOTAL
AP20776,90,TOTAL
AP20776,90,TOTAL
AP20776,90,TOTAL
AP20776,30,TOTAL
AP20776,30,TOTAL
AP20776,90,TOTAL
AP20778,60,TOTAL
AP20822,90,TOTAL
AP20768,30,TOTAL
AP20768,90,TOTAL
AP20768,20,TOTAL
AP20768,60,TOTAL
AP20880,90,TOTAL
AP20882,60,TOTAL
AP20894,28,TOTAL
AP20894,28,TOTAL
AP20894,2,TOTAL
AP20998,6,TOTAL
AP21048,14,TOTAL
AP21048,12,TOTAL
AP21078,180,TOTAL
AP21082,60,TOTAL
AP21114,1,TOTAL
AP21114,2,TOTAL
