codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;cantidad_total_6;cantidad_parcial_6;cantidad_pendiente_6;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP20038;AP20038;AP20038;;;;;;1;;;;;;1;;;;;;;;;2;0;0;2;{'1': [], '2': [9596], '3': [], '4': [13373], '5': [], '6': []}
AP20040;AP20040;AP20040;;;167;;;111;;;116;;;160;;;150;;;33;;;737;0;0;737;{'1': [6146, 3587, 10759, 7185, 6721, 14420, 3157, 14933, 10329, 10841, 11356, 93, 11877, 10346, 107, 11375, 10360, 4219, 13960, 14477, 13970, 2707, 8889, 1214, 11968, 10946, 6356, 731, 11498, 8428, 10991, 767, 7431, 5897, 6421, 14109, 8484, 7466, 7979, 14133, 13630, 3909, 13131, 11088, 4434, 14165, 11095, 6004, 11636, 12665, 10619, 12156, 1926, 903, 5514, 11148, 3472, 1427, 9626, 12705, 14244, 14248, 4527, 9140, 11200, 14787, 14277, 8136, 6091, 12247, 7127, 4059, 1499, 3549, 1508, 10726, 5096, 9201, 8696, 3580], '2': [14850, 1166, 11662, 10512, 7441, 13071, 13838, 8980, 149, 14478, 11673, 8733, 14751, 13348, 1449, 9770, 7596, 13998, 9391, 9520, 13233, 4923, 11451, 1214, 1855, 10303, 9025, 4674, 8516, 11589, 2634, 12747, 13515, 13906, 9171, 9939, 7765, 11475, 11866, 5214, 10080, 13281, 3554, 99, 8934, 14438, 14567, 13291, 109, 7791, 1523, 12531, 14070, 14327, 10616, 8954, 1532, 12541, 12158], '3': [9728, 12931, 4996, 13943, 10761, 5514, 5003, 12939, 3469, 3343, 13967, 6420, 12823, 1659, 5276, 6427, 7326, 8863, 1314, 12962, 1957, 8362, 12203, 11820, 5551, 5297, 6455, 11576, 1978, 11639, 5956, 13511, 11337, 6090, 14924, 13134, 11346, 3289, 13145, 3039, 3553, 7649, 14946, 4325, 9321, 9067, 2924, 5996, 7148, 9198, 14446, 10225, 7666, 7794, 11505, 373, 14961, 1015, 10233, 1531], '4': [1028, 12, 3084, 3597, 3098, 9251, 7210, 4144, 14400, 4677, 1607, 12883, 10324, 3160, 2137, 14946, 10347, 10864, 6785, 12939, 2189, 10382, 3736, 6308, 683, 6828, 2221, 1202, 8370, 2231, 6337, 1731, 4811, 2257, 2264, 1753, 742, 11495, 1769, 1258, 12525, 2805, 6904, 10489, 1785, 14600, 272, 5402, 6435, 2878, 12614, 1864, 13644, 6495, 7015, 6003, 372, 7549, 2943, 7554, 1421, 1425, 10650, 4509, 8093, 12706, 3499, 6061, 6073, 6589, 8638, 10688, 14788, 6597, 13767, 14279, 4553, 7118, 5078, 2014, 13790, 487, 10743, 8188, 509], '5': [4609, 9733, 2950, 6022, 7303, 13317, 1035, 14219, 14859, 13838, 7311, 912, 12689, 9108, 12053, 791, 10521, 7578, 1694, 12190, 2592, 3744, 1442, 4002, 5923, 11554, 13470, 3624, 4136, 10283, 1324, 14766, 4911, 689, 5937, 947, 10931, 1589, 3893, 2359, 9141, 11444, 14133, 5949, 703, 2240, 4288, 7234, 3907, 9284, 1605, 4293, 7290, 11201, 4681, 5843, 12500, 3799, 9815, 1372, 7008, 4321, 2146, 11878, 3816, 10987, 11885, 4209, 1784, 7034, 2300, 2301, 4478], '6': [32, 4672, 4228, 2597, 4709, 3591, 2383, 3663, 9372, 754, 12627, 2359, 3224, 2873, 3227, 1084, 2685]}
AP20041;AP20041;AP20041;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
AP20042;AP20042;AP20042;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
AP20045;AP20045;AP20045;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
AP20044;AP20044;AP20044;;;16461;;;15913;;;14559;;;15992;;;13145;;;5319;;;81389;0;0;81389;{'1': [4102, 10250, 14346, 4114, 6165, 24, 2086, 2099, 4156, 61, 8253, 14397, 14400, 8258, 12358, 2122, 6220, 4173, 10320, 6227, 4183, 8283, 4197, 6246, 14442, 12400, 4210, 14450, 14452, 8309, 8316, 4224, 6275, 10372, 8325, 8330, 6284, 142, 10382, 145, 4244, 14487, 2215, 4265, 12459, 14508, 175, 8372, 2232, 14526, 8385, 4299, 4308, 10454, 219, 6374, 8426, 235, 241, 12533, 8442, 14587, 10502, 12551, 265, 10506, 267, 12559, 10512, 4376, 10520, 2339, 2342, 12583, 2345, 4393, 8491, 6448, 12602, 12622, 2404, 357, 14699, 14701, 4469, 8569, 10631, 12679, 14727, 4490, 6538, 12685, 8613, 8623, 6582, 14780, 4554, 12753, 10706, 14803, 12763, 4576, 8672, 14823, 6635, 8686, 8688, 2545, 6645, 8704, 10763, 14859, 6681, 8729, 4636, 12829, 2609, 562, 6715, 10817, 12869, 582, 2636, 12878, 4689, 12887, 601, 10849, 8802, 14956, 2672, 4724, 10869, 12922, 636, 4732, 10881, 12930, 6791, 8846, 2715, 10908, 4769, 675, 2724, 10915, 683, 6838, 699, 706, 714, 4810, 4812, 13015, 2780, 6877, 13022, 737, 10984, 4849, 4854, 8953, 6913, 772, 6923, 2830, 6926, 8979, 8987, 11037, 6943, 6947, 4900, 8998, 6951, 13097, 2860, 11059, 821, 830, 2880, 11092, 2903, 13143, 7004, 13166, 9071, 11121, 11125, 7031, 13181, 13192, 906, 5007, 7057, 2974, 11174, 7086, 5042, 9143, 954, 9152, 7106, 5062, 5068, 7124, 7128, 9179, 3039, 5089, 13285, 5095, 13309, 5120, 5127, 7179, 3084, 9229, 1041, 13330, 11284, 3097, 7198, 11299, 9254, 13357, 3126, 9275, 1099, 9297, 3154, 3159, 11352, 11355, 11357, 7262, 11368, 5229, 7279, 13423, 13426, 3188, 9336, 5245, 13438, 1151, 5249, 9355, 9358, 5264, 7318, 1177, 11424, 7335, 13495, 9418, 13518, 9425, 5334, 7389, 7401, 7408, 5362, 9460, 9463, 13559, 5376, 3348, 5396, 11545, 7454, 9506, 1320, 7464, 13615, 3379, 9523, 11571, 11582, 3408, 5457, 9558, 1368, 3420, 7521, 9571, 1391, 3443, 11647, 13701, 5512, 5521, 11666, 9620, 1429, 9622, 11683, 9641, 13740, 7601, 13745, 3518, 7616, 3521, 13772, 7630, 1487, 9680, 1500, 13788, 9699, 13801, 13804, 5620, 7674, 13820, 7679, 3601, 1555, 1562, 7708, 13852, 9764, 9766, 7725, 3632, 9779, 11827, 13876, 5686, 7735, 3640, 9791, 7751, 1609, 3660, 11857, 1618, 11859, 5716, 5723, 13920, 3691, 13935, 11892, 3716, 9870, 13975, 3742, 7839, 13985, 1698, 5798, 9894, 7848, 1709, 11963, 5824, 9927, 1737, 7887, 11986, 7891, 7899, 1758, 3828, 5876, 5881, 12027, 5892, 9995, 5900, 14097, 1815, 14108, 5917, 7970, 10024, 5931, 1836, 5934, 3890, 14139, 8002, 8009, 14160, 12116, 14167, 10076, 14189, 1903, 3966, 1919, 6017, 8070, 8073, 12174, 14225, 3988, 14237, 4002, 6051, 6054, 8123, 4028, 4031, 8156, 4066, 8164, 2021, 10216, 6124, 14318, 8183, 4089], '2': [1, 14337, 2054, 4105, 11, 2059, 14355, 8216, 14360, 10266, 12318, 2081, 35, 4138, 2096, 14385, 14389, 8251, 10299, 10300, 12361, 8269, 8277, 14423, 4194, 14435, 12390, 2165, 12412, 10372, 10378, 4235, 14481, 147, 6294, 8343, 2203, 14492, 8351, 8353, 12455, 12461, 12463, 2227, 10426, 8390, 2250, 8405, 4310, 10457, 12506, 14557, 2274, 8421, 4331, 14574, 6391, 2296, 6397, 6402, 6403, 10498, 10500, 12553, 269, 6413, 2320, 14608, 12563, 282, 2338, 14630, 10537, 12599, 8506, 14651, 4412, 8511, 10565, 333, 12630, 8537, 14683, 2405, 8555, 12656, 8561, 2422, 8575, 10637, 4496, 12689, 402, 2454, 4502, 8599, 10650, 2459, 14747, 12713, 2490, 14786, 10696, 467, 474, 2529, 10727, 12780, 6646, 2555, 2560, 6666, 2572, 4620, 14863, 8723, 14871, 2586, 4636, 6715, 12862, 575, 4672, 12867, 12879, 8787, 8794, 4701, 8797, 10845, 12899, 6758, 6762, 6771, 12918, 635, 14980, 6790, 4744, 2720, 674, 10925, 695, 2746, 8890, 702, 6849, 8903, 2763, 10956, 13026, 13030, 747, 6891, 13045, 2812, 784, 13088, 6948, 13092, 4902, 807, 11047, 13096, 9012, 2870, 6973, 4937, 856, 859, 7003, 2913, 11105, 4982, 13178, 11139, 9092, 13192, 2954, 907, 9110, 2968, 11160, 13213, 5029, 9126, 11176, 943, 2992, 5040, 9154, 13251, 11210, 974, 5070, 9167, 7129, 11225, 5086, 3043, 7141, 5097, 13292, 9201, 11249, 5107, 9209, 13321, 1037, 11291, 9259, 9274, 1085, 5202, 7250, 9312, 5220, 5230, 11374, 1138, 7285, 9348, 1159, 3207, 5257, 1171, 3221, 1185, 9377, 11427, 5289, 9386, 11436, 7341, 7345, 7352, 5312, 3265, 3278, 11521, 13575, 7434, 9492, 9495, 7477, 13622, 9528, 11584, 1346, 9543, 1355, 1360, 11604, 3415, 3419, 1372, 11614, 5489, 11635, 9591, 1408, 9600, 11650, 1430, 9624, 3481, 7578, 13725, 7588, 1445, 1454, 5552, 13750, 9656, 11706, 5569, 1477, 9678, 11726, 1492, 5589, 11734, 13784, 13789, 1502, 9699, 7661, 7669, 1526, 5622, 13815, 13824, 7683, 5636, 5643, 5656, 5658, 1567, 13857, 3626, 5675, 9784, 3641, 13885, 5713, 3673, 5722, 7781, 7784, 7803, 5756, 3719, 13964, 13971, 9928, 11983, 3792, 3798, 7896, 1753, 9951, 3824, 9978, 5884, 14087, 14088, 5913, 12057, 5919, 7973, 3878, 5929, 1835, 12086, 10045, 12096, 10050, 5956, 10056, 3915, 5975, 3928, 14172, 8037, 5991, 14197, 10109, 1918, 12166, 10119, 6027, 6033, 12177, 4011, 10162, 1976, 14276, 10194, 2010, 12262, 14320, 8183, 2046], '3': [14342, 8201, 10, 12302, 6162, 12312, 4123, 6172, 10272, 35, 10275, 10297, 4159, 8260, 2119, 76, 4173, 12370, 6234, 2142, 8287, 6244, 10341, 14441, 8302, 12399, 14458, 125, 12422, 8339, 150, 14494, 2214, 6319, 14514, 10419, 10421, 6328, 195, 12489, 8396, 14543, 2262, 12509, 227, 12521, 6381, 4337, 12536, 249, 12538, 12541, 12563, 2328, 4380, 298, 12590, 10548, 309, 2375, 8522, 337, 10585, 354, 8546, 4455, 10600, 364, 4464, 4469, 12661, 12673, 6530, 4486, 12678, 4491, 8589, 4501, 12722, 8627, 10680, 2498, 6596, 8646, 6606, 12753, 4562, 12764, 8670, 6625, 12775, 491, 4593, 10739, 503, 12799, 2560, 2565, 2568, 6665, 4619, 2573, 6678, 8733, 560, 8755, 8760, 2617, 14910, 14913, 6722, 4679, 14929, 6747, 12891, 8799, 14951, 10857, 14954, 12916, 12922, 2683, 8827, 4733, 12933, 6793, 6799, 8849, 2711, 2723, 6831, 4792, 8909, 6878, 10974, 8933, 10982, 752, 2804, 4853, 6906, 11006, 11007, 11011, 4868, 8987, 8989, 4896, 2865, 2869, 13123, 13139, 9047, 9051, 862, 7009, 871, 2920, 7015, 11115, 7024, 4981, 2937, 13179, 11143, 13193, 2985, 13226, 7083, 9155, 13260, 5069, 975, 9170, 983, 3042, 7155, 5114, 3073, 11270, 11272, 7199, 13343, 5153, 3106, 11298, 5158, 1063, 5160, 11303, 13356, 3131, 5190, 1105, 5209, 1130, 7274, 5255, 1160, 5261, 7313, 11410, 11411, 13465, 1178, 13475, 3236, 13478, 3245, 3255, 5313, 3301, 7397, 11511, 11519, 9479, 11530, 11535, 3350, 13593, 11547, 1318, 11580, 7492, 5450, 11594, 5456, 5458, 5459, 7510, 13663, 7526, 5482, 3435, 5498, 9604, 1428, 3478, 7577, 5531, 7587, 1445, 11689, 1452, 9646, 7604, 3509, 7606, 9654, 13756, 1485, 13789, 5602, 3561, 11756, 13805, 5616, 5618, 5623, 5631, 7683, 5640, 11789, 7699, 7703, 3608, 3619, 7718, 11836, 5694, 5695, 3649, 5700, 9799, 3657, 5730, 9827, 1637, 13926, 9842, 13945, 13952, 13958, 1675, 9872, 3730, 11935, 7847, 13991, 14004, 3766, 1727, 11972, 7877, 3802, 1758, 7905, 1763, 9969, 12026, 1790, 7934, 9986, 1801, 3854, 14094, 12054, 3863, 7962, 7963, 5918, 7973, 10040, 10050, 14148, 8023, 1883, 5981, 3953, 14194, 3958, 8059, 1925, 3974, 10120, 1937, 6033, 6052, 10153, 12205, 4015, 8117, 8122, 10182, 10189, 6103, 2008, 12259, 8184], '4': [8192, 6159, 10260, 14358, 8223, 47, 10287, 2100, 4149, 10293, 10299, 2118, 6215, 10312, 8271, 10319, 85, 90, 8283, 4190, 8286, 4194, 12386, 10341, 104, 4202, 4211, 8308, 122, 12415, 14466, 8324, 6277, 4232, 6280, 12429, 10384, 4247, 10392, 2202, 12442, 8373, 182, 10423, 14527, 205, 215, 4311, 14557, 12530, 2298, 4347, 14586, 14591, 12546, 14611, 14620, 2333, 4381, 6432, 8481, 12579, 14636, 8493, 303, 304, 8498, 10548, 4418, 12611, 14665, 12626, 2388, 2401, 12651, 8571, 6533, 14737, 403, 2451, 8600, 14744, 8608, 10662, 2473, 2479, 10671, 14778, 2491, 8647, 2506, 14794, 12750, 4565, 2519, 6622, 2533, 2536, 14831, 12796, 12802, 14860, 2578, 533, 2583, 10776, 12824, 538, 4635, 14873, 6688, 8742, 10791, 560, 4657, 12851, 6722, 14914, 10820, 2644, 8798, 8802, 2671, 10870, 6789, 2701, 12943, 4763, 12958, 2725, 682, 8874, 696, 10947, 6852, 8902, 13003, 8909, 10961, 6877, 13038, 2801, 13047, 11000, 4857, 6912, 2822, 795, 2848, 805, 11047, 810, 815, 4917, 11061, 2876, 11069, 6978, 6990, 847, 9040, 11086, 4946, 6994, 2900, 6998, 2906, 4961, 9063, 7022, 9073, 9075, 11132, 7043, 11142, 11148, 9104, 7060, 13208, 5018, 13215, 11178, 2991, 3002, 958, 9167, 13264, 9174, 9177, 9182, 11236, 7147, 9200, 5107, 7168, 9227, 5132, 3093, 13342, 5152, 5158, 13370, 11337, 5197, 3150, 3155, 13396, 9306, 5214, 13420, 9333, 11382, 11400, 13452, 7314, 7320, 11416, 3234, 7346, 13491, 3261, 9405, 7364, 1223, 5323, 1241, 5337, 3297, 11491, 7402, 3316, 3319, 3324, 13567, 9488, 1297, 13584, 1302, 5403, 9500, 9501, 11557, 7464, 11565, 5431, 7480, 7490, 3399, 5456, 3424, 7523, 9585, 3455, 9602, 3470, 7572, 9627, 1441, 13731, 11685, 9653, 5560, 13752, 13756, 1473, 5571, 3530, 7629, 1490, 5587, 7645, 1514, 7658, 1523, 3571, 13813, 7671, 11768, 13816, 9725, 1536, 5633, 5637, 13844, 11798, 1572, 11816, 1597, 13909, 13918, 9825, 5734, 5757, 13950, 7811, 9859, 5772, 11917, 13965, 7824, 9875, 7828, 11928, 5785, 5787, 9884, 7848, 5808, 3761, 9913, 7869, 3779, 14020, 11979, 7887, 9936, 3798, 5847, 7898, 5855, 9956, 9957, 12007, 12013, 7919, 5881, 7935, 9984, 3843, 7939, 7943, 5903, 12050, 3862, 10006, 1820, 3891, 3892, 7991, 14144, 14149, 8008, 8015, 14162, 12115, 3926, 1881, 10078, 3939, 5987, 14191, 3958, 6017, 10114, 14212, 14213, 10122, 12182, 4000, 1953, 14254, 6069, 4023, 1979, 12220, 14269, 6081, 6096, 12246, 8167, 14313, 4076, 2031, 12278, 10232], '5': [8, 10250, 12304, 14358, 35, 12334, 10289, 2099, 4149, 10302, 8258, 4165, 71, 2125, 81, 8287, 4197, 12396, 12404, 14455, 10362, 6268, 10367, 4225, 10374, 2208, 4260, 2214, 6315, 14513, 192, 2242, 6347, 14544, 6357, 12501, 219, 4317, 8422, 232, 14569, 12525, 2288, 10482, 246, 6390, 10496, 10505, 10511, 10518, 4378, 8478, 287, 6431, 8481, 6434, 291, 4388, 12581, 14634, 10541, 12596, 316, 6468, 4421, 10567, 14675, 340, 2391, 8544, 2401, 12644, 12646, 4456, 10603, 12659, 4476, 6527, 2432, 394, 400, 14737, 12696, 4509, 8605, 8610, 12712, 8620, 12722, 12725, 14776, 10682, 6592, 2497, 455, 10702, 476, 6625, 2535, 4586, 6636, 12783, 496, 10742, 6648, 10756, 517, 6668, 6673, 10772, 6681, 8736, 6689, 14895, 6705, 14904, 577, 579, 6727, 588, 4686, 8783, 599, 10846, 14945, 617, 4713, 8821, 2679, 14967, 6779, 646, 12936, 2701, 12943, 4761, 8875, 10937, 4806, 2761, 4813, 4815, 8920, 13023, 2789, 10984, 13034, 757, 8953, 8961, 771, 6919, 8979, 6932, 8988, 6950, 9014, 6974, 9025, 11076, 845, 6989, 850, 7000, 13144, 9054, 7012, 13156, 875, 13166, 2929, 9076, 13215, 13218, 937, 2989, 5037, 951, 13249, 964, 9163, 7133, 9182, 7147, 1006, 13295, 1012, 5112, 13309, 1029, 5132, 9229, 11279, 3098, 7203, 3110, 9256, 7209, 7218, 3146, 1099, 9296, 7249, 13398, 3163, 1130, 7274, 3184, 3190, 5253, 9376, 11425, 13474, 13477, 11435, 5313, 9419, 1230, 9426, 7388, 5355, 13547, 1263, 3317, 5369, 7417, 7420, 11517, 1284, 9476, 1298, 7452, 1309, 13596, 7469, 11566, 5427, 3380, 9527, 1340, 13637, 9549, 3410, 13651, 3425, 1381, 3431, 7534, 5489, 13681, 3446, 1413, 7563, 3468, 5517, 11664, 11670, 7589, 9638, 13733, 9642, 9646, 7604, 1466, 3520, 11716, 3526, 13766, 1494, 3542, 1497, 5594, 13795, 9700, 7657, 9705, 1520, 13812, 3583, 13829, 7697, 11799, 5656, 1570, 9765, 13870, 5685, 3643, 7747, 9795, 1621, 9820, 3681, 7790, 1647, 11887, 9847, 11895, 13943, 3715, 5777, 7831, 9880, 3738, 9884, 11932, 9889, 7844, 11945, 9902, 5816, 11960, 7866, 3773, 11968, 9921, 3780, 14024, 1745, 14033, 9942, 5849, 9950, 3807, 14050, 3812, 5865, 12010, 5868, 1773, 3833, 1787, 5884, 7936, 14081, 5903, 10009, 12066, 3886, 1841, 10046, 1865, 3922, 10079, 5985, 3942, 5991, 1896, 5999, 3962, 8058, 3968, 14211, 8076, 8079, 8086, 10134, 6042, 6048, 14241, 12196, 6072, 4026, 4034, 2007, 8151, 14307, 2034, 10234, 12287], '6': [4610, 1542, 3079, 1033, 2057, 4619, 5643, 2064, 1558, 3610, 4636, 3101, 1056, 546, 4134, 49, 2610, 4658, 4661, 569, 2112, 3136, 4163, 1604, 582, 1095, 1107, 4692, 2138, 4186, 3677, 3682, 1635, 3692, 3701, 1143, 3703, 2171, 4738, 135, 1675, 141, 663, 1696, 3233, 3744, 4776, 4783, 177, 2737, 4285, 704, 1741, 1745, 1246, 4833, 4324, 2278, 2793, 1258, 752, 4340, 4852, 2294, 251, 3836, 4860, 3839, 261, 2312, 3849, 2827, 2318, 2833, 2835, 2328, 2844, 802, 3875, 4899, 3880, 4398, 2864, 1329, 3889, 7987, 1332, 3381, 4916, 823, 1849, 1851, 1346, 835, 1859, 3396, 1862, 2394, 3421, 3934, 1385, 3443, 4979, 5494, 12286, 4984, 897, 3457, 2949, 2443, 1424, 1939, 1428, 8083, 5017, 2460, 413, 3489, 4516, 421, 5031, 946, 4030, 1985, 4037, 3015, 4558, 2002, 3539, 4051, 983, 3548, 4063, 2021, 3559, 1001, 4083, 3070, 2047]}
AP20051;AP20051;AP20051;;;1288;;;923;;;1227;;;605;;;670;;;385;;;5098;0;0;5098;{'1': [1280, 8192, 14982, 13575, 11144, 14729, 6028, 6797, 8207, 2579, 12053, 1945, 5148, 1312, 6561, 1314, 2983, 13100, 8365, 11054, 1715, 14387, 2998, 14137, 3904, 6653, 11201, 13632, 1988, 14144, 4038, 8906, 8653, 4184, 3552, 10722, 14052, 13287, 2542, 13042, 6518, 2941], '2': [8192, 14218, 5389, 2191, 11792, 14740, 10006, 13340, 5021, 1569, 2209, 2090, 3629, 1326, 8110, 5172, 11073, 1351, 7113, 5076, 3158, 12761, 4442, 13659, 4191, 4320, 14817, 6242, 744, 2285, 7028, 12668, 14714, 2940], '3': [10114, 3, 11778, 11279, 656, 8978, 10771, 6425, 11290, 5663, 2847, 13087, 1826, 4387, 3365, 14121, 2094, 6707, 8256, 10562, 4681, 3276, 12749, 4945, 11091, 2006, 11992, 9313, 2019, 10860, 4845, 11763, 3702, 3191, 3579], '4': [11392, 12091, 3170, 14626, 9477, 1926, 6153, 12266, 13740, 13522, 6484, 4406, 8695, 221, 12121, 7035, 13948, 5917], '5': [10753, 12043, 13198, 1172, 4118, 13854, 804, 9513, 811, 3629, 10929, 10934, 10939, 9022, 3787, 205, 6866, 2132, 11222, 6744, 10336, 10595, 3940, 1382, 11625, 9963, 14446, 5745, 1138, 13559, 9981, 9343], '6': [2944, 11016, 9228, 5522, 1953, 685, 5042, 437, 2745, 313, 2772, 3797, 2006, 1239, 1240, 10336, 1382, 9190, 4215, 4093]}
AP20111;AP20111;AP20111;;;;;;;;;1;;;1;;;2;;;;;;4;0;0;4;{'1': [], '2': [], '3': [4589], '4': [3516], '5': [11004, 13327], '6': []}
AP20112;AP20112;AP20112;;;1260;;;1088;;;806;;;1174;;;1071;;;536;;;5935;0;0;5935;{'1': [3200, 10113, 3715, 774, 11399, 7944, 12426, 12811, 1676, 13966, 13711, 12307, 12951, 5017, 5914, 4639, 8354, 13859, 11045, 5163, 1196, 5421, 5681, 11187, 10164, 13492, 2618, 10042, 14266, 10301, 10046, 4159, 7872, 13886, 1859, 9676, 1357, 9294, 14284, 8410, 2907, 12634, 3040, 9953, 11232, 11623, 488, 1770, 4971, 3953, 12017, 13298, 7924, 14708, 14201, 4858, 12411], '2': [11393, 772, 8452, 5383, 264, 7946, 8843, 13842, 5397, 4246, 6936, 8090, 413, 5277, 2596, 3494, 2857, 4528, 4784, 2994, 11313, 181, 10681, 3899, 64, 11200, 12097, 14405, 3274, 2379, 5839, 13266, 9556, 10580, 91, 14300, 4321, 6755, 14696, 11369, 5482, 2283, 3949, 3567, 8304, 13936, 10358, 6136, 8060], '3': [11521, 12042, 8715, 12556, 3598, 5272, 14874, 160, 9765, 4391, 4775, 2345, 2994, 5298, 692, 9906, 11827, 1847, 13234, 2495, 12611, 452, 2381, 3450, 9939, 12883, 9946, 1886, 11107, 5348, 7396, 12003, 9575, 4969, 12012, 13427, 9721, 4090, 6908, 12669], '4': [12033, 8578, 8452, 133, 646, 4873, 11785, 3469, 10767, 6930, 2707, 4243, 11028, 13972, 14487, 11676, 4253, 14366, 10911, 8098, 4259, 5668, 5925, 7075, 2471, 553, 4911, 7219, 9525, 9910, 10165, 1208, 4665, 12215, 11452, 320, 13250, 14403, 14659, 7621, 331, 10065, 10963, 11603, 11232, 12898, 1765, 1255, 6506, 5488, 6256, 2290, 4594, 10228, 10744, 3065, 10874, 9468, 2557, 1662], '5': [5377, 6658, 10883, 6150, 8714, 790, 12315, 544, 1188, 1661, 13093, 10152, 1066, 7473, 10801, 14387, 8500, 14005, 438, 7608, 2620, 9661, 2110, 14909, 5961, 8393, 11088, 3921, 13654, 6748, 12253, 6110, 8674, 2275, 8420, 8676, 9575, 488, 8680, 13160, 7917, 1391, 1394, 4083, 4340, 12788, 13817, 4218, 12283, 11388, 4605, 12927], '6': [653, 13069, 4368, 13074, 2711, 4127, 4257, 2725, 2731, 4019, 1335, 12220, 4167, 2513, 4819, 343, 3815, 1261, 621, 3949, 1780, 2809, 4858]}
AP20118;AP20118;AP20118;;;20;;;84;;;;;;30;;;20;;;;;;154;0;0;154;{'1': [12636], '2': [6657, 6693, 6739, 5685, 6717], '3': [], '4': [6981], '5': [11628], '6': [12099, 8772, 11367, 8903, 11279, 9327, 12657]}
