codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP20038;AP20038;AP20038;;;;;;1;;;1;;;;;;;;;2;0;0;2;{'1': [], '2': [5314], '3': [1185], '4': [], '5': []}
AP20040;AP20040;AP20040;;;123;4;;137;;;105;1;;78;12;;40;;;483;17;0;500;{'1': [0, 1921, 4608, 7555, 8580, 12165, 7814, 12166, 12673, 12674, 8330, 12675, 1932, 12676, 12677, 12678, 12679, 9873, 6034, 2582, 7447, 8471, 3993, 11032, 11290, 14877, 1822, 11039, 2338, 3239, 1832, 4775, 10235, 14255, 7605, 12680, 699, 5052, 2752, 7233, 7239, 9159, 3275, 8911, 14161, 6226, 14594, 13780, 11735, 3672, 5721, 3418, 4706, 2915, 1510, 2919, 14696, 3562, 2159, 5104, 5747, 14324, 1910, 3067], '2': [9857, 11139, 14468, 9733, 5766, 11143, 11272, 13449, 4362, 14088, 140, 653, 654, 655, 11404, 13817, 14354, 13075, 5140, 9753, 9114, 3995, 13209, 6941, 13469, 12575, 9376, 10912, 11042, 4388, 1320, 8367, 5041, 4915, 10292, 439, 9144, 12986, 14462, 1725, 4031, 1984, 12864, 12742, 9927, 457, 6729, 6475, 204, 588, 10953, 3023, 1744, 9808, 9298, 14287, 7769, 10073, 14300, 482, 12514, 6117, 358, 10471, 9707, 10606, 369, 10610, 246, 10230, 8313, 4988, 4734], '3': [256, 12419, 4100, 4485, 11781, 4234, 3084, 8462, 12176, 8721, 7705, 1946, 1565, 1824, 294, 9640, 810, 14516, 8117, 12342, 6327, 9272, 9531, 2752, 11842, 7235, 13512, 1225, 13513, 13514, 13515, 8525, 6095, 2129, 3538, 85, 8150, 1369, 8537, 1886, 5729, 3557, 11495, 8682, 9195, 12522, 3312, 14706, 3700, 14709, 4343, 3707, 14335], '4': [2304, 14340, 14986, 1037, 9741, 3983, 6419, 789, 1174, 663, 3608, 4247, 4127, 13602, 556, 13612, 7214, 10286, 10287, 10288, 1846, 567, 3256, 9277, 14020, 3142, 9671, 585, 845, 4942, 207, 3280, 4943, 4944, 6224, 13006, 6358, 10971, 1756, 14300, 6114, 6245, 1768, 8315, 13164, 9199, 8316, 2424, 13049, 2811, 636, 8317, 8318], '5': [4610, 5134, 3983, 1045, 535, 2201, 1061, 2856, 555, 1331, 5044, 2741, 456, 4170, 3542, 3416, 92, 1504, 2023, 3061]}
AP20041;AP20041;AP20041;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20042;AP20042;AP20042;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20045;AP20045;AP20045;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20044;AP20044;AP20044;;;16491;2170;;18593;2075;;14422;1705;;10449;2480;;5418;870;;65373;9300;0;74673;{'1': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 2069, 4115, 6198, 4167, 4182, 4188, 8290, 10340, 6250, 4204, 2057, 4209, 10355, 10356, 10357, 10358, 8311, 10359, 10360, 10361, 10362, 10363, 10364, 10365, 10366, 10367, 10368, 10369, 10370, 10371, 10372, 8338, 14528, 4109, 14537, 6360, 4318, 6151, 14566, 4331, 6385, 8434, 2301, 4350, 4359, 6429, 14630, 4397, 8495, 14642, 2358, 8502, 6459, 4413, 4421, 14662, 4427, 4432, 4447, 8557, 4464, 4468, 4469, 2422, 2423, 4473, 2435, 2439, 12681, 12682, 12683, 12684, 12685, 12686, 12687, 12688, 12689, 2450, 8595, 2452, 12690, 12691, 12692, 12693, 12694, 12695, 4507, 12696, 12697, 12698, 12699, 12700, 12701, 8610, 12702, 12703, 12704, 12705, 6567, 12706, 12707, 12708, 12709, 12710, 12711, 12712, 8623, 12713, 12714, 8626, 12715, 14769, 2492, 2494, 2496, 6595, 8651, 2512, 14747, 6614, 14811, 4582, 494, 6641, 4599, 14840, 14841, 8702, 4614, 14867, 538, 14875, 14881, 546, 4649, 14900, 8766, 14911, 2624, 14923, 2645, 6744, 4700, 2658, 6758, 4712, 14952, 14960, 8824, 13966, 14976, 8834, 643, 14980, 4747, 2713, 8860, 687, 2735, 6831, 8887, 8892, 4810, 4817, 4823, 8919, 2780, 2789, 8935, 6893, 750, 4849, 8947, 757, 11006, 2817, 2818, 11021, 6927, 11028, 2850, 4898, 805, 4904, 11049, 4908, 6964, 11061, 824, 827, 11069, 4927, 835, 4939, 9040, 6995, 4952, 861, 2918, 2930, 9074, 7037, 2945, 9092, 908, 912, 11160, 9113, 923, 7072, 11174, 7080, 11182, 2992, 7088, 5047, 5059, 968, 11213, 9166, 9172, 5077, 7131, 5086, 3045, 998, 999, 1010, 9219, 1028, 9221, 3080, 7177, 7179, 1036, 5132, 5133, 5134, 5135, 5136, 5137, 5138, 5140, 5141, 5142, 5139, 5144, 5143, 5146, 5147, 5148, 5145, 3104, 11302, 1074, 9268, 1078, 11337, 7255, 1133, 3188, 7284, 9334, 1144, 11396, 3206, 7307, 7331, 3253, 3261, 7370, 9418, 7378, 9426, 7386, 11490, 3318, 9472, 11520, 3333, 3339, 9483, 13581, 3342, 9491, 11550, 7462, 7182, 11558, 7468, 13613, 3378, 9523, 9525, 7481, 11600, 3409, 9553, 13660, 3421, 9569, 11618, 13671, 11624, 11627, 9585, 7541, 9233, 9596, 1410, 13699, 7561, 1420, 7585, 9640, 11690, 11701, 1464, 11704, 1467, 1472, 1478, 7635, 1493, 9686, 11743, 13795, 1519, 3567, 5619, 3577, 3579, 3581, 7678, 1534, 7682, 13829, 5641, 7692, 5654, 9765, 11813, 9772, 5678, 7726, 9782, 13879, 5690, 11839, 9796, 5707, 9806, 11854, 9817, 1628, 3676, 9820, 11871, 7777, 11876, 1646, 13934, 7798, 7807, 9855, 13956, 1671, 7815, 7816, 7817, 7818, 7819, 7820, 7821, 1679, 7822, 7823, 7824, 7825, 7826, 7827, 7828, 3735, 7829, 7830, 7831, 7832, 7833, 14001, 14004, 3768, 11961, 9919, 1729, 11975, 14027, 3798, 3799, 9950, 1765, 12005, 1773, 1788, 14105, 1821, 3877, 10039, 3897, 5957, 1873, 12114, 14162, 12118, 10079, 12130, 14181, 12136, 1900, 12144, 14193, 6004, 14197, 6009, 3962, 10115, 12167, 12168, 12169, 12170, 12171, 12172, 12173, 12174, 12175, 12176, 12177, 12178, 12179, 12180, 12181, 12182, 12183, 12184, 12185, 12186, 1949, 1957, 14247, 6056, 10154, 6066, 10164, 1976, 10179, 14283, 4053, 10197, 2018, 14314, 14316, 2033, 14323, 14331], '2': [6149, 14342, 2055, 16, 6161, 6165, 14357, 23, 10264, 10268, 6178, 36, 14381, 14385, 10319, 6232, 93, 14429, 10335, 100, 14442, 2155, 110, 8306, 4212, 6260, 2166, 4215, 8311, 12409, 123, 124, 12416, 135, 12425, 4236, 6286, 14478, 10385, 8339, 8341, 6295, 157, 10401, 12457, 12477, 194, 6341, 198, 2246, 8389, 8392, 10440, 14545, 12503, 14553, 8412, 12508, 2277, 235, 6396, 8449, 10498, 12549, 2310, 8455, 8465, 12561, 275, 12565, 14622, 2339, 14629, 4394, 307, 8521, 6479, 6484, 10580, 2395, 4446, 8542, 4466, 14709, 6534, 14736, 2450, 4498, 6555, 14747, 6566, 8623, 10675, 2486, 8633, 10681, 4540, 8648, 4553, 10699, 465, 12753, 2516, 2519, 2520, 6621, 2532, 6631, 4586, 8693, 2550, 504, 4611, 10764, 534, 2582, 537, 14873, 14874, 10783, 545, 12839, 10795, 10797, 6704, 4658, 2613, 8757, 4663, 6718, 8766, 10816, 12862, 2628, 6735, 12880, 10837, 12885, 14933, 606, 4703, 8798, 14950, 4713, 2674, 14963, 10868, 4725, 636, 8833, 2697, 10889, 656, 657, 658, 659, 660, 661, 662, 663, 664, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 6812, 12965, 6822, 4776, 12971, 8876, 10928, 12980, 4789, 2746, 2752, 10944, 4802, 6850, 2759, 2764, 13006, 4819, 6869, 13018, 13580, 2790, 10986, 10993, 4854, 8963, 6929, 6930, 8979, 8982, 11033, 4891, 13083, 2845, 2849, 6948, 11047, 13097, 6955, 9013, 9016, 11070, 4930, 2889, 2890, 2896, 6994, 4947, 9046, 4953, 13146, 2908, 4962, 7012, 7016, 7023, 9077, 13181, 7043, 9093, 7056, 5012, 13205, 9118, 5023, 11176, 11182, 9136, 11184, 9154, 9158, 5063, 7112, 7119, 7122, 11218, 13272, 7132, 3045, 13285, 11241, 9200, 13311, 5122, 3088, 5144, 3097, 7206, 13372, 7232, 13382, 9287, 7242, 3148, 7244, 3155, 5205, 7257, 3162, 7269, 5223, 7273, 7285, 3192, 3195, 11387, 11393, 11396, 5253, 11405, 5262, 11406, 11407, 11408, 11409, 3219, 11410, 11411, 11412, 11413, 11414, 11415, 11416, 5275, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11424, 11425, 11426, 11427, 11428, 11429, 7337, 11430, 9387, 11431, 11432, 11433, 11434, 3248, 11435, 11436, 11437, 11438, 3253, 11439, 5303, 11440, 11441, 11442, 11443, 11444, 11445, 11446, 11447, 11448, 7361, 3272, 5324, 3277, 3283, 3286, 1244, 1245, 7388, 9437, 3297, 7393, 5349, 1255, 1257, 9459, 13573, 3335, 3336, 3337, 3338, 3339, 3340, 3341, 3342, 3343, 3344, 3345, 3346, 3347, 3348, 3349, 3350, 5400, 7448, 1321, 2705, 5431, 9531, 1340, 9548, 1358, 7503, 13659, 9566, 13665, 9580, 9583, 7538, 5502, 9599, 1423, 9616, 7569, 5529, 5535, 6803, 5559, 13755, 9665, 1498, 1511, 5611, 7665, 1522, 5618, 13834, 5645, 13849, 5658, 1565, 7710, 5663, 5664, 5665, 7719, 13864, 7721, 7738, 7740, 9792, 9795, 13891, 13901, 7763, 13907, 13922, 1636, 13926, 1648, 7810, 1667, 7814, 7815, 7816, 7817, 7818, 7819, 7820, 7821, 7822, 13972, 5790, 3749, 1716, 3774, 1727, 9923, 14030, 3792, 9955, 14061, 14062, 5871, 3826, 5875, 14068, 1782, 14071, 9981, 3846, 5895, 3849, 10002, 14104, 3880, 10029, 3899, 14142, 3905, 5957, 3912, 3913, 1866, 3945, 1904, 14196, 1917, 3969, 1923, 6019, 3987, 3991, 1956, 4010, 8107, 4013, 8109, 14254, 10169, 8127, 10188, 4050, 2005, 4053, 10200, 14296, 4063, 2017, 10211, 2024, 4086, 10232, 8185, 14330, 2044], '3': [14337, 8, 8207, 12305, 2068, 31, 8225, 35, 2087, 4135, 2090, 8235, 14399, 12359, 12360, 2122, 2130, 109, 125, 14479, 14487, 12441, 14496, 14498, 8361, 12458, 178, 4275, 183, 6328, 6329, 6330, 6331, 6332, 6333, 6334, 6335, 6336, 6337, 6338, 6339, 6340, 6341, 6342, 6343, 4298, 4313, 8422, 8431, 12529, 245, 10492, 14604, 2327, 8485, 12582, 10537, 2347, 8498, 14642, 2359, 8503, 8506, 328, 10568, 10577, 14677, 342, 14679, 2400, 353, 10594, 12642, 14698, 372, 374, 4480, 400, 2451, 12698, 2459, 414, 4511, 14755, 10672, 10675, 8636, 4543, 14787, 8646, 14798, 14809, 14816, 12775, 12777, 2542, 4591, 503, 12794, 8700, 12800, 12804, 2572, 10766, 2577, 12817, 10773, 8731, 10782, 543, 4653, 2612, 4661, 6710, 8759, 2619, 12866, 10820, 582, 6726, 14920, 2633, 4683, 2640, 12891, 4701, 6756, 6758, 6767, 4731, 12924, 10882, 6787, 6790, 8838, 4745, 10909, 677, 6822, 683, 4779, 10924, 4785, 6834, 10931, 696, 2746, 10944, 709, 2765, 10958, 2779, 4834, 2790, 8945, 13053, 13071, 8977, 6936, 6940, 8996, 2866, 9014, 6971, 830, 2881, 2883, 6983, 2890, 4940, 2896, 13141, 2907, 11100, 2909, 7008, 9071, 4978, 4979, 7035, 9083, 4989, 896, 9090, 901, 2953, 7050, 9099, 7059, 9107, 11155, 9110, 11165, 7073, 2981, 7080, 955, 9147, 5056, 7107, 976, 981, 13275, 5085, 995, 3043, 11236, 13291, 13299, 11255, 13303, 11272, 13327, 1041, 13333, 1046, 5142, 5143, 5144, 1050, 5145, 13344, 3105, 7208, 1066, 1073, 9283, 13381, 1100, 3156, 11364, 9322, 5238, 3192, 7288, 3194, 1168, 3221, 7317, 9393, 3250, 9402, 9408, 13516, 13517, 13518, 13519, 13520, 13521, 13522, 13523, 13524, 13525, 13526, 13527, 3288, 13528, 5338, 13529, 13530, 13531, 1246, 13532, 11488, 13533, 13534, 13535, 13536, 13537, 13538, 13539, 13540, 13541, 11508, 1276, 3334, 3344, 11536, 5400, 5401, 1316, 5425, 12476, 1332, 7482, 9537, 3400, 1361, 3445, 3447, 7547, 11650, 7557, 9608, 9629, 1438, 3487, 3489, 1447, 9641, 7594, 9642, 9643, 5549, 9644, 9645, 9646, 9647, 9648, 9649, 9650, 9651, 7606, 9652, 9653, 9654, 9658, 9659, 9660, 9655, 5566, 9656, 1472, 9657, 9661, 1475, 5572, 9662, 9663, 9664, 9665, 1481, 9666, 5579, 9667, 7633, 5615, 7665, 3576, 3586, 3587, 7702, 1582, 3637, 1595, 7763, 1623, 3681, 11903, 1664, 1670, 5771, 7823, 1682, 7831, 11931, 1701, 7855, 1719, 7867, 3793, 7889, 1751, 5863, 7923, 1796, 1800, 12040, 12051, 14107, 14109, 5921, 3890, 14130, 14132, 7991, 5949, 14144, 8002, 12102, 1863, 5973, 1879, 8032, 5990, 14182, 1898, 6004, 6006, 6011, 6020, 6030, 6036, 14232, 3998, 14242, 1957, 6053, 14250, 14268, 4033, 12225, 8132, 1992, 12233, 6096, 2001, 6097, 6098, 6099, 6100, 6101, 6102, 6103, 6104, 6105, 6106, 6107, 6108, 6109, 6110, 6111, 6112, 2045], '4': [14349, 14363, 10289, 10290, 10291, 10292, 10293, 10294, 10295, 10296, 10297, 10298, 10299, 10300, 10301, 10302, 8255, 10303, 10304, 10306, 10307, 4164, 8261, 10308, 10309, 10310, 10311, 6218, 10312, 10316, 10313, 10314, 10315, 12397, 12404, 8319, 8320, 8321, 8322, 8323, 8324, 8325, 8326, 135, 8327, 8328, 138, 8330, 8329, 8333, 8334, 8331, 8336, 8332, 8335, 8337, 148, 12466, 14516, 6325, 4308, 4314, 271, 2332, 286, 14632, 6452, 4414, 12617, 6502, 4460, 2426, 14741, 2464, 420, 6564, 4521, 14766, 12722, 2493, 14789, 2507, 12747, 2515, 470, 4579, 6627, 12775, 4594, 6642, 12798, 6695, 12848, 8762, 2626, 14925, 592, 4688, 14928, 6743, 2648, 8794, 2652, 606, 8803, 613, 2674, 12929, 2690, 14978, 647, 10305, 651, 6799, 4754, 4757, 2714, 4772, 6823, 12977, 6838, 12986, 12989, 6853, 12997, 2764, 13016, 6875, 10972, 10973, 10974, 10975, 10976, 10977, 10978, 10979, 10980, 6885, 10981, 10982, 10983, 13034, 4847, 756, 761, 8953, 4865, 776, 13065, 13067, 8978, 8982, 4894, 6963, 9013, 4945, 2898, 4946, 4947, 4948, 4949, 4950, 4951, 4952, 4953, 4954, 4955, 4956, 4957, 4958, 4959, 4960, 4961, 4962, 4963, 4964, 4965, 4966, 4967, 7037, 13184, 898, 9114, 13212, 7071, 931, 7082, 2996, 3000, 9146, 7099, 3009, 13249, 9169, 9189, 998, 3046, 13313, 9221, 3079, 9247, 1058, 12424, 9262, 11321, 1086, 11331, 7240, 3158, 11352, 3182, 7279, 7282, 13427, 11393, 7310, 11419, 13488, 1201, 11446, 11454, 7364, 13513, 1229, 9429, 11480, 1260, 1264, 3320, 1272, 9469, 11517, 13569, 1285, 11543, 7456, 3361, 13621, 7483, 9542, 11594, 5456, 9552, 9556, 5468, 1373, 11614, 13679, 11632, 7536, 11635, 7542, 11642, 13700, 3467, 5516, 11660, 1423, 11672, 9628, 11682, 3491, 3495, 1449, 3507, 9654, 11709, 5568, 9664, 13767, 9674, 5996, 11736, 5600, 3560, 7656, 3564, 3582, 9733, 3592, 13832, 7694, 1552, 7709, 1578, 3628, 5678, 13880, 1603, 11844, 3653, 1616, 3664, 3668, 13910, 1625, 5723, 9821, 11869, 1641, 5748, 5757, 5770, 11915, 7822, 3729, 5784, 12140, 5792, 13991, 5801, 13996, 5809, 5818, 5823, 9920, 3783, 11980, 3792, 7890, 14043, 9948, 14046, 14050, 1766, 14059, 1783, 3831, 14073, 1793, 7938, 12040, 7962, 12059, 7964, 12068, 3877, 5928, 7982, 7991, 1850, 3921, 10066, 3923, 3924, 10072, 12121, 1882, 14171, 14175, 3945, 1899, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 10105, 14212, 8070, 14222, 4003, 4008, 10161, 12215, 6083, 14275, 12235, 8157, 14312, 8183, 6142], '5': [2566, 2567, 2568, 2569, 2570, 2571, 2060, 4618, 4112, 1555, 3605, 2070, 1048, 3096, 1568, 4128, 3618, 3110, 4138, 5170, 54, 3126, 3646, 4673, 4163, 3654, 3149, 1108, 1620, 1626, 3169, 612, 3690, 620, 1132, 5228, 2161, 634, 132, 648, 5258, 1166, 3215, 1681, 2193, 2195, 3742, 1700, 3749, 166, 3246, 4270, 4786, 1207, 4801, 1221, 4293, 2253, 4818, 1749, 729, 4827, 732, 1245, 2272, 226, 1251, 2280, 4841, 4330, 3819, 4338, 250, 1790, 3838, 4353, 3852, 4365, 3347, 2324, 4883, 2841, 2845, 4895, 4386, 293, 297, 1835, 3372, 3883, 3892, 821, 4408, 3899, 834, 2883, 324, 3908, 838, 2899, 3924, 1366, 2903, 3932, 3421, 4449, 2405, 2408, 3949, 2926, 2417, 4466, 3443, 3955, 3966, 897, 3460, 4498, 2966, 3991, 409, 2465, 4006, 1448, 1452, 5037, 4534, 3001, 3003, 3516, 3518, 1983, 4046, 463, 4053, 4572, 1513, 3051, 5100, 1008, 2546, 1017]}
AP20051;AP20051;AP20051;;;1157;;;1502;;;1139;8;;754;60;;320;;;4872;68;0;4940;{'1': [2560, 11265, 10242, 1795, 4999, 5640, 1801, 9993, 2187, 11402, 13589, 3350, 3480, 5149, 5150, 5151, 7202, 9637, 1193, 6443, 12716, 12717, 6580, 9655, 5944, 1855, 2245, 2630, 1364, 11477, 11860, 3929, 7258, 10329, 14437, 14822, 6634, 4717, 14834, 14068, 14964, 11512, 1022], '2': [9475, 12804, 11019, 2188, 14350, 7823, 1809, 6291, 1944, 2975, 8735, 7073, 14882, 6695, 14247, 9775, 7344, 8112, 2739, 2103, 2359, 11383, 6079, 2114, 10436, 583, 331, 6910, 4432, 14162, 5078, 10838, 10845, 5218, 4709, 10853, 12391, 360, 9705, 2923, 14190, 10351, 13167, 13808, 14318, 6774, 8950, 12534, 12666, 1534], '3': [5889, 1154, 388, 3463, 9614, 8980, 2837, 12951, 14104, 415, 4260, 8868, 5672, 11816, 174, 9134, 9394, 13365, 11707, 2879, 4672, 4929, 4292, 1867, 4432, 8792, 346, 8922, 3037, 8285, 12893, 13282, 3812, 13542, 3816, 11754, 493, 5613, 12786, 14964, 504, 9465, 7677], '4': [14339, 5508, 13704, 13839, 11920, 12051, 1046, 13473, 7081, 9268, 11828, 12218, 13754, 14525, 62, 14915, 3278, 3534, 1233, 7634, 9426, 736, 6371, 8168, 745, 6505, 12907, 9453, 371, 11381, 13176, 9339, 3966], '5': [2913, 2754, 4421, 2887, 713, 2474, 3117, 3827, 1980]}
AP20111;AP20111;AP20111;;;1;;;1;;;1;;;1;;;3;;;7;0;0;7;{'1': [8761], '2': [3238], '3': [11772], '4': [6839], '5': [97, 3451, 564]}
AP20112;AP20112;AP20112;;;1097;60;;697;72;;1081;13;;1116;;;493;;;4484;145;0;4629;{'1': [12672, 3716, 14860, 8589, 13965, 1685, 4501, 4122, 6554, 4894, 1951, 14113, 6309, 6570, 7084, 1966, 9010, 1971, 7476, 12083, 11575, 2875, 7743, 2112, 9408, 9283, 4296, 8780, 11468, 591, 6863, 3156, 2006, 8536, 7133, 5726, 11104, 11232, 4581, 4585, 632, 2029, 6510, 10354, 3704, 7289, 8445, 3198], '2': [2433, 6790, 1800, 6665, 1930, 8203, 1293, 13069, 2197, 9621, 6424, 2969, 7197, 14118, 6058, 10284, 5806, 2993, 6066, 1973, 8515, 8137, 2003, 1750, 4058, 1381, 13287, 6761, 8553, 10733, 7418, 4219, 12413], '3': [12545, 7685, 13063, 3208, 9486, 4753, 8979, 3732, 4376, 7450, 3995, 6045, 4896, 14881, 3106, 11172, 9639, 3498, 14634, 2988, 1454, 12210, 5686, 3258, 8379, 3132, 7871, 4544, 3395, 7494, 11591, 3531, 11724, 8527, 11986, 3549, 7901, 4320, 12514, 2787, 4454, 13543, 8045, 12654, 12273, 11892, 4090, 4475, 4859], '4': [6018, 1030, 12166, 14472, 13326, 8209, 9362, 13458, 6677, 3990, 11925, 1562, 14878, 162, 13733, 1832, 169, 554, 9132, 13489, 14769, 691, 3636, 309, 4147, 6071, 9142, 14389, 14391, 13127, 9928, 1355, 14031, 13271, 984, 3545, 9178, 9690, 8286, 3680, 9569, 13155, 9703, 10216, 5995, 8173, 14067, 1013, 14454, 9471], '5': [386, 1163, 2191, 924, 1583, 432, 2738, 2884, 198, 1095, 459, 2896, 4820, 4183, 221, 5086, 1249, 2918, 104, 2677, 5110, 3067]}
AP20118;AP20118;AP20118;;;90;;;74;;;95;;;90;15;;62;;;411;15;0;426;{'1': [12033, 10373, 11238, 966, 14673], '2': [11449, 2683, 11348], '3': [3868, 8711, 12743, 10606, 1871, 12626, 2748], '4': [14824, 10317, 10318, 559, 880, 14943], '5': [3952, 3557, 814]}
