codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
118124;118124;118124;;;;;;0;0;0;{'1': []}
112255;112255;112255;;;;;;0;0;0;{'1': []}
112328;112328;112328;;;;;;0;0;0;{'1': []}
107837;107837;107837;;;157;30;;157;30;0;{'1': [4416, 297, 2540, 2702, 4657, 3730, 1335]}
168693;168693;168693;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
402007;402007;402007;;;120;240;;120;240;0;{'1': [3527, 3275, 1487, 1455, 3280, 309, 3963, 732, 1054, 2687]}
P01BD5113C01;P01BD5113C01;P01BD5113C01;;;;;;0;0;0;{'1': []}
AP23790;AP23790;AP23790;;;;150;;0;150;0;{'1': [4005]}
AP22956;AP22956;AP22956;;;;;;0;0;0;{'1': []}
AP22454;AP22454;AP22454;;;102;;;102;0;0;{'1': [4228, 2357]}
541629;541629;541629;;;;;;0;0;0;{'1': []}
64378;64378;64378;;;;;;0;0;0;{'1': []}
44728;44728;44728;;;11;35;;11;35;0;{'1': [3744, 2945, 1891, 1892, 2053, 710, 3742, 2221, 2254, 3630, 2293, 3541, 2458, 2459, 1052, 1565, 2461, 4191]}
392617;392617;392617;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
25694;25694;25694;;;;;;0;0;0;{'1': []}
527631;527631;527631;;;;;;0;0;0;{'1': []}
164874;164874;164874;;;3;;;3;0;0;{'1': [216, 3055]}
111195;111195;111195;;;;;;0;0;0;{'1': []}
22867;22867;22867;;;57;26;;57;26;0;{'1': [1347, 1576, 2345, 810, 1355, 2648, 4842, 2382, 4337, 1528, 3323, 2303]}
146020;146020;146020;;;;;;0;0;0;{'1': []}
125612;125612;125612;;;;;;0;0;0;{'1': []}
23679;23679;23679;;;;;;0;0;0;{'1': []}
100414012500674;100414012500674;100414012500674;;;;;;0;0;0;{'1': []}
130206;130206;130206;;;;;;0;0;0;{'1': []}
26007;26007;26007;;;360;;;360;0;0;{'1': [3729, 218, 3711]}
22879;22879;22879;;;18;;;18;0;0;{'1': [4676, 999]}
99054;99054;99054;;;;;;0;0;0;{'1': []}
393300;393300;393300;;;;;;0;0;0;{'1': []}
553190;553190;553190;;;90;;;90;0;0;{'1': [4324, 845, 255]}
25696;25696;25696;;;660;;;660;0;0;{'1': [2214, 4459, 274, 850, 220]}
124861;124861;124861;;;;;;0;0;0;{'1': []}
33405;33405;33405;;;1;2;;1;2;0;{'1': [3469, 4366]}
0;0;0;;;;;;0;0;0;{'1': []}
80343;80343;80343;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
101466;101466;101466;;;;;;0;0;0;{'1': []}
399886;399886;399886;;;;;;0;0;0;{'1': []}
108399;108399;108399;;;;;;0;0;0;{'1': []}
104921;104921;104921;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
AP21004;AP21004;AP21004;;;;;;0;0;0;{'1': []}
AP22494;AP22494;AP22494;;;;;;0;0;0;{'1': []}
AP20594;AP20594;AP20594;;;;;;0;0;0;{'1': []}
AP23349;AP23349;AP23349;;;;;;0;0;0;{'1': []}
AP22950;AP22950;AP22950;;;;;;0;0;0;{'1': []}
AP23346;AP23346;AP23346;;;;;;0;0;0;{'1': []}
AP22864;AP22864;AP22864;;;;;;0;0;0;{'1': []}
AP21726;AP21726;AP21726;;;;;;0;0;0;{'1': []}
AP22863;AP22863;AP22863;;;;;;0;0;0;{'1': []}
AP22862;AP22862;AP22862;;;;;;0;0;0;{'1': []}
AP21531;AP21531;AP21531;;;;;;0;0;0;{'1': []}
AP22046;AP22046;AP22046;;;;30;;0;30;0;{'1': [3970]}
AP24393;AP24393;AP24393;;;;;;0;0;0;{'1': []}
AP22303;AP22303;AP22303;;;;;;0;0;0;{'1': []}
AP20220;AP20220;AP20220;;;4;7;;4;7;0;{'1': [3491, 900, 1701, 3683, 4586, 4047, 784, 2000, 3987, 3478, 1790]}
AP20681;AP20681;AP20681;;;;;;0;0;0;{'1': []}
AP20590;AP20590;AP20590;;;;;;0;0;0;{'1': []}
AP23122;AP23122;AP23122;;;;;;0;0;0;{'1': []}
AP22279;AP22279;AP22279;;;7;8;;7;8;0;{'1': [3814, 2538, 557, 3504, 627, 2324, 1847, 857, 762, 4219, 3388, 3551]}
AP24413;AP24413;AP24413;;;30;;;30;0;0;{'1': [4582]}
AP23043;AP23043;AP23043;;;;;;0;0;0;{'1': []}
AP23189;AP23189;AP23189;;;;;;0;0;0;{'1': []}
AP23044;AP23044;AP23044;;;;;;0;0;0;{'1': []}
AP21008;AP21008;AP21008;;;;;;0;0;0;{'1': []}
AP21007;AP21007;AP21007;;;;;;0;0;0;{'1': []}
AP22945;AP22945;AP22945;;;;;;0;0;0;{'1': []}
AP23308;AP23308;AP23308;;;;;;0;0;0;{'1': []}
AP23643;AP23643;AP23643;;;;;;0;0;0;{'1': []}
