codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
118124;118124;118124;;;;;;0;0;0;{'1': []}
112255;112255;112255;;;;;;0;0;0;{'1': []}
112328;112328;112328;;;;;;0;0;0;{'1': []}
107837;107837;107837;;;;;;0;0;0;{'1': []}
168693;168693;168693;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
402007;402007;402007;;;;;;0;0;0;{'1': []}
P01BD5113C01;P01BD5113C01;P01BD5113C01;;;;;;0;0;0;{'1': []}
AP23790;AP23790;AP23790;;;270;30;;270;30;0;{'1': [6807, 2795, 6011, 5679]}
AP22956;AP22956;AP22956;;;26;;;26;0;0;{'1': [2097, 4308, 3020]}
AP22454;AP22454;AP22454;;;;;;0;0;0;{'1': []}
541629;541629;541629;;;;;;0;0;0;{'1': []}
64378;64378;64378;;;;;;0;0;0;{'1': []}
44728;44728;44728;;;;;;0;0;0;{'1': []}
392617;392617;392617;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
25694;25694;25694;;;;;;0;0;0;{'1': []}
527631;527631;527631;;;;;;0;0;0;{'1': []}
164874;164874;164874;;;;;;0;0;0;{'1': []}
111195;111195;111195;;;;;;0;0;0;{'1': []}
22867;22867;22867;;;;;;0;0;0;{'1': []}
146020;146020;146020;;;;;;0;0;0;{'1': []}
125612;125612;125612;;;;;;0;0;0;{'1': []}
23679;23679;23679;;;;;;0;0;0;{'1': []}
100414012500674;100414012500674;100414012500674;;;;;;0;0;0;{'1': []}
130206;130206;130206;;;;;;0;0;0;{'1': []}
26007;26007;26007;;;200;;;200;0;0;{'1': [705, 7189, 4419, 6357]}
22879;22879;22879;;;;;;0;0;0;{'1': []}
99054;99054;99054;;;;;;0;0;0;{'1': []}
393300;393300;393300;;;;;;0;0;0;{'1': []}
553190;553190;553190;;;;;;0;0;0;{'1': []}
25696;25696;25696;;;;;;0;0;0;{'1': []}
124861;124861;124861;;;;;;0;0;0;{'1': []}
33405;33405;33405;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
80343;80343;80343;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
101466;101466;101466;;;;;;0;0;0;{'1': []}
399886;399886;399886;;;;;;0;0;0;{'1': []}
108399;108399;108399;;;;;;0;0;0;{'1': []}
104921;104921;104921;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
AP21004;AP21004;AP21004;;;;;;0;0;0;{'1': []}
AP22494;AP22494;AP22494;;;;;;0;0;0;{'1': []}
AP20594;AP20594;AP20594;;;;;;0;0;0;{'1': []}
AP23349;AP23349;AP23349;;;;;;0;0;0;{'1': []}
AP22950;AP22950;AP22950;;;;;;0;0;0;{'1': []}
AP23346;AP23346;AP23346;;;;;;0;0;0;{'1': []}
AP22864;AP22864;AP22864;;;;;;0;0;0;{'1': []}
AP21726;AP21726;AP21726;;;;;;0;0;0;{'1': []}
AP22863;AP22863;AP22863;;;;;;0;0;0;{'1': []}
AP22862;AP22862;AP22862;;;;;;0;0;0;{'1': []}
AP21531;AP21531;AP21531;;;;;;0;0;0;{'1': []}
AP22046;AP22046;AP22046;;;60;;;60;0;0;{'1': [7232, 3053]}
AP24393;AP24393;AP24393;;;;;;0;0;0;{'1': []}
AP22303;AP22303;AP22303;;;;;;0;0;0;{'1': []}
AP20220;AP20220;AP20220;;;;;;0;0;0;{'1': []}
AP20681;AP20681;AP20681;;;43;;;43;0;0;{'1': [1153, 3972, 1934, 1935, 915, 1814, 2458, 3868, 1311, 4130, 2215, 3373, 4269, 950, 2744, 1472, 2113, 837, 3783, 725, 1115, 991, 992, 1255, 1768, 2408, 2535, 2551, 2430, 4095]}
AP20590;AP20590;AP20590;;;;;;0;0;0;{'1': []}
AP23122;AP23122;AP23122;;;;;;0;0;0;{'1': []}
AP22279;AP22279;AP22279;;;1;;;1;0;0;{'1': [4476]}
AP24413;AP24413;AP24413;;;;;;0;0;0;{'1': []}
AP23043;AP23043;AP23043;;;;;;0;0;0;{'1': []}
AP23189;AP23189;AP23189;;;;;;0;0;0;{'1': []}
AP23044;AP23044;AP23044;;;;;;0;0;0;{'1': []}
AP21008;AP21008;AP21008;;;;;;0;0;0;{'1': []}
AP21007;AP21007;AP21007;;;;;;0;0;0;{'1': []}
AP22945;AP22945;AP22945;;;;;;0;0;0;{'1': []}
AP23308;AP23308;AP23308;;;;;;0;0;0;{'1': [7210]}
AP23643;AP23643;AP23643;;;;;;0;0;0;{'1': []}
