codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP20038;AP20038;AP20038;;;;;;;;;;;;12;;;2;;;14;0;0;14;{'1': [], '2': [], '3': [], '4': [3870], '5': [5377, 7669]}
AP20040;AP20040;AP20040;;;;;;;;;;;;339;;;92;;;431;0;0;431;{'1': [], '2': [], '3': [], '4': [12805, 9223, 8715, 14362, 12838, 12839, 12840, 12338, 10292, 14903, 13369, 13370, 14909, 10306, 14916, 14408, 13385, 13897, 10318, 7249, 11859, 13398, 7256, 10344, 12393, 12906, 13434, 13439, 14466, 12931, 10372, 14990, 9359, 9371, 12452, 14512, 12978, 12985, 13497, 10435, 10436, 14021, 14042, 12509, 11492, 9449, 13550, 6386, 10996, 13052, 14589, 14078, 12552, 8969, 13578, 9999, 14614, 14622, 8998, 13608, 14123, 13612, 8495, 12596, 9527, 12093, 14141, 13632, 9539, 13133, 12110, 13646, 14670, 9042, 10068, 12639, 13667, 10596, 10085, 10087, 12137, 14185, 12142, 12143, 12660, 8565, 12661, 13685, 12674, 8582, 7562, 9614, 12687, 12689, 9116, 9628, 12703, 13727, 9122, 12706, 12196, 13734, 9643, 9644, 9138, 9139, 13235, 12221, 12222, 13245, 12227, 13251, 8135, 13258, 14797, 12239, 13785, 13788, 10205, 13790, 8672, 11751, 14829, 14320, 14332], '5': [5636, 1039, 2577, 1050, 3615, 1577, 4138, 11818, 6188, 2095, 5167, 5679, 1074, 1596, 3132, 69, 1608, 588, 6230, 3165, 3166, 9821, 1128, 4715, 9331, 6776, 6265, 7288, 10368, 6786, 647, 11916, 11921, 2706, 150, 2200, 10401, 3746, 165, 5800, 2218, 7338, 3771, 191, 2240, 1735, 214, 729, 1250, 1765, 5861, 3309, 4340, 3319, 249, 4346, 1273, 4860, 9989, 3849, 4874, 11529, 10509, 6435, 5430, 4417, 2886, 839, 3401, 3403, 2897, 4957, 1376, 3430, 5493, 6005, 5498, 4483, 2436, 389, 5000, 5001, 9610, 2445, 3469, 2966, 3486, 5023, 1442, 1447, 8622, 3504, 2997, 1992, 2507, 2515, 3539, 989, 2539, 2547, 2549, 1530, 5115, 6140]}
AP20041;AP20041;AP20041;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20042;AP20042;AP20042;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20045;AP20045;AP20045;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20044;AP20044;AP20044;;;21640;;;18420;;;11146;;;4041;;;4;;;55251;0;0;55251;{'1': [4097, 9218, 2052, 9221, 9222, 10, 9232, 9744, 11802, 1563, 4126, 3618, 11810, 1573, 2096, 2101, 6202, 7739, 2626, 3653, 1098, 77, 1617, 2132, 1621, 1625, 2139, 8798, 5215, 99, 4196, 2150, 7792, 1139, 116, 1145, 3706, 2177, 651, 3213, 146, 1689, 163, 164, 171, 12971, 10928, 690, 11959, 703, 14528, 707, 3780, 7364, 8902, 8903, 9422, 6866, 7890, 9944, 9946, 6875, 7392, 13028, 11494, 2279, 9448, 238, 14577, 7412, 245, 3317, 248, 14077, 6913, 9478, 9991, 5896, 9485, 785, 3352, 2329, 287, 6434, 10021, 12582, 13100, 11565, 6447, 7471, 10032, 1842, 1331, 2356, 6454, 311, 10042, 5950, 1861, 3397, 329, 3403, 5455, 851, 9555, 341, 1881, 351, 2406, 360, 874, 6513, 6517, 2424, 10618, 7035, 380, 12684, 1935, 10648, 1956, 1456, 434, 8631, 9658, 13761, 1475, 3526, 457, 3533, 5069, 4559, 7631, 7632, 2518, 11229, 996, 3567, 9202, 4086, 3577, 2043, 3580], '2': [10242, 10244, 2055, 14343, 10253, 10254, 10255, 10259, 10260, 10261, 12309, 10266, 10268, 10274, 10275, 10276, 10277, 10278, 10283, 10284, 10285, 4145, 10289, 10295, 10297, 10298, 2112, 2114, 10306, 12355, 4165, 10310, 10312, 10313, 10316, 10317, 4175, 10321, 10322, 10324, 4181, 10326, 10329, 4190, 10335, 10338, 10340, 10341, 14438, 10343, 10347, 10349, 2159, 10351, 10353, 2163, 2165, 2170, 10362, 10364, 4222, 10366, 10367, 14465, 10370, 10371, 10373, 2183, 10382, 146, 10389, 10391, 10392, 10398, 10400, 10401, 10404, 12455, 10412, 10413, 4276, 10420, 6326, 10427, 4288, 2241, 4292, 10436, 4295, 10439, 10441, 10442, 12488, 14536, 4305, 10450, 8414, 10469, 8422, 2287, 10483, 4347, 10491, 6397, 6398, 4353, 10500, 10503, 10508, 10509, 14605, 10513, 12561, 2328, 10530, 4387, 4388, 10532, 10533, 10534, 14632, 10541, 4400, 4401, 10547, 12596, 14647, 8504, 8520, 14671, 4434, 14675, 10580, 10587, 10588, 10592, 8550, 10601, 14698, 14717, 14718, 10640, 4500, 12723, 4537, 10687, 4544, 14784, 14787, 455, 8650, 10730, 2552, 8707, 10755, 4625, 536, 14876, 4645, 14889, 6727, 6729, 12891, 12920, 10882, 10886, 14982, 10888, 12959, 4769, 10927, 6834, 4792, 4796, 10943, 10944, 10952, 10968, 10972, 10977, 4840, 2799, 10994, 2815, 11009, 4866, 11019, 13090, 13102, 2865, 11072, 11073, 11077, 2889, 11084, 11089, 11090, 7003, 11106, 13154, 4967, 7027, 13171, 11125, 11139, 2952, 13204, 7062, 7065, 5030, 7081, 7087, 13243, 3007, 3008, 3010, 3011, 7107, 13253, 5062, 5084, 13282, 11236, 3056, 3062, 5117, 13315, 5124, 7188, 13332, 5145, 13343, 13373, 11328, 3137, 11333, 11335, 7241, 9318, 5239, 13431, 5260, 7319, 11417, 3249, 7357, 3264, 11459, 7376, 11472, 11481, 11503, 5366, 7415, 11514, 5375, 11522, 7435, 11550, 13600, 3367, 7467, 13613, 3378, 3391, 3407, 13656, 3424, 11620, 13668, 11628, 3442, 13682, 5493, 13690, 9600, 1415, 1416, 3464, 1430, 13721, 13726, 1439, 3489, 1443, 13731, 1445, 1446, 13738, 1451, 1454, 1465, 1470, 3520, 13761, 5585, 5601, 9704, 13801, 13820, 11773, 3628, 3635, 5704, 13902, 9814, 5725, 5734, 1643, 5750, 11909, 11911, 11913, 9870, 3731, 1686, 3737, 9882, 9904, 1717, 5814, 9915, 3783, 5833, 3786, 3792, 3795, 11989, 5846, 11990, 14038, 1763, 14068, 14079, 12039, 3850, 14092, 3854, 10003, 12074, 10031, 3909, 3913, 3919, 14160, 3936, 1890, 1896, 14185, 12138, 1920, 3968, 3973, 10124, 3982, 10127, 10129, 10139, 10140, 3997, 1950, 10141, 4001, 10146, 1955, 4002, 10145, 10150, 4014, 10159, 10171, 10173, 10176, 12234, 10191, 4048, 10195, 8148, 4055, 10200, 10201, 10202, 10204, 10205, 10212, 10216, 10217, 4075, 10219, 10221, 10222, 10225, 10230, 10231, 10232, 10233, 10235, 10237], '3': [4104, 2068, 14359, 14360, 14362, 14370, 14377, 14406, 14413, 14422, 14433, 8290, 2147, 14438, 14440, 14442, 12399, 137, 14474, 8334, 14495, 12452, 14502, 14505, 14510, 14514, 14517, 14518, 14521, 14535, 14538, 14542, 2261, 12501, 10458, 12508, 12509, 14561, 12516, 12517, 14568, 12521, 12522, 14570, 14575, 14579, 14580, 14582, 14587, 4349, 4360, 14601, 12554, 2316, 14605, 270, 12559, 14613, 283, 14620, 12573, 286, 12577, 12597, 310, 10554, 317, 6461, 6465, 12609, 14659, 327, 328, 12620, 14681, 10596, 12656, 4466, 4483, 14724, 6537, 4497, 2455, 8600, 416, 14753, 14754, 2467, 12707, 14760, 12716, 2477, 14767, 14771, 2484, 8628, 14774, 14775, 12728, 6587, 12731, 2498, 14786, 14788, 12744, 12748, 464, 12761, 14809, 14814, 488, 494, 12783, 14833, 12786, 14835, 504, 8700, 517, 2565, 10757, 14853, 10764, 14860, 2574, 14864, 529, 12818, 10771, 10772, 10773, 14871, 14875, 2594, 10789, 12837, 14887, 12851, 2622, 10814, 12875, 10845, 14948, 2665, 14958, 10864, 10865, 10869, 14966, 14967, 14968, 12923, 12930, 14987, 657, 659, 2710, 10904, 12955, 10916, 12965, 10922, 691, 692, 10933, 10934, 4800, 8896, 2756, 2760, 13005, 10964, 10970, 13022, 10993, 11002, 11003, 13051, 6916, 779, 13069, 11029, 11033, 11037, 11049, 11056, 11078, 843, 11087, 857, 11105, 2920, 2938, 13178, 11151, 913, 13201, 13202, 9108, 13205, 13210, 13217, 13222, 2984, 13232, 5058, 7123, 7125, 11232, 3044, 9202, 13304, 13311, 11270, 5133, 13331, 1049, 13337, 3103, 11299, 13353, 11307, 11308, 13355, 11313, 11315, 13366, 13369, 11324, 13375, 11330, 13380, 13383, 11336, 13390, 13391, 1104, 11347, 11356, 13405, 13407, 1121, 13414, 13415, 13417, 7274, 13425, 13429, 7289, 13434, 13436, 13437, 11391, 13444, 13445, 13449, 5260, 7308, 13452, 13455, 13458, 11411, 1174, 13467, 13472, 13473, 13475, 13479, 13484, 1197, 11440, 3249, 13488, 13509, 13512, 13515, 13517, 1230, 13519, 13523, 13528, 11481, 11491, 3309, 13551, 13555, 13557, 11512, 3322, 13562, 13568, 13572, 13573, 3338, 7440, 5400, 5407, 3366, 13606, 13611, 13612, 9525, 13622, 13623, 13630, 13634, 3401, 13647, 13649, 13655, 13660, 1373, 5476, 1382, 11624, 11627, 13679, 13681, 11641, 7546, 13695, 13700, 13706, 5516, 13708, 1433, 13721, 7585, 11685, 7595, 13741, 5554, 5555, 13747, 11704, 13758, 5572, 13764, 13766, 13768, 3529, 13770, 13771, 13787, 13789, 13791, 7652, 1513, 13801, 3565, 13813, 13818, 1531, 13819, 13828, 1550, 13841, 5651, 1571, 7715, 13861, 13870, 13871, 13872, 13874, 13883, 13886, 13899, 13907, 13911, 13915, 13917, 7774, 13921, 13937, 13952, 13954, 13964, 13965, 13973, 11934, 13986, 13987, 13988, 7854, 14002, 14003, 14005, 14006, 14010, 14021, 14023, 14025, 5843, 7903, 7905, 14049, 14051, 14063, 3830, 14084, 9992, 1802, 14092, 9999, 7957, 12059, 14109, 14112, 5921, 5924, 14116, 14124, 14126, 14129, 14136, 12093, 14147, 14149, 8008, 14154, 14158, 14159, 14165, 14167, 1881, 14171, 5985, 14186, 14190, 8051, 8055, 14202, 14204, 8062, 14208, 12170, 14226, 8086, 1945, 14242, 14243, 1956, 4004, 4009, 14257, 8122, 14268, 14270, 12225, 14275, 14280, 14283, 14285, 4055, 14298, 10213, 14317, 14323, 8186], '4': [1026, 3586, 3587, 6147, 6149, 2061, 3600, 530, 3602, 10260, 533, 1559, 1564, 6172, 1566, 3614, 6179, 2597, 7721, 42, 1066, 2091, 1069, 3626, 48, 1585, 3637, 3638, 2615, 3640, 61, 1085, 64, 3648, 4162, 1091, 72, 1613, 81, 2129, 83, 595, 2130, 3668, 3672, 603, 3676, 6235, 6238, 99, 3683, 6245, 3686, 1643, 4716, 4205, 6253, 3699, 7285, 3702, 3704, 3705, 4728, 6264, 1660, 637, 638, 639, 1150, 2173, 642, 1666, 3708, 4737, 646, 2183, 3719, 649, 650, 6278, 6280, 1677, 143, 1679, 3728, 1682, 659, 148, 660, 662, 663, 664, 665, 666, 667, 668, 669, 670, 671, 1183, 673, 674, 1692, 3743, 677, 3747, 3748, 3749, 4771, 5285, 6311, 6315, 686, 1714, 6322, 1716, 694, 695, 1720, 3766, 6327, 6330, 6331, 702, 703, 710, 711, 5320, 713, 2249, 3787, 6347, 717, 3789, 720, 209, 6352, 3797, 2262, 3799, 6357, 729, 218, 731, 3801, 3802, 3803, 5344, 5345, 6370, 227, 228, 740, 741, 1251, 6376, 745, 5353, 5354, 7404, 237, 1261, 239, 3824, 1266, 6388, 6389, 3833, 5371, 6400, 6402, 259, 1284, 6405, 1287, 3847, 1801, 2316, 269, 270, 1806, 6412, 785, 6414, 1299, 789, 1814, 2327, 3862, 6422, 3866, 1307, 284, 3869, 1685, 1313, 6265, 291, 4901, 5927, 1321, 4906, 4396, 1837, 1326, 3890, 3891, 308, 309, 4405, 4409, 826, 4921, 6458, 6461, 318, 5952, 836, 1869, 2387, 1364, 4947, 5974, 3927, 1368, 3930, 4446, 355, 3941, 8038, 4455, 3945, 5994, 4754, 369, 882, 6004, 885, 6007, 1405, 4478, 6013, 1410, 1923, 1412, 389, 4997, 1415, 4488, 2953, 4998, 6026, 1936, 6546, 6288, 408, 1432, 1433, 3995, 413, 2462, 1965, 6061, 432, 945, 6068, 6071, 6584, 6074, 6077, 4543, 960, 1991, 971, 2514, 6100, 474, 6110, 6111, 6114, 2532, 3556, 2022, 3559, 1512, 3562, 5098, 6123, 6305, 2030, 1519, 3570, 2036, 2549, 3572, 3575, 3576, 6137, 3581], '5': [11776, 8833, 13571, 9094, 9095, 11790, 8848, 10902, 9239, 7832, 11800, 8605, 9501, 1445, 8229, 9769, 12714, 9132, 9262, 9012, 11828, 13237, 6711, 8503, 9149, 8000, 11845, 8903, 9161, 10442, 4299, 8012, 8396, 9421, 8147, 11234, 9571, 8934, 12397, 12532, 10873, 7547]}
AP20051;AP20051;AP20051;;;1620;;;1345;;;1055;;;635;;;;;;4655;0;0;4655;{'1': [3264, 3498, 4156, 6702, 9806, 181, 1654, 1180, 606, 607], '2': [2947, 9862, 11015, 11400, 13709, 12563, 7073, 2096, 11060, 13748, 14774, 11963, 5952, 3781, 6086, 11974, 14151, 6219, 12372, 10967, 6361, 13273, 4068, 12005, 232, 11496, 13288, 11500, 13677, 11374, 11378, 10356, 14713], '3': [14083, 6789, 8967, 13831, 9354, 13323, 13836, 14091, 14482, 14200, 14229, 1689, 14110, 14625, 13732, 6181, 13352, 13613, 303, 825, 13625, 13246, 7617, 13121, 9412, 13640, 1225, 13386, 13773, 13776, 13906, 12633, 14937, 13404, 14046, 14050, 14178, 361, 13161, 14315, 14188, 12660, 1784, 5498, 14334, 13439], '4': [2432, 2688, 1283, 3973, 4359, 138, 395, 3978, 525, 1295, 16, 17, 19, 3610, 156, 414, 30, 160, 4001, 162, 420, 806, 1319, 1457, 2225, 1331, 692, 5941, 438, 2870, 4287, 6083, 1482, 4685, 4559, 465, 1244, 221, 612, 6259, 5884], '5': [13222, 8105, 8554, 10059, 8686]}
AP20111;AP20111;AP20111;;;;;;;;;;;;15;;;1;;;16;0;0;16;{'1': [], '2': [], '3': [], '4': [985], '5': [4043]}
AP20112;AP20112;AP20112;;;390;;;890;;;1237;;;914;;;;;;3431;0;0;3431;{'1': [3328, 14345, 1036], '2': [12545, 13187, 9736, 13705, 14474, 12301, 6929, 11412, 12831, 12575, 9762, 14627, 10918, 10539, 12334, 13998, 11698, 5049, 12353, 12370, 10589, 12647, 3176, 11375, 13561], '3': [13185, 14722, 9867, 14739, 14740, 13208, 2721, 12706, 7075, 13730, 13858, 7336, 13225, 5162, 7211, 3886, 3251, 1204, 8244, 5815, 12727, 8762, 9402, 5055, 12224, 14018, 14661, 14030, 4560, 9298, 13139, 13525, 3289, 8538, 13530, 14041, 14554, 13538, 14306, 9191, 13159, 4585, 12649, 8560, 6002, 9458, 12663, 2812, 13694], '4': [771, 1157, 2695, 2057, 3595, 781, 398, 2063, 2320, 4237, 1171, 2579, 6036, 2198, 1049, 1052, 799, 4512, 802, 931, 934, 4264, 811, 44, 45, 2734, 6063, 2353, 6325, 1208, 1338, 3642, 2494, 1218, 3653, 1222, 3399, 6087, 2505, 3657, 972, 5586, 4307, 3926, 1113, 860, 1245, 1629, 1377, 1889, 3938, 1892, 6372, 2918, 3431, 1896, 876, 493, 5996, 6128, 1137, 5363, 884, 3445, 2551, 1146], '5': [9956, 12711, 8297, 9290, 9068, 9292, 10860, 8143, 11888, 9235, 9751, 12446, 11742, 7967]}
AP20118;AP20118;AP20118;;;;;;;;;68;;;30;;;;;;98;0;0;98;{'1': [], '2': [], '3': [14530, 12515, 12539], '4': [817, 2005], '5': [10658, 10003, 7956]}
