codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
118124;118124;118124;;;;;;0;0;0;{'1': []}
112255;112255;112255;;;;;;0;0;0;{'1': []}
112328;112328;112328;;;;;;0;0;0;{'1': []}
107837;107837;107837;;;;;;0;0;0;{'1': []}
168693;168693;168693;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
402007;402007;402007;;;;;;0;0;0;{'1': []}
P01BD5113C01;P01BD5113C01;P01BD5113C01;;;;;;0;0;0;{'1': []}
AP23790;AP23790;AP23790;;;150;;;150;0;0;{'1': [4091]}
AP22956;AP22956;AP22956;;;;;;0;0;0;{'1': []}
AP22454;AP22454;AP22454;;;60;;;60;0;0;{'1': [2694]}
541629;541629;541629;;;;;;0;0;0;{'1': []}
64378;64378;64378;;;;;;0;0;0;{'1': []}
44728;44728;44728;;;;;;0;0;0;{'1': []}
392617;392617;392617;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
25694;25694;25694;;;;;;0;0;0;{'1': []}
527631;527631;527631;;;;;;0;0;0;{'1': []}
164874;164874;164874;;;;;;0;0;0;{'1': []}
111195;111195;111195;;;;;;0;0;0;{'1': []}
22867;22867;22867;;;;;;0;0;0;{'1': []}
146020;146020;146020;;;;;;0;0;0;{'1': []}
125612;125612;125612;;;;;;0;0;0;{'1': []}
23679;23679;23679;;;;;;0;0;0;{'1': []}
100414012500674;100414012500674;100414012500674;;;;;;0;0;0;{'1': []}
130206;130206;130206;;;;;;0;0;0;{'1': []}
26007;26007;26007;;;100;;;100;0;0;{'1': [1033]}
22879;22879;22879;;;;;;0;0;0;{'1': []}
99054;99054;99054;;;;;;0;0;0;{'1': []}
393300;393300;393300;;;;;;0;0;0;{'1': []}
553190;553190;553190;;;;;;0;0;0;{'1': []}
25696;25696;25696;;;;;;0;0;0;{'1': [2367]}
124861;124861;124861;;;;;;0;0;0;{'1': []}
33405;33405;33405;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
80343;80343;80343;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
101466;101466;101466;;;;;;0;0;0;{'1': []}
399886;399886;399886;;;;;;0;0;0;{'1': []}
108399;108399;108399;;;;;;0;0;0;{'1': []}
104921;104921;104921;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
AP21004;AP21004;AP21004;;;;;;0;0;0;{'1': []}
AP22494;AP22494;AP22494;;;;;;0;0;0;{'1': []}
AP20594;AP20594;AP20594;;;;;;0;0;0;{'1': []}
AP23349;AP23349;AP23349;;;;;;0;0;0;{'1': []}
AP22950;AP22950;AP22950;;;;;;0;0;0;{'1': []}
AP23346;AP23346;AP23346;;;;;;0;0;0;{'1': []}
AP22864;AP22864;AP22864;;;;;;0;0;0;{'1': []}
AP21726;AP21726;AP21726;;;;;;0;0;0;{'1': []}
AP22863;AP22863;AP22863;;;;;;0;0;0;{'1': []}
AP22862;AP22862;AP22862;;;;;;0;0;0;{'1': []}
AP21531;AP21531;AP21531;;;;;;0;0;0;{'1': []}
AP22046;AP22046;AP22046;;;90;;;90;0;0;{'1': [624]}
AP24393;AP24393;AP24393;;;;;;0;0;0;{'1': []}
AP22303;AP22303;AP22303;;;;;;0;0;0;{'1': []}
AP20220;AP20220;AP20220;;;;;;0;0;0;{'1': []}
AP20681;AP20681;AP20681;;;13;;;13;0;0;{'1': [3202, 3618, 3237, 2540, 3597, 1230, 3888, 1364, 2934, 3417, 2906]}
AP20590;AP20590;AP20590;;;;;;0;0;0;{'1': []}
AP23122;AP23122;AP23122;;;;;;0;0;0;{'1': []}
AP22279;AP22279;AP22279;;;1;;;1;0;0;{'1': [3780]}
AP24413;AP24413;AP24413;;;;;;0;0;0;{'1': []}
AP23043;AP23043;AP23043;;;;;;0;0;0;{'1': []}
AP23189;AP23189;AP23189;;;;;;0;0;0;{'1': []}
AP23044;AP23044;AP23044;;;;;;0;0;0;{'1': []}
AP21008;AP21008;AP21008;;;;;;0;0;0;{'1': []}
AP21007;AP21007;AP21007;;;;;;0;0;0;{'1': []}
AP22945;AP22945;AP22945;;;;;;0;0;0;{'1': []}
AP23308;AP23308;AP23308;;;;;;0;0;0;{'1': []}
AP23643;AP23643;AP23643;;;;;;0;0;0;{'1': []}
AP21285;AP21285;AP21285;;;22;;;22;0;0;{'1': [3590, 778, 1165, 144, 3225, 1945, 1947, 1948, 1579, 1199, 2997, 3765, 3268, 3659, 2764, 3286, 2775, 2648, 2777, 1262, 2542, 1779, 2552, 3195]}
AP20518;AP20518;AP20518;;;;;;0;0;0;{'1': []}
AP20996;AP20996;AP20996;;;;;;0;0;0;{'1': []}
AP23920;AP23920;AP23920;;;36;;;36;0;0;{'1': [1413, 3084, 1423, 18, 158, 1697, 3745, 2979, 824, 3769, 3770, 1478, 3914, 2766, 336, 3287, 3043, 2794, 4080, 2546, 1011, 1911]}
