codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
118124;118124;118124;;;;;;0;0;0;{'1': []}
112255;112255;112255;;;;;;0;0;0;{'1': []}
112328;112328;112328;;;;;;0;0;0;{'1': []}
107837;107837;107837;;;163;;;163;0;0;{'1': [3712, 647, 2731, 2255, 1109, 2997, 1527, 2845]}
168693;168693;168693;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
402007;402007;402007;;;;;;0;0;0;{'1': [4672, 4701, 5116, 4686, 4764, 4957]}
P01BD5113C01;P01BD5113C01;P01BD5113C01;;;;;;0;0;0;{'1': []}
AP23790;AP23790;AP23790;;;180;;;180;0;0;{'1': [890, 2107, 2108]}
AP22956;AP22956;AP22956;;;;;;0;0;0;{'1': []}
AP22454;AP22454;AP22454;;;60;;;60;0;0;{'1': [3817]}
541629;541629;541629;;;;;;0;0;0;{'1': []}
64378;64378;64378;;;;;;0;0;0;{'1': []}
44728;44728;44728;;;;;;0;0;0;{'1': []}
392617;392617;392617;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
25694;25694;25694;;;;;;0;0;0;{'1': []}
527631;527631;527631;;;;;;0;0;0;{'1': []}
164874;164874;164874;;;2;;;2;0;0;{'1': [4738, 1966, 2415]}
111195;111195;111195;;;;;;0;0;0;{'1': []}
22867;22867;22867;;;100;;;100;0;0;{'1': [3360, 3448, 166, 3847, 1800, 4294, 587, 1007, 592, 1103, 1848, 955]}
146020;146020;146020;;;;;;0;0;0;{'1': []}
125612;125612;125612;;;2;;;2;0;0;{'1': [1481]}
23679;23679;23679;;;;;;0;0;0;{'1': []}
100414012500674;100414012500674;100414012500674;;;;;;0;0;0;{'1': []}
130206;130206;130206;;;;;;0;0;0;{'1': []}
26007;26007;26007;;;400;;;400;0;0;{'1': [4740, 1605, 3944, 149, 3834]}
22879;22879;22879;;;18;;;18;0;0;{'1': [338, 4316]}
99054;99054;99054;;;;;;0;0;0;{'1': []}
393300;393300;393300;;;;;;0;0;0;{'1': []}
553190;553190;553190;;;;;;0;0;0;{'1': []}
25696;25696;25696;;;510;;;510;0;0;{'1': [3979, 2004, 2749]}
124861;124861;124861;;;;;;0;0;0;{'1': []}
33405;33405;33405;;;5;;;5;0;0;{'1': [545, 4104, 2414, 1968, 2746]}
0;0;0;;;;;;0;0;0;{'1': []}
80343;80343;80343;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
101466;101466;101466;;;;;;0;0;0;{'1': []}
399886;399886;399886;;;;;;0;0;0;{'1': []}
108399;108399;108399;;;;;;0;0;0;{'1': []}
104921;104921;104921;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
0;0;0;;;;;;0;0;0;{'1': []}
AP21004;AP21004;AP21004;;;;;;0;0;0;{'1': []}
AP22494;AP22494;AP22494;;;;;;0;0;0;{'1': []}
AP20594;AP20594;AP20594;;;;;;0;0;0;{'1': []}
AP23349;AP23349;AP23349;;;;;;0;0;0;{'1': []}
AP22950;AP22950;AP22950;;;;;;0;0;0;{'1': []}
AP23346;AP23346;AP23346;;;;;;0;0;0;{'1': []}
AP22864;AP22864;AP22864;;;;;;0;0;0;{'1': []}
AP21726;AP21726;AP21726;;;;;;0;0;0;{'1': []}
AP22863;AP22863;AP22863;;;;;;0;0;0;{'1': []}
AP22862;AP22862;AP22862;;;;;;0;0;0;{'1': []}
AP21531;AP21531;AP21531;;;;;;0;0;0;{'1': []}
AP22046;AP22046;AP22046;;;;;;0;0;0;{'1': []}
AP24393;AP24393;AP24393;;;;;;0;0;0;{'1': []}
AP22303;AP22303;AP22303;;;;;;0;0;0;{'1': []}
AP20220;AP20220;AP20220;;;4;;;4;0;0;{'1': [1411, 2408, 5066, 1423, 2037]}
AP20681;AP20681;AP20681;;;;;;0;0;0;{'1': []}
AP20590;AP20590;AP20590;;;;;;0;0;0;{'1': []}
AP23122;AP23122;AP23122;;;;;;0;0;0;{'1': []}
AP22279;AP22279;AP22279;;;26;;;26;0;0;{'1': [4365, 4114, 2707, 2972, 3363, 2737, 696, 2501, 4038, 3911, 2771, 3162, 1628, 2270, 1636, 1508, 2672, 4467, 2681, 636]}
AP24413;AP24413;AP24413;;;;;;0;0;0;{'1': []}
AP23043;AP23043;AP23043;;;;;;0;0;0;{'1': []}
AP23189;AP23189;AP23189;;;;;;0;0;0;{'1': []}
AP23044;AP23044;AP23044;;;;;;0;0;0;{'1': []}
AP21008;AP21008;AP21008;;;;;;0;0;0;{'1': []}
AP21007;AP21007;AP21007;;;;;;0;0;0;{'1': []}
AP22945;AP22945;AP22945;;;;;;0;0;0;{'1': []}
AP23308;AP23308;AP23308;;;;;;0;0;0;{'1': []}
AP23643;AP23643;AP23643;;;;;;0;0;0;{'1': []}
AP21285;AP21285;AP21285;;;6;;;6;0;0;{'1': [2179, 1029, 4838, 1127, 4680, 909, 3245, 1872, 4854, 4989, 4639]}
AP20518;AP20518;AP20518;;;;;;0;0;0;{'1': []}
