codigo_neg,cantidad_entrega,tipo_entrega
AP22744,90,TOTAL
AP21834,90,TOTAL
AP22906,90,TOTAL
AP24430,6,TOTAL
AP23836,60,TOTAL
AP21994,30,TOTAL
AP22798,20,TOTAL
AP20472,30,TOTAL
AP21623,28,TOTAL
AP21769,30,TOTAL
AP22724,1,TOTAL
AP22794,20,TOTAL
AP21539,30,TOTAL
AP22308,2,TOTAL
AP20548,1,TOTAL
AP22794,15,TOTAL
AP22081,15,TOTAL
AP21269,1,TOTAL
AP21347,6,TOTAL
AP22794,15,TOTAL
AP22476,15,TOTAL
AP20218,2,TOTAL
AP22022,3,TOTAL
AP21607,63,TOTAL
AP22375,90,TOTAL
AP22571,30,TOTAL
AP21353,1,TOTAL
AP20922,10,TOTAL
AP22104,20,TOTAL
AP20140,21,TOTAL
AP23802,30,TOTAL
AP21449,84,TOTAL
AP23240,60,TOTAL
AP21434,60,TOTAL
AP20044,40,TOTAL
AP20142,45,TOTAL
AP20776,30,TOTAL
AP24085,30,TOTAL
AP20546,1,TOTAL
AP20218,2,TOTAL
AP23624,4,TOTAL
AP20953,15,TOTAL
AP21012,28,TOTAL
AP21536,60,TOTAL
AP20121,14,TOTAL
AP23698,1,TOTAL
AP23537,1,TOTAL
AP21061,3,TOTAL
AP21571,1,TOTAL
AP-Preservativos,14,TOTAL
AP21449,84,TOTAL
AP23072,30,TOTAL
AP22081,12,TOTAL
AP22906,10,TOTAL
AP22104,15,TOTAL
AP20894,20,TOTAL
AP22937,60,TOTAL
AP20557,1,TOTAL
AP22724,1,TOTAL
AP22537,10,TOTAL
AP21353,1,TOTAL
AP20524,3,TOTAL
AP21539,5,TOTAL
AP21390,10,TOTAL
AP22083,1,TOTAL
AP22081,15,TOTAL
AP22624,15,TOTAL
AP23719,30,TOTAL
AP-Preservativos,15,TOTAL
AP21571,1,TOTAL
AP22863,6,TOTAL
AP21368,42,TOTAL
AP23240,30,TOTAL
AP20142,45,TOTAL
AP22867,28,TOTAL
AP20776,30,TOTAL
AP22425,30,TOTAL
AP22081,15,TOTAL
AP21836,30,TOTAL
AP21539,60,TOTAL
AP22668,15,TOTAL
AP22624,9,TOTAL
AP22081,9,TOTAL
AP22476,9,TOTAL
AP21539,7,TOTAL
AP22724,2,TOTAL
AP22193,6,TOTAL
AP21769,30,TOTAL
AP-Aguja Insulina,100,TOTAL
AP-Lancetas,50,TOTAL
AP-Tiras Reactivas,50,TOTAL
AP22863,6,TOTAL
AP21372,10,TOTAL
AP22015,2,TOTAL
AP21618,1,TOTAL
AP21123,7,TOTAL
AP23396,60,TOTAL
AP22794,15,TOTAL
AP23194,30,TOTAL
AP22081,15,TOTAL
AP22531,60,TOTAL
AP21238,60,TOTAL
AP22724,2,TOTAL
AP22863,6,TOTAL
AP22899,1,TOTAL
AP21353,2,TOTAL
AP22481,10,TOTAL
AP22104,15,TOTAL
AP20894,40,TOTAL
AP21876,1,TOTAL
AP20596,1,TOTAL
AP20535,30,TOTAL
AP22858,2,TOTAL
