codigo_neg,cantidad_entrega,tipo_entrega
AP20498,90,TOTAL
AP22414,960,TOTAL
AP21769,901,TOTAL
AP20767,810,TOTAL
AP20858,720,TOTAL
AP23807,720,TOTAL
AP23790,720,TOTAL
AP20858,720,TOTAL
AP20853,720,TOTAL
AP-Aguja Insulina,720,TOTAL
AP20044,720,TOTAL
AP23806,720,TOTAL
AP20855,720,TOTAL
AP20855,720,TOTAL
AP22336,720,TOTAL
AP21992,660,TOTAL
AP22863,655,TOTAL
AP23659,600,TOTAL
AP22412,540,TOTAL
AP23790,540,TOTAL
AP20535,540,TOTAL
AP20844,540,TOTAL
AP20778,540,TOTAL
AP20853,540,TOTAL
AP22412,540,TOTAL
AP20794,540,TOTAL
AP20844,540,TOTAL
AP23807,540,TOTAL
AP23741,540,TOTAL
AP23790,540,TOTAL
AP20767,540,TOTAL
AP22342,540,TOTAL
AP22935,540,TOTAL
AP23807,540,TOTAL
AP20853,540,TOTAL
AP20853,540,TOTAL
AP20844,540,TOTAL
AP20844,540,TOTAL
AP20844,540,TOTAL
AP23803,540,TOTAL
AP20822,480,TOTAL
AP20778,480,TOTAL
AP22412,480,TOTAL
AP22375,480,TOTAL
AP23071,480,TOTAL
AP20012,480,TOTAL
AP20857,480,TOTAL
AP23662,480,TOTAL
AP23790,480,TOTAL
AP23807,480,TOTAL
AP20822,480,TOTAL
AP20844,450,TOTAL
AP20844,450,TOTAL
AP20794,450,TOTAL
AP22618,450,TOTAL
AP23790,450,TOTAL
AP20794,450,TOTAL
AP22412,370,TOTAL
AP20778,365,TOTAL
AP20778,365,TOTAL
AP20858,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP22374,360,TOTAL
AP22491,360,TOTAL
AP22312,360,TOTAL
AP20593,360,TOTAL
AP-Lancetas,360,TOTAL
AP-Tiras Reactivas,360,TOTAL
AP21481,360,TOTAL
AP21481,360,TOTAL
AP22468,360,TOTAL
AP21880,360,TOTAL
AP22314,360,TOTAL
AP21393,360,TOTAL
AP22412,360,TOTAL
AP22004,360,TOTAL
AP20794,360,TOTAL
AP20044,360,TOTAL
AP20012,360,TOTAL
AP23097,360,TOTAL
AP23719,360,TOTAL
AP22375,360,TOTAL
AP23806,360,TOTAL
AP20844,360,TOTAL
AP22512,360,TOTAL
AP20844,360,TOTAL
AP20767,360,TOTAL
AP22412,360,TOTAL
AP23809,360,TOTAL
AP21191,360,TOTAL
AP21419,360,TOTAL
AP20302,360,TOTAL
AP20858,360,TOTAL
AP20857,360,TOTAL
AP23806,360,TOTAL
AP22375,360,TOTAL
AP23790,360,TOTAL
AP20302,360,TOTAL
AP23719,360,TOTAL
AP20044,360,TOTAL
AP22412,360,TOTAL
AP23802,360,TOTAL
AP22491,360,TOTAL
AP22491,360,TOTAL
AP20592,360,TOTAL
AP22723,360,TOTAL
AP20773,360,TOTAL
AP20822,360,TOTAL
AP20778,360,TOTAL
AP20821,360,TOTAL
AP20844,360,TOTAL
AP21136,360,TOTAL
AP-Tiras Reactivas,360,TOTAL
AP-Lancetas,360,TOTAL
AP22314,360,TOTAL
AP20822,360,TOTAL
AP20044,360,TOTAL
AP20748,360,TOTAL
AP20857,360,TOTAL
AP20858,360,TOTAL
AP22497,360,TOTAL
AP-Lancetas,360,TOTAL
AP-Tiras Reactivas,360,TOTAL
AP23741,360,TOTAL
AP23790,360,TOTAL
AP22468,360,TOTAL
AP22850,360,TOTAL
AP23803,360,TOTAL
AP23803,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP22723,360,TOTAL
AP22342,360,TOTAL
AP23809,360,TOTAL
AP-Lancetas,360,TOTAL
AP-Tiras Reactivas,360,TOTAL
AP22566,360,TOTAL
AP20855,360,PARCIAL
AP20776,360,TOTAL
AP20857,360,TOTAL
AP21476,360,TOTAL
AP23807,360,TOTAL
AP23807,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP20044,360,TOTAL
AP23134,360,TOTAL
AP21480,360,TOTAL
AP21480,360,TOTAL
AP20142,360,TOTAL
AP-Tiras Reactivas,360,TOTAL
AP-Lancetas,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP23194,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP20302,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP23133,360,TOTAL
AP23807,360,TOTAL
AP23807,360,TOTAL
AP20794,360,TOTAL
AP22497,360,TOTAL
AP20044,360,TOTAL
AP20044,360,TOTAL
AP22491,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP20978,360,TOTAL
AP22374,360,TOTAL
AP20366,360,TOTAL
AP23790,360,TOTAL
AP20044,360,TOTAL
AP23267,360,TOTAL
AP20844,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP23556,360,TOTAL
AP20794,360,TOTAL
AP22491,360,TOTAL
AP22491,360,TOTAL
AP22412,360,TOTAL
AP23071,360,TOTAL
AP20051,360,TOTAL
AP20857,360,TOTAL
AP20773,360,TOTAL
AP22491,360,TOTAL
AP21551,360,TOTAL
AP21191,360,TOTAL
AP23790,360,TOTAL
AP23719,360,TOTAL
AP20855,360,TOTAL
AP-Aguja Insulina,360,TOTAL
AP21191,360,TOTAL
AP20445,360,TOTAL
AP23556,360,TOTAL
AP20844,360,TOTAL
AP23790,360,TOTAL
AP22310,360,TOTAL
AP22414,360,TOTAL
AP20776,360,TOTAL
AP23802,360,TOTAL
AP20446,360,TOTAL
AP22491,360,TOTAL
AP20880,360,TOTAL
AP22491,360,TOTAL
AP22838,360,TOTAL
AP20445,360,TOTAL
AP23049,360,TOTAL
AP22342,360,TOTAL
AP22336,360,TOTAL
AP22314,360,TOTAL
AP22314,360,TOTAL
AP23847,340,TOTAL
AP22597,336,TOTAL
AP22798,330,TOTAL
AP20882,330,TOTAL
AP23450,320,TOTAL
AP20446,320,TOTAL
AP-Lancetas,300,TOTAL
AP-Tiras Reactivas,300,TOTAL
AP22054,300,TOTAL
AP22310,300,TOTAL
AP23803,300,TOTAL
AP22468,300,TOTAL
AP20776,300,TOTAL
AP22259,300,TOTAL
AP-Tiras Reactivas,300,TOTAL
AP-Lancetas,300,TOTAL
AP-Tiras Reactivas,300,TOTAL
AP-Lancetas,300,TOTAL
AP-Tiras Reactivas,300,TOTAL
AP22412,300,TOTAL
AP20822,300,TOTAL
AP-Aguja Insulina,300,TOTAL
AP-Tiras Reactivas,300,TOTAL
AP-Lancetas,300,TOTAL
AP22342,290,TOTAL
AP23662,280,TOTAL
AP23662,280,TOTAL
AP20044,270,TOTAL
AP22531,270,TOTAL
AP22935,270,TOTAL
AP22468,270,TOTAL
AP22838,270,TOTAL
AP22310,270,TOTAL
AP23790,270,TOTAL
AP20044,270,TOTAL
AP23807,270,TOTAL
AP23146,270,TOTAL
AP20044,270,TOTAL
AP20121,270,TOTAL
AP-Tiras Reactivas,270,TOTAL
AP-Tiras Reactivas,270,TOTAL
AP22375,270,TOTAL
AP23790,270,TOTAL
AP22375,270,TOTAL
AP22375,270,TOTAL
AP22587,270,TOTAL
AP23792,270,TOTAL
AP23204,270,TOTAL
AP22935,270,TOTAL
AP20592,270,TOTAL
AP20853,270,TOTAL
AP23790,270,TOTAL
AP22412,270,TOTAL
AP21134,270,TOTAL
AP22412,270,TOTAL
AP23803,270,TOTAL
AP22412,270,TOTAL
AP20844,270,TOTAL
AP22336,270,TOTAL
AP21454,270,TOTAL
AP20857,270,TOTAL
AP22468,270,TOTAL
