codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
AP20004;AP20004;AP20004;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20038;AP20038;AP20038;;;;;;1;;;1;;;;;;;;;2;0;2;{'1': [], '2': [5431], '3': [1351], '4': [], '5': []}
AP20040;AP20040;AP20040;;;123;4;;137;;;105;1;;77;12;;41;;;483;17;500;{'1': [0, 3585, 1922, 8961, 1933, 3085, 5136, 5782, 11798, 1944, 13848, 14405, 4637, 14239, 2597, 1834, 2352, 7601, 4018, 10290, 1844, 8629, 7862, 6071, 14334, 3257, 14778, 8379, 705, 12737, 12738, 4804, 7492, 12229, 12230, 8520, 9928, 12739, 12740, 12741, 12742, 12743, 2767, 11088, 12744, 14676, 11095, 11351, 5084, 3293, 7651, 7273, 3437, 3695, 7279, 14959, 1522, 2933, 6263, 2937, 2171, 5756, 9214, 4735], '2': [5889, 1410, 4102, 5256, 9992, 9867, 524, 13965, 11281, 4499, 11285, 14614, 11415, 1816, 2075, 9244, 7069, 542, 9887, 11548, 289, 13596, 675, 9508, 5157, 13219, 5031, 14502, 4138, 1835, 13356, 11053, 12719, 11184, 8497, 13616, 3127, 567, 10747, 9274, 443, 10427, 454, 6857, 6602, 331, 13130, 14236, 10062, 13008, 14620, 9430, 9943, 11094, 12886, 7899, 10208, 225, 6242, 14435, 740, 741, 742, 4845, 5104, 9841, 10609, 12658, 14448, 4473, 8443, 10365, 10751], '3': [1537, 3714, 7429, 2055, 9479, 9738, 6289, 3733, 12566, 8727, 12055, 8347, 14747, 414, 3487, 5920, 8739, 3876, 4522, 3883, 13743, 13744, 13745, 13746, 8885, 4279, 9402, 3259, 11708, 4413, 4670, 2115, 452, 1734, 1993, 12746, 976, 8664, 14937, 11994, 7899, 8924, 14940, 12643, 8314, 14566, 2921, 12398, 1391, 239, 9847, 6521, 2298], '4': [1281, 9474, 13447, 1032, 906, 8587, 8588, 8589, 1422, 8590, 4243, 13332, 3866, 4508, 797, 6684, 10018, 4387, 14631, 808, 2097, 3512, 826, 443, 7483, 13886, 1088, 3397, 10567, 10568, 10569, 13896, 3536, 9552, 2006, 5207, 5208, 5209, 6489, 9948, 6623, 2018, 14308, 13289, 6379, 6510, 879, 2675, 11252, 3062, 2555, 14591], '5': [384, 4483, 1800, 3722, 3850, 2322, 278, 3366, 4924, 1341, 829, 2502, 4294, 5450, 1357, 850, 3157, 1627, 3042, 750, 5360]}
AP20041;AP20041;AP20041;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20042;AP20042;AP20042;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20044;AP20044;AP20044;;;16386;2260;;18598;2015;;14524;1795;;10445;2450;;5570;900;;65523;9420;74943;{'1': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 2069, 14362, 2081, 4134, 4140, 6188, 14395, 14397, 14404, 14412, 6235, 4192, 4207, 4213, 4229, 4234, 6287, 8338, 10396, 8360, 10411, 10412, 10413, 10414, 10415, 10416, 10417, 10418, 10419, 10420, 10421, 10422, 10423, 10424, 10425, 10426, 10427, 10428, 8387, 4343, 6397, 4356, 2314, 14610, 6422, 4376, 14619, 4385, 8483, 14648, 6466, 2372, 4423, 4440, 4442, 6496, 8544, 4450, 8551, 4456, 4461, 14712, 4476, 10252, 2436, 2437, 14724, 4493, 2449, 4497, 4498, 2453, 4502, 14744, 8606, 2464, 2466, 4536, 8644, 12745, 2506, 12746, 2508, 6605, 2510, 12747, 12748, 12749, 12750, 8659, 12751, 12752, 12753, 12754, 12755, 12756, 12757, 12758, 12759, 12760, 2526, 12761, 8672, 12762, 12763, 8675, 12764, 12765, 12766, 12767, 12768, 6633, 12769, 12770, 12771, 12772, 12773, 495, 12775, 12776, 12777, 12778, 12779, 14829, 8700, 6652, 4611, 14851, 4628, 6679, 542, 4643, 550, 14893, 8751, 4678, 14922, 14923, 2639, 2660, 14949, 14957, 8815, 2673, 14963, 4729, 6783, 4741, 649, 14985, 6798, 14996, 2728, 4776, 8873, 8883, 693, 2750, 8910, 6871, 4839, 8937, 2795, 4846, 8942, 756, 2804, 4852, 763, 8969, 4878, 12774, 2832, 2833, 6933, 8985, 8997, 812, 2865, 11062, 6967, 831, 4927, 834, 4933, 11077, 4937, 842, 11084, 14010, 4956, 7004, 11105, 868, 4971, 11118, 11126, 2936, 4984, 7035, 9090, 2948, 915, 2963, 919, 932, 7077, 9128, 9146, 3010, 7112, 9167, 7120, 977, 11219, 5079, 7128, 11233, 5091, 11241, 1007, 1008, 5109, 3063, 1019, 5118, 7171, 9221, 11272, 9227, 1037, 1045, 3098, 5164, 5165, 5166, 5167, 5168, 5169, 3122, 5170, 5171, 5172, 5173, 5174, 5175, 5176, 5177, 5178, 5179, 1085, 5180, 9274, 9276, 1089, 9288, 11363, 9323, 1145, 7289, 7297, 1156, 3206, 11398, 3224, 7327, 9389, 7350, 11457, 3271, 3279, 7375, 7415, 7423, 9473, 7431, 3336, 9481, 3351, 3357, 11551, 3360, 9527, 11581, 9538, 3397, 9546, 13645, 7507, 7513, 11611, 11619, 3428, 7526, 9578, 9580, 13677, 3440, 9608, 11661, 1422, 1432, 9624, 13725, 11679, 7587, 11685, 9640, 11688, 13736, 9651, 7607, 1476, 13766, 1479, 1484, 7631, 1490, 7217, 9695, 1505, 7219, 11753, 7222, 11764, 11767, 1531, 7681, 3590, 1546, 9741, 3600, 3602, 5651, 3604, 11806, 5673, 13865, 7724, 7728, 5686, 7738, 5710, 13902, 5722, 7772, 9820, 9827, 11876, 1640, 5739, 9837, 3699, 1658, 9851, 11902, 13954, 9861, 11917, 7824, 9872, 1683, 9875, 1691, 11934, 11939, 7846, 3758, 7855, 9910, 7863, 7864, 7865, 7866, 7867, 7868, 7869, 7870, 7871, 7872, 7873, 7874, 7875, 7876, 7877, 7878, 7879, 7880, 7881, 1741, 3792, 14032, 14042, 3822, 3823, 1777, 9974, 12024, 1785, 14077, 14080, 12038, 1800, 10005, 14103, 12068, 1833, 3901, 3921, 1885, 14182, 5994, 10094, 1912, 12177, 3987, 12181, 10134, 6041, 6046, 14240, 12193, 12199, 1961, 12207, 1969, 14259, 10170, 14271, 14275, 1988, 12231, 12232, 12233, 12234, 12235, 12236, 6093, 12237, 12238, 12239, 12240, 12241, 12242, 12243, 12244, 12245, 6103, 12246, 12247, 12248, 12249, 12250, 10209, 10219, 2030, 4078, 14326, 10234, 2045], '2': [6144, 4098, 8, 14344, 4117, 4120, 37, 45, 8237, 8239, 2096, 2108, 61, 4158, 10304, 65, 4161, 2115, 8257, 14402, 4171, 10323, 2135, 10335, 2146, 4195, 101, 10346, 108, 14444, 121, 8315, 10367, 6274, 6286, 14478, 6290, 14490, 6303, 10399, 10403, 14508, 178, 185, 195, 14532, 2246, 14536, 208, 209, 2257, 6357, 10456, 220, 4322, 4325, 10472, 6385, 242, 8436, 14581, 8441, 4346, 14594, 12553, 6411, 12560, 6420, 8469, 279, 8471, 12569, 283, 10523, 2340, 14630, 10539, 12601, 320, 2371, 6467, 8519, 8522, 12621, 10578, 8542, 2404, 12647, 360, 14697, 12652, 14705, 6523, 2435, 8579, 392, 8585, 10636, 8595, 12693, 4505, 12705, 12709, 14776, 2494, 14783, 8651, 4557, 6606, 6611, 10718, 8672, 4577, 2549, 4609, 6662, 14863, 2585, 6683, 550, 6694, 14890, 4651, 8753, 14901, 2615, 4664, 2618, 2619, 8763, 10816, 10822, 2631, 8778, 589, 10840, 2649, 4697, 6749, 12897, 6759, 619, 622, 4722, 630, 8823, 2681, 2712, 10905, 4769, 4774, 2727, 10924, 6832, 693, 8887, 10936, 12983, 10938, 6846, 8896, 10957, 4814, 6863, 13006, 723, 2773, 4824, 8928, 13024, 10978, 4836, 13029, 743, 744, 745, 746, 747, 748, 749, 750, 751, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 2804, 11009, 8963, 6931, 11030, 4887, 6940, 2845, 2851, 4900, 6950, 2858, 9006, 2863, 4913, 13109, 13115, 11069, 4930, 6978, 13124, 2889, 11085, 6997, 13150, 4968, 13162, 11127, 11575, 11135, 2944, 11576, 2948, 9093, 11577, 11578, 5007, 7057, 7058, 11579, 9109, 9112, 7076, 11175, 7083, 13227, 2989, 2990, 2996, 11189, 5046, 9143, 13241, 9146, 11587, 3008, 5063, 11212, 5069, 7122, 5078, 9176, 7140, 7144, 13291, 7151, 9207, 7171, 9223, 5128, 7184, 13328, 5139, 3097, 9248, 13352, 9266, 11319, 5179, 11325, 11327, 9286, 7240, 9290, 3151, 7247, 7250, 7260, 11361, 13419, 9332, 5238, 11384, 13432, 3194, 9591, 3203, 5260, 13458, 7334, 3255, 3262, 7360, 3269, 5322, 7370, 7372, 9419, 13519, 7385, 13529, 5340, 3299, 7397, 3302, 7401, 7413, 5370, 3326, 5379, 11531, 5392, 11537, 11540, 3355, 11549, 11550, 11551, 3360, 11552, 11553, 11554, 11555, 11556, 11557, 11558, 11559, 7465, 11560, 11561, 5420, 11562, 11563, 9519, 11564, 11565, 11566, 3379, 11567, 1333, 1334, 11568, 3384, 11569, 11570, 11571, 11572, 11573, 3390, 11574, 1344, 3393, 1346, 5443, 7489, 11580, 11581, 11582, 11583, 11584, 11585, 11586, 3404, 11588, 11589, 11590, 11591, 11592, 5468, 7516, 7521, 9569, 3442, 3443, 3444, 3445, 3446, 3447, 3448, 3449, 3450, 3451, 3452, 3453, 3454, 3455, 3456, 3457, 1411, 5520, 1430, 7576, 13721, 13728, 1448, 5551, 9663, 7632, 9680, 9698, 1513, 13807, 9712, 7667, 9715, 13813, 5623, 9731, 7698, 5652, 9749, 5658, 5682, 1589, 1602, 9799, 1613, 13903, 5734, 5741, 7794, 1656, 5768, 5781, 5786, 5787, 5788, 13982, 7839, 7848, 7850, 13997, 7867, 14012, 7869, 1727, 9927, 9930, 1739, 7893, 14039, 1758, 14049, 14055, 2796, 14070, 14074, 7940, 7944, 7945, 7946, 7947, 7948, 7949, 7950, 1807, 3856, 7951, 7952, 5913, 1818, 14120, 3881, 3899, 10058, 1873, 3933, 14178, 5994, 10090, 5998, 3953, 3956, 14209, 6018, 14210, 10116, 14216, 14219, 3987, 10137, 1957, 4006, 4012, 14252, 4019, 4020, 10164, 6081, 1995, 14290, 4052, 2008, 2014, 4076, 4094, 2047], '3': [2048, 14338, 14340, 8199, 2067, 6165, 14361, 27, 28, 14363, 12324, 8229, 6182, 14375, 6196, 6198, 6203, 6212, 14413, 2126, 6222, 4176, 6228, 87, 6245, 104, 2161, 4211, 117, 2170, 14463, 8329, 14473, 14481, 6290, 6291, 6292, 6293, 6294, 6295, 6296, 6297, 6298, 6299, 6300, 6301, 6302, 6303, 6304, 6305, 162, 6306, 12449, 14499, 2214, 12457, 185, 189, 2237, 2256, 2259, 8405, 4314, 8423, 14568, 8433, 12529, 2291, 2299, 263, 280, 14630, 12583, 12584, 14718, 334, 339, 4454, 8562, 14710, 12665, 6522, 6523, 6524, 4477, 6525, 6526, 6527, 6528, 6529, 6530, 6531, 6532, 6533, 6534, 6535, 6536, 6537, 12682, 4492, 14727, 14729, 403, 12700, 8623, 8632, 2496, 10699, 12753, 2516, 2528, 486, 8687, 14835, 500, 10744, 8700, 511, 8705, 8708, 12806, 2569, 530, 532, 10775, 14873, 10784, 559, 10801, 4665, 2620, 14908, 574, 14910, 12866, 2628, 14929, 4696, 4728, 12923, 10879, 10882, 8838, 14989, 8848, 663, 2711, 4776, 2741, 2746, 704, 8903, 13001, 13003, 13020, 2781, 10973, 13026, 2788, 10980, 4838, 743, 8934, 13030, 10989, 4846, 2802, 13044, 6904, 2809, 8962, 4868, 6920, 11027, 4886, 13093, 6950, 6952, 6961, 4916, 13118, 4930, 6981, 838, 6984, 846, 11089, 9042, 860, 13151, 2915, 4965, 7016, 874, 4972, 11116, 7028, 2934, 11131, 11138, 2948, 11151, 2962, 5021, 11165, 9149, 7130, 3038, 7134, 9182, 13280, 996, 3053, 3055, 9201, 13298, 3062, 3068, 7165, 9219, 3079, 3081, 5129, 7177, 7202, 1062, 1067, 11307, 5167, 5168, 3126, 5178, 9276, 7229, 13372, 9288, 7244, 9295, 3154, 7253, 9304, 9312, 1121, 11362, 7267, 9315, 7274, 11372, 1142, 1147, 5246, 7301, 1161, 9353, 3218, 5275, 11443, 1207, 1212, 1216, 13506, 11462, 1232, 3280, 13522, 5332, 5333, 5334, 1239, 5335, 11478, 13530, 11483, 13534, 7402, 1266, 13558, 13564, 3331, 13575, 9490, 3367, 3369, 13612, 5428, 1334, 11576, 9529, 7482, 3396, 7511, 3425, 9600, 1413, 3463, 9609, 9615, 5528, 1443, 13747, 13748, 3509, 11701, 13749, 13750, 13751, 13752, 13753, 13754, 13755, 13756, 3519, 13757, 13758, 13759, 13760, 13761, 13762, 13763, 13764, 13765, 11721, 13766, 1483, 13767, 13768, 13769, 13770, 13771, 13772, 5590, 5591, 1499, 11749, 5615, 3576, 1529, 7676, 9744, 3621, 3623, 7741, 1607, 7751, 3663, 1616, 3665, 9815, 11863, 1641, 5739, 1644, 7788, 9836, 1650, 7800, 9848, 9849, 9850, 9851, 5757, 9852, 9854, 9855, 9853, 9856, 5763, 9860, 9861, 9862, 9857, 9864, 9858, 5770, 9859, 9863, 9865, 9866, 9867, 9868, 9869, 9870, 7827, 9871, 9872, 9873, 9874, 3752, 5806, 3762, 3763, 7859, 1751, 7896, 1764, 3813, 1792, 3857, 7958, 1833, 1839, 1851, 5962, 1870, 8018, 12121, 8026, 1888, 8051, 12153, 8064, 1920, 3969, 8086, 6055, 1965, 1969, 8120, 6113, 4067, 12262, 2032, 12273, 8188, 6141], '4': [14338, 14347, 8210, 21, 14361, 32, 12322, 2043, 4137, 8234, 43, 8236, 6193, 50, 2101, 12341, 8254, 12350, 8263, 2133, 4181, 4183, 4184, 2150, 2151, 2152, 2153, 2154, 2155, 2156, 2157, 2158, 2159, 2160, 2161, 4205, 10351, 12403, 6261, 14462, 14466, 12422, 10384, 8342, 155, 4263, 14503, 4268, 14513, 10441, 6348, 12497, 12517, 14566, 8429, 6407, 8455, 14603, 14640, 14654, 4425, 10570, 10571, 10572, 10573, 10574, 8527, 10575, 10576, 10577, 6483, 10580, 8533, 10581, 10582, 10583, 10584, 10586, 10587, 10588, 10585, 10589, 10590, 10591, 10593, 10592, 10594, 10596, 10597, 10595, 371, 374, 384, 12679, 12686, 8591, 8592, 8593, 8594, 8595, 8596, 8597, 8598, 8599, 8600, 8601, 8602, 8603, 8604, 8605, 8606, 8607, 8608, 8609, 12707, 14331, 6590, 12749, 14807, 4570, 4576, 507, 522, 2583, 6717, 4678, 14923, 12900, 6769, 4724, 2677, 656, 2715, 6831, 4785, 2744, 708, 2758, 13005, 2766, 13030, 4843, 6895, 4858, 6910, 13058, 13081, 6963, 2877, 835, 9034, 13131, 10345, 849, 2899, 2903, 856, 4953, 7011, 9066, 2925, 9075, 890, 2941, 894, 2965, 5019, 7067, 13212, 5022, 5037, 7091, 7106, 3015, 13260, 7121, 13269, 13272, 13280, 999, 7143, 1004, 7153, 13299, 11253, 11254, 11255, 5112, 11256, 11257, 11259, 11258, 1019, 11262, 11260, 11264, 11261, 11263, 13317, 5130, 9226, 9251, 13348, 13350, 5159, 9255, 7231, 9286, 3149, 5210, 5211, 5212, 5213, 5214, 5215, 5216, 5217, 5218, 5219, 5220, 5221, 5222, 5223, 5224, 5225, 5226, 5227, 5228, 5229, 5230, 5231, 5232, 1141, 7305, 1174, 13467, 7340, 9388, 3250, 3254, 7351, 13495, 3263, 7368, 9421, 1242, 13532, 3300, 9444, 9464, 3334, 1302, 9496, 13596, 1330, 9522, 9537, 11602, 3413, 7509, 11612, 3438, 11633, 7548, 7551, 13710, 11674, 7581, 1450, 11700, 1478, 13771, 11727, 7635, 11735, 13796, 1509, 1513, 9706, 11761, 1521, 3576, 1534, 9746, 11798, 13853, 3617, 7728, 11824, 7755, 13905, 1622, 5721, 9819, 11875, 5733, 9829, 9833, 11895, 7808, 7814, 1672, 11913, 13963, 3724, 11916, 11923, 5781, 13984, 1698, 3748, 11941, 3752, 9905, 11953, 3764, 11963, 5833, 9931, 9941, 11990, 9951, 14052, 3817, 5865, 3821, 12017, 7928, 3840, 1802, 3850, 10010, 7966, 1828, 14119, 7981, 3886, 5943, 1853, 3911, 1866, 3922, 1875, 3926, 14167, 12125, 1891, 5988, 10098, 14197, 12150, 6013, 6022, 6035, 3988, 8094, 6049, 12196, 6057, 6066, 6074, 6083, 14279, 6088, 4043, 14284, 4052, 10199, 2016, 8162, 10578, 12262, 10579, 2033, 10227, 4091, 14334], '5': [1024, 2048, 1027, 1541, 519, 1547, 2573, 5133, 2581, 5142, 543, 32, 4129, 4644, 5156, 2089, 4652, 4148, 58, 4667, 2625, 4162, 3653, 3142, 4679, 586, 3146, 590, 5198, 81, 2134, 5210, 1116, 4700, 3678, 4193, 617, 1129, 4203, 1133, 3186, 4210, 4722, 4219, 1662, 3202, 3206, 4235, 3727, 2706, 4243, 2709, 4763, 3229, 2718, 4260, 3751, 1193, 4266, 4780, 4277, 3768, 703, 3269, 4812, 2766, 4302, 1744, 1748, 217, 220, 4318, 3304, 5353, 2282, 3306, 3824, 4848, 3826, 757, 4358, 4365, 270, 1809, 4886, 1304, 3356, 2847, 1313, 5416, 2867, 2868, 2869, 2870, 2359, 2871, 2872, 1852, 1344, 2370, 4932, 1865, 3401, 3913, 4425, 3926, 3415, 4441, 346, 4451, 3431, 5486, 3955, 3963, 1404, 1917, 3454, 4476, 4987, 1924, 907, 3474, 915, 1428, 2461, 3999, 929, 424, 5544, 943, 1462, 1980, 2494, 2496, 3520, 5574, 459, 1999, 4052, 4059, 1503, 3551, 4584, 5100, 1517, 2554, 5116, 4607]}
AP20045;AP20045;AP20045;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20051;AP20051;AP20051;;;1097;;;1547;;;1109;8;;769;60;;350;;;4872;68;4940;{'1': [7301, 1031, 4746, 1807, 2575, 6672, 10385, 11538, 11923, 1813, 2199, 5031, 3368, 5672, 3503, 1205, 11573, 14519, 14904, 10297, 5181, 5182, 5183, 10048, 11326, 14145, 14916, 11463, 7242, 1867, 6480, 2258, 2645, 13653, 6618, 9692, 5981, 1376, 12780, 12781, 9710, 3953], '2': [13313, 14338, 14466, 3076, 13956, 12678, 9607, 11527, 12810, 6416, 7953, 2194, 12948, 2838, 2456, 11161, 669, 2205, 416, 7201, 8865, 10488, 14498, 6823, 7472, 49, 8242, 9910, 14395, 6204, 445, 4543, 5194, 10574, 3024, 4820, 5335, 1625, 10979, 14310, 2281, 10986, 1900, 9839, 10994, 2035, 6902, 12535, 9080, 7038], '3': [9601, 4616, 3212, 653, 11920, 3988, 664, 3992, 13596, 546, 8995, 36, 8486, 9126, 1320, 5804, 3639, 575, 7871, 3009, 6081, 11967, 13120, 9672, 13513, 330, 13773, 13012, 4439, 9821, 9185, 5863, 3051, 9072, 2036, 4471, 504, 4857, 13178, 9340, 12029, 5118, 14335], '4': [4226, 9730, 13190, 1290, 5773, 11662, 9616, 13459, 13988, 14630, 12201, 298, 12333, 14126, 7350, 13756, 199, 9543, 1482, 12109, 3534, 3791, 979, 12500, 14039, 988, 607, 14816, 7906, 9703, 6636, 6772, 8440], '5': [2279, 4137, 3055, 1008, 207, 3216, 3190, 2775, 3422, 4735]}
AP20111;AP20111;AP20111;;;1;;;1;;;1;;;1;;;3;;;7;0;7;{'1': [8810], '2': [3345], '3': [11985], '4': [7107], '5': [859, 389, 3759]}
AP20112;AP20112;AP20112;;;1097;120;;787;72;;1066;13;;1141;;;543;120;;4634;325;4959;{'1': [5761, 4610, 7173, 4614, 8585, 11529, 3727, 3216, 6547, 11161, 3739, 11291, 1697, 7332, 10410, 1963, 8494, 4530, 4147, 1978, 4923, 8638, 1983, 6592, 12736, 2890, 6346, 2124, 6608, 595, 7124, 14041, 14942, 4321, 2018, 7521, 9060, 3174, 7789, 14190, 13681, 12146, 11636, 6903, 2041, 9338, 9463, 8829, 638], '2': [6918, 13434, 2313, 6793, 8333, 12557, 2064, 3094, 6551, 9754, 7325, 13213, 6183, 5929, 2094, 6191, 1841, 10419, 10874, 14266, 1471, 8645, 4166, 4935, 8267, 1891, 2532, 2021, 1383, 4329, 6889, 8683, 2290, 7546, 3070], '3': [8068, 8580, 7688, 3725, 2959, 12433, 14865, 4499, 8729, 11804, 4639, 11937, 8098, 4269, 12208, 8242, 4660, 5046, 3383, 12738, 3908, 7879, 4938, 4555, 4173, 12109, 12879, 13774, 3281, 12497, 1623, 3674, 3162, 7644, 5085, 6237, 9693, 9184, 12769, 3433, 13290, 3307, 3571, 11379, 5877, 9846, 4729, 3707], '4': [10496, 6283, 398, 14355, 1812, 405, 9748, 14745, 4250, 795, 12448, 545, 6945, 2083, 8481, 934, 9639, 13609, 14763, 13741, 12206, 12209, 3894, 4408, 9407, 6336, 14017, 1604, 9417, 1228, 13772, 14680, 3802, 14682, 10207, 3938, 13410, 1257, 9453, 8558, 9967, 14319, 13554, 115, 6260, 9846, 1274, 9980, 8445, 13438], '5': [514, 1545, 396, 5135, 4496, 3221, 5402, 4381, 2978, 680, 170, 3372, 5426, 1459, 2492, 61, 1220, 726, 1880, 3039, 491, 1391, 753, 3187, 3199]}
