codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;cantidad_total_6;cantidad_parcial_6;cantidad_pendiente_6;cantidad_total_7;cantidad_parcial_7;cantidad_pendiente_7;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP20004;AP20004;AP20004;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20038;AP20038;AP20038;;;1;;;;;;;;;;;;15;;;;;;;;;16;0;0;16;{'1': [3002], '2': [], '3': [], '4': [], '5': [12349], '6': [], '7': []}
AP20040;AP20040;AP20040;;;30;;;102;;;2;;;159;;;21;4;;61;9;;;;;375;13;0;388;{'1': [393, 2966, 2990, 441, 700, 3392, 1221, 723, 854, 733, 2910, 2784, 741, 742, 360, 3049, 1003, 2937, 892], '2': [5121, 5122, 5633, 5124, 5381, 5130, 5898, 5645, 8462, 5880, 8721, 5138, 5398, 5659, 5404, 5660, 5155, 7844, 5670, 5415, 5672, 7851, 5422, 5685, 5175, 9143, 5696, 4679, 9032, 5705, 5451, 5460, 5850, 5468, 5214, 9566, 5856, 5473, 8546, 5477, 9573, 5223, 5481, 5868, 5486, 8558, 5112, 8313], '3': [9043], '4': [14848, 3073, 14855, 3595, 3084, 14861, 12302, 11793, 14866, 14869, 3617, 1574, 1580, 13873, 2632, 1615, 1620, 1627, 14939, 11881, 14441, 1649, 11889, 14450, 11892, 1654, 14455, 11897, 14457, 1660, 11901, 12414, 14464, 14469, 12422, 11912, 14476, 11917, 14988, 12435, 11933, 11934, 11936, 13985, 13994, 14002, 1716, 2740, 1719, 2745, 12475, 11964, 13500, 3265, 3268, 3270, 3279, 3283, 3290, 1756, 13532, 13537, 1765, 13548, 1773, 1778, 12020, 2807, 13571, 3858, 11542, 3865, 2843, 11553, 1840, 2353, 12095, 2369, 12113, 13666, 14196, 14205, 14207, 1414, 14214, 14222, 3471, 1942, 13207, 3482, 3486, 13219, 13220, 13222, 3499, 1967, 1970, 14793, 13778, 14805, 14308, 14311, 11753, 3563, 11759], '5': [11781, 198, 12234, 13419, 11833, 14639, 156, 242, 13426, 14736, 14867, 10809, 188], '6': [6406, 10119, 3336, 1417, 6666, 7825, 3219, 4628, 924, 676, 3372, 557, 1710, 5559, 2360, 956, 2237, 68, 1736, 3019, 4428, 3150, 7763, 2772, 4820, 216, 4574, 4842, 4076, 9453, 8302, 6255, 3960, 5755], '7': [3211, 4750]}
AP20041;AP20041;AP20041;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20042;AP20042;AP20042;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20044;AP20044;AP20044;;;12510;;;10967;;;17053;;;13967;;;17655;1110;;7033;1240;;40;180;;79225;2530;0;81755;{'1': [2049, 7172, 2057, 12809, 6668, 10256, 1553, 9745, 7187, 12307, 6681, 4124, 1567, 2079, 545, 34, 7205, 2087, 7209, 8746, 13356, 9773, 14385, 2613, 5685, 8761, 12864, 7233, 4163, 10828, 2126, 9806, 13905, 594, 8274, 9299, 5717, 8280, 11354, 603, 7772, 8286, 8798, 7776, 8800, 1122, 10336, 7780, 2149, 1126, 8292, 3176, 7272, 1130, 1643, 7784, 7788, 1134, 8298, 9321, 14953, 1650, 11382, 2682, 5244, 6268, 5246, 3711, 11392, 4737, 10882, 13955, 9349, 9861, 9863, 7307, 6798, 3217, 9362, 10386, 5781, 7830, 5783, 10391, 13768, 1691, 1183, 9893, 11941, 8873, 8363, 10411, 12461, 12972, 9392, 11953, 1714, 7347, 7860, 14283, 5308, 11968, 6849, 7361, 6852, 8904, 12498, 13016, 7385, 1245, 8413, 9949, 1251, 1766, 1771, 236, 2285, 6892, 1776, 7921, 12018, 2803, 2804, 12528, 249, 14075, 2812, 10493, 14078, 3845, 12041, 9482, 2317, 3344, 13593, 8987, 6944, 14113, 2856, 10027, 10539, 10031, 307, 819, 309, 2869, 3380, 11064, 6969, 3386, 13627, 14133, 11069, 14655, 11074, 3908, 11079, 8010, 11084, 4429, 11089, 2899, 5971, 2901, 11094, 5975, 9559, 11099, 10078, 11615, 11104, 11109, 2918, 8551, 5994, 10603, 11114, 3437, 11119, 12655, 11124, 12795, 2940, 1405, 2430, 9599, 11651, 10116, 14215, 11658, 2445, 7565, 9613, 14228, 5014, 6040, 921, 5532, 1437, 416, 11681, 11170, 8099, 1445, 8103, 9639, 10665, 427, 6572, 12715, 10159, 7092, 7099, 14269, 1982, 9152, 1476, 11718, 5063, 7624, 12742, 7114, 7626, 11724, 461, 11213, 7119, 11725, 12748, 3026, 10194, 11218, 14802, 8663, 9176, 14297, 8669, 13279, 14304, 8161, 10211, 3044, 5604, 5094, 10727, 14311, 4076, 14318, 13808, 4084, 9205, 12790, 1527, 6651, 8702, 9215], '2': [6657, 4612, 8200, 13321, 14344, 6155, 13326, 6159, 10256, 14352, 7191, 4124, 14366, 543, 2080, 13857, 13354, 9262, 8239, 7728, 4148, 7229, 10302, 2630, 1613, 5709, 591, 14928, 14421, 14934, 10329, 6235, 6748, 6238, 12384, 8801, 14951, 7785, 2667, 7277, 10353, 14451, 2677, 7285, 5239, 8821, 121, 6777, 6267, 12917, 3197, 9341, 13435, 3713, 5761, 14467, 9351, 12935, 9353, 3212, 653, 5774, 14478, 6800, 658, 3221, 8854, 4759, 14489, 13466, 2715, 4764, 9885, 2206, 14492, 14497, 6307, 7852, 13484, 14509, 9391, 14001, 2739, 6325, 4280, 6843, 14524, 10430, 4799, 6849, 6853, 11464, 5321, 5322, 7886, 11471, 6358, 4823, 5339, 2268, 733, 7388, 3295, 10974, 13540, 7912, 8936, 13033, 2284, 6383, 1266, 7922, 8434, 6903, 11513, 8443, 1789, 8445, 7936, 4353, 8960, 12546, 13569, 4870, 3335, 9480, 14599, 12555, 10508, 1808, 7441, 6420, 6422, 8982, 9723, 2329, 13079, 12059, 2844, 1821, 6429, 14106, 10529, 11555, 6436, 1317, 4390, 8485, 3368, 12070, 810, 1322, 7979, 8490, 3374, 7470, 8495, 11052, 13609, 5939, 13616, 9013, 14127, 1847, 2880, 4417, 1347, 6980, 3910, 10055, 4428, 13644, 4431, 336, 12279, 3416, 8536, 6493, 4446, 10077, 12640, 7523, 3430, 8039, 1897, 11626, 4976, 12146, 8563, 7028, 4469, 6006, 12658, 12152, 10617, 7546, 12664, 12796, 14202, 14715, 13185, 14722, 10116, 12679, 6024, 13194, 3469, 5005, 6541, 12686, 6035, 404, 9108, 14739, 13721, 8090, 13213, 14750, 3999, 9632, 9122, 11173, 14246, 4007, 2476, 12205, 12716, 8623, 9135, 12719, 11699, 948, 14773, 4022, 7610, 9659, 6083, 14788, 9671, 5577, 6089, 4555, 13770, 10701, 7630, 8655, 14799, 10193, 2002, 8659, 13266, 6101, 9685, 13779, 11737, 2010, 8668, 13788, 1502, 12256, 13281, 5090, 14304, 7140, 14311, 1001, 9194, 9705, 13802, 14833, 8182, 5623, 9210, 8699, 10748, 13941], '3': [3, 12292, 2058, 8204, 10259, 4119, 10271, 2096, 10288, 4146, 52, 2112, 4161, 6212, 8261, 4170, 6231, 6243, 10341, 108, 10351, 2161, 10353, 2165, 124, 6278, 2194, 8341, 4247, 152, 12441, 6297, 8344, 4255, 8353, 162, 4267, 12472, 6334, 6336, 8390, 14536, 2260, 8404, 14556, 6375, 4330, 12524, 10478, 4336, 2291, 248, 2304, 4356, 4359, 265, 6420, 10519, 286, 12577, 10530, 2339, 2342, 10538, 6444, 8495, 10544, 12595, 14643, 4409, 6458, 14651, 8508, 318, 8514, 10563, 6472, 2378, 337, 2391, 12631, 2410, 8554, 2413, 14701, 370, 2440, 12693, 8614, 12711, 425, 431, 4529, 6578, 435, 8626, 2485, 440, 4536, 14789, 4551, 10695, 2516, 470, 473, 12777, 6653, 12811, 8718, 14862, 533, 4636, 6684, 10781, 8738, 10789, 6695, 2601, 4653, 559, 570, 10811, 6723, 14929, 8786, 6741, 10840, 10842, 4707, 615, 10857, 14953, 12909, 624, 10870, 4732, 10878, 14985, 6797, 10897, 6809, 2723, 2742, 10936, 4807, 6858, 4815, 10970, 734, 6880, 738, 4837, 2798, 2799, 4849, 2807, 760, 8966, 4876, 13080, 4889, 4918, 4922, 834, 4932, 9035, 2911, 4971, 13165, 9071, 13169, 882, 7031, 2936, 13175, 13179, 4993, 5000, 11150, 11151, 5008, 2981, 939, 943, 9136, 11188, 5049, 7100, 5060, 7114, 5070, 9172, 7131, 5088, 3060, 11255, 9208, 5116, 3072, 13321, 9230, 3090, 11282, 11288, 1057, 5153, 13348, 9257, 3127, 13414, 7280, 1140, 5245, 7308, 1183, 5282, 9378, 7333, 7336, 1196, 11442, 5299, 13491, 3253, 13494, 7364, 3270, 5330, 11483, 7390, 7392, 13539, 5351, 11509, 3344, 3350, 7448, 13599, 3377, 5433, 9531, 1341, 9535, 5450, 11594, 1362, 9556, 3432, 11626, 7539, 11645, 9598, 11648, 1417, 3467, 11671, 7588, 3499, 5547, 7608, 11706, 9662, 9665, 9676, 7630, 1500, 3549, 13796, 11749, 5610, 13807, 7664, 9714, 13812, 13823, 3589, 3600, 7700, 9749, 11798, 3625, 5676, 1591, 1600, 1604, 3652, 9798, 9801, 3663, 13954, 5764, 1671, 5767, 3723, 1682, 1685, 3733, 5787, 3741, 11938, 11942, 1703, 7854, 1713, 3761, 5809, 5812, 11970, 14026, 7894, 14041, 3808, 3810, 1770, 3830, 7936, 1798, 14091, 7960, 14115, 10020, 7973, 12070, 3885, 8004, 3911, 1882, 1895, 14186, 1899, 8047, 6002, 8055, 10104, 14202, 3964, 14207, 1931, 8083, 1945, 12201, 10160, 12210, 4051, 8149, 14303, 12264, 10217, 2030, 14335], '4': [2053, 12296, 12305, 12309, 2076, 2079, 14373, 6182, 42, 10288, 10292, 10296, 14392, 10300, 14398, 10328, 2139, 2149, 14438, 109, 14446, 10352, 4211, 121, 14461, 135, 143, 2199, 156, 12444, 8350, 12446, 165, 10412, 172, 6321, 14514, 2229, 6341, 10439, 14535, 14545, 6356, 217, 10464, 2275, 8423, 12520, 14568, 251, 10495, 12544, 6404, 12549, 14597, 12551, 8462, 8470, 14616, 2332, 14622, 14626, 12597, 2374, 2381, 6481, 10580, 345, 6491, 10597, 14703, 6514, 4469, 6526, 14718, 14734, 12692, 10645, 12697, 6554, 4512, 6562, 10659, 6568, 8617, 12722, 442, 12732, 6608, 6613, 12757, 2532, 12775, 6635, 12782, 6643, 8702, 6656, 8708, 4613, 12806, 8711, 6666, 4621, 6676, 8724, 10774, 10779, 12827, 6689, 8741, 10789, 551, 8744, 4651, 570, 12864, 10818, 591, 6738, 4692, 12894, 2657, 6765, 12914, 4726, 631, 14969, 14979, 14984, 12946, 14994, 8852, 8869, 6828, 4783, 6831, 8883, 6839, 709, 2757, 717, 4821, 727, 8919, 13017, 10976, 2785, 8932, 2792, 2798, 4849, 8949, 6903, 2813, 775, 776, 6924, 8972, 11027, 11035, 2864, 9010, 6971, 4924, 4926, 13119, 11073, 835, 2885, 11078, 2891, 4943, 4945, 13141, 11096, 9051, 13147, 7010, 2917, 9062, 4967, 7024, 7032, 4987, 4991, 4996, 9093, 11156, 9109, 919, 2968, 7063, 9116, 5037, 11189, 5055, 3008, 13249, 3018, 7120, 3026, 11219, 11223, 3037, 11232, 9188, 5105, 11252, 3066, 9211, 13306, 3070, 7169, 11267, 3077, 3078, 9222, 3081, 5129, 7180, 5135, 9231, 9233, 5144, 13341, 13351, 13352, 9258, 11310, 9264, 9268, 11325, 5185, 11332, 13381, 3144, 11340, 5197, 9294, 5208, 11356, 5219, 9324, 11379, 9335, 3195, 11388, 3200, 11395, 13445, 9350, 7310, 3222, 3225, 5275, 3229, 1186, 9379, 3236, 9384, 11432, 13483, 3247, 7346, 9398, 11450, 11457, 5338, 11482, 9442, 1262, 3311, 3312, 5360, 9459, 5364, 3319, 11514, 5373, 3338, 13585, 5404, 1310, 3360, 13603, 1325, 3377, 11570, 13619, 9525, 3391, 11584, 11588, 1350, 5447, 9543, 11592, 7503, 5457, 1369, 9564, 9567, 7522, 1380, 3431, 5482, 9585, 13682, 13687, 3451, 13696, 7556, 9611, 11671, 5528, 11673, 7581, 11677, 5539, 1445, 9643, 13747, 5558, 5561, 13760, 5569, 9665, 11732, 1493, 7644, 11742, 3551, 9699, 1508, 3557, 13804, 7661, 1521, 9714, 5632, 5633, 7685, 9733, 1549, 1550, 1553, 1555, 9756, 5662, 5666, 13869, 1583, 5681, 9788, 3646, 11842, 3654, 11851, 7756, 3661, 11864, 13918, 1631, 13922, 13926, 1639, 9839, 3697, 5759, 1670, 7818, 9869, 3728, 7828, 13972, 9880, 3740, 3756, 5817, 3780, 1741, 1749, 3797, 3805, 9968, 5877, 7926, 14071, 14079, 14082, 5893, 1798, 7949, 5912, 14105, 12067, 12073, 5934, 14136, 1868, 14158, 3921, 8021, 3927, 12123, 14178, 14179, 3940, 14182, 1901, 10099, 8053, 3977, 8075, 8081, 6035, 10142, 14253, 10160, 6067, 14281, 6093, 10195, 6108, 10209, 4066, 8165, 14326, 14331, 14334], '5': [6150, 8200, 10248, 6154, 6169, 4124, 2078, 4127, 2086, 60, 4163, 4165, 14411, 8271, 12370, 85, 98, 14437, 4205, 112, 4215, 10366, 8319, 12416, 2177, 14466, 4229, 141, 4240, 149, 6297, 12441, 4251, 10395, 14494, 2214, 6311, 12455, 8361, 6317, 177, 179, 183, 10430, 2251, 4300, 4305, 8402, 212, 8404, 6361, 4315, 2271, 2274, 12514, 228, 10470, 4328, 233, 236, 4336, 249, 4345, 255, 4351, 257, 4353, 6402, 12544, 4363, 8459, 14609, 276, 4372, 279, 12567, 8476, 10524, 14625, 293, 6440, 12584, 4397, 4405, 12602, 4413, 12606, 14653, 4420, 6468, 2376, 6475, 4431, 14686, 14688, 2410, 12650, 6510, 8561, 14707, 2431, 385, 12679, 2440, 4489, 2442, 12683, 10636, 8592, 10641, 4500, 8596, 410, 4507, 10653, 8607, 6567, 4521, 12716, 2478, 440, 12731, 12742, 14790, 6605, 8655, 8657, 466, 4569, 12769, 2533, 12774, 14823, 2543, 4600, 12804, 8710, 4621, 12813, 6671, 12817, 8724, 2584, 6681, 8728, 4638, 6686, 6687, 12831, 12847, 2608, 4659, 4665, 6714, 8765, 2623, 10823, 2636, 4690, 2643, 8788, 2647, 10840, 601, 10842, 605, 4702, 612, 10852, 616, 6765, 14960, 14964, 6774, 12921, 2685, 4733, 8830, 10879, 2696, 2707, 10903, 10904, 2713, 6810, 4763, 4766, 10912, 4772, 10918, 4783, 8882, 4787, 4791, 12985, 704, 2753, 10946, 4803, 712, 10952, 2765, 6868, 8919, 4834, 10979, 751, 8953, 2811, 2813, 6911, 2819, 2824, 777, 2832, 11025, 2840, 4891, 8989, 798, 11037, 11042, 11047, 9006, 2868, 2872, 4921, 11066, 6977, 846, 13140, 13142, 11095, 7002, 11111, 7016, 11112, 9080, 7038, 7040, 7042, 2947, 9091, 7047, 904, 2960, 913, 7057, 2966, 5020, 7073, 2979, 5029, 7080, 5036, 13231, 2992, 7090, 950, 11195, 5059, 3013, 11212, 976, 9169, 3036, 11229, 3046, 11246, 7151, 13312, 11269, 3078, 13320, 1034, 1044, 9241, 13340, 5150, 7199, 3125, 7222, 5181, 11325, 1089, 5201, 1108, 13399, 1114, 9308, 7263, 11360, 1126, 1141, 13439, 5254, 1160, 9354, 9355, 9361, 11416, 11418, 1180, 9377, 11428, 7338, 5295, 5298, 7346, 1210, 9410, 1219, 11462, 9415, 3282, 9435, 3295, 5345, 11503, 5368, 1280, 11521, 3344, 1298, 3346, 9491, 9499, 1311, 1328, 11568, 7489, 5446, 1356, 13644, 1361, 3421, 7517, 13672, 13675, 13681, 13682, 3453, 5502, 13693, 7554, 11650, 5513, 1425, 3477, 7584, 13733, 9641, 1452, 3501, 7599, 7605, 7612, 7616, 11717, 1483, 5581, 3539, 3540, 7643, 11745, 7653, 5608, 11755, 5620, 11766, 3576, 11768, 3584, 7682, 11780, 3589, 7689, 1555, 9748, 9756, 5667, 11814, 7724, 11820, 13875, 7735, 11838, 7749, 5707, 7756, 11852, 9809, 7765, 13917, 1633, 7783, 1644, 3695, 5743, 3700, 5753, 7804, 1664, 11911, 7818, 11915, 9871, 11922, 9875, 7843, 9895, 1704, 7853, 3764, 5813, 5835, 5836, 9932, 9942, 1753, 1761, 5857, 7906, 7908, 7916, 14061, 14064, 14066, 14072, 14087, 9999, 1809, 7955, 10008, 12067, 5927, 3884, 12080, 14128, 1844, 3896, 10041, 12091, 1854, 5952, 8001, 3906, 12107, 5964, 8013, 1870, 12114, 1876, 8021, 10081, 8035, 12133, 3944, 10090, 1907, 1912, 6011, 8061, 3976, 1929, 6029, 10128, 6033, 6037, 10139, 14239, 8096, 12195, 1957, 6055, 6060, 12208, 6079, 4035, 4039, 8136, 12241, 8151, 6121, 12268, 14317, 4079, 2032, 6133, 14325, 8183, 4088, 10234, 4091, 6143], '6': [1029, 10, 3084, 526, 5650, 7699, 13850, 4635, 3613, 9247, 5664, 2083, 9763, 40, 3625, 554, 4137, 6697, 1586, 7219, 11834, 60, 3133, 6719, 4160, 1108, 1620, 8280, 3162, 9818, 3679, 4710, 2663, 2664, 1128, 2667, 5739, 2158, 4209, 120, 1156, 8327, 6793, 10377, 6283, 3725, 654, 8848, 6803, 2708, 9365, 5274, 8858, 2208, 4257, 5283, 4776, 8360, 170, 1195, 9385, 2223, 9904, 7347, 8373, 3766, 2233, 186, 6843, 3261, 2239, 1731, 7363, 715, 7371, 9419, 8398, 208, 4817, 9424, 3283, 3796, 5848, 4315, 6375, 1768, 746, 1771, 7403, 2285, 244, 6388, 4854, 760, 2297, 3322, 8443, 10488, 6402, 259, 1283, 3845, 1799, 1814, 3865, 8474, 283, 1316, 296, 3884, 8493, 1326, 10031, 10032, 1332, 7478, 6457, 6972, 5437, 3390, 9028, 5446, 8519, 9544, 4426, 1867, 333, 1875, 3926, 2905, 4953, 870, 3431, 3942, 1385, 5991, 2923, 5483, 4463, 3952, 2417, 4977, 4980, 11638, 6521, 14204, 4478, 6526, 6020, 2437, 5509, 8587, 7059, 6549, 9110, 5528, 6042, 6044, 1949, 9118, 416, 9635, 3499, 432, 7088, 7601, 8113, 1972, 2484, 2486, 9139, 7611, 9148, 14274, 1987, 10181, 456, 5065, 4045, 4559, 6609, 8658, 7123, 4567, 8155, 4061, 8163, 488, 6120, 1515, 5100, 4604], '7': [7840, 1602, 2434, 743, 3244, 1487, 2575, 3121, 3542, 3195]}
AP20045;AP20045;AP20045;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20051;AP20051;AP20051;;;517;;;412;;;451;;;324;;;495;60;;1220;180;;;;;3419;240;0;3659;{'1': [10624, 2723, 1669, 8511, 1383, 328, 5545, 10250, 14057, 8332, 8205, 8078, 6383, 1396, 2644, 12510, 1535], '2': [13984, 2753, 6821, 14140, 1639, 8174, 7856, 7570, 2324, 7702, 14422, 57, 7803, 5020, 159], '3': [4352, 9632, 3044, 13911, 9704, 10312, 14569, 9516, 6127, 500, 12501, 7478, 13141, 7768, 13622, 12410, 1149], '4': [11840, 7649, 8133, 39, 6952, 11560, 4266, 13372, 7859, 1046, 13369, 7996], '5': [11525, 12820, 10774, 11034, 13474, 11182, 10492, 13244, 6087, 11337, 5585, 12638, 14434, 14181, 14955, 6259, 14453, 11256, 11257, 14204, 9342], '6': [131, 3851, 531, 7703, 5788, 8741, 678, 7974, 6184, 6705, 8241, 1971, 6331, 316, 5950, 9538, 4931, 2888, 10312, 4685, 5838, 1494, 8791, 1113, 9945, 2654, 5856, 7396, 5989, 8548, 8678, 7017, 6634, 491, 7275, 10357, 8569, 2172, 9342], '7': [6915, 10856, 12717, 10994, 8147, 10325, 7606]}
AP20111;AP20111;AP20111;;;;;;1;;;15;;;;;;;;;;;;;;;16;0;0;16;{'1': [], '2': [5671], '3': [14848], '4': [], '5': [], '6': [], '7': [11331]}
AP20112;AP20112;AP20112;;;855;;;824;;;521;;;584;;;399;60;;699;;;41;;;3923;60;0;3983;{'1': [3713, 1414, 2186, 14865, 1042, 2195, 10516, 14100, 14104, 1306, 2843, 7076, 8612, 2219, 14900, 14529, 9794, 8259, 4550, 11974, 12359, 14792, 14154, 6475, 4942, 1999, 13134, 10322, 3417, 14042, 4187, 13921, 1256, 13801, 1903, 2418, 10227], '2': [3714, 6660, 3078, 14349, 9744, 12818, 533, 11927, 7192, 795, 9503, 2214, 6953, 6954, 7721, 8235, 5935, 1203, 4279, 4793, 4154, 10811, 5564, 6337, 11333, 7754, 6221, 7629, 9550, 14037, 7644, 14823, 2538, 13934, 4850, 6644, 8053, 6520, 5242, 1149], '3': [5761, 10126, 4113, 1176, 4126, 14497, 3369, 10168, 9145, 14914, 1093, 8648, 4949, 9941, 5339, 13532, 349, 12639, 2147, 14187, 8940, 8941, 12144, 8949, 10742, 6904, 6782], '4': [2048, 7302, 5770, 665, 13468, 11302, 2219, 7981, 12718, 12339, 13623, 5697, 11462, 2249, 5066, 719, 11728, 2001, 2002, 7378, 2015, 3301, 8678, 13672, 13037, 10097, 10997, 3574, 14585, 509], '5': [3208, 11794, 10525, 14498, 12838, 13095, 174, 5038, 14770, 14266, 11323, 6333, 5057, 70, 10597, 9073, 6005, 118, 119], '6': [1795, 774, 9995, 14074, 1053, 5022, 8989, 9502, 11296, 5668, 6693, 6821, 1191, 4519, 1323, 9003, 10796, 14766, 2875, 1083, 12737, 1483, 13011, 9305, 1120, 12003, 13155, 4202, 236, 9198, 6130, 10355, 12914, 9080, 7930, 6783], '7': [9217, 7429, 8456, 3722, 1811, 11028, 5148, 7069, 544, 801, 10146, 5028, 4792, 9529, 3392, 5185, 10692, 71, 6856, 11335, 12103, 2252, 6863, 11602, 214, 11735, 1242, 8922, 10846, 5604, 7142, 2025, 11625, 9708, 3188, 2549, 6260, 8440, 1277, 4990, 11775]}
