codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP20004;AP20004;AP20004;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20038;AP20038;AP20038;;;;;;;;;;;;13;;;1;;;14;0;0;14;{'1': [], '2': [], '3': [], '4': [6153, 13993], '5': [12592]}
AP20040;AP20040;AP20040;;;134;;;115;;;65;;;74;;;43;;;431;0;0;431;{'1': [1281, 13698, 9091, 14339, 2053, 4108, 1678, 12174, 14734, 4625, 5265, 9625, 10009, 7974, 2215, 6951, 13996, 11826, 2227, 7987, 12982, 14140, 4030, 10686, 13630, 5313, 9153, 14912, 14914, 3653, 1095, 1607, 1735, 13895, 3535, 2135, 4312, 10840, 4186, 14427, 7676, 7777, 10593, 12131, 5988, 1253, 230, 6758, 8421, 13414, 14437, 14948, 1516, 14959, 7537, 13553, 3443, 13429, 5366, 12024, 9723, 4860, 14334], '2': [262, 7686, 12681, 6029, 14349, 4495, 7055, 10130, 11284, 14617, 8218, 10778, 13723, 13213, 12961, 675, 1059, 5411, 4134, 6822, 10406, 5929, 10794, 6955, 13222, 5293, 6957, 815, 562, 7731, 13496, 11582, 575, 7743, 7492, 7749, 2118, 589, 14286, 10319, 8019, 9172, 729, 89, 7515, 13020, 14425, 2783, 14945, 98, 14947, 2664, 2793, 5098, 2796, 2924, 4846, 10733, 13041, 2674, 3967], '3': [11786, 6284, 14736, 3986, 11928, 4508, 8354, 805, 10023, 11819, 9522, 4661, 2488, 7865, 6337, 3016, 5322, 8138, 10826, 8526, 9550, 4560, 85, 5846, 10073, 4698, 7549, 2015, 9441, 12514, 2917, 7398, 11495, 363, 1003, 10861, 4718, 3570, 627, 3827, 502, 4086, 4221], '4': [6787, 12931, 645, 6792, 3850, 8597, 9502, 6687, 9504, 932, 7716, 168, 11177, 4270, 14714, 7856, 1969, 1586, 1970, 820, 9650, 4803, 3270, 11084, 11642, 2127, 1489, 7380, 12628, 11734, 11354, 9053, 2400, 7267, 2162, 9461, 7286, 2808, 1658, 7803, 11646], '5': [9862, 3224, 10267, 1308, 12198, 6314, 52, 950, 58, 10686, 9929, 332, 5591, 5475, 615, 6760, 2540, 9458, 9971, 7546, 2556]}
AP20041;AP20041;AP20041;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20042;AP20042;AP20042;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20044;AP20044;AP20044;;;15109;;;16688;;;9825;;;7177;;;6452;;;55251;0;0;55251;{'1': [4103, 6151, 12296, 4109, 6159, 14352, 8231, 4141, 14385, 2098, 10301, 14410, 14414, 10341, 112, 4213, 125, 6275, 2189, 12431, 4260, 10404, 12463, 6321, 12467, 181, 190, 14526, 2245, 4297, 12489, 14540, 14547, 6356, 12502, 2271, 14559, 4321, 234, 10475, 14579, 244, 2294, 8445, 2302, 10494, 8450, 6403, 10509, 2321, 10528, 292, 10533, 299, 10540, 12587, 2353, 6463, 6466, 323, 4419, 6468, 6474, 12637, 4450, 4457, 6509, 10613, 374, 14714, 2432, 6531, 2439, 2444, 6545, 14737, 12692, 2458, 14749, 2467, 10662, 6571, 4529, 2485, 10677, 6585, 6592, 449, 14786, 8643, 10693, 2505, 4556, 14799, 6617, 10719, 14816, 2529, 2535, 2539, 10732, 6637, 2545, 10747, 4603, 2558, 2566, 6664, 4628, 14873, 2587, 4636, 14879, 10788, 8741, 2598, 4650, 12852, 4662, 6716, 8771, 4685, 593, 8786, 12887, 12889, 4699, 12892, 607, 616, 12908, 2669, 4720, 8821, 12917, 12925, 14982, 4750, 14992, 10898, 4758, 10917, 10919, 2741, 2744, 2747, 10940, 2750, 13025, 4836, 8941, 2806, 8967, 11024, 4881, 2834, 804, 11052, 9005, 13105, 4917, 9018, 830, 11071, 2880, 11075, 13123, 842, 13134, 2895, 849, 857, 7004, 11120, 4988, 2947, 2976, 9120, 931, 13222, 7084, 9137, 3006, 13273, 5087, 7137, 3053, 3056, 5109, 5121, 13313, 5125, 7174, 1036, 13331, 5146, 13338, 11294, 5153, 3107, 5157, 7207, 5166, 13363, 9268, 7229, 1086, 5182, 5188, 13382, 9288, 5196, 7247, 7251, 9299, 5213, 13408, 5220, 9318, 1129, 13424, 1137, 1149, 3206, 5262, 3221, 1180, 11422, 11432, 3242, 7354, 11455, 1217, 13509, 5321, 9419, 9424, 5329, 1236, 3284, 5349, 5355, 9456, 5361, 7409, 7414, 1272, 1279, 3327, 13570, 1286, 13577, 3342, 13583, 13591, 1304, 3358, 11555, 7460, 1324, 5436, 7491, 1352, 7500, 5464, 5479, 9583, 1410, 11652, 5510, 5513, 7561, 11663, 7572, 5525, 9629, 1440, 5536, 13732, 5547, 7606, 3522, 7623, 11722, 1488, 13779, 3543, 5597, 5601, 1512, 13804, 13814, 3592, 7689, 1547, 13835, 7704, 13848, 1585, 11829, 13877, 11832, 9799, 13912, 3679, 1651, 7798, 9846, 11895, 13945, 3718, 7817, 13961, 3725, 13972, 13978, 13979, 13986, 3754, 11946, 1708, 14003, 3771, 5845, 7898, 9952, 1763, 5862, 9965, 14062, 7926, 12022, 1784, 1811, 5909, 7964, 3875, 12070, 10023, 14119, 1837, 7981, 12079, 7984, 3891, 12090, 1861, 10080, 10083, 8038, 14185, 1910, 1929, 12169, 1941, 3990, 8090, 12187, 10140, 14235, 4003, 6051, 14247, 4013, 12207, 4024, 6087, 4053, 14306, 4072, 6127, 6129, 14333, 2046], '2': [14338, 8195, 8199, 2061, 14353, 14360, 27, 14364, 8223, 6176, 2081, 4129, 2087, 2105, 12345, 8261, 14405, 4183, 12383, 4197, 10342, 6248, 10347, 8301, 114, 4212, 127, 12417, 8322, 12419, 14466, 4238, 2192, 147, 2197, 155, 6308, 12452, 8359, 173, 12464, 181, 14522, 188, 6336, 10435, 2249, 8393, 4306, 14549, 217, 4317, 8416, 12518, 6379, 12525, 2287, 8435, 246, 4343, 4347, 2303, 255, 8448, 10497, 12556, 2319, 6417, 8469, 8475, 10531, 12580, 2343, 12586, 10541, 6451, 10555, 318, 8514, 8517, 10569, 12623, 339, 8537, 10591, 6497, 8547, 358, 12653, 10615, 6526, 10624, 6530, 12674, 14723, 12680, 14735, 416, 8612, 8614, 14760, 427, 12719, 4529, 10685, 10705, 12753, 470, 6615, 475, 4571, 14812, 10719, 14815, 12769, 2530, 8675, 8676, 6633, 8686, 12782, 12784, 14830, 14834, 10744, 8696, 12796, 10755, 12803, 8714, 12810, 8716, 14862, 4623, 8720, 10768, 14865, 8724, 12831, 2597, 10796, 12850, 8755, 564, 14905, 571, 4669, 14912, 10818, 2630, 8776, 8778, 587, 8785, 2643, 14933, 601, 10844, 12895, 10848, 612, 4710, 8810, 2671, 10868, 4725, 12916, 14977, 8839, 8845, 4751, 12943, 2706, 12963, 12979, 10932, 12983, 707, 8901, 8906, 2770, 2806, 4854, 4859, 13051, 13058, 13069, 6947, 2856, 2874, 829, 2892, 13146, 13171, 4982, 13175, 11129, 7044, 11146, 5012, 7070, 3003, 13251, 3012, 5064, 3017, 7113, 9176, 3042, 11234, 9205, 7162, 7173, 11279, 1045, 9237, 11293, 1054, 1067, 7212, 13358, 3126, 3131, 13371, 1091, 1097, 1114, 3171, 5219, 9316, 1132, 3183, 3189, 5248, 7304, 11411, 5274, 11419, 7329, 11426, 7339, 11441, 11445, 1209, 3259, 5307, 7357, 13506, 11466, 7376, 7385, 3292, 9437, 3300, 5352, 9451, 11499, 5360, 1268, 5379, 7437, 13583, 1301, 3351, 5399, 7461, 9511, 11561, 1322, 7468, 3376, 1330, 5442, 11592, 1357, 7502, 1360, 11608, 7513, 9563, 9564, 1376, 3428, 1401, 11641, 13700, 1414, 5510, 11654, 5516, 11674, 7580, 7588, 11694, 5558, 5562, 7610, 3523, 1477, 3526, 5576, 9673, 11733, 9703, 11751, 3571, 1527, 7681, 1542, 5641, 9758, 3615, 9773, 11821, 13869, 1584, 7732, 11829, 13882, 11836, 11851, 9806, 5713, 3670, 1627, 3680, 1634, 9830, 3694, 7801, 1664, 9857, 13954, 1668, 1682, 5782, 1691, 7835, 7839, 5795, 7847, 13995, 5808, 5810, 3763, 5814, 7862, 14014, 1727, 5827, 3782, 11975, 9934, 1744, 14037, 7899, 9961, 7922, 1780, 14072, 9985, 5890, 3848, 14090, 14095, 7956, 10004, 10007, 7966, 5925, 14122, 12084, 10038, 7999, 8008, 12106, 1890, 12136, 8059, 14203, 10113, 10114, 10115, 12164, 12171, 10124, 6038, 12182, 6047, 14240, 1965, 12213, 14261, 14276, 10208, 2017, 14304, 2024, 12267, 8188, 4093, 14335], '3': [6151, 12295, 9226, 12300, 5133, 5646, 4623, 13840, 5650, 7187, 6679, 24, 5145, 7705, 3099, 14360, 3614, 2552, 41, 45, 10798, 7216, 9778, 3635, 564, 10290, 3639, 6201, 9273, 8763, 61, 8769, 3141, 7753, 1612, 10316, 2642, 5715, 11860, 9301, 6743, 3165, 5725, 7263, 6242, 100, 5732, 5226, 8301, 10349, 111, 5745, 6769, 121, 2684, 10364, 3198, 9855, 11389, 5249, 5623, 5764, 2693, 10883, 11398, 8841, 12425, 8844, 5774, 2705, 12433, 5780, 7317, 13462, 5788, 10909, 3230, 11422, 4772, 6820, 4262, 5801, 4784, 178, 3762, 3253, 12478, 4799, 8903, 3784, 9415, 3274, 11464, 12489, 4814, 2772, 12506, 12507, 5854, 9439, 3306, 2800, 1781, 3317, 5879, 10999, 9468, 2301, 9472, 264, 4872, 3341, 13585, 3860, 6932, 8980, 3351, 8988, 12572, 12575, 9506, 294, 2344, 3369, 4904, 5419, 5928, 9002, 2862, 7983, 10548, 311, 2366, 8004, 3399, 7497, 8011, 12620, 2381, 3406, 11089, 2898, 6995, 6489, 1376, 1889, 6498, 5987, 13666, 10597, 1389, 7535, 13683, 13686, 6008, 11128, 4986, 5502, 12672, 9602, 7043, 3462, 9094, 9097, 3467, 12684, 10638, 6033, 2453, 12694, 2969, 7579, 2462, 8097, 9121, 2986, 10669, 10670, 6065, 13745, 10165, 6072, 4028, 447, 7615, 9664, 2499, 5572, 2502, 12744, 1994, 9675, 977, 5586, 10705, 5076, 5077, 7126, 3031, 5592, 6106, 11226, 13787, 7134, 9694, 12255, 12259, 6117, 5611, 2540, 7149, 10221, 7152, 10226, 4595, 1527, 3064, 14329, 10746, 5115, 4095], '4': [3587, 6659, 521, 1545, 6669, 533, 1050, 12317, 5153, 6698, 557, 9776, 13874, 4151, 5176, 12343, 6715, 14910, 4672, 6208, 5698, 582, 8778, 5199, 2128, 2131, 596, 8792, 5212, 13407, 14431, 11874, 5227, 7278, 8303, 13424, 6257, 118, 3702, 632, 11389, 13950, 14973, 10372, 11910, 12935, 3721, 1167, 3731, 7319, 12951, 1186, 1192, 7852, 685, 4273, 12982, 1209, 4796, 701, 1725, 9917, 704, 193, 10011, 11460, 11465, 208, 4311, 10971, 2274, 4837, 1766, 2792, 10987, 1774, 7924, 7926, 2809, 1273, 251, 766, 257, 6407, 4878, 784, 276, 7446, 793, 282, 2842, 7451, 8989, 6430, 4895, 288, 7967, 8479, 8990, 8484, 11044, 806, 1835, 13615, 9011, 3892, 1845, 2357, 7479, 11060, 11577, 6458, 10556, 11581, 7487, 5442, 4431, 13648, 849, 11093, 7513, 4955, 348, 11612, 7518, 9063, 12135, 873, 1387, 3951, 3953, 370, 1906, 1921, 9089, 8580, 901, 3977, 10122, 5515, 11146, 13711, 1424, 7569, 10132, 7574, 2967, 1945, 4507, 7580, 10141, 1442, 1954, 13221, 4019, 11699, 11709, 452, 5572, 1482, 7626, 3534, 975, 466, 3538, 7636, 11224, 14809, 4067, 5091, 6119, 7660, 13293, 11759, 496, 13811, 6645, 10232, 4604, 13823], '5': [521, 4618, 2060, 10765, 13326, 19, 8724, 4120, 12312, 11291, 1564, 4124, 4642, 548, 3621, 10790, 4648, 12329, 2620, 3135, 68, 4683, 1615, 82, 1618, 1620, 3157, 3669, 4192, 6752, 13412, 8293, 7271, 11881, 5744, 2161, 3186, 115, 4212, 12400, 4218, 1660, 8830, 7309, 2703, 3728, 13457, 9363, 4247, 3739, 4251, 1181, 6813, 5791, 3233, 10915, 4772, 6827, 8364, 4271, 1203, 10932, 3765, 6326, 8383, 12482, 7363, 717, 1231, 4816, 12495, 6359, 218, 4317, 6368, 3297, 1250, 8417, 9953, 3303, 10985, 747, 5358, 5360, 5879, 2809, 11515, 2300, 6397, 2302, 5888, 7428, 5382, 13067, 784, 4370, 13074, 3861, 279, 10530, 13097, 6954, 11563, 1837, 3886, 816, 11057, 11576, 11577, 4414, 11075, 5956, 3399, 6478, 13646, 3923, 1365, 11606, 2401, 13666, 867, 3946, 12652, 1902, 9076, 13697, 7555, 9606, 12678, 908, 5518, 7574, 2456, 10648, 1436, 5020, 3486, 418, 936, 11185, 5043, 11189, 12729, 4538, 4545, 4549, 10693, 13254, 968, 2507, 2511, 4560, 12251, 4574, 1504, 4577, 996, 13798, 999, 5096, 3566, 11761, 8692, 13813, 7677]}
AP20045;AP20045;AP20045;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP20051;AP20051;AP20051;;;1463;;;1353;;;280;;;953;;;606;;;4655;0;0;4655;{'1': [4096, 6788, 775, 4231, 7432, 1674, 11145, 5007, 14105, 7066, 2971, 9501, 14109, 799, 1318, 2342, 1832, 1833, 4008, 9643, 11181, 7856, 6963, 9653, 1590, 4034, 1478, 3910, 5064, 12744, 11725, 975, 1872, 4179, 2389, 9942, 14937, 12379, 14045, 10599, 7421], '2': [9217, 9481, 9867, 4236, 2957, 4241, 6420, 5525, 6297, 5404, 6944, 13477, 7341, 4401, 10294, 9656, 6842, 9532, 61, 5697, 4804, 5574, 1864, 5195, 11473, 9298, 2262, 9943, 2905, 13658, 14175, 1250, 12002, 228, 8164, 10852, 366, 2542, 6007, 10233, 7803, 4222, 13311], '3': [897, 2083, 4202, 811, 1483, 273, 10295, 1942, 8598], '4': [3717, 9610, 8206, 9486, 13455, 9617, 13982, 4901, 6189, 13232, 7350, 9786, 6337, 13250, 9929, 9549, 14416, 12517, 6380, 2413, 13809, 13940, 9591], '5': [12800, 11013, 7686, 8715, 9484, 1303, 1822, 9375, 7841, 1068, 10542, 7346, 9014, 7365, 7891, 7521, 9591, 9337, 13305]}
AP20111;AP20111;AP20111;;;15;;;;;;1;;;;;;;;;16;0;0;16;{'1': [7752], '2': [], '3': [6893], '4': [], '5': []}
AP20112;AP20112;AP20112;;;1379;;;460;;;370;;;446;;;776;;;3431;0;0;3431;{'1': [10113, 6018, 12289, 6917, 10375, 12684, 10253, 1555, 7319, 11805, 3488, 929, 6688, 10144, 7718, 13737, 11562, 12971, 2988, 11820, 4015, 10290, 4405, 9397, 10551, 6975, 12737, 4290, 6082, 965, 1097, 1482, 7497, 5708, 1869, 7630, 10317, 14160, 14413, 6739, 11475, 14422, 14680, 10458, 5083, 5731, 12393, 11245, 9966, 4079, 11632, 11765, 14079], '2': [4874, 2316, 6424, 4764, 1182, 1579, 2477, 10290, 4542, 4926, 704, 13505, 79, 3792, 2136, 5336, 13275, 7132, 7665, 6515, 1908, 2165, 1272, 2937, 7422], '3': [7425, 11395, 13837, 6415, 1680, 14098, 13724, 1052, 5277, 5279, 7969, 14120, 8489, 5047, 10297, 1340, 13762, 13513, 10579, 8283, 14177, 5221, 7275, 14316, 1523], '4': [4866, 8460, 10013, 10283, 2349, 14769, 2615, 10553, 11194, 10043, 13884, 13377, 5326, 6610, 13535, 14815, 5221, 6759, 4968, 9073, 5502, 12159], '5': [130, 5764, 11140, 10131, 10396, 7965, 7070, 159, 3238, 11048, 10669, 9135, 4667, 1341, 9663, 6978, 5187, 9795, 13126, 5197, 11986, 13014, 6231, 9057, 2659, 7398, 8426, 8685, 5751, 6136, 2553, 9470]}
