codigo_neg,cantidad_entrega,tipo_entrega
AP22668,21,TOTAL
AP20218,2,TOTAL
AP22388,30,TOTAL
AP22421,90,TOTAL
AP20121,20,TOTAL
AP21480,60,TOTAL
AP22908,30,TOTAL
AP21270,1,TOTAL
AP21162,90,TOTAL
AP21162,30,TOTAL
AP21190,28,TOTAL
AP22597,28,TOTAL
AP23802,300,TOTAL
AP22423,30,TOTAL
AP20349,30,TOTAL
AP21480,60,TOTAL
AP20498,30,TOTAL
AP20498,30,TOTAL
AP21993,30,TOTAL
AP23093,1,TOTAL
AP22867,14,TOTAL
AP23322,2,TOTAL
AP22730,30,TOTAL
AP22798,15,TOTAL
AP20044,20,TOTAL
AP20592,15,TOTAL
AP21836,60,TOTAL
AP23299,90,TOTAL
AP23612,28,TOTAL
AP23279,30,TOTAL
AP22423,30,TOTAL
AP20498,30,TOTAL
AP21539,30,TOTAL
AP22423,30,TOTAL
AP20446,60,TOTAL
AP22185,2,TOTAL
AP20354,60,TOTAL
AP21987,30,TOTAL
AP23299,30,TOTAL
AP21552,30,TOTAL
AP21542,28,TOTAL
AP21539,60,TOTAL
AP20407,28,TOTAL
AP21987,90,TOTAL
AP20366,28,TOTAL
AP22597,56,TOTAL
AP22798,15,TOTAL
AP21992,60,TOTAL
AP23299,30,TOTAL
AP20349,30,TOTAL
AP20918,15,TOTAL
AP22668,14,TOTAL
AP23946,30,TOTAL
AP21771,2,TOTAL
AP22724,1,TOTAL
AP21255,1,TOTAL
AP22863,6,TOTAL
AP22119,21,TOTAL
AP20282,20,TOTAL
AP21269,1,TOTAL
AP22190,2,TOTAL
AP20044,30,TOTAL
AP23204,30,TOTAL
AP21190,28,TOTAL
AP23194,60,TOTAL
AP20496,30,TOTAL
AP23301,30,TOTAL
AP20498,30,TOTAL
AP20366,56,TOTAL
AP21190,28,TOTAL
AP21109,30,TOTAL
AP22190,2,TOTAL
AP-Lancetas,50,TOTAL
AP21656,30,TOTAL
AP-Tiras Reactivas,50,TOTAL
AP21125,1,TOTAL
AP21791,5,TOTAL
AP23651,30,TOTAL
AP21542,30,TOTAL
AP23719,60,TOTAL
AP24424,3,TOTAL
AP22624,30,TOTAL
AP23097,30,TOTAL
AP22421,60,TOTAL
AP22899,2,TOTAL
AP20121,60,TOTAL
AP21333,3,TOTAL
AP21539,30,TOTAL
AP21333,3,TOTAL
AP21623,28,TOTAL
AP20465,30,TOTAL
AP20872,1,TOTAL
AP20407,3,TOTAL
AP20040,3,TOTAL
AP22491,90,TOTAL
AP22906,60,TOTAL
AP20347,30,TOTAL
AP21987,30,TOTAL
AP21189,28,TOTAL
AP22491,60,TOTAL
AP20502,30,TOTAL
AP20858,360,TOTAL
AP23204,30,TOTAL
AP22414,30,TOTAL
AP23626,40,TOTAL
AP22886,90,TOTAL
AP22790,1,TOTAL
AP20040,1,TOTAL
AP20407,1,TOTAL
AP20821,30,TOTAL
AP22491,30,TOTAL
AP23297,30,TOTAL
AP21874,30,TOTAL
AP21269,1,TOTAL
AP21353,1,TOTAL
AP24531,2,TOTAL
AP22571,60,TOTAL
AP23253,28,TOTAL
AP20496,30,TOTAL
AP22414,30,TOTAL
AP23168,30,TOTAL
AP23378,28,TOTAL
AP22907,60,TOTAL
AP23194,60,TOTAL
AP20496,60,TOTAL
AP20349,60,TOTAL
AP22571,8,TOTAL
AP21458,30,TOTAL
AP22414,90,TOTAL
AP23240,30,TOTAL
AP21434,60,TOTAL
AP22863,6,TOTAL
AP24424,2,TOTAL
AP24027,15,TOTAL
AP23093,1,TOTAL
AP21539,30,TOTAL
AP21191,56,TOTAL
AP20498,30,TOTAL
AP21874,30,TOTAL
AP24424,2,TOTAL
AP23847,28,TOTAL
AP21987,30,TOTAL
AP20044,15,TOTAL
AP23525,1,TOTAL
AP21656,60,TOTAL
AP20044,40,TOTAL
AP20142,30,TOTAL
AP20216,1,TOTAL
AP23240,2,TOTAL
AP22070,1,TOTAL
AP20822,180,TOTAL
AP22863,6,TOTAL
AP21270,2,TOTAL
AP21353,2,TOTAL
AP21539,180,TOTAL
AP23299,90,TOTAL
AP22330,30,TOTAL
AP21539,30,TOTAL
AP23200,30,TOTAL
AP23162,30,TOTAL
AP22491,60,TOTAL
AP22541,1,TOTAL
AP20952,10,TOTAL
AP22798,10,TOTAL
AP22412,60,TOTAL
AP21480,30,TOTAL
AP21743,30,TOTAL
AP22899,3,TOTAL
Ap-Glucometro,1,TOTAL
AP21480,60,TOTAL
AP20496,90,TOTAL
AP22725,1,TOTAL
AP21993,60,TOTAL
AP22422,30,TOTAL
AP20349,60,TOTAL
AP20044,60,TOTAL
AP22289,1,TOTAL
AP21162,30,TOTAL
AP21624,20,TOTAL
AP23946,30,TOTAL
AP22863,6,TOTAL
AP23651,30,TOTAL
AP-Preservativos,15,TOTAL
AP20794,30,TOTAL
AP21987,90,TOTAL
AP22491,180,TOTAL
AP23299,90,TOTAL
AP22599,21,TOTAL
AP20366,28,TOTAL
AP22491,90,TOTAL
AP21987,30,TOTAL
AP22308,1,TOTAL
AP23299,60,TOTAL
AP21189,28,TOTAL
AP20216,1,TOTAL
AP23691,30,TOTAL
AP21480,60,TOTAL
AP21624,30,TOTAL
AP22070,2,TOTAL
AP23049,40,TOTAL
AP21456,30,TOTAL
AP21123,7,TOTAL
AP20300,2,TOTAL
AP21552,30,TOTAL
AP21819,3,TOTAL
AP20926,3,TOTAL
AP21256,1,TOTAL
AP24428,2,TOTAL
AP21874,90,TOTAL
AP23301,20,TOTAL
AP21987,30,TOTAL
AP22867,14,TOTAL
AP23720,30,TOTAL
AP23301,30,TOTAL
AP21189,28,TOTAL
AP21993,60,TOTAL
AP22422,30,TOTAL
AP22584,30,TOTAL
AP20704,2,TOTAL
AP20044,21,TOTAL
AP20218,2,TOTAL
AP20496,90,TOTAL
AP21987,90,TOTAL
AP22491,90,TOTAL
AP21162,30,TOTAL
AP20218,2,TOTAL
AP20822,90,TOTAL
AP20773,90,TOTAL
AP22416,90,TOTAL
AP21624,14,TOTAL
AP22046,30,TOTAL
AP23154,30,TOTAL
AP21819,3,TOTAL
AP22375,60,TOTAL
AP20349,90,TOTAL
AP20044,20,TOTAL
AP22491,60,TOTAL
AP20468,20,TOTAL
AP22863,6,TOTAL
AP22491,60,TOTAL
AP21987,30,TOTAL
AP20044,20,TOTAL
AP24187,1,TOTAL
AP21137,12,TOTAL
AP22043,60,TOTAL
AP22491,60,TOTAL
AP22190,5,TOTAL
AP21434,20,TOTAL
AP21048,40,TOTAL
AP22537,30,TOTAL
AP21480,90,TOTAL
AP23425,1,TOTAL
AP20922,30,TOTAL
AP22416,30,TOTAL
AP22491,30,TOTAL
AP23301,30,TOTAL
AP23299,120,TOTAL
AP22491,60,TOTAL
AP21237,1,TOTAL
AP20121,30,TOTAL
AP22935,30,TOTAL
AP21986,30,TOTAL
AP21836,15,TOTAL
AP23651,30,TOTAL
AP22015,1,TOTAL
AP20044,30,TOTAL
AP21458,30,TOTAL
AP20044,180,TOTAL
AP20822,90,TOTAL
AP21189,84,TOTAL
AP21994,90,TOTAL
AP24151,90,TOTAL
AP23299,90,TOTAL
AP23847,90,TOTAL
AP21480,60,TOTAL
AP21476,60,TOTAL
AP22491,60,TOTAL
AP23301,90,TOTAL
AP21771,2,TOTAL
AP20547,1,TOTAL
AP20349,30,TOTAL
AP23651,90,TOTAL
AP23000,30,TOTAL
AP20496,30,TOTAL
AP21481,30,TOTAL
AP21552,30,TOTAL
AP23154,30,TOTAL
AP22906,30,TOTAL
AP22422,60,TOTAL
AP21480,60,TOTAL
AP22990,90,TOTAL
AP22072,30,TOTAL
AP-Preservativos,15,TOTAL
AP21189,28,TOTAL
AP20263,90,TOTAL
AP23648,60,TOTAL
AP21993,30,TOTAL
AP20140,30,TOTAL
AP22491,30,TOTAL
AP20496,90,TOTAL
AP20822,60,TOTAL
AP21237,1,TOTAL
AP23067,1,TOTAL
AP20366,90,TOTAL
AP20654,60,TOTAL
AP22081,30,TOTAL
AP22491,90,TOTAL
AP22597,56,TOTAL
AP22366,30,TOTAL
AP21393,30,TOTAL
AP23299,90,TOTAL
AP22537,20,TOTAL
AP24191,4,TOTAL
125115,30,TOTAL
AP23883,1,TOTAL
AP24191,2,TOTAL
AP20498,30,TOTAL
AP23807,120,TOTAL
AP23301,30,TOTAL
AP23691,90,TOTAL
AP21539,30,TOTAL
AP20286,1,TOTAL
AP22374,90,TOTAL
AP23611,30,TOTAL
AP22105,21,TOTAL
AP20494,30,TOTAL
AP20593,60,TOTAL
AP22421,30,TOTAL
AP-Preservativos,15,TOTAL
AP20377,60,TOTAL
AP21993,60,TOTAL
AP23637,30,TOTAL
AP21624,30,TOTAL
AP21987,30,TOTAL
AP22491,30,TOTAL
AP20880,120,TOTAL
AP21481,30,TOTAL
AP21539,30,TOTAL
AP20349,30,TOTAL
AP23299,30,TOTAL
AP22422,30,TOTAL
AP24424,1,TOTAL
AP20496,60,TOTAL
AP22491,60,TOTAL
AP20873,3,TOTAL
AP21189,28,TOTAL
AP21539,30,TOTAL
AP23674,20,TOTAL
AP21134,90,TOTAL
AP21229,45,TOTAL
AP20086,30,TOTAL
AP21703,90,TOTAL
AP21357,120,TOTAL
AP20659,90,TOTAL
AP20548,1,TOTAL
AP22798,15,TOTAL
AP20922,15,TOTAL
AP20044,30,TOTAL
AP21347,10,TOTAL
AP21571,1,TOTAL
AP22597,84,TOTAL
AP21189,28,TOTAL
AP23301,60,TOTAL
AP22235,60,TOTAL
AP21743,30,TOTAL
AP21874,30,TOTAL
AP20347,30,TOTAL
AP21624,30,TOTAL
AP21743,90,TOTAL
AP22491,60,TOTAL
AP20873,1,TOTAL
AP22906,90,TOTAL
AP21623,30,TOTAL
AP23301,90,TOTAL
AP23299,60,TOTAL
AP20142,60,TOTAL
AP21656,90,TOTAL
AP21190,90,TOTAL
AP22491,90,TOTAL
AP21987,90,TOTAL
AP23946,30,TOTAL
AP21552,30,TOTAL
AP24424,2,TOTAL
AP22724,1,TOTAL
AP22736,30,TOTAL
AP22790,2,TOTAL
AP23072,30,TOTAL
AP23946,30,TOTAL
AP21357,21,TOTAL
AP24187,1,TOTAL
AP21281,1,TOTAL
AP20218,2,TOTAL
AP22015,1,TOTAL
AP22289,1,TOTAL
AP22388,30,TOTAL
AP22747,1,TOTAL
AP20773,60,TOTAL
AP22747,1,TOTAL
AP23813,56,TOTAL
AP21656,30,TOTAL
AP20773,30,TOTAL
AP23097,30,TOTAL
AP20795,30,TOTAL
AP21189,28,TOTAL
AP-Tiras Reactivas,60,TOTAL
AP23240,4,TOTAL
AP20219,1,TOTAL
AP22289,2,TOTAL
AP23681,10,TOTAL
AP21333,3,TOTAL
AP20894,28,TOTAL
AP21114,1,TOTAL
AP21270,1,TOTAL
AP21791,4,TOTAL
AP22481,10,TOTAL
AP23103,2,TOTAL
AP23097,30,TOTAL
AP20465,15,TOTAL
AP23396,28,TOTAL
AP22081,15,TOTAL
AP23168,360,TOTAL
AP21624,14,TOTAL
AP22043,180,TOTAL
AP22115,14,TOTAL
