codigo_neg,cantidad_entregada
AP22744,90
AP21834,90
AP22906,90
AP24430,6
AP23836,60
AP21994,30
AP22798,20
AP20472,30
AP21623,28
AP21769,30
AP22724,1
AP22794,20
AP21539,30
AP22308,2
AP20548,1
AP22794,15
AP22081,15
AP21269,1
AP21347,6
AP22794,15
AP22476,15
AP20218,2
AP22022,3
AP21607,63
AP22375,90
AP22571,30
AP21353,1
AP20922,10
AP22104,20
AP20140,21
AP23802,30
AP21449,84
AP23240,60
AP21434,60
AP20044,40
AP20142,45
AP20776,30
AP24085,30
AP20546,1
AP20218,2
AP23624,4
AP20953,15
AP21012,28
AP21536,60
AP20121,14
AP23698,1
AP23537,1
AP21061,3
AP21571,1
AP-Preservativos,14
AP21449,84
AP23072,30
AP22081,12
AP22906,10
AP22104,15
AP20894,20
AP22937,60
AP20557,1
AP22724,1
AP22537,10
AP21353,1
AP20524,3
AP21539,5
AP21390,10
AP22083,1
AP22081,15
AP22624,15
AP23719,30
AP-Preservativos,15
AP21571,1
AP22863,6
AP21368,42
AP23240,30
AP20142,45
AP22867,28
AP20776,30
AP22425,30
AP22081,15
AP21836,30
AP21539,60
AP22668,15
AP22624,9
AP22081,9
AP22476,9
AP21539,7
AP22724,2
AP22193,6
AP21769,30
AP-Aguja Insulina,100
AP-Lancetas,50
AP-Tiras Reactivas,50
AP22863,6
AP21372,10
AP22015,2
AP21618,1
AP21123,7
AP23396,60
AP22794,15
AP23194,30
AP22081,15
AP22531,60
AP21238,60
AP22724,2
AP22863,6
AP22899,1
AP21353,2
AP22481,10
AP22104,15
AP20894,40
AP21876,1
AP20596,1
AP20535,30
AP22858,2
AP21836,90
AP22421,30
AP22863,6
AP21061,1
AP20953,30
AP21624,30
AP22886,30
AP22886,60
AP22948,1
AP21434,60
AP22081,15
AP22083,1
AP21368,21
AP21454,100
AP22623,10
AP22794,15
AP22830,1
AP21353,2
AP23944,10
AP22120,20
AP22043,30
AP22802,8
AP20548,1
AP22015,1
AP23167,270
AP23611,30
AP22289,1
AP23240,30
AP23648,90
AP21347,14
AP21539,30
AP22867,21
AP22668,21
AP21769,30
AP22670,7
AP23178,30
AP20142,45
AP20794,30
AP20794,30
AP-Preservativos,15
AP20142,45
AP22623,14
AP22537,14
AP21791,9
AP23719,60
AP22863,6
AP21618,1
AP20344,30
AP21434,14
AP23369,30
AP22117,14
AP23588,1
AP22481,10
AP22794,15
AP22744,30
AP20794,30
AP20894,28
AP20142,30
AP22405,1
AP20596,2
AP23240,30
AP20218,2
AP-Preservativos,10
AP22072,10
AP22724,2
AP20922,30
AP23681,15
AP20773,30
AP20307,1
AP22481,5
AP21270,1
AP22794,15
AP20953,60
AP21915,60
AP21571,3
AP-Preservativos,45
AP21055,1
AP22668,14
AP21836,90
AP20218,2
AP20794,90
AP23396,30
AP21723,1
AP21769,30
AP22794,6
AP21270,1
AP24191,1
AP21066,1
AP21791,4
AP21125,1
AP22802,8
AP23661,56
AP21539,60
AP23396,90
AP21863,1
AP22668,28
AP22518,1
AP23204,90
AP23000,60
AP20472,60
AP21571,3
AP22422,30
AP23396,60
AP22863,6
AP22421,60
AP22794,20
AP22623,20
AP22741,30
AP22863,6
AP20873,1
AP21618,1
AP21618,1
AP20922,10
AP22668,14
AP20524,3
AP21909,3
AP22623,8
AP22794,15
AP22481,10
AP21347,10
AP20465,96
AP-Preservativos,15
AP23691,30
AP20044,30
AP20767,30
AP22069,30
AP20142,30
AP20894,24
AP22481,14
AP20794,30
AP20472,60
AP20142,45
AP21571,1
AP21571,1
AP20142,30
AP20465,20
AP20044,20
AP20142,60
AP20767,60
AP22069,30
AP22418,30
AP20873,1
AP22537,20
AP22623,20
AP22899,1
AP22104,15
AP23681,15
AP20465,30
AP23436,1
AP23651,30
AP21607,21
AP20218,2
AP21055,1
AP23611,30
AP21393,60
AP22623,30
AP21368,21
AP21571,1
AP23168,30
AP22537,20
AP20894,28
AP20465,20
AP21115,1
AP21118,5
AP22072,30
AP20794,30
AP22906,40
AP20409,56
AP21357,14
AP21769,30
AP21819,1
AP-Preservativos,30
AP22481,5
AP22794,10
AP20165,15
