codigo_neg,cantidad_entregada
AP21903,60
AP21270,1
AP21353,1
AP22481,6
AP22104,9
AP-Preservativos,15
AP22421,30
AP20767,28
AP22072,30
AP21166,3
AP22189,2
AP23104,2
AP21458,90
AP23299,30
AP21189,28
AP21458,60
AP23944,30
AP22541,2
AP22581,30
AP21480,120
AP23299,60
AP20472,60
AP23154,120
AP23423,1
AP22017,1
AP20687,2
AP23094,2
AP21156,60
AP21738,90
AP23104,4
AP21136,30
AP22263,30
AP22355,2
AP20717,3
AP22664,2
AP22863,6
AP22231,4
AP23396,60
AP20498,60
AP20364,56
AP22491,60
AP21458,60
AP23719,30
AP22081,21
AP20347,90
AP23494,20
AP20286,1
AP20142,45
AP20142,30
AP22838,60
AP20646,3
AP24357,3
AP21987,30
AP22046,90
AP20880,90
AP22349,120
AP21987,60
AP22081,10
AP21115,1
AP21542,10
AP23396,60
AP21542,30
AP23396,30
AP21542,30
AP23396,60
AP21434,28
AP22263,60
AP24438,3
AP22734,30
AP21771,3
AP20465,90
AP21819,3
AP21542,90
AP21993,90
AP22491,90
AP23299,90
AP20596,2
AP22481,10
AP20872,1
AP22623,20
AP22794,20
139,90
124353,30
AP22296,3
AP20519,3
AP22366,30
AP23611,30
AP22422,60
AP24484,3
AP21134,30
AP22422,60
AP21137,4
AP23097,30
AP23809,60
AP23299,30
AP22422,30
AP21987,30
AP21539,30
AP22263,60
AP20953,60
AP24354,3
AP20121,30
AP20594,30
AP22422,90
AP22794,15
AP23611,30
AP22349,30
AP20219,1
AP20465,30
AP21987,60
AP20347,60
AP23944,30
AP21743,30
AP21005,1
AP21987,30
AP21987,60
AP20044,270
AP21623,20
AP24229,60
AP21987,60
AP22422,60
AP20140,10
AP20465,20
AP23369,90
AP23367,90
AP20121,10
AP22537,7
AP23790,60
AP20496,60
AP20044,30
AP20422,28
AP-Preservativos,12
AP20767,60
AP21539,1
AP22794,15
AP21742,90
AP23611,30
AP22422,60
AP23299,30
AP21189,84
AP21922,30
AP21434,21
AP22537,20
AP21539,30
AP23299,30
AP20142,90
AP21987,30
AP21542,30
AP21190,28
AP20121,14
AP22587,30
AP20496,60
AP20496,90
AP20496,30
AP22794,40
AP21771,1
AP22623,10
AP21191,60
AP21372,1
AP22794,1
AP21542,30
AP21987,90
AP23611,30
AP-Preservativos,143
