codigo_neg,cantidad_entregada
AP22668,21
AP20218,2
AP22388,30
AP22421,90
AP20121,20
AP21480,60
AP22908,30
AP21270,1
AP21162,90
AP21162,30
AP21190,28
AP22597,28
AP23802,300
AP22423,30
H03AA0113C09,25
AP20349,30
AP21480,60
AP20498,30
AP20498,30
AP21993,30
AP23093,1
AP22867,14
AP22191,2
AP23322,2
AP22730,30
AP22798,15
AP20044,20
AP20592,15
AP21836,60
AP22191,2
AP23299,90
AP23612,28
AP23279,30
AP22423,30
AP20498,30
AP21539,30
AP22423,30
AP20446,60
AP23051,60
AP22185,2
AP20354,60
AP21987,30
AP23299,30
AP21552,30
AP21542,28
AP21539,60
AP20407,28
AP21987,90
AP22366,30
AP20366,28
AP22597,56
AP22798,15
AP21992,60
AP23299,30
AP20349,30
AP20918,15
AP22668,14
AP23946,30
AP21771,2
AP22724,1
AP21255,1
AP22863,6
AP22119,21
AP20282,20
AP21269,1
AP22190,2
AP20044,30
AP23204,30
AP21190,28
AP23194,60
AP20496,30
AP23301,30
AP20498,30
AP20366,56
AP21190,28
AP21109,30
AP22190,2
AP-Lancetas,50
AP21656,30
AP-Tiras Reactivas,50
AP21125,1
AP21791,5
AP23651,30
AP21542,30
AP23719,60
AP24424,3
AP22624,30
AP23097,30
AP22421,60
AP22899,2
AP23051,60
AP20121,60
AP21333,3
AP21539,30
AP21333,3
AP21623,28
AP20465,30
AP20872,1
AP20407,3
AP20040,3
AP22491,90
AP22906,60
AP20347,30
AP21987,30
AP21189,28
AP22491,60
AP20502,30
AP20858,360
AP23204,30
AP22414,30
AP23626,40
AP22886,90
AP22790,1
AP20040,1
AP20407,1
AP20821,30
AP22491,30
AP23297,30
AP21874,30
AP21269,1
AP21353,1
AP24531,2
AP22571,60
AP23253,28
AP20496,30
AP22414,30
AP23168,30
AP20519,1
AP23378,28
AP22907,60
AP23194,60
AP20496,60
AP20349,60
AP22571,8
AP22456,5
AP21458,30
H03AA0113C09,25
AP22414,90
AP23240,30
AP21434,60
AP22863,6
AP24424,2
AP24027,15
AP23093,1
AP21539,30
AP21191,56
AP20498,30
AP21874,30
AP24424,2
AP23847,28
AP21987,30
AP20044,15
AP23525,1
AP21656,60
AP20044,40
AP20142,30
AP20216,1
AP23240,2
AP22070,1
144320,3
AP20822,180
AP22863,6
AP21270,2
AP21353,2
AP21539,180
AP23299,90
AP22330,30
AP21539,30
AP23200,30
AP23162,30
AP22491,60
AP22541,1
AP20952,10
AP22798,10
AP22412,60
AP21480,30
AP21743,30
AP22899,3
Ap-Glucometro,1
AP21480,60
AP20496,90
AP22725,1
AP21993,60
AP22422,30
AP20349,60
AP20044,60
AP22289,1
AP21162,30
AP21624,20
AP23946,30
AP22863,6
AP23651,30
AP-Preservativos,15
AP20794,30
AP21987,90
AP22491,180
AP23299,90
AP22599,21
AP20366,28
AP22491,90
AP21987,30
AP22308,1
AP23299,60
AP21189,28
AP20216,1
AP23691,30
AP21480,60
AP21624,30
AP22070,2
AP23049,40
AP21456,30
AP21123,7
AP20300,2
AP21552,30
AP21819,3
AP20926,3
AP21256,1
AP24428,2
AP21874,90
AP23301,20
AP21987,30
AP22867,14
AP23720,30
AP23301,30
AP21189,28
AP21993,60
AP22422,30
AP22584,30
AP22375,30
AP20704,2
AP20044,21
AP20218,2
AP20496,90
AP21987,90
AP22491,90
AP21162,30
AP20218,2
AP20822,90
AP20773,90
AP22416,90
AP21624,14
AP22046,30
AP23154,30
AP21819,3
55138,90
AP22375,60
AP20349,90
AP20044,20
AP22491,60
AP20468,20
AP22863,6
AP22366,30
AP22491,60
AP21987,30
AP20044,20
AP20843,5
AP24187,1
AP21137,12
AP23916,4
AP22043,60
AP22491,60
AP22190,5
AP21434,20
AP21048,40
AP22537,30
AP24191,2
AP21480,90
AP23425,1
AP20922,30
AP22416,30
AP22491,30
AP23301,30
AP23299,120
AP22491,60
AP21237,1
AP21139,1
AP20121,30
AP22935,30
47325,1
AP21986,30
AP21836,15
AP23917,30
AP23651,30
144320,6
AP22015,1
AP20044,30
AP21458,30
AP20044,180
AP20822,90
AP21189,84
AP21994,90
AP24151,90
AP23299,90
AP23847,90
AP21480,60
AP21476,60
AP22491,60
AP23301,90
AP21771,2
AP20547,1
AP20349,30
AP23651,90
AP23000,30
AP20496,30
AP21481,30
AP21552,30
AP23154,30
AP22906,30
AP22422,60
AP21480,60
AP22990,90
AP23992,120
AP22072,30
AP-Preservativos,15
AP21189,28
AP20263,90
AP23648,60
AP21993,30
AP20140,30
AP22491,30
AP20496,90
AP20822,60
AP21237,1
AP23067,1
H03AA0113C09,25
AP23320,30
AP20366,90
AP20654,60
AP22081,30
AP22491,90
AP22597,56
AP22366,30
AP21393,30
AP23299,90
AP22537,20
H03AA0113C02,25
AP24191,4
125115,30
AP23883,1
AP24191,2
AP20498,30
AP21166,1
AP23807,120
AP23301,30
402392,3
AP23691,90
AP21539,30
AP20286,1
AP22374,90
AP23611,30
AP22105,21
AP20494,30
AP20593,60
AP22421,30
AP-Preservativos,15
H03AA0113C11,25
AP20377,60
AP21993,60
AP23637,30
AP21624,30
AP21987,30
AP22491,30
AP20880,120
AP21481,30
AP21539,30
AP20349,30
AP23299,30
AP22422,30
AP24424,1
H03AA0113C11,25
AP20496,60
AP22491,60
AP20873,3
AP21189,28
AP21539,30
AP23674,20
AP21134,90
AP21229,45
AP20086,30
AP21703,90
AP21357,120
AP21731,60
AP20659,90
AP20548,1
AP22798,15
AP20922,15
AP22375,60
AP20044,30
AP21347,10
H03AA0113C09,25
AP21571,1
AP22597,84
AP21189,28
AP23301,60
AP22235,60
AP21743,30
AP21874,30
AP20347,30
AP21624,30
AP21743,90
AP22491,60
