codigo_neg,cantidad_entregada
AP21903,30
AP23651,30
AP21368,21
AP23521,14
AP21434,30
AP21238,30
AP21571,3
AP23317,10
AP24174,4
AP23317,10
AP22330,15
AP22794,10
AP22623,15
AP21814,1
AP21911,1
AP22015,1
AP22422,30
AP20548,1
AP20548,1
AP22948,1
AP21238,30
AP20218,2
AP21771,2
AP22730,30
AP20926,2
AP22531,60
AP22899,2
AP21838,8
AP20717,1
AP21263,30
AP21771,4
AP20520,2
AP20040,2
AP20040,3
AP21771,1
AP23322,1
AP20547,1
AP20594,90
AP22104,20
AP23097,30
AP20547,1
AP21347,10
AP21485,5
AP20044,40
AP23698,1
AP22422,26
AP22421,1
AP22393,14
AP21771,2
AP21189,28
AP22598,56
AP22189,3
AP20281,1
AP20496,30
AP22193,6
AP21353,2
AP22115,14
AP21270,2
AP22421,30
AP22537,10
AP23653,30
AP20465,30
AP21140,4
AP22899,1
AP22664,1
AP20496,30
AP22043,60
AP22119,10
AP20112,14
AP24424,2
AP21769,30
AP21533,60
AP22518,1
AP24484,5
AP22349,56
AP21836,30
AP20875,1
AP20548,1
AP23097,5
AP22022,1
AP20044,21
AP20170,1
AP24085,60
AP20465,60
AP22542,20
AP20952,20
AP21088,1
AP20453,90
AP22889,30
AP21834,90
AP24424,2
AP20794,30
AP23178,30
AP22623,30
AP22541,2
AP21542,28
AP20044,18
AP23194,6
AP22858,1
AP21571,1
AP24174,2
AP20778,30
AP21140,4
AP20242,4
AP20218,2
AP22587,30
AP22117,30
AP23001,30
AP23720,60
AP21136,30
AP23681,30
AP22946,1
AP23093,1
AP21836,30
AP-Preservativos,15
AP21353,2
AP21270,2
AP21115,2
AP21434,20
AP20548,1
AP23097,10
AP21571,1
AP24484,2
AP21825,1
AP23317,14
AP22912,15
AP22421,30
AP21903,30
AP22388,30
AP22730,30
AP22899,1
AP21987,30
AP20498,30
AP-Tiras Reactivas,200
AP-Lancetas,180
AP21114,2
AP21948,90
AP20498,30
AP21458,30
AP22193,1
AP22189,1
AP20498,30
AP22490,60
AP22104,15
AP23299,30
AP22583,30
AP21743,90
AP20857,120
AP23691,30
AP20496,30
AP22850,30
AP21238,10
AP24424,3
AP22725,1
AP20875,1
AP21238,30
AP24424,2
AP23322,1
AP22491,60
AP21987,30
AP21743,30
AP23301,30
AP22583,30
AP21879,1
AP23051,60
AP22202,2
AP23104,1
AP20496,30
AP23636,7
AP20496,30
AP20498,30
AP20349,30
AP22422,30
AP23297,28
AP21987,30
AP20142,30
AP21790,4
AP20617,1
AP24424,2
AP21458,30
AP22235,30
AP21189,28
AP20347,30
AP21874,30
AP22640,30
AP20142,30
AP20302,90
AP24424,2
AP20349,30
AP23550,180
AP21458,180
AP20496,30
AP20841,30
AP21357,30
AP23378,56
AP23299,30
AP21987,30
AP20498,30
AP21987,30
AP22490,30
AP20142,30
AP21189,28
AP23297,28
AP21987,30
AP23809,56
AP23299,30
AP20498,30
AP20596,2
AP20142,30
AP20349,60
AP22235,60
AP23097,60
AP21533,30
AP20496,30
H03AA0113C06,25
AP22418,30
AP20364,28
AP22747,1
AP21458,30
AP24484,2
AP20624,1
AP22990,56
AP23001,30
AP20446,60
AP21987,30
AP22231,1
AP21372,30
AP20496,30
AP20498,30
AP21458,30
AP21769,30
AP21360,20
AP22422,30
AP22189,5
AP21903,30
AP21947,60
AP21189,28
AP22990,28
AP24484,4
AP21533,30
AP20498,30
AP20142,30
AP23263,60
AP22310,90
AP22798,10
AP21286,1
AP23093,1
AP23154,60
AP23548,28
AP23966,30
AP21189,28
AP20494,30
AP21353,1
AP20596,1
AP21238,30
AP20496,30
AP20446,60
AP22491,30
AP21987,30
AP23299,30
AP21434,20
AP21353,4
AP24424,2
AP21621,15
AP23550,30
AP21903,30
AP23636,60
AP23297,28
AP21458,30
AP21189,28
AP20794,30
AP21480,180
AP23267,30
AP23204,90
AP23299,30
AP20496,30
AP20494,30
AP21481,60
AP21532,30
AP22491,60
AP21987,30
AP20496,30
AP23847,28
AP22707,30
AP21458,30
AP21986,30
AP22189,3
AP21189,28
AP20821,30
AP20498,30
AP21238,30
AP20496,90
AP20506,1
AP22006,28
AP20142,30
AP20349,30
AP20496,30
AP22421,30
AP22423,30
AP22858,2
AP20496,30
AP20347,30
AP21987,30
AP21135,30
AP22599,84
AP20142,90
AP23301,90
AP21532,90
AP21947,180
AP23297,28
AP22193,2
AP22189,2
AP21189,28
AP20142,30
AP23299,30
AP22838,30
AP22794,10
AP23299,30
AP22415,30
AP21542,30
AP21987,30
AP20347,30
AP22235,60
AP24424,3
AP21532,30
AP21137,4
AP22422,30
AP20873,1
AP22583,30
AP23279,30
AP20496,30
AP24438,1
AP20594,30
AP22308,2
AP20882,120
AP21987,60
AP22491,120
AP20445,120
AP21372,30
AP23627,30
AP20778,30
AP21002,1
AP22583,30
AP21542,30
AP23093,1
AP22421,30
AP22583,30
AP21987,30
AP23809,28
AP20592,60
AP20660,60
AP21874,30
AP20445,60
AP22906,30
AP21532,30
AP20044,60
AP20142,30
AP21828,3
AP23322,3
AP23049,100
AP22616,15
AP20794,30
AP21189,28
AP22421,30
AP21353,1
AP22115,14
AP22640,30
AP22422,30
AP23691,30
AP21328,60
AP22117,60
AP21791,5
AP23790,120
AP22072,30
AP22423,30
AP20767,30
AP20498,30
AP23847,56
AP23809,60
AP23299,30
AP23377,60
AP22231,1
AP21189,28
AP22987,30
AP24424,2
AP21532,30
AP20496,30
AP22134,30
AP22421,60
AP21863,1
AP23104,3
AP20524,6
AP21189,28
AP23611,30
AP22189,3
AP23299,30
AP24424,1
AP20514,30
AP22416,30
AP21738,30
AP23741,90
AP21135,30
AP24174,4
AP23555,60
AP22624,12
AP22725,2
AP24484,3
AP20496,30
AP22490,30
AP22491,30
AP20347,30
AP22491,30
AP23263,60
AP22886,60
AP23104,1
AP20044,48
AP20281,3
AP23537,2
AP21140,8
AP20496,30
AP22491,30
AP22491,60
AP21987,30
AP23299,30
AP23330,3
AP21390,15
AP20998,14
AP22083,1
AP22246,30
AP22476,20
AP-Aguja Insulina,30
AP23299,30
AP-Tiras Reactivas,30
AP-Lancetas,30
AP20349,30
AP22134,30
AP24484,4
AP23299,60
AP23102,1
AP20498,60
AP21539,90
AP21229,50
AP20498,60
AP21987,30
AP22491,60
AP20392,28
AP20347,30
AP23811,28
AP20498,30
AP20349,30
AP24484,2
AP22414,30
AP22231,1
AP22794,15
AP20170,1
AP21393,30
AP21328,30
AP21533,30
AP21481,60
AP20494,30
AP22415,30
AP20496,60
AP22906,60
AP20349,60
AP23299,60
AP20142,60
AP20821,60
AP20794,60
AP22725,2
AP20794,30
AP20344,30
AP20142,30
AP20502,30
AP21987,30
AP23809,56
AP23834,28
AP23299,60
AP20349,30
AP21987,30
AP20142,30
AP24484,2
AP20654,20
AP22422,30
AP23283,60
AP23104,1
AP24533,1
AP23946,60
AP22707,120
AP20922,10
AP20044,20
AP21270,1
AP20496,30
AP20827,60
AP22136,1
AP20531,20
AP21048,21
AP22366,30
AP23299,30
AP22599,56
AP20498,30
AP22707,30
AP21623,10
AP22906,60
AP22104,15
AP20171,35
AP21791,8
AP21114,2
AP21863,1
AP20465,30
AP21333,4
AP21143,120
AP20242,8
AP22366,30
AP22491,30
AP22948,1
AP20142,23
AP22907,30
AP20502,30
AP20349,30
AP23299,30
AP21542,30
AP21738,30
AP22043,30
AP21532,30
AP20624,1
AP22794,10
AP20592,28
AP23301,30
AP22794,20
AP20142,30
AP23691,30
AP20349,30
AP22490,30
AP21656,30
AP20496,30
AP21476,60
AP23809,56
AP21987,30
AP23094,1
AP22740,30
AP20592,30
AP24424,2
AP20446,60
AP20998,20
AP20349,30
AP23299,30
AP24424,3
AP21987,30
AP22235,30
AP21263,30
AP21393,60
AP23809,28
AP20496,30
AP21987,30
AP23569,30
AP20349,30
AP22189,2
AP20496,30
AP22599,56
AP21189,28
AP22491,30
AP22867,20
AP24424,1
AP20365,28
AP20496,30
AP23146,30
AP21533,30
AP23104,1
AP20682,1
AP21542,30
AP20496,30
AP20142,30
AP21992,30
AP20349,30
AP20142,30
AP20349,30
AP20778,30
AP20044,20
AP22948,1
AP21743,30
AP23899,30
AP21813,30
AP20592,60
AP21769,30
AP20498,60
AP22838,60
AP20142,30
AP24424,3
AP22134,30
AP23297,30
AP22583,30
AP22366,30
AP21135,30
AP20778,30
AP22422,30
AP20498,30
AP23102,1
AP22422,30
AP20794,30
AP21229,30
AP20051,60
AP21947,30
AP20395,56
AP21742,10
AP21191,56
AP22422,30
AP20496,60
AP21542,30
AP23803,90
AP20242,4
AP23648,30
AP22583,30
AP23809,56
AP20349,30
AP23946,30
AP23299,60
AP22491,120
AP21108,30
AP20655,28
AP21539,60
AP20773,60
AP21743,30
AP22481,7
AP23104,1
AP20496,30
AP21585,1
AP22744,60
AP22414,30
AP20778,60
AP20496,30
AP22193,2
AP23299,60
AP23164,60
AP23049,40
AP24484,1
AP21281,1
AP24229,60
AP21903,30
AP21994,30
AP24484,3
AP21947,30
AP21189,28
AP22599,56
AP21542,30
AP21992,30
AP22193,3
AP22189,5
AP20498,30
AP24424,2
AP22022,2
AP23050,60
AP22189,2
AP20498,30
AP24484,2
AP20778,30
AP20496,30
AP20242,4
AP22623,20
AP21372,30
AP21229,40
AP23093,1
AP22421,30
AP21987,30
AP21585,1
AP20123,60
AP21743,30
AP24484,2
AP22043,30
AP20142,30
AP20349,30
AP23809,28
AP22886,30
AP21533,60
AP21328,30
AP20773,30
AP22886,30
AP20496,30
AP21189,28
AP23050,60
AP23104,6
AP21229,30
AP20514,90
AP21836,30
AP21118,10
AP22189,5
AP21136,30
AP22423,30
AP20794,30
AP23299,30
AP21542,30
AP21458,30
AP21189,28
AP20821,30
AP20142,30
AP22668,28
AP23297,28
AP20794,30
AP21137,12
AP23813,60
AP21987,60
AP20347,60
AP20592,90
AP22330,30
AP21458,30
AP23556,30
AP21114,1
AP21876,2
AP22414,30
AP22189,2
