codigo_neg,cantidad_entregada
AP21480,60
AP22421,30
AP21624,30
AP21624,30
AP21481,30
AP21624,30
AP21539,30
AP22597,56
AP20496,30
AP21624,28
AP20496,30
AP21539,30
AP21458,30
AP24438,1
AP22583,30
AP22549,30
AP23279,30
AP20366,28
AP20496,30
AP20216,1
AP20496,30
AP22906,30
AP20349,30
AP20142,30
AP22431,1
AP21458,30
AP21166,1
AP21457,30
AP21987,30
AP21987,30
AP22424,30
AP22491,30
AP22491,60
AP23299,30
19987947,25
AP20349,60
AP21328,30
AP21458,30
AP20498,30
AP23299,30
AP22491,60
AP20349,30
AP22423,30
AP22189,6
AP23301,30
AP22189,4
AP-Aguja Insulina,120
AP21189,28
AP21947,30
AP22431,1
AP22858,1
AP22431,4
AP23611,30
AP22599,56
AP22491,60
AP20494,30
AP22838,30
AP22583,30
AP22906,30
AP21874,30
AP23168,30
AP21136,30
AP21270,8
AP22502,1
AP23425,5
AP21861,1
AP22366,30
AP23671,1
AP22906,30
AP22724,1
AP21621,30
AP20498,30
AP22355,1
AP20875,2
AP21542,30
AP21903,30
AP22598,28
AP22599,112
AP21114,1
AP21533,30
AP22886,30
AP22009,56
AP23859,84
AP21137,6
AP21542,60
AP22635,60
AP20498,30
AP21539,30
AP21914,90
AP21993,60
AP20778,30
AP21137,4
AP23691,30
AP21623,20
AP22537,20
AP20778,30
AP20837,2
AP22046,30
AP23154,30
AP22906,30
AP20121,60
AP20496,30
AP21353,1
AP22431,1
AP22081,14
AP20121,14
AP20218,2
AP-Aguja Insulina,60
AP23651,30
AP23550,30
AP20377,60
AP21542,30
AP21114,1
AP21790,4
AP23720,30
AP22867,15
AP20952,60
AP21769,60
AP22863,6
AP21536,10
32602-14,25
AP22416,30
AP20498,30
AP20044,60
AP24357,1
AP23093,1
AP20821,30
AP21189,30
AP22189,3
AP-Aguja Insulina,30
AP20498,30
AP22017,1
AP23425,2
AP22914,2
AP21861,1
AP23168,30
AP20708,1
AP22537,15
AP21571,3
AP-Preservativos,15
AP22599,56
AP21189,28
AP20496,30
AP22491,30
AP20044,90
AP23168,30
AP21621,30
AP21393,30
AP20596,2
AP22425,30
AP22189,4
AP-Aguja Insulina,90
AP23299,30
AP22491,60
AP21987,30
AP20778,30
AP21140,4
AP20242,4
107757,10
AP20142,30
AP21458,30
AP21189,28
AP21542,30
AP23299,30
AP20821,30
19976365,25
AP22191,3
AP21743,30
AP21458,30
AP22116,20
AP20496,60
AP22231,1
AP20496,30
AP20349,30
AP20142,30
AP21911,1
AP21874,30
AP20880,60
AP21189,28
AP23168,30
AP21771,1
AP21539,30
AP21771,2
AP20496,90
AP22491,90
AP22906,90
AP20409,42
AP21039,28
AP22906,28
AP21162,20
AP21162,40
AP22289,2
AP22289,3
AP23320,60
AP20496,30
AP22423,30
AP22069,30
AP21136,30
19992452-8,25
AP21136,30
AP-Preservativos,15
AP22189,3
AP-Aguja Insulina,30
AP23167,30
AP20121,30
AP21769,30
AP20894,28
AP21270,2
AP21861,1
AP23425,2
AP22914,8
AP22899,3
AP21285,1
AP22055,3
AP22431,4
AP20302,60
AP23299,30
AP21571,1
546699,2
AP22043,30
AP20453,60
AP21135,30
AP22421,30
AP20494,30
AP23809,56
AP20302,60
AP20853,90
AP21769,30
AP22724,1
AP20498,30
AP21114,1
AP21791,4
AP22481,10
AP22906,30
AP22491,30
AP22414,30
AP21189,28
AP21542,30
AP23847,28
AP20498,30
AP22491,60
AP21954,60
AP21987,30
AP21987,30
AP20496,30
AP20498,30
AP20349,30
AP21974,1
AP23200,60
AP20349,30
AP21270,1
AP21353,1
AP20922,20
AP21571,1
AP20773,60
AP22491,60
AP21135,60
AP23920,1
AP23847,56
AP23299,30
AP20365,28
AP20496,30
AP21458,30
N06BA0414C01,60
AP20952,20
AP23000,30
AP20794,30
AP-Preservativos,15
AP20142,45
AP23959,1
AP22491,30
AP22886,30
AP23200,60
AP23790,60
AP20496,30
AP21480,30
AP22117,30
AP21333,1
AP23809,28
AP20044,40
139,90
AP-Aguja Insulina,30
AP22189,3
AP22581,30
AP20496,30
AP22794,6
AP21238,30
AP20409,14
AP-Aguja Insulina,60
AP21434,28
AP20913,1
AP20596,1
AP22668,28
AP21987,30
AP22491,30
AP21539,30
AP20286,1
AP22081,12
AP23884,1
AP23508,1
19987944-1,25
206777-1,25
AP21333,3
AP22794,60
AP23503,3
AP20044,10
