codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
10024337;10024337;10024337;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
11020133;11020133;11020133;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
20064694-01;20064694-01;2006469401;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
19974946-06;19974946-06;1997494606;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
20081132-01;20081132-01;2008113201;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
20085320-01;20085320-01;2008532001;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
20103720-02;20103720-02;2010372002;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
19997604-03;19997604-03;1999760403;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
11020001;11020001;11020001;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
11020002;11020002;11020002;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
19993286-01;19993286-01;1999328601;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
20042307-14;20042307-14;2004230714;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
20042307-03;20042307-03;2004230703;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
20104651;20104651;20104651;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
131214;131214;131214;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
30010002;30010002;30010002;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': []}
