codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;cantidad_total_6;cantidad_parcial_6;cantidad_pendiente_6;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
10024337;10024337;10024337;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
11020133;11020133;11020133;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20064694-01;20064694-01;2006469401;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
19974946-06;19974946-06;1997494606;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20081132-01;20081132-01;2008113201;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20085320-01;20085320-01;2008532001;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20103720-02;20103720-02;2010372002;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
19997604-03;19997604-03;1999760403;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
11020001;11020001;11020001;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
11020002;11020002;11020002;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
19993286-01;19993286-01;1999328601;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20042307-14;20042307-14;2004230714;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20042307-03;20042307-03;2004230703;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20104651;20104651;20104651;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
131214;131214;131214;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
30010002;30010002;30010002;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
30010105;30010105;30010105;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
19908973-02;19908973-02;1990897302;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
00207412-03;00207412-03;0020741203;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
19929516-05;19929516-05;1992951605;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
00207411-04;00207411-04;0020741104;;;;38;;;49;;;29;;;31;;;58;;;41;;0;246;0;{'1': [8929, 8546, 13603, 13604, 13605, 13606, 14148, 14149, 14150, 6669, 1166, 6255, 8238, 11278, 3891, 3286, 8153, 1467], '2': [10785, 5539, 5540, 5541, 5542, 1963, 1964, 1965, 13739, 8780, 8781, 4952, 5084, 5085, 5086, 10473, 10474, 10475, 1532, 1533], '3': [12736, 8548, 8549, 14180, 3655, 3656, 14181, 14182, 7404, 13423, 7795, 3064, 9465], '4': [14496, 5602, 5603, 14786, 2351, 2352, 1905, 4817, 8178, 9846, 9847, 9848, 8953, 8954, 5215], '5': [9746, 9747, 2732, 2733, 7725, 9388, 13636, 10565, 10566, 10567, 13126, 12617, 13127, 13128, 13129, 12369, 10080, 4843, 238, 239, 4729, 12276, 5880, 5881, 2302], '6': [8770, 7628, 878, 879, 880, 3601, 6864, 6865, 7218, 8977, 3862, 3863, 1210]}
20162754-01;20162754-01;2016275401;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20090408-01;20090408-01;2009040801;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
20114185-02;20114185-02;2011418502;;;;;;;2;;;;;;1;;;1;;;;;0;4;0;{'1': [], '2': [9957], '3': [], '4': [1461], '5': [9357], '6': []}
20172807-02;20172807-02;2017280702;;;;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': []}
