codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
10024337;10024337;10024337;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
11020133;11020133;11020133;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20064694-01;20064694-01;2006469401;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19974946-06;19974946-06;1997494606;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20081132-01;20081132-01;2008113201;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20085320-01;20085320-01;2008532001;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20103720-02;20103720-02;2010372002;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19997604-03;19997604-03;1999760403;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
11020001;11020001;11020001;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
11020002;11020002;11020002;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19993286-01;19993286-01;1999328601;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20042307-14;20042307-14;2004230714;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20042307-03;20042307-03;2004230703;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20104651;20104651;20104651;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
131214;131214;131214;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
30010002;30010002;30010002;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
30010105;30010105;30010105;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19908973-02;19908973-02;1990897302;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
00207412-03;00207412-03;20741203;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19929516-05;19929516-05;1992951605;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
00207411-04;00207411-04;20741104;;;;62;;;65;;;63;;;76;;;9;;0;275;0;{'1': [9088, 136, 137, 138, 14236, 14237, 14238, 6864, 6865, 6866, 4454, 4455, 4456, 4457, 11373, 11374, 11375, 11376, 11377, 11378, 1140, 1526, 1527, 1528, 9086, 9087], '2': [8577, 13710, 14489, 13857, 3875, 7466, 11180, 11183, 4784, 1586, 6459, 3515, 12225, 13125, 2247, 11217, 14292, 3427, 11120, 8049, 8951, 13306], '3': [11137, 12805, 5132, 8724, 11545, 6307, 14125, 1840, 5430, 6966, 14522, 189, 4926, 13886, 14273, 596, 7766, 8662, 4312, 8666, 605, 12768, 7652, 11502, 6389, 11512], '4': [11268, 9862, 12423, 1291, 9614, 6927, 13462, 8738, 13481, 11946, 943, 6447, 6712, 6462, 7621, 9548, 10191, 9298, 14419, 9945, 3427, 2024, 7915, 10477, 6386, 8822, 6782], '5': [112, 603]}
20162754-01;20162754-01;2016275401;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20090408-01;20090408-01;2009040801;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20114185-02;20114185-02;2011418502;;;;3;;;;;;3;;;;;;;;0;6;0;{'1': [3372, 10484], '2': [], '3': [2858], '4': [], '5': []}
20172807-02;20172807-02;2017280702;;;;;;;;;;2;;;;;;;;0;2;0;{'1': [], '2': [], '3': [9253], '4': [], '5': []}
