codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
10024337;10024337;10024337;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
11020133;11020133;11020133;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20064694-01;20064694-01;2006469401;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19974946-06;19974946-06;1997494606;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20081132-01;20081132-01;2008113201;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20085320-01;20085320-01;2008532001;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20103720-02;20103720-02;2010372002;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19997604-03;19997604-03;1999760403;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
11020001;11020001;11020001;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
11020002;11020002;11020002;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19993286-01;19993286-01;1999328601;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20042307-14;20042307-14;2004230714;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20042307-03;20042307-03;2004230703;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20104651;20104651;20104651;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
131214;131214;131214;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
30010002;30010002;30010002;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
30010105;30010105;30010105;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19908973-02;19908973-02;1990897302;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
00207412-03;00207412-03;20741203;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
19929516-05;19929516-05;1992951605;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
00207411-04;00207411-04;20741104;;;;87;;;84;;;78;;;103;;;28;;0;380;0;{'1': [11013, 5383, 6023, 12936, 13959, 9753, 11291, 9245, 2597, 12838, 2093, 815, 14255, 13745, 4795, 834, 201, 3146, 14796, 3150, 10579, 1622, 10454, 13399, 10713, 14812, 14815, 13664, 8680, 6891, 11500, 12910, 2812, 6525, 13950], '2': [512, 3585, 5505, 1924, 5892, 13448, 7307, 3348, 1688, 4120, 2719, 4001, 3622, 4775, 4526, 10030, 817, 13364, 5558, 312, 4153, 11968, 333, 6736, 9177, 5082, 9436, 2145, 1381, 1127, 6887, 1901, 882, 14198, 13179, 1279], '3': [2434, 12932, 8329, 12939, 5516, 9869, 12428, 6427, 12961, 12323, 7464, 10408, 6955, 10414, 7473, 2229, 9142, 186, 573, 13762, 13520, 979, 13145, 13404, 5341, 5474, 9954, 3045, 13030, 10737, 14076], '4': [11524, 8582, 649, 1673, 11661, 8594, 11539, 7956, 12824, 14232, 6810, 7579, 7455, 11680, 2346, 10667, 1709, 689, 4914, 6330, 6465, 7876, 12365, 6097, 14817, 11627, 14189, 622, 2286, 1269, 14709, 7805, 12414, 12031], '5': [4100, 4071, 1288, 2120, 1002, 846, 3792, 1204, 4375, 3327]}
20162754-01;20162754-01;2016275401;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20090408-01;20090408-01;2009040801;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20114185-02;20114185-02;2011418502;;;;1;;;3;;;;;;3;;;;;0;7;0;{'1': [12446], '2': [14912, 2711], '3': [], '4': [5074, 2623], '5': []}
20172807-02;20172807-02;2017280702;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
