codigo_neg,cantidad_entregada
AP20717,1
AP22375,60
AP23790,60
AP22081,15
AP20121,20
AP20286,2
AP21542,30
AP-Tiras Reactivas,120
AP20044,30
AP21532,30
129816,3
AP21623,10
AP-Preservativos,15
AP21114,1
AP21449,84
AP23436,2
AP22043,20
AP21270,1
AP24483,2
AP21769,10
AP20894,21
AP20182,1
AP22858,1
AP-Preservativos,15
AP23265,1
AP21799,30
AP20064,26
AP23105,1
AP21434,60
AP21368,21
19987944-1,25
AP20822,60
AP23696,1
AP21434,30
AP21911,1
AP22899,1
AP22886,30
AP23202,30
AP20044,30
AP22072,30
AP21485,10
AP20894,20
Ap-Glucometro,1
AP20126,180
AP22623,6
AP21347,6
AP22104,9
AP21353,2
AP20140,14
AP22858,1
AP20161,21
139,60
AP20794,30
AP22399,1
AP23790,180
AP20112,20
AP23154,30
AP22541,3
AP23637,30
AP20465,30
AP21769,30
AP23322,1
AP21372,5
AP22104,9
AP22308,1
AP22481,5
AP20767,30
AP22069,30
AP22281,1
AP20566,1
AP22741,90
AP21333,1
AP22623,21
AP21281,1
AP21769,30
AP22724,1
AP20142,45
AP20794,30
AP21434,30
AP22863,6
AP23648,30
AP20922,60
AP24424,6
AP22412,180
AP20548,1
AP21607,42
AP22830,1
AP20515,1
AP20794,30
AP22072,30
AP20218,2
AP22377,1
AP22289,1
AP22794,15
AP20506,2
AP22794,15
AP20894,30
AP21571,1
AP23065,1
AP22081,15
AP20519,1
AP21819,1
AP22736,30
AP21771,2
AP20465,30
AP22377,2
AP20462,1
AP20219,1
AP23240,4
AP21434,30
AP21137,9
AP21532,30
AP20952,90
AP20519,1
AP21769,30
AP22708,60
AP24438,3
AP24484,4
AP24191,1
AP23719,30
AP21539,30
AP20829,28
AP24085,30
AP21623,40
AP20519,3
AP20465,30
AP22537,10
AP20496,30
AP22308,1
AP22794,10
AP22377,2
AP23299,60
AP22072,30
AP20794,30
AP21125,1
AP22120,20
AP22587,30
AP23611,30
AP21255,1
AP21088,1
AP22493,1
AP20776,30
AP-Preservativos,15
AP24085,29
AP20733,30
AP21542,30
AP24484,1
AP22863,6
AP21450,28
AP21434,30
AP22081,14
AP20465,40
AP21347,45
AP20894,20
AP20044,20
AP22854,1
AP22481,10
AP20598,1
AP22794,6
AP22281,1
AP20140,14
AP21372,60
AP21514,21
AP20465,20
AP21374,1
AP20557,1
30287,4
AP22081,10
AP23884,1
AP23097,2
AP23322,1
AP20216,1
AP23155,1
AP23884,2
AP23322,2
AP22724,1
AP21255,1
AP21771,1
AP21542,60
AP24229,60
AP-Preservativos,15
AP21368,21
AP22186,4
546699,2
142980,1
AP-Lancetas,100
AP-Tiras Reactivas,90
AP22189,4
AP21434,60
AP22725,1
AP22289,1
AP21434,30
AP21539,30
AP21571,1
AP21927,2
AP22431,1
AP21353,1
AP22537,10
AP21333,1
AP23486,3
AP23097,3
AP20520,3
AP23317,10
AP20044,9
AP23330,1
AP22724,1
AP22860,1
AP23884,2
AP22015,1
AP21114,1
AP22860,1
AP23097,3
AP23317,5
AP22724,1
AP20281,1
AP22734,30
AP23317,5
AP23330,2
AP23097,3
125115,60
AP23067,1
AP21771,1
AP21987,60
125115,30
AP21536,14
AP20038,1
AP23661,56
AP20064,7
AP21238,10
AP20548,1
AP21270,1
AP22867,6
AP21347,6
AP22724,1
AP22724,3
AP21927,1
AP22766,1
AP20926,1
AP21771,1
AP21771,1
AP21136,30
AP21136,30
125115,30
AP23322,1
AP21771,1
AP20044,60
AP21449,28
AP21137,3
AP21368,42
AP21571,2
AP20044,21
AP21162,30
AP22104,15
AP22794,30
AP20121,45
AP21813,90
AP20344,15
AP22624,14
AP22104,28
AP21769,30
AP21819,1
AP20281,2
