codigo_neg;total_entregado_total;total_entregado_parcial;total_pendiente;cantidad_total_abril;cantidad_parcial_abril;cantidad_pendiente_abril;cantidad_total_mayo;cantidad_parcial_mayo;cantidad_pendiente_mayo;cantidad_total_junio;cantidad_parcial_junio;cantidad_pendiente_junio;cantidad_total_julio;cantidad_parcial_julio;cantidad_pendiente_julio;cantidad_total_agosto;cantidad_parcial_agosto;cantidad_pendiente_agosto;cantidad_total_septiembre;cantidad_parcial_septiembre;cantidad_pendiente_septiembre;cantidad_total_octubre;cantidad_parcial_octubre;cantidad_pendiente_octubre;cantidad_total_noviembre;cantidad_parcial_noviembre;cantidad_pendiente_noviembre;DESCRIPCION
AP20038;81;;;2;;;2;;;14;;;16;;;8;;;3;;;1;;;35;;;
AP20040;9471;;;509;;;741;;;1395;;;504;;;1073;;;1660;;;1447;;;2142;;;
AP20041;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP20042;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;
AP20045;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP20044;694442;;;81078;;;81869;;;59576;;;84128;;;89910;;;100852;;;93941;;;103088;;;
AP20051;41101;;;4989;;;5206;;;4752;;;4756;;;5131;;;5626;;;5690;;;4951;;;
AP20111;363;;;7;;;4;;;18;;;136;;;15;;;;;;1;;;182;;;
AP20112;37520;;;4959;;;6525;;;4135;;;5984;;;2755;;;4291;;;4392;;;4479;;;
AP20118;3485;;;446;;;313;;;111;;;984;;;319;;;521;;;175;;;616;;;
AP20282;2256;;;340;;;224;;;179;;;314;;;520;;;223;;;299;;;157;;;
AP20126;2770;;;737;;;441;;;180;;;210;;;147;;;330;;;245;;;480;;;
AP20143;1670;;;965;;;705;;;;;;;;;;;;;;;;;;;;;
AP20142;1559075;;;67917;;;52445;;;1047923;;;77820;;;63335;;;80059;;;80466;;;89110;;;
AP20145;90;;;;;;90;;;;;;;;;;;;;;;;;;;;;
AP20130;115;;;3;;;7;;;;;;;;;2;;;7;;;92;;;4;;;
AP20161;12080;;;666;;;1372;;;991;;;1892;;;976;;;2072;;;1885;;;2226;;;
AP20162;76;;;1;;;7;;;2;;;62;;;;;;1;;;3;;;;;;
AP20165;7821;;;1388;;;1284;;;1308;;;1868;;;841;;;104;;;405;;;623;;;
AP20167;7;;;5;;;1;;;1;;;;;;;;;;;;;;;;;;
AP20169;123;;;62;;;61;;;;;;;;;;;;;;;;;;;;;
AP20170;3296;;;8;;;5;;;140;;;1088;;;163;;;481;;;682;;;729;;;
AP20171;6843;;;859;;;809;;;674;;;792;;;761;;;1206;;;981;;;761;;;
AP21836;111748;;;13719;;;13557;;;14787;;;12243;;;12339;;;14255;;;13025;;;17823;;;
AP23700;255;;;11;;;16;;;9;;;199;;;9;;;2;;;4;;;5;;;
AP20184;107;;;1;;;2;;;3;;;4;;;2;;;92;;;;;;3;;;
AP20183;1147;;;14;;;14;;;182;;;681;;;14;;;4;;;205;;;33;;;
AP-Aguja Insulina;338397;;;30528;;;42438;;;12363;;;55520;;;28663;;;40965;;;59683;;;68237;;;
AP20216;6947;;;258;;;231;;;465;;;1253;;;346;;;2224;;;1053;;;1117;;;
AP20218;35068;;;1465;;;1158;;;3200;;;1876;;;3435;;;3706;;;8718;;;11510;;;
AP20219;4134;;;38;;;67;;;541;;;482;;;163;;;340;;;1183;;;1320;;;
AP20242;6448;;;435;;;462;;;681;;;789;;;802;;;686;;;1195;;;1398;;;
AP20246;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP22600;5940;;;1245;;;660;;;420;;;900;;;489;;;756;;;870;;;600;;;
AP22601;482;;;;;;;;;180;;;60;;;;;;2;;;;;;240;;;
AP24483;5752;;;195;;;276;;;725;;;591;;;598;;;742;;;1746;;;879;;;
AP20259;605;;;2;;;4;;;92;;;33;;;5;;;343;;;116;;;10;;;
AP20260;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;
AP20262;3737;;;760;;;889;;;519;;;664;;;180;;;121;;;300;;;304;;;
AP20263;11661;;;1570;;;2140;;;1201;;;2217;;;1455;;;1221;;;892;;;965;;;
AP20279;37;;;;;;;;;;;;;;;;;;1;;;33;;;3;;;
AP20294;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;
AP20286;6167;;;69;;;214;;;1151;;;266;;;668;;;1406;;;1028;;;1365;;;
AP24424;53839;;;949;;;2980;;;2070;;;23412;;;4486;;;4920;;;6493;;;8529;;;
AP20296;17;;;2;;;15;;;;;;;;;;;;;;;;;;;;;
AP20004;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP24423;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP20300;375;;;85;;;290;;;;;;;;;;;;;;;;;;;;;
AP20302;38549;;;5380;;;4480;;;3517;;;4307;;;4683;;;5210;;;4512;;;6460;;;
AP20305;774;;;7;;;8;;;9;;;246;;;10;;;97;;;183;;;214;;;
AP20324;15;;;6;;;;;;;;;3;;;6;;;;;;;;;;;;
AP20341;12900;;;1687;;;1522;;;1122;;;1016;;;1341;;;1783;;;1439;;;2990;;;
AP20344;53402;;;5206;;;5607;;;4723;;;7657;;;6464;;;6938;;;6795;;;10012;;;
AP20347;159820;;;14680;;;17208;;;19383;;;20700;;;18838;;;20095;;;22994;;;25922;;;
AP20349;533844;;;59424;;;60131;;;52853;;;71737;;;66249;;;67146;;;70199;;;86105;;;
AP20353;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP20354;4860;;;2250;;;2610;;;;;;;;;;;;;;;;;;;;;
AP20355;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP23990;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP20362;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP20363;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AP20364;21079;;;2690;;;2152;;;1866;;;2657;;;2690;;;3418;;;2843;;;2763;;;
AP20366;96712;;;9446;;;10170;;;8386;;;9633;;;13708;;;21713;;;15144;;;8512;;;
AP20377;12196;;;1860;;;1710;;;1926;;;1354;;;1025;;;1545;;;1404;;;1372;;;
AP20378;3141;;;450;;;540;;;360;;;393;;;90;;;330;;;738;;;240;;;
