nombre_producto,cantidad_entregada
METFORMINA 850MG TABLETA | PISA S.A |,90
AMLODIPINO + INDAPAMIDA + PERINDOPRIL 10MG+2.5MG+10MG TABLETA | SERVIER | COVERATRIX,90
ACETAMINOFEN 500MG TABLETA | AG |,60
FOSFOMICINA 3GR SOBRE DE SOLUCION ORAL | NOVAMED | UROFOS,2
ALBENDAZOL 200MG TABLETA | BIOQUIFAR | FINAPAR,2
VITAMINA D3 (COLECALCIFEROL) 5600U.I./10ML SOLUCION ORAL | NOVAMED | DENSIMET,3
LEVOTIROXINA 100MCG TABLETA | MERCK | EUTIROX,120
CARBONATO DE CALCIO 1500MG + VITAMINA D 200U.I TABLETA | LEBRIUT S.A.S | OROCAL D,30
TIMOLOL 0.50%/5ML GOTAS OFTALMICAS | INCOBRA |OFTALMOTRILOL,3
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,90
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,30
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
LORATADINA 10MG TABLETA | LAPROFF |,9
PREDNISOLONA 5MG TABLETA | LAPROFF |,9
DESLORATADINA 2.5MG/5ML (0.05%) JARABE | GENFAR |,4
MONTELUKAST 4MG TABLETA MASTICABLE | LASANTE |,90
ACETAMINOFEN 150MG/5ML JARABE | LAPROFF |,3
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
KETOCONAZOL 2% CREMA TOPICA | BIOQUIFAR | FUNGISTEROL,2
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,30
RISPERIDONA 2MG TABLETA | LA SANTE | ZYRISP,180
ACETAMINOFEN 500MG TABLETA | AG |,30
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
ATORVASTATINA 20MG TABLETA | ECAR |,60
ATORVASTATINA 20MG TABLETA | ECAR |,90
LEVOTIROXINA 100MCG TABLETA | SIEGFRIED | TIROXIN,60
FUROSEMIDA 40MG TABLETA | GENFAR |,90
LEVOTIROXINA 75MCG TABLETA | TECNOQUIMICAS |,32
LEVOTIROXINA 25MCG TABLETA | TECNOQUIMICAS |,90
LOSARTAN 100MG TABLETA | BUSSIE | SATOREN,180
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,120
VILDAGLIPTINA + METFORMINA 50MG + 1000MG TABLETA | NOVARTIS | GALVUS MET,175
IBUPROFENO 400MG TABLETA | GENFAR |,10
OMEPRAZOL 20MG CAPSULA | NOVAMED |,10
ACETAMINOFEN 500MG TABLETA | AG |,60
CEFALEXINA 500MG CAPSULA | RECIPE |,20
IMIPRAMINA 25MG TABLETA | HUMAX |,90
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,30
SUERO FISIOLOGICO 0.9% X 250 ML BOLSA,2
PEMBROLIZUMAB 100MG/4ML SOLUCION INYECTABLE | MERCK | KEYTRUDA,4
HIDROXICINA 25MG TABLETA | GENFAR |,30
SERTRALINA 50MG TABLETA | GENFAR |,60
ACETAMINOFEN 500MG TABLETA | AG |,60
METFORMINA 850MG TABLETA | WINTHROP |,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
"MOMETASONA FUROATO 50MG/ML SPRAY NASAL 0,05% | TECNOFAR |",1
AMOXICILINA + ACIDO CLAVULINICO 250MG + 62.5MG SUSPENSION | SANDOZ | CURAM,3
ESTROGENOS CONJUGADOS 0.625MG CREMA VAGINAL X 26GR | FAES FARMA | FEVENY,1
LEVOTIROXINA 150MCG TABLETA | SIEGFRIED |,90
OLANZAPINA 10MG TABLETA | LASANTE |,60
RISPERIDONA 2MG TABLETA | LA SANTE | ZYRISP,240
ACIDO POLIACRILICO (CARBOMERO 974P) 0.02% GEL OFTALMICO | SCANDINAVIA | ACRYLARM GEL,3
LEVOTIROXINA 100MCG TABLETA | SIEGFRIED | TIROXIN,90
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,15
ACETAMINOFEN 150MG/5ML JARABE | PROCAPS | DOLOFEN,1
PALIVIZUMAB 50MG SOLUCION INYECTABLE | ASTRAZENECA | SYNAGIS,1
HIOSCINA N-BUTIL BROMURO 10MG TABLETA | LABINCO | LABINPINA,15
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,60
ACETILCISTEINA 600MG SOBRE | LASANTE |,30
NAPROXENO 250MG TABLETA GENFAR,45
CIPROFLOXACINO 500MG TABLETA | BCN | PROCATEC,28
TAMSULOSINA 0.4MG TABLETA DE LIBERACION SOSTENIDA | AUROBINDO | OD - TAM 0.4,90
CAPECITABINE 500MG TABLETA | NEXT PHARMA | CAPETABIN,56
QUETIAPINA 25MG TABLETA | TECNOQUIMICAS |,60
ATORVASTATINA 20MG TABLETA | ECAR |,90
ROSUVASTATINA 40MG TABLETA | ECAR |,90
VALSARTAN 80MG TABLETA | LASANTE |,90
ACETILCISTEINA 600MG SOBRE | LASANTE |,180
TESTOSTERONA 250MG SOLUCION INYECTABLE | BAYER | TESTOVIRON DEPOT,3
RISPERIDONA 2MG TABLETA | LA SANTE | ZYRISP,120
RISPERIDONA 1MG TABLETA | TECNOQUIMICAS |,120
ARIPIPRAZOL 15MG TABLETA | BUSSIE | ARIPRAZOL,90
RISPERIDONA 1MG TABLETA | LA SANTE | ZYRISP,90
ACETILCISTEINA 600MG SOBRE | LASANTE |,7
LORATADINA 10MG TABLETA | AG |,7
PREDNISONA 50MG TABLETA | TECNOQUIMICAS |,5
OMEPRAZOL 20MG CAPSULA | NOVAMED |,7
LOSARTAN 50MG TABLETA | GENFAR |,180
ACETAMINOFEN 500MG TABLETA | AG |,40
ATORVASTATINA 20MG TABLETA | ECAR |,90
AMLODIPINO 5MG TABLETA | WINTHROP |,90
ETORICOXIB 60MG TABLETA | HETERO | TORROX,20
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,20
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,56
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,60
VILDAGLIPTINA + METFORMINA 50MG + 850MG TABLETA | NOVARTIS | GALVUS MET,182
ACIDO FOLICO 1MG TABLETA | ECAR |,90
CETIRIZINA 5MG/5ML JARABE | ECAR |,1
SULFATO DE ZINC 2MG/ML SOLUCION ORAL | FARMATECH | SULZINC,2
ACIDO ASCORBICO 500MG TABLETA MASTICABLE | LASANTE | VITAMINA C,30
ACETAMINOFEN 500MG TABLETA | AG |,40
RISPERIDONA 1MG/20ML SOLUCION ORAL | SCANDINAVIA | TRACTAL 1MG/ML,2
BUPROPION CLORHIDRATO 150MG CAPSULA | TECNOFARMA | ODRANAL,60
ALIMENTO EN POLVO A BASE DE MALTODEXTRINA CON VITAMINAS Y MINERALES | CAJA X 10 SOBRES X 1G | VITAMIX 15,60
HIALURONATO DE SODIO 4MG/ML (0.4%) SOLUCION OFTALMICA FC*10ML | OPHTHA | HIALTEARS,1
SUCRALFATO 1GR TABLETA | ROPSOHN | ALSUCRAL,40
CARBONATO DE CALCIO 1500MG + VITAMINA D 200U.I TABLETA | LEBRIUT S.A.S | OROCAL D,60
NAPROXENO 250MG TABLETA GENFAR,15
METOCARBAMOL 750MG TABLETA | LABINCO | MIOFLEX,15
ACETAMINOFEN 500MG TABLETA | AG |,28
ONDANSETRON 8MG/4ML SOLUCION INYECTABLE | BLAU |,2
SUERO FISIOLOGICO 0.9% X 500 ML BOLSA,2
DEXAMETASONA 8MG SOLUCION INYECTABLE VIAL X 2ML | PROCAPS |,2
FOSAPREPITANT 150MG/10ML SOLUCION INYECTABLE | MSN LABS | APRITANT IV,1
PEGFILGRASTIM 6MG/0.6ML SOLUCION INYECTABLE | LAFRANCOL | GENFILGRAS PEG,1
OXALIPLATINO 100MG SOLUCION INYECTABLE | SEVEN PHARMA | OXALISEVEN,2
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,180
SERTRALINA 25MG TABLETA | TECNOFARMA | DOMINIUM,90
ESOMEPRAZOL 40MG TABLETA | COLMED |,180
METRONIDAZOL 500MG TABLETA | ECAR |,28
DOXICICLINA 100MG TABLETA | GENFAR |,28
ATORVASTATINA 40MG TABLETA ECAR,90
CLOPIDOGREL 75MG TABLETA | MSN | PLATEMAX,90
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,90
TRIMEBUTINA 200MG TABLETA | GENFAR |,120
ACETAMINOFEN 150MG/5ML JARABE | PROCAPS | DOLOFEN,1
FEXOFENADINA 30MG/5ML JARABE | ECAR |,1
LACOSAMIDA 100MG TABLETA BIOPAS VIMPAT,252
ACETAMINOFEN 500MG TABLETA | AG |,30
VALSARTAN 160MG TABLETA | LASANTE |,168
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,60
FUROSEMIDA 40MG TABLETA | GENFAR |,90
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
FLUOXETINA 20MG TABLETA | NOVAMED | GENERICO,8
CARBOXIMETILCELULOSA 0.5% SOLUCION OFTALMICA | PROCAPS | TEARSOFT,1
LEVOMEPROMAZINA 4% SOLUCION ORAL | ACTIFARMA |,1
LEVOMEPROMAZINA 4% SOLUCION ORAL | ACTIFARMA |,1
ACETAMINOFEN 500MG TABLETA | AG |,30
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,90
DORZOLAMIDA + TIMOLOL + BRIMONIDINA 20MG + 5MG + 2MG SOLUCION OFTALMICA FCO X 5ML | PROCAPS | BRIMODOR,3
CARBOXIMETILCELULOSA + GLICERINA (5MG+9MG)/10ML SOLUCION OFTALMICA | MEGALABS | CRISTALTEARS PLUS,3
ATORVASTATINA 20MG TABLETA | ECAR |,90
AMLODIPINO 5MG TABLETA | WINTHROP |,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
ESOMEPRAZOL 20MG TABLETA | COLMED |,30
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
ROSUVASTATINA 40MG TABLETA | ECAR |,90
LOSARTAN 50MG TABLETA | GENFAR |,90
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,180
VILDAGLIPTINA + METFORMINA 50MG + 850MG TABLETA | NOVARTIS | GALVUS MET,175
ENOXAPARINA SODICA 60MG/0.6ML SOLUCION INYECTABLE | DELTA | PHARMA LAW,30
FEXOFENADINA 30MG/5ML JARABE | ECAR |,1
ACETAMINOFEN 150MG/5ML JARABE | PROCAPS | DOLOFEN,1
DOXICICLINA 100MG TABLETA | GENFAR |,20
METRONIDAZOL 500MG TABLETA | ECAR |,20
NAPROXENO 250MG TABLETA GENFAR,6
OMEPRAZOL 20MG CAPSULA | NOVAMED |,10
HIOSCINA N-BUTIL BROMURO 10MG TABLETA | RECIPE |,15
CLOTRIMAZOL 1% CREMA TOPICA | AG |,1
LACOSAMIDA 200MG TABLETA | BIOPAS | VIMPAT,180
FLUVOXAMINA 100MG TABLETA | THE LABS | ANSIVOX,270
ARIPIPRAZOL 15MG TABLETA | BUSSIE | ARIPRAZOL,90
CARVEDILOL 6.25MG TABLETA | LASANTE |,90
ACETAMINOFEN 500MG TABLETA | AG |,8
CEFALEXINA 500MG CAPSULA | RECIPE |,6
ESOMEPRAZOL 20MG TABLETA | COLMED |,7
CEFALEXINA 500MG CAPSULA | RECIPE |,20
NAPROXENO 250MG TABLETA GENFAR,10
CARBONATO DE CALCIO 1500MG + VITAMINA D 200U.I TABLETA | LEBRIUT S.A.S | OROCAL D,60
ETORICOXIB 60MG TABLETA | EUROFARMA |,40
DICLOFENACO SODICO 1% GEL TOPICO | GENFAR |,1
METRONIDAZOL 500MG TABLETA | ECAR |,21
LOPERAMIDA 2MG TABLETA | ECAR |,180
COLESTIRAMINA 4GR SOBRES | WINTHROP |,60
ESOMEPRAZOL 40MG TABLETA | COLMED |,60
PALIVIZUMAB 50MG SOLUCION INYECTABLE | ASTRAZENECA | SYNAGIS,1
INSULINA GLARGINA + LIXISENATIDA (10/40) (100UI+50MCG)/3ML SOLUCION INYECTABLE | SANOFI | SOLIQUA,4
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
CREMA ALMIPRO 500GR POTE | SAN JORGE |,3
VITAMINA D3 (COLECALCIFEROL) 25.000U.I./1ML SOLUCION ORAL | EUROETIKA | HISTOTAL,6
BETAHISTINA 24MG TABLETA | GRUNENTHAL | VERUM,180
SILDENAFIL 50MG TABLETA | GENFAR |,90
DENOSUMAB 120MG/1.7 ML SOLUCION INYECTABLE | AMGEN BIOTECNOLOGICA | XGEVA,1
LOSARTAN 100MG TABLETA | BUSSIE | SATOREN,180
ROSUVASTATINA 20MG TABLETA | ECAR |,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,90
LOSARTAN 100MG TABLETA | BUSSIE | SATOREN,180
ROSUVASTATINA 40MG TABLETA | ECAR |,90
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,30
GLIMEPIRIDA 2MG TABLETA | TECNOQUIMICAS |,90
HIOSCINA N-BUTIL BROMURO 10MG TABLETA | RECIPE |,30
OMEPRAZOL 20MG CAPSULA | NOVAMED |,30
TIAMINA 300MG TABLETA | ECAR | VITAMINA B1 TABLETA,30
ACETAMINOFEN 500MG TABLETA | AG |,40
TRAZODONA 50MG TABLETA | RECIPE |,90
ATORVASTATINA 10MG TABLETA | BIOQUIFAR | ATORFIT,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
ENOXAPARINA SODICA 40MG/0.4ML SOLUCION INYECTABLE | DELTA | PHARMA LAW,5
DICLOFENACO SODICO 75MG/3ML (2.5%) SOLUCION INYECTABLE | FARMIONNI |,6
ACETAMINOFEN 500MG TABLETA | AG |,32
ALIMENTO EN POLVO A BASE DE MALTODEXTRINA CON VITAMINAS Y MINERALES | CAJA X 10 SOBRES X 1G | VITAMIX 15,60
ALBENDAZOL 200MG TABLETA | BIOQUIFAR | FINAPAR,2
FEXOFENADINA 30MG/5ML JARABE | ECAR |,1
ACETAMINOFEN 150MG/5ML JARABE | PROCAPS | DOLOFEN,2
ACETATO DE GOSERELINA 10.8MG JERINGA PRELLENADA | ASTRA ZENECA | ZOLADEX,1
DENOSUMAB 120MG/1.7 ML SOLUCION INYECTABLE | AMGEN BIOTECNOLOGICA | XGEVA,1
SULFATO FERROSO 250MG/120ML JARABE | LAPROFF |,3
VILDAGLIPTINA + METFORMINA 50MG + 1000MG TABLETA | NOVARTIS | GALVUS MET,175
ATORVASTATINA 40MG TABLETA ECAR,90
OMEPRAZOL 20MG CAPSULA | NOVAMED |,30
GEMFIBROZILO 600MG TABLETA | WINTHROP |,90
PREDNISOLONA 0.1% GOTAS OFTALMICAS | SOPHIA | SOPHIPREN,3
LACTULOSA 66.7GR/100ML SOBRE DE SOLUCION ORAL | HUMAX | CONSTILAX,12
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,90
ATORVASTATINA 20MG TABLETA | ECAR |,90
LEVOSULPIRIDE + PANCREATINA + SIMETICONA 25MG+150MG+80MG TABLETA | GALENO QUIMICA S.A | LEPRIT,58
FOSAPREPITANT 150MG/10ML SOLUCION INYECTABLE | MSN LABS | APRITANT IV,1
DEXAMETASONA 8MG/2ML SOLUCION INYECTABLE | FARMIONNI |,1
OXALIPLATINO 100MG SOLUCION INYECTABLE | SEVEN PHARMA | OXALISEVEN,3
PEGFILGRASTIM 6MG/0.6ML SOLUCION INYECTABLE | LAFRANCOL | GENFILGRAS PEG,1
ONDANSETRON 8MG/4ML SOLUCION INYECTABLE | FRESENIUS | ONDASETRON,2
