Archivo;Descripcion_Original;Codigo_Original;Cantidad;Mejor_Candidato_Idx;Score
10octubreEvento.csv;ACIDO ZOLEDRONICO 5MG/100ML SOLUCION INYECTABLE | HUMAN BIOSCIENCE | ZOFIVE;;1;926;48.333333333333336
10octubreEvento.csv;ACIDO ZOLEDRONICO 5MG/100ML SOLUCION INYECTABLE | HUMAN BIOSCIENCE | ZOFIVE;;1;926;48.333333333333336
10octubreEvento.csv;ALGINATO DE SODIO + BICARBONATO DE SODIO + CARBONATO DE CALCIO (2.5G+2.67G+1.5G) 360ML SUSPENSION | SANOFI AVENTIS | MILPAX CEREZA;;1;141;71.66666666666667
10octubreEvento.csv;ALGINATO DE SODIO + BICARBONATO DE SODIO + CARBONATO DE CALCIO (2.5G+2.67G+1.5G) 360ML SUSPENSION | SANOFI AVENTIS | MILPAX CEREZA;;1;141;71.66666666666667
10octubreEvento.csv;CATETER INTRAVENOSO NO 24 G X 3/4 UND;;2;516;59.375
10octubreEvento.csv;CATETER INTRAVENOSO NO 24 G X 3/4 UND;;1;516;59.375
10octubreEvento.csv;CATETER INTRAVENOSO NO 24 G X 3/4 UND;;1;516;59.375
10octubreEvento.csv;CATETER INTRAVENOSO NO 24 G X 3/4 UND;;1;516;59.375
10octubreEvento.csv;CATETER INTRAVENOSO NO 24 G X 3/4 UND;;1;516;59.375
10octubreEvento.csv;CATETER INTRAVENOSO NO 24 G X 3/4 UND;;1;516;59.375
10octubreEvento.csv;CATETER INTRAVENOSO NO 24 G X 3/4 UND;;2;516;59.375
10octubreEvento.csv;CATETER INTRAVENOSO NO 24 G X 3/4 UND;;1;516;59.375
10octubreEvento.csv;CATETER INTRAVENOSO NO 24 G X 3/4 UND;;1;516;59.375
10octubreEvento.csv;CLORURO DE SODIO 0.65%/30ML SOLUCION NASAL | NOVAMED | HUMENAS;;6;813;41.86046511627907
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;2;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;2;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;1;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;1;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;3;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;2;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;3;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;1;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;3;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;2;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;1;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;1;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;1;;0.0
10octubreEvento.csv;CREMA ALMIPRO 500GR POTE | SAN JORGE |;;3;;0.0
10octubreEvento.csv;FORMULA TERAPEUTICA PARA DESNUTRICION X 92 GR | NUTRISET | PLUMPY NUT;;35;396;39.62264150943396
10octubreEvento.csv;FORMULA TERAPEUTICA PARA DESNUTRICION X 92 GR | NUTRISET | PLUMPY NUT;;27;396;39.62264150943396
10octubreEvento.csv;GUANTES VINILO TALLA L X 100 UND (SIN TALCO)*;;1;417;54.11764705882353
10octubreEvento.csv;LANCETAS REGULARES GD50 X UNID;;50;530;55.55555555555556
10octubreEvento.csv;LANCETAS REGULARES GD50 X UNID;;90;530;55.55555555555556
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;30;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;30;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;60;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;90;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;30;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;30;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;60;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;60;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;60;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;90;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;90;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;90;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;90;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;30;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;60;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;60;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;60;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;90;;0.0
10octubreEvento.csv;LEFLUNOMIDA 20MG TABLETA | PROCAPS | INFLAXEN;;30;;0.0
10octubreEvento.csv;MICOFENOLATO MOFETILO 500MG TABLETA | ALKEM | MYCOKEM;;180;11;69.84126984126985
10octubreEvento.csv;ORLISTAT 120MG CAPSULA | ECAR | | 20016149-01;;180;356;33.33333333333333
10octubreEvento.csv;SALES DE REHIDRATACION ORAL POLVO PARA RECONSTRUIR SOBRE X 20.6 G | LABQUIFAR | SALYDRAT;;3;795;36.8421052631579
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;4;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;10;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;6;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;4;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;6;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;15;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;1;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;2;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;20;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;6;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;2;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;2;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;7;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;1;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;2;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;1;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;5;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;2;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;1;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;2;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;8;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;1;795;38.095238095238095
10octubreEvento.csv;SALES DE REHIDRATACION ORAL 20.7GR SOBRES | LABINCO | SOLHIDREX;;3;795;38.095238095238095
